,Concept_ID,sq,fr
0,Auge::N,sy,œil
1,Ohr::N,vesh,oreille
2,Nase::N,hundë,nez
3,Mund::N,gojë,bouche
4,Zahn::N,dhëmb,dent
5,Zunge::N,gjuhë,langue
6,Lippe::N,buzë,lèvre
7,Wange::N,faqe,joue
8,Wange::N,mollëz,joue
9,Gesicht::N,fytyrë,face
10,Gesicht::N,fytyrë,visage
11,Stirn::N,ballë,front
12,Haar::N,flokë,cheveu
13,Schnurrbart::N,mustaqe,moustache
14,Bart::N,mjekër,barbe
15,Kinn::N,mjekër,menton
16,Kiefer[Anatomie]::N,nofull,mâchoire
17,Kehle::N,fyt,gorge
18,Kehle::N,grykë,gorge
19,Hals::N,qafë,cou
20,Genick::N,arrëz,nuque
21,Kopf::N,kokë,tête
22,Rücken::N,kurriz,dos
23,Bauch::N,bark,ventre
24,Nabel::N,kërthizë,nombril
25,Busen::N,gji,sein
26,Brust::N,gjoks,poitrine
27,Brust::N,kraharor,poitrine
28,Schulter::N,sup,épaule
29,Schulter::N,krah,épaule
30,Arm::N,krah,bras
31,Ellenbogen::N,bërryl,coude
32,Hand::N,dorë,main
33,Handfläche::N,pëllëmbë,paume
34,Finger::N,gisht,doigt
35,Fingernagel::N,thua,ongle
36,Nagel[Anatomie]::N,thua,ongle
37,Zeh::N,gisht i këmbës,orteil
38,Zeh::N,gisht i këmbës,doigt de pied
39,Fuß::N,këmbë,pied
40,Ferse::N,thembër,talon
41,Knie::N,gju,genou
42,Oberschenkel::N,kofshë,cuisse
43,Bein::N,këmbë,jambe
44,Körper::N,trup,corps
45,Haut::N,lëkurë,peau
46,Blut::N,gjak,sang
47,Ader::N,venë,veine
48,Sehne::N,dell,tendon
49,Knochen::N,asht,os
50,Knochen::N,kockë,os
51,Gehirn::N,tru,cerveau
52,Herz::N,zemër,cœur
53,Magen::N,stomak,estomac
54,Leber::N,mëlçi,foie
55,Atem::N,frymë,haleine
56,Hunger::N,uri,faim
57,Träne::N,lot,larme
58,Geschmack::N,shije,goût
59,Geschmack::N,shije,saveur
60,Geruch::N,erë,odeur
61,Schlaf::N,gjumë,sommeil
62,Traum::N,ëndërr,songe
63,Himmel::N,qiell,ciel
64,Sonne::N,diell,soleil
65,Mond::N,hënë,lune
66,Stern::N,yll,étoile
67,Luft::N,ajër,air
68,Wind::N,erë,vent
69,Welle::N,valë,vague
70,Welle::N,dallgë,vague
71,Wasser::N,ujë,eau
72,Stein::N,gur,pierre
73,Boden::N,tokë,sol
74,Boden::N,tokë,terrain
75,Boden::N,truall,sol
76,Boden::N,truall,terrain
77,Erde::N,dhe,terre
78,Erde::N,baltë,terre
79,Staub::N,pluhur,poussière
80,Rauch::N,tym,fumée
81,Funke::N,xixë,étincelle
82,Funke::N,shkëndijë,étincelle
83,Feuer::N,zjarr,feu
84,Licht::N,dritë,lumière
85,Schatten::N,hije,ombre
86,Wetter::N,mot,temps
87,Nebel::N,mjegull,brume
88,Nebel::N,mjegull,brouillard
89,Wolke::N,re,nuage
90,Regen::N,shi,pluie
91,Schnee::N,borë,neige
92,Eis::N,akull,glace
93,Frost::N,ngricë,gel
94,Frost::N,ngricë,gelée
95,Kälte::N,të ftohtë,froid
96,Hitze::N,vapë,chaleur
97,Hitze::N,nxehtësi,chaleur
98,Raureif::N,cikmë,givre
99,Regenbogen::N,ylber,arc-en-ciel
100,Donner::N,gjëmim,tonnerre
101,Donner::N,bubullimë,tonnerre
102,Strömung::N,rrymë,courant
103,Tropfen::N,pikë,goutte
104,Schaum::N,shkumë,écume
105,Schaum::N,shkumë,mousse
106,Schmutz::N,baltë,boue
107,Schmutz::N,baltë,saleté
108,See::N,liqen,lac
109,Sumpf::N,batak,marais
110,Sumpf::N,batak,marécage
111,Moor::N,kënetë,tourbière
112,Wiese::N,livadh,pré
113,Wald::N,pyll,bois
114,Wald::N,pyll,forêt
115,Hügel::N,kodër,coteau
116,Hügel::N,kodër,colline
117,Anhöhe::N,bregore,éminence
118,Anhöhe::N,bregore,élévation
119,Berg::N,mal,mont
120,Berg::N,mal,montagne
121,Gipfel::N,kulm,cime
122,Gipfel::N,kulm,sommet
123,Höhle::N,shpellë,caverne
124,Höhle::N,zgafelle,caverne
125,Abhang::N,shpat,pente
126,Abhang::N,shpat,versant
127,Abhang::N,tatëpjetë,pente
128,Abhang::N,tatëpjetë,versant
129,Quelle::N,krua,source
130,Quelle::N,krua,fontaine
131,Quelle::N,burim,source
132,Quelle::N,burim,fontaine
133,Bach::N,virua,ruisseau
134,Fluss::N,lumë,fleuve
135,Fluss::N,lumë,rivière
136,Ufer::N,breg,bord
137,Ufer::N,breg,rivage
138,Küste::N,anëdet,côte
139,Küste::N,bregdet,côte
140,Festland::N,kontinent,terre ferme
141,Meer::N,det,mer
142,Bucht::N,gji deti,baie
143,Insel::N,ishull,île
144,Insel::N,ujdhesë,île
145,Blume::N,lule,fleur
146,Gras::N,bar,herbe
147,Wurzel::N,rrënjë,racine
148,Baum::N,pemë,arbre
149,Stamm::N,trung,tronc
150,Rinde::N,lëvore,écorce
151,Ast::N,degë,branche
152,Zweig::N,bisk,rameau
153,Blatt::N,fletë,feuille
154,Blatt::N,gjethe,feuille
155,Birke::N,mështekën,bouleau
156,Kiefer[Baum]::N,pishë,pin
157,Weide[Baum]::N,shelg,saule
158,Tanne::N,bredh,sapin
159,Horn::N,bri,corne
160,Feder::N,pupël,plume
161,Fell::N,lëkurë,peau
162,Flügel::N,krah,aile
163,Flügel::N,fletë,aile
164,Klaue::N,kthetër,serre
165,Kralle::N,thua,ongle
166,Kralle::N,thua,griffe
167,Kralle::N,kthetër,ongle
168,Kralle::N,kthetër,griffe
169,Schwanz::N,bisht,queue
170,Ei::N,vezë,œuf
171,Nest::N,fole,nid
172,Bau::N,strofkë,terrier
173,Tier::N,kafshë,animal
174,Herde::N,kope,troupeau
175,Herde::N,grigjë,troupeau
176,Kuh::N,lopë,vache
177,Bulle::N,dem,taureau
178,Pferd::N,kalë,cheval
179,Schaf::N,dele,mouton
180,Schwein::N,derr,porc
181,Schwein::N,derr,cochon
182,Hund::N,qen,chien
183,Katze::N,mace,chat
184,Bär::N,ari,ours
185,Eichhörnchen::N,ketër,écureuil
186,Elch::N,dre brilopatë,élan
187,Fuchs::N,dhelpër,renard
188,Hase::N,lepur,lièvre
189,Maus::N,mi,souris
190,Wolf::N,ujk,loup
191,Vogel::N,zog,oiseau
192,Vogel::N,shpend,oiseau
193,Schwarm::N,luzmë,nuée
194,Schwarm::N,luzmë,volée
195,Huhn::N,pulë,poule
196,Hahn::N,gjel,coq
197,Hahn::N,këndes,coq
198,Gans::N,patë,oie
199,Adler::N,shqiponjë,aigle
200,Ente::N,rosë,canard
201,Eule::N,buf,hibou
202,Kranich::N,lejlek,grue
