,Concept_ID,ta,en
0,Auge::N,கண்,eye
1,Ohr::N,காது,ear
2,Nase::N,மூக்கு,nose
3,Mund::N,வாய்,mouth
4,Zahn::N,பல்,tooth
5,Zunge::N,நாக்கு,tongue
6,Lippe::N,உதடு,lip
7,Wange::N,கன்னம்,cheek
8,Gesicht::N,முகம்,face
9,Stirn::N,முன்னெற்றி,forehead
10,Haar::N,முடி,hair
11,Schnurrbart::N,மீசை,moustache
12,Bart::N,தாடி,beard
13,Kinn::N,கீழதாடை,chin
14,Kiefer[Anatomie]::N,தாடை,jaw
15,Kehle::N,தொண்டை,throat
16,Hals::N,கழுத்து,neck
17,Genick::N,கழுத்து,nape
18,Kopf::N,தலை,head
19,Rücken::N,முதுகு,back
20,Rücken::N,முதுகு,spine
21,Bauch::N,வயிறு,belly
22,Nabel::N,தொப்புள்,navel
23,Busen::N,மார்பகம்,bosom
24,Brust::N, மார்பு,chest
25,Brust::N, மார்பு,breast
26,Schulter::N,தோள்பட்டை,shoulder
27,Arm::N,கரம்,arm
28,Ellenbogen::N,முழங்கை,elbow
29,Hand::N,கை,hand
30,Handfläche::N,உள்ளங்கை,palm
31,Finger::N,விரல்,finger
32,Fingernagel::N,விரல் நகம்,fingernail
33,Nagel[Anatomie]::N,நகம்,nail
34,Zeh::N,கால்விரல்,toe
35,Fuß::N,கால்,foot
36,Ferse::N,குதிகால்,heel
37,Knie::N,முழங்கால்,knee
38,Oberschenkel::N,தொடை,thigh
39,Bein::N,கால்,leg
40,Körper::N,உடல்,body
41,Haut::N,சருமம்,skin
42,Blut::N,இரத்தம்,blood
43,Ader::N,நாளம்,vein
44,Sehne::N,தசைநார்,sinew
45,Knochen::N,எலுமபு,bone
46,Gehirn::N,மூனை,brain
47,Herz::N,இதயம,heart
48,Magen::N,வயிறு,stomach
49,Leber::N,கல்லீரல்,liver
50,Atem::N,மூச்சு,breath
51,Hunger::N,பசி,hunger
52,Träne::N,கண்ணீர்,tear
53,Geschmack::N,நறுமணம்,flavour
54,Geschmack::N,நறுமணம்,flavor
55,Geruch::N,துர்நாற்றம்,odour
56,Geruch::N,துர்நாற்றம்,odor
57,Schlaf::N,தூக்கம்,sleep
58,Traum::N,கனவு,dream
59,Himmel::N,வானம்,sky
60,Sonne::N,சூரியன்,sun
61,Mond::N,சந்திரன்,moon
62,Stern::N,நட்சத்திரம்,star
63,Luft::N,காறறு,air
64,Wind::N,காற்று,wind
65,Welle::N,அலை,wave
66,Wasser::N,நீர்,water
67,Stein::N,கல்,stone
68,Boden::N,தரை,soil
69,Boden::N,தரை,ground
70,Erde::N,மண்,earth
71,Staub::N,தூசி,dust
72,Rauch::N,புகை,smoke
73,Funke::N,தீப்பொறி,spark
74,Feuer::N,தீ,fire
75,Licht::N,வெளிச்சம்,light
76,Schatten::N,நிழல்,shadow
77,Wetter::N,வானிலை,weather
78,Nebel::N,பனிமூட்டம்,fog
79,Wolke::N,மேகம்,cloud
80,Regen::N,மழை,rain
81,Schnee::N,உறைபனி,snow
82,Eis::N,பனிக்கட்டி,ice
83,Frost::N,உறைபனி,frost
84,Kälte::N,குளிர்ந்த,chill
85,Hitze::N,சூடு,heat
86,Raureif::N,உறைபனி வெண்திரை,hoarfrost
87,Regenbogen::N,வானவில்,rainbow
88,Donner::N,இடி,thunder
89,Strömung::N,நீரோட்டம்,current
90,Tropfen::N,துளி,drop
91,Schaum::N,நுரை,foam
92,Schmutz::N,அழுக்கு,dirt
93,See::N,ஏரி,lake
94,Sumpf::N,சதுப்பு நிலம்,swamp
95,Moor::N,முட்புதற்காடு,moor
96,Wiese::N,பசும் புல்தரை,meadow
97,Wald::N,காடு,forest
98,Hügel::N,குன்று,hill
99,Anhöhe::N,பதுக்கை,elevation
100,Berg::N,மலை,mountain
101,Gipfel::N,உச்சி மாநாடு,summit
102,Höhle::N,குகை,cave
103,Abhang::N,சரிவு,slope
104,Quelle::N,மூலம்,source
105,Bach::N,ஓடை,brook
106,Fluss::N,ஆறு,river
107,Ufer::N,நீர்க்கரை,shore
108,Küste::N,கடற்கரை,coast
109,Festland::N,நிலம்,land
110,Meer::N,கடல்,sea
111,Bucht::N,சிறுகுடா,cove
112,Insel::N,தீவு,island
113,Blume::N,பூ,flower
114,Gras::N,புல்தரை,grass
115,Wurzel::N,வேர்,root
116,Baum::N,மரம்,tree
117,Stamm::N,அடிமரம்,trunk
118,Rinde::N,பட்டை,bark
119,Rinde::N,மரப்பட்டை,bark
120,Ast::N,கினை,limb
121,Zweig::N,குச்சி,branch
122,Blatt::N,இலை,leaf
123,Birke::N,பிர்ச் மரம்,birch
124,Kiefer[Baum]::N,தேவதாரு மரம்,pine
125,Weide[Baum]::N,மர வகைகளுள் ஒன்று,willow
126,Tanne::N,சாதிக்கய்,fir
127,Horn::N,கொம்பு,horn
128,Feder::N,இறகு,feather
129,Fell::N,மென்முடி,fur
130,Flügel::N,இறக்கை,wing
131,Klaue::N,நகம்,claw
132,Kralle::N,நகம்,claw
133,Schwanz::N,வால்,tail
134,Ei::N,முட்டை,egg
135,Nest::N,கூடு,nest
136,Bau::N,குகை,lair
137,Tier::N,விலங்கு,animal
138,Herde::N,கூட்டம்,flock
139,Kuh::N,பசு,cow
140,Bulle::N,காளை,bull
141,Pferd::N,குதிரை,horse
142,Schaf::N,செம்மறிஆடு,sheep
143,Schwein::N,பன்றி,pig
144,Hund::N,நாய்,dog
145,Katze::N,பூனை,cat
146,Bär::N,கரடி,bear
147,Eichhörnchen::N,அணில்,squirrel
148,Elch::N,கடம்பை,elk
149,Fuchs::N,நரி,fox
150,Hase::N,முயல்,hare
151,Maus::N,எலி,mouse
152,Wolf::N,ஓநாய்,wolf
153,Vogel::N,பறவை,bird
154,Schwarm::N,தொகுதி,swarm
155,Huhn::N,கோழிக்குஞசு,chicken
156,Hahn::N,சேவல்,cock
157,Gans::N,பெண் வாத்து,goose
158,Adler::N,பருநது,eagle
159,Ente::N,வாத்து,duck
160,Eule::N,ஆந்தை,owl
161,Kranich::N,நாரை,crane
162,Krähe::N,காகம்,crow
163,Kuckuck::N,குயில்,cuckoo
164,Schwan::N,அன்னம்,swan
165,Fisch::N,மீன்,fish
166,Barsch::N,பேர்ச்,perch
167,Hecht::N,கோலாச்சி மீன்,pike
168,Schlange[Tier]::N,பாம்பு,snake
169,Wurm::N,புழு,worm
170,Spinne::N,சிலந்தி,spider
171,Ameise::N,எறும்பு,ant
172,Laus::N,பேன்,louse
173,Mücke::N,கொசுவினப்பூச்சி,midge
174,Fliege::N,ஈ,fly
175,Schmetterling::N,வண்ணத்துப்பூச்சி,butterfly
176,Beere::N,சதைப்பழம்,berry
177,Apfel::N,ஆப்பிள பழம்,apple
178,Pilz::N,காளான்,mushroom
179,Zwiebel::N,வெங்காயம்,onion
180,Saat::N,விதை,seed
181,Korn::N,தானியம்,grain
182,Heu::N,வைக்கோல்,hay
183,Schale::N,தோல்,husk
184,Grube::N,குழி,pit
185,Falle::N,பொறி,trap
186,Schlinge::N,கண்ணி,noose
187,Spur::N,சுவடு,track
188,Asche::N,சாம்பல்,ashes
189,Dreck::N,அழுக்கு,filth
190,Eisen::N,இரும்பு,iron
191,Gold::N,தங்கம்,gold
192,Silber::N,வெள்ளி,silver
193,Kohle::N,நிலக்கரி,coal
194,Glas::N,கண்ணாடி,glass
195,Lehm::N,களிமண்,clay
196,Sand::N,மணல்,sand
197,Mensch::N,மனிதர்கள்,human
198,Mann::N,மனிதன்,man
199,Frau::N,பெண்,woman
200,Kind::N,குழந்தை,child
201,Junge::N,பையன்,boy
202,Mädchen::N,சிறுமி,girl
203,Familie::N,குடும்பம்,family
204,Großvater::N,தாத்தா,grandfather
205,Großmutter::N,பாட்டி,grandmother
206,Eltern::N,பெற்றோர்,parents
207,Vater::N,தந்தை,father
208,Mutter::N,தாய்,mother
209,Sohn::N,மகன்,son
210,Tochter::N,மகள்,daughter
211,Bruder::N,சகோதரன்,brother
212,Schwester::N,அக்கா,sister
213,Onkel::N,தாய் மாமன்,uncle
214,Tante::N,அத்தை,aunt
215,Ehemann::N,கணவன்,husband
216,Ehefrau::N,மனைவி,wife
217,Freude::N,கொண்டாட்டம்,joy
218,Gelächter::N,சிரிப்பு,laughter
219,Glück::N,மகிழ்ச்சி,happiness
220,Kummer::N,துயரம்,grief
221,Wunsch::N,விருப்பம்,wish
222,Lust::N,விருப்பம்,desire
223,Geist::N,ஆன்மா,spirit
224,Gedanke::N,எண்ணம்,thought
225,Gedächtnis::N,ஞாபகம்,memory
226,Verstand::N,மனம்,mind
227,Sinn::N,அர்த்தம்,meaning
228,Grund::N,காரணம்,reason
229,Wahrheit::N,உண்நை,truth
230,Gespräch::N,பெசு,talk
231,Märchen::N,நம்பத்தகாத கதை,fairy tale
232,Erzählung::N,கதை,story
233,Nachricht::N,செய்தி,message
234,Neuigkeit::N,செய்தி,news
235,Name::N,பெயர்,name
236,Rätsel::N,புதிர்,puzzle
237,Rede::N,பேச்சு,speech
238,Sprache::N,மொழி,language
239,Stimme::N,குரல்,voice
240,Wort::N,வார்த்தை,word
241,Zeichen::N,குறி,sign
242,Ruf::N,அழைப்பு,call
243,Lärm::N,சத்தம்,noise
244,Laut::N,ஒலி,sound
245,Ton::N,குரல்,tone
246,Lied::N,பாட்டு,song
247,Ruhe::N,அமைதி,calm
248,Leute::N,மக்கள்,people
249,Volk::N,மக்கள்,nation
250,Arbeit::N,வேலை,work
251,Gast::N,விருந்தாளி,guest
252,Geschenk::N,பரிசுப் பொருள்,gift
253,Spiel::N,விளையாட்டு,game
254,Gesellschaft::N,சமுதாயம்,company
255,Hilfe::N,உதவி,help
256,Freund::N,நண்பன்,friend
257,Kamerad::N,உடனிருப்பவன்,companion
258,Angelegenheit::N,செய்தி,matter
259,Anzahl::N,எண்ணிக்கை,count
260,Art::N,வகை,sort
261,Stück::N,துண்டம்,piece
262,Teil::N,பகுதி,part
263,Hälfte::N,பாதி,half
264,Kreis::N,வட்டம்,circle
265,Kreuz::N,சிலுவை,cross
266,Linie::N,கோடு,line
267,Strich::N,வாத நோய்,stroke
268,Abstand::N,இடைவெளி,gap
269,Entfernung::N,தூரம்,distance
270,Gegend::N,வட்டாரம்,area
271,Platz::N,வெற்றிடம்,space
272,Ort::N,இடம்,place
273,Seite::N,பக்கம்,side
274,Mitte::N,இடைப்பகுதி,middle
275,Gegenstand::N,உருப்படி,item
276,Sache::N,பொருள்,thing
277,Rand::N,தொங்கு,fringe
278,Kante::N,விளிம்பு,edge
279,Ecke::N,மூலை,corner
280,Spitze::N,முனை,tip
281,Ende::N,முடிவு,end
282,Loch::N,துளை,hole
283,Winkel::N,கோணம்,angle
284,Muster::N,பாங்கு,pattern
285,Größe::N,அளவு,size
286,Länge::N,நீளம்,length
287,Höhe::N,உயரம்,height
288,Gewicht::N,எடை,weight
289,Menge::N,தொகை,amount
290,Haufen::N,குவியல்,heap
291,Reihe::N,வரிசை,row
292,Boot::N,படகு,boat
293,Ruder::N,துடுப்பு,oar
294,Schlitten::N,சகடையிலா வண்டி,sleigh
295,Ski::N,பனிச் சறுக்கல்,ski
296,Lagerfeuer::N,மூட்டம்,campfire
297,Last::N,பாரம்,load
298,Gang::N,நடை,walk
299,Schritt::N,காலடி,step
300,Norden::N,வடக்கு,north
301,Süden::N,தெற்கு,south
302,Westen::N,மேற்கு திசை,west
303,Osten::N,கிழக்கு,east
304,Holz::N,மரக்கட்டை,wood
305,Brett::N,பலகை,board
306,Platte::N,பலகம்,slab
307,Stütze::N,அடைப்புகன்,bracket
308,Stange::N,கம்பம்,pole
309,Stock::N,குச்சி,stick
310,Stab::N,கம்பு,staff
311,Rohr::N,குழாய்,pipe
312,Haus::N,வீடு,house
313,Heim::N,வீடு,home
314,Ofen::N,அடுப்பு,stove
315,Fußboden::N,தரை,floor
316,Tisch::N,மேசை,table
317,Stuhl::N,நாற்காலி,chair
318,Wiege::N,தொட்டில்,cradle
319,Bett::N,படுக்கை,bed
320,Regal::N,அலமாரி,shelf
321,Kiste::N,பெட்டி,box
322,Fenster::N,சாளரம்,window
323,Tür::N,கதவு,door
324,Tor::N,வாசற்கதவு,gate
325,Zaun::N,வேலி,fence
326,Dach::N,கூரை,roof
327,Leiter::N,ஏணி,ladder
328,Besen::N,விளக்குமாறு,broom
329,Spaten::N,மண்வெட்டி,spade
330,Schaufel::N,அடிதண்டா,shovel
331,Gabel::N,முட்கரண்டி,fork
332,Löffel::N,கரண்டி,spoon
333,Messer::N,கத்தி,knife
334,Nagel::N,ஆணி,nail
335,Netz::N,வலை,net
336,Haken::N,கொக்கி,hook
337,Griff::N,கைப்பிடி,handle
338,Schloss::N,பூட்டு,lock
339,Bild::N,படம்,picture
340,Figur::N,எண்ணிக்கை,figure
341,Puppe::N,பொம்மை,doll
342,Beutel::N,பை,pouch
343,Bündel::N,பொதி,bundle
344,Tasche::N,பை,bag
345,Eimer::N,வாளி,bucket
346,Deckel::N,உறை,cover
347,Geschirr::N,பாத்திரம்,dishes
348,Sack::N,பை,sack
349,Tasse::N,கிண்ணம்,cup
350,Topf::N,பானை,pot
351,Kessel::N,கெண்டி,kettle
352,Essen::N,உணவருந்துதல்,meal
353,Nahrung::N,உணவு,food
354,Speise::N,உணவு வகை,dish
355,Fleisch::N,இறைச்சி,meat
356,Getreide::N,மக்காச்சோளம்,corn
357,Brei::N,கஞ்சி,mush
358,Brot::N,ரொட்டி,bread
359,Scheibe::N,துண்டு,slice
360,Fett::N,கொழுப்பு,fat
361,Butter::N,வெண்ணெய்,butter
362,Öl::N,எண்ணெய்,oil
363,Salz::N,உப்பு,salt
364,Suppe::N,ரசம்,soup
365,Honig::N,தேன்,honey
366,Milch::N,பால்,milk
367,Tee::N,தெனீர்,tea
368,Leder::N,பதம் செய்யப்பட்ட தோல்,leather
369,Wolle::N,கம்பளி,wool
370,Stoff::N,துணி,cloth
371,Nadel::N,ஊசி,needle
372,Faden::N,நூல்,thread
373,Knopf::N,பொத்தான்,button
374,Knoten::N,முடிச்சு,knot
375,Farbe::N,வண்ணக் குழம்பு,paint
376,Kleidung::N,ஆடைகள்,clothes
377,Hemd::N,சட்டை,shirt
378,Kragen::N,கழுத்துப் பட்டை,collar
379,Ärmel::N,சட்டைக்கை,sleeve
380,Hose::N,கால்சட்டை,trousers
381,Gürtel::N,பெல்ட்,belt
382,Mütze::N,தொப்பி,cap
383,Schuh::N,காலணி,shoe
384,Stiefel::N,காலணி,boot
385,Ring::N,மோதிரம்,ring
386,Band::N,நாடா,ribbon
387,Kamm::N,கீப்பு,comb
388,Spiegel::N,ஆடி,mirror
389,Spiegel::N,கண்ணாடி,mirror
390,Riemen::N,வார்,strap
391,Schnur::N,கயிறு,string
392,Leine::N,தோல்வார்,leash
393,Decke::N,போர்வை,blanket
394,Kissen::N,தலையணை,pillow
395,Tuch::N,துணி,scarf
396,Handtuch::N,தண்டு,towel
397,Kraft::N,நிர்பந்தம்,force
398,Stärke::N,பலம்,strength
399,Gesundheit::N,ஆரோக்கியம்,health
400,Krankheit::N,நோய்,illness
401,Schmerz::N,வலி,pain
402,Wunde::N,காயம்,wound
403,Fieber::N,காய்ச்சல்,fever
404,Arznei::N,மருந்து,medicine
405,Brücke::N,பாலம்,bridge
406,Brunnen::N,கேணி,well
407,Weide::N,மேய்ச்சல் நிலம்,pasture
408,Pfad::N,நடை வழி,path
409,Weg::N,வழி,way
410,Straße::N,சாலை,road
411,Dorf::N,கிராமம்,village
412,Stadt::N,நகரம்,town
413,Brief::N,கடிதம்,letter
414,Buch::N,புத்தகம்,book
415,Buchstabe::N,எழத்து,character
416,Zeitung::N,செய்தித்தாள்,newspaper
417,Leben::N,வாழ்க்கை,life
418,Tod::N,மரணம்,death
419,Grab::N,சமாதி,grave
420,Kirche::N,தேவாலயம்,church
421,Sünde::N,பாவம்,sin
422,Gott::N,கடவுள்,god
423,Arbeiter::N,தொழிலாளி,worker
424,Chef::N,மேலாளர்,boss
425,Meister::N,தலைவன்,master
426,Arzt::N,மருத்துவர்,doctor
427,Lehrer::N,ஆசிரியர்,teacher
428,Geld::N,பணம்,money
429,Geschäft::N,வாணிபம்,business
430,Laden::N,கடை,shop
431,Preis::N,விலை,price
432,Ware::N,சாமன்கள்,ware
433,Nutzen::N,இலாபம்,profit
434,Reichtum::N,சொத்து,wealth
435,Welt::N,உலகம்,world
436,Land::N,நாடு,country
437,Staat::N,நாடு,state
438,König::N,அரசன்,king
439,Macht::N,அதிகாரம்,power
440,Grenze::N,எல்லை,border
441,Krieg::N,போர்,war
442,Feind::N,எதிரி,enemy
443,Gewalt::N,வன்முறை,violence
444,Kampf::N,போராட்டம்,fight
445,Bogen[Waffe]::N,வில்,bow
446,Pfeil::N,அம்பு,arrow
447,Gewehr::N,துப்பாக்கி,gun
448,Fehler::N,தவறு,mistake
449,Lüge::N,பொய்,lie
450,Schaden::N,சேதாரம்,damage
451,Unglück::N,இடையூறு,misfortune
452,Schuld::N,குற்றம்,fault
453,Alter::N,வயது,age
454,Schluss::N,முடிவு,conclusion
455,Zeit::N,காலம்,time
456,Tag::N,நாள்,day
457,Morgen::N,காலை நேரம்,morning
458,Mittag::N,மதியம்,noon
459,Abend::N,மாலைப் பொழுது,evening
460,Nacht::N,இரவு,night
461,Woche::N,வாரம்,week
462,Monat::N,மாதம்,month
463,Jahr::N,வருடம்,year
464,Frühling::N,வசந்தம்,spring
465,Sommer::N,கோடை,summer
466,Herbst::N,இலையுதிர் காலம்,autumn
467,Winter::N,குளிர்காலம்,winter
468,Januar::N,ஜனவரி,January
469,Februar::N,பிபரவரி மாதம்,February
470,März::N,மார்ச் மாதம்,March
471,April::N,ஏப்ரல் மாதம்,April
472,Mai::N,மே மாதம்,May
473,Juni::N,ஜூன் மாதம்,June
474,Juli::N,ஜூலை மாதம்,July
475,August::N,ஆகஸ்ட் மாதம்,August
476,September::N,செப்டம்பர் மாதம்,September
477,Oktober::N,அக்டோபர் மாதம்,October
478,November::N,நவம்பர் மாதம்,November
479,Dezember::N,டிசம்பர்,December
480,Montag::N,திங்கட் கிழமை,Monday
481,Dienstag::N,செவ்வாய்க்கிழமை,Tuesday
482,Mittwoch::N,புதன் கிழமை,Wednesday
483,Donnerstag::N,வியாழக் கிழமை,Thursday
484,Freitag::N,வெள்ளிக்கிழமை,Friday
485,Samstag::N,சனிக்கிழமை,Saturday
486,Sonntag::N,ஞாயிறுக் கிழமை,Sunday
487,groß::A,பெரிய,big
488,klein::A,சிறிய,little
489,lang::A,நீண்ட,long
490,kurz::A,குட்டையான,short
491,breit::A,அகலமான,wide
492,schmal::A,குறுகலான,narrow
493,dicht::A,அடர்த்தியான,dense
494,dick[Gegenstand]::A,தடித்த,thick
495,dünn::A,சன்னமான,thin
496,fein::A,மெல்லிய,delicate
497,fest::A,உறுதியாள,firm
498,flach::A,தட்டையான,flat
499,glatt::A,வழுவழுப்பான,smooth
500,hart::A,கடினமான,hard
501,weich::A,மென்மையான,soft
502,rund::A,உருண்டையான,round
503,spitz::A,திகந்தமாக,pointed
504,scharf::A,கூரான,sharp
505,stumpf::A,உளம் திறந்த,blunt
506,schwer::A,கனமான,heavy
507,schön::A,அழகான,beautiful
508,heiß::A,சூடான,hot
509,warm::A,இதமான,warm
510,kalt::A,குளிர்ச்சியான,cold
511,kühl::A,குளிர்ச்சியான,cool
512,frisch::A,சுத்தமான,fresh
513,feucht::A,ஈரமான,damp
514,nass::A,ஈரமான,wet
515,trocken::A,உலர்ந்த,dry
516,voll::A,நிரம்பிய,full
517,leer::A,காலியான,empty
518,offen::A,திறந்த,open
519,geschlossen::A,மூடப்பட்ட,closed
520,sauber::A,சுத்தமான,clean
521,schmutzig::A,அழக்கான,dirty
522,roh::A,கச்சா,raw
523,reif::A,பழுத்த,ripe
524,lecker::A,சுவைமிக்க,delicious
525,süß::A,இனிப்பான,sweet
526,bitter::A,கசப்பான,bitter
527,sauer::A,புளிப்பாக,sour
528,hell::A,பளபளப்பான,bright
529,dunkel::A,கருமையான,dark
530,schwarz::A,கருப்பு வண்ண,black
531,weiß::A,வெண்மையன,white
532,rot::A,சிவப்பு,red
533,gelb::A,மஞ்சள் வண்ணம்,yellow
534,blau::A,நீல வண்ண,blue
535,grün::A,பச்சை வண்ண,green
536,grau::A,சாம்பல் நிற,grey
537,bunt::A,வண்ண மயமான,colourful
538,bunt::A,வண்ண மயமான,colorful
539,billig::A,மலிவான,cheap
540,teuer::A,விலை அதிகமான,dear
541,wertvoll::A,மதிப்புள்ள,precious
542,blind::A,பார்வையற்ற,blind
543,taub::A,செவிடான,deaf
544,kräftig::A,வலிமையான,powerful
545,stark::A,பலமான,strong
546,schwach::A,பலவீனமான,weak
547,fett::A,பருமனாக,fat
548,schlank::A,ஒல்லியான,slim
549,hübsch::A,அழகிய,pretty
550,böse::A,கேடு விளைவிக்கும்,evil
551,dumm::A,முட்டாள்தனமான,stupid
552,faul::A,சோம்பலான,lazy
553,fleißig::A,ஊக்கந்தளராத,diligent
554,geizig::A,கஞேசத்தனமான,stingy
555,klug::A,சாதுரியமான,clever
556,geschickt::A,திறமையள்ள,skilful
557,geschickt::A,திறமையள்ள,skillful
558,lieb::A,அன்புக்குரிய,dear
559,lustig::A,களிப்புமிக்க,merry
560,sanft::A,சாதுவான,gentle
561,hungrig::A,பசியுடன்,hungry
562,krank::A,நோயுற்று,sick
563,nackt::A,ஆடையற்ற,naked
564,traurig::A,சோகமான,sad
565,lebendig::A,பிழைப்பு,living
566,gut::A,நல்ல,good
567,schlecht::A,கெட்ட,bad
568,richtig::A,சரியான,correct
569,schlimm::A,அருவருப்பான,nasty
570,wahr::A,உண்மையான,true
571,alt::A,பழைய,old
572,neu::A,புதிய,new
573,ehemalig::A,முன்நாள்,former
574,alt[Lebewesen]::A,வயதான,aged
575,jung::A,இளமையான,young
576,arm::A,ஏழ்மையான,poor
577,reich::A,செல்வம் படைத்த,rich
578,bekannt::A,பழக்கப்பட்ட,familiar
579,berühmt::A,புகழ்பெற்ற,famous
580,fremd::A,அயல் நாட்டு,foreign
581,verschieden::A,வித்தியாசமான,different
582,nah::A,பக்கத்தில் உள்ள,near
583,fern::A,தொலை தூரத்தில்,far
584,linker::A,மீந்திருக்கும்,left
585,rechter::A,வலதுபக்கம்,right
586,anderer::A,மற்ற,other
587,erster::A,முதனமையான,first
588,zweiter::A,இரண்டாவது,second
589,dritter::A,மூன்றாவது,third
590,letzter::A,கடைசி,last
591,allein::ADV,தனியாக,alone
592,auf einmal::ADV,தடீரென்று,at once
593,zusammen::ADV,சேர்ந்து,together
594,lange::ADV,அதிக நோம்,long
595,plötzlich::ADV,தடீரென்று,suddenly
596,sofort::ADV,உடனடியாக,instantly
597,später::ADV,பிறகு,later
598,jetzt::ADV,இப்பொழது,now
599,heute::ADV,இன்று,today
600,morgen::ADV,நாளைக்கு,tomorrow
601,bald::ADV,சீக்கிரம்,soon
602,dann::ADV,அப்பொழுது,then
603,gestern::ADV,நேற்று,yesterday
604,einst::ADV,ஒரே முறை,once
605,damals::ADV,அப்பொழுது,at that time
606,danach::ADV,பிற்பாடு,afterwards
607,vorher::ADV,முன்பாக,before
608,zuerst::ADV,முதலில்,at first
609,einmal::ADV,ஒரே முறை,once
610,manchmal::ADV,சில நேரங்களில்,sometimes
