,Concept_ID,br,hr
0,Auge::N,lagad,oko
1,Ohr::N,skouarn,uho
2,Nase::N,fri,nos
3,Mund::N,genoù,usta
4,Zahn::N,dant,zub
5,Zunge::N,teod,jezik
6,Lippe::N,muzell,usna
7,Wange::N,chot,obraz
8,Gesicht::N,dremm,lice
9,Stirn::N,tal,čelo
10,Haar::N,blev,kosa
11,Schnurrbart::N,mourenn,brkovi
12,Bart::N,barv,brada
13,Kinn::N,groñj,brada
14,Kinn::N,groñj,podbradak
15,Kiefer[Anatomie]::N,javed,čeljust
16,Kehle::N,gouzoug,grlo
17,Hals::N,gouzoug,vrat
18,Genick::N,choug,zatiljak
19,Kopf::N,penn,glava
20,Rücken::N,kein,leđa
21,Rücken::N,kein,hrbat
22,Bauch::N,kof,trbuh
23,Nabel::N,begel,pupak
24,Busen::N,bronn,sisa
25,Busen::N,bronn,njedra
26,Brust::N,bruched,prsa
27,Schulter::N,skoaz,rame
28,Schulter::N,skoaz,pleći
29,Arm::N,brec'h,ruka
30,Ellenbogen::N,ilin,lakat
31,Hand::N,dorn,ruka
32,Handfläche::N,palv,dlan
33,Finger::N,biz,prst
34,Fingernagel::N,ivin,nokat
35,Nagel[Anatomie]::N,ivin,nokat
36,Zeh::N,biz-troad,nozni prst
37,Fuß::N,troad,noga
38,Fuß::N,troad,stopalo
39,Ferse::N,seul,peta
40,Knie::N,glin,koljeno
41,Oberschenkel::N,morzhed,bedro
42,Bein::N,gar,noga
43,Körper::N,korf,tijelo
44,Haut::N,kroc'hen,put
45,Haut::N,kroc'hen,koža
46,Blut::N,gwad,krv
47,Ader::N,gwazhi,žila
48,Sehne::N,stir,tetiva
49,Knochen::N,askorn,kost
50,Gehirn::N,empenn,
51,Herz::N,kalon,srce
52,Magen::N,stomog,stomak
53,Magen::N,stomog,želudac
54,Leber::N,avu,jetra
55,Atem::N,anal,dah
56,Hunger::N,naon,glad
57,Träne::N,daer,suza
58,Geschmack::N,blaz,ukus
59,Geruch::N,c'hwezh,njuh
60,Geruch::N,c'hwezh,miris
61,Schlaf::N,kousked,san
62,Traum::N,hune,san
63,Himmel::N,oabl,nebo
64,Sonne::N,heol,sunce
65,Mond::N,loar,mjesec
66,Stern::N,steredenn,zvijezda
67,Luft::N,aer,zrak
68,Wind::N,avel,vjetar
69,Welle::N,houlenn,val
70,Welle::N,houlenn,talas
71,Wasser::N,dour,voda
72,Stein::N,maen,kamen
73,Boden::N,tachenn,tlo
74,Boden::N,tachenn,zemlja
75,Erde::N,douar,zemlja
76,Staub::N,poultr,prah
77,Staub::N,poultr,prašina
78,Rauch::N,moged,dim
79,Funke::N,ful,iskra
80,Funke::N,ful,varnica
81,Feuer::N,tan,vatra
82,Licht::N,gouloù,svjetlo
83,Schatten::N,disheol,hlad
84,Schatten::N,disheol,sjena
85,Wetter::N,amzer,vrijeme
86,Nebel::N,brumenn,magla
87,Wolke::N,koumoulenn,oblak
88,Regen::N,glav,kiša
89,Schnee::N,erc'h,snijeg
90,Eis::N,skorn,led
91,Frost::N,rev,mraz
92,Kälte::N,yen,studen
93,Kälte::N,yen,hladnoća
94,Hitze::N,tommder,vrućina
95,Raureif::N,frim,inje
96,Regenbogen::N,gwareg-ar-glav,duga
97,Donner::N,kurun,grom
98,Donner::N,kurun,grmljavina
99,Strömung::N,red,struja
100,Strömung::N,red,strujanje
101,Tropfen::N,bannac'h,kap
102,Tropfen::N,bannac'h,kaplja
103,Tropfen::N,takenn,kap
104,Tropfen::N,takenn,kaplja
105,Schaum::N,spoum,pjena
106,Schmutz::N,fank,nečistoća
107,Schmutz::N,fank,prljavština
108,See::N,lenn,jezero
109,Sumpf::N,gwern,bara
110,Moor::N,taouarc'heg,močvara
111,Wiese::N,prad,livada
112,Wald::N,koad,šuma
113,Hügel::N,torgenn,brijeg
114,Hügel::N,torgenn,brežuljak
115,Anhöhe::N,run,uzvišica
116,Berg::N,menez,brdo
117,Gipfel::N,barr,vrh
118,Höhle::N,kav,pećina
119,Höhle::N,kav,spilja
120,Abhang::N,naou,obronak
121,Abhang::N,naou,nizbrdica
122,Quelle::N,feunteun,izvor
123,Quelle::N,feunteun,vrelo
124,Bach::N,gwazh,potok
125,Fluss::N,stêr,rijeka
126,Ufer::N,ribl,obala
127,Küste::N,aod,obala
128,Küste::N,aod,morska obala
129,Festland::N,douar,kopno
130,Meer::N,mor,more
131,Bucht::N,mor-bihan,zaliv
132,Insel::N,enez,ada
133,Insel::N,enez,otok
134,Blume::N,bleunienn,cvijet
135,Gras::N,geot,trava
136,Wurzel::N,gwrizienn,korijen
137,Baum::N,gwezenn,drvo
138,Baum::N,gwezenn,stablo
139,Stamm::N,kef,deblo
140,Stamm::N,kef,stablo
141,Rinde::N,rusk,kora
142,Ast::N,barr,grana
143,Zweig::N,bod,grana
144,Blatt::N,delienn,list
145,Birke::N,bezvenn,breza
146,Kiefer[Baum]::N,pinenn,bor
147,Weide[Baum]::N,halegenn,iva
148,Weide[Baum]::N,halegenn,vŕba
149,Tanne::N,sapenn,jela
150,Horn::N,korn,rog
151,Feder::N,pluñv,pero
152,Fell::N,kreoñ,koža
153,Flügel::N,askell,krilo
154,Klaue::N,skilf,papak
155,Kralle::N,skilf,pandža
156,Schwanz::N,lost,rep
157,Ei::N,vi,jaje
158,Nest::N,neizh,gnijezdo
159,Bau::N,douarenn,jazbina
160,Tier::N,loen,životinja
161,Herde::N,tropell,krdo
162,Herde::N,tropell,stado
163,Kuh::N,buoc'h,krava
164,Bulle::N,tarv,bik
165,Pferd::N,marc'h,konj
166,Schaf::N,dañvad,ovca
167,Schwein::N,pemoc'h,svinja
168,Hund::N,ki,pas
169,Hund::N,ki,pseto
170,Katze::N,kazh,mačka
171,Bär::N,arzh,medvjed
172,Eichhörnchen::N,gwiñver,vjeverica
173,Elch::N,karv-dour,los
174,Fuchs::N,louarn,lisica
175,Hase::N,gad,zec
176,Maus::N,logodenn,miš
177,Wolf::N,bleiz,vuk
178,Wolf::N,bleiz,kurjak
179,Vogel::N,labous,ptica
180,Schwarm::N,nijad,roj
181,Schwarm::N,nijad,jato
182,Huhn::N,yar,kokoš
183,Hahn::N,kilhog,kokot
184,Hahn::N,kilhog,pijevac
185,Gans::N,gwazenn,guska
186,Adler::N,erer,orao
