,Concept_ID,mhr,bn
0,Auge::N,шинча́,চক্ষু
1,Ohr::N,пы́лыш,কর্ণ
2,Nase::N,нер,নাক
3,Mund::N,умша́,মুখ
4,Zahn::N,пӱй,দাঁত
5,Zunge::N,йы́лме,জিহবা
6,Lippe::N,тӱ́рвӧ,অধর
7,Wange::N,шӱ́ргӧ,গণ্ড
8,Gesicht::N,чури́й,মুখমণ্ডল
9,Stirn::N,саҥга́,কপাল
10,Haar::N,ӱп,চুল
11,Schnurrbart::N,ӧ́рыш,গোঁফ
12,Bart::N,понда́ш,শ্মশ্রু
13,Kinn::N,оҥыла́ш,চিবুক
14,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,চোয়াল
15,Kiefer[Anatomie]::N,пӱйората́,চোয়াল
16,Kehle::N,лога́р,কণ্ঠ
17,Hals::N,шӱй,গল
18,Genick::N,шӱйло́дыш,ঘাড়
19,Kopf::N,вуй,মাথা
20,Rücken::N,туп,পৃষ্ঠ
21,Bauch::N,мӱ́шкыр,উদর
22,Nabel::N,кы́лымде,নাভি
23,Busen::N,чы́зе,স্তন
24,Brust::N,оҥ,বুক
25,Schulter::N,ва́че,স্কন্ধ
26,Arm::N,кид,বাহু
27,Ellenbogen::N,кынерву́й,কনুই
28,Hand::N,кид,হাত
29,Hand::N,копа́,হাত
30,Handfläche::N,со́во,করতল
31,Finger::N,парня́,আঙ্গুল
32,Fingernagel::N,кидкӱ́ч,হাতের নখ
33,Fingernagel::N,парнягӱ́ч,হাতের নখ
34,Nagel[Anatomie]::N,кӱч,নখ
35,Zeh::N,йолварня́,আঙ্গুল
36,Fuß::N,йол,পা
37,Fuß::N,йолкопа́,পা
38,Ferse::N,тага́н,গোড়ালি
39,Knie::N,пулву́й,হাঁটু
40,Oberschenkel::N,э́рде,ঊরু
41,Bein::N,йол,পা
42,Körper::N,кап,দেহ
43,Haut::N,кова́ште,ত্বক
44,Blut::N,вӱр,রক্ত
45,Ader::N,шӧн,শিরা
46,Sehne::N,шӧн,কণ্ডরা
47,Sehne::N,кӱсе́н,কণ্ডরা
48,Knochen::N,лу,অস্থি
49,Gehirn::N,вем,মস্তিষ্ক
50,Gehirn::N,вуйве́м,মস্তিষ্ক
51,Herz::N,шӱм,হৃৎপিণ্ড
52,Magen::N,пага́р,পাকস্থলী
53,Leber::N,мокш,যকৃৎ
54,Atem::N,шӱ́лыш,শ্বাস
55,Hunger::N,шужыма́ш,ক্ষুধা
56,Träne::N,шинчавӱ́д,অশ্রু
57,Geschmack::N,там,স্বাদ
58,Geruch::N,пуш,গন্ধ
59,Schlaf::N,о́мо,ঘুম
60,Traum::N,йӱдо́мо,স্বপ্ন
61,Himmel::N,кава́,আকাশ
