,Concept_ID,lt,hy
0,Auge::N,akis,աչք
1,Ohr::N,ausis,ականջ
2,Nase::N,nosis,քիթ
3,Mund::N,burna,բերան
4,Zahn::N,dantis,ատամ
5,Zunge::N,liežuvis,լեզու
6,Lippe::N,lūpa,շրթունք
7,Wange::N,žandas,այտ
8,Wange::N,žandas,թուշ
9,Wange::N,skruostas,այտ
10,Wange::N,skruostas,թուշ
11,Gesicht::N,veidas,դեմք
12,Stirn::N,kakta,ճակատ
13,Haar::N,plaukai,մազ
14,Schnurrbart::N,ūsai,բեղ
15,Bart::N,barzda,մորուք
16,Kinn::N,smakras,կզակ
17,Kiefer[Anatomie]::N,žandikaulis,ծնոտ
18,Kehle::N,gerklė,կոկորդ
19,Hals::N,kaklas,վիզ
20,Hals::N,kaklas,պարանոց
21,Genick::N,sprandas,ծոծրակ
22,Kopf::N,galva,գլուխ
23,Rücken::N,nugara,մեջք
24,Bauch::N,pilvas,փոր
25,Bauch::N,pilvas,որովայն
26,Nabel::N,bamba,պորտ
27,Busen::N,krūtinė,ծոց
28,Brust::N,krūtis,կուրծք
29,Schulter::N,petys,ուս
30,Arm::N,ranka,թեւ
31,Arm::N,ranka,բազուկ
32,Ellenbogen::N,alkūnė,արմունկ
33,Hand::N,ranka,ձեռք
34,Hand::N,plaštaka,ձեռք
35,Handfläche::N,delnas,ափ
36,Handfläche::N,plaštaka,ափ
37,Finger::N,pirštas,մատ
38,Fingernagel::N,nagas,եղունգ
39,Nagel[Anatomie]::N,nagas,եղունգ
40,Zeh::N,pirštas,ոտքի մատ
41,Fuß::N,pėda,ոտք
42,Ferse::N,kulnas,գարշապար
43,Knie::N,kelis,ծունկ
44,Oberschenkel::N,kulšis,ազդր
45,Oberschenkel::N,šlaunis,ազդր
46,Bein::N,koja,ոտք
47,Körper::N,kūnas,մարմին
48,Haut::N,oda,մաշկ
49,Blut::N,kraujas,արյուն
50,Ader::N,kraujagyslė,երակ
51,Sehne::N,sausgyslė,ջիղ
52,Sehne::N,sausgyslė,ձգտան
53,Knochen::N,kaulas,ոսկոր
54,Gehirn::N,smegenys,խելք
55,Herz::N,širdis,սիրտ
56,Magen::N,skrandis,ստամոքս
57,Leber::N,kepenys,լյարդ
58,Atem::N,kvapas,շունչ
59,Hunger::N,badas,քաղց
60,Hunger::N,alkis,քաղց
61,Träne::N,ašara,արտասուք
62,Geschmack::N,skonis,համ
63,Geschmack::N,skonis,բուրմունք
64,Geruch::N,kvapas,հոտ
65,Geruch::N,kvapas,բուրում
66,Schlaf::N,miegas,քուն
67,Traum::N,sapnas,երազ
68,Himmel::N,dangus,երկինք
69,Sonne::N,saulė,արեւ
70,Mond::N,mėnulis,լուսին
