,Concept_ID,ba,uk
0,Auge::N,күҙ,око
1,Ohr::N,ҡолаҡ,вухо
2,Nase::N,танау,ніс
3,Mund::N,ауыҙ,рот
4,Zahn::N,теш,зуб
5,Zunge::N,тел,язик
6,Lippe::N,ирен,губа
7,Wange::N,яцаҡтар,щока
8,Gesicht::N,бит,обличчя
9,Stirn::N,маңлай,лоб
10,Haar::N,сәс,волосся
11,Schnurrbart::N,мылтыҡ,вуса
12,Bart::N,һаҡал,борода
13,Kinn::N,эйэк,підборіддя
14,Kiefer[Anatomie]::N,яңаҡ һөйәге,щелепа
15,Kehle::N,тамаҡ,горло
16,Hals::N,муйын,шия
17,Genick::N,соңҡа,потилиця
18,Kopf::N,баш,голова
19,Rücken::N,арҡа,спина
20,Bauch::N,ҡорһаҡ,живіт
21,Nabel::N,кендек,пупок
22,Busen::N,күкрәк,груди
23,Brust::N,түш,груди
24,Schulter::N,яурын,плече
25,Arm::N,ҡул,рука
26,Ellenbogen::N,терһәк,лікоть
27,Hand::N,ҡул,рука
28,Hand::N,ҡул суғы,рука
29,Handfläche::N,ус төбө,долоня
30,Finger::N,бармаҡ,палець
31,Fingernagel::N,тырнаҡ,ніготь
32,Nagel[Anatomie]::N,тырнаҡ,ніготь
33,Zeh::N,бармаҡ,палець на нозі
34,Fuß::N,табан,нога
35,Ferse::N,үксә,п’ятка
36,Knie::N,тубыҡ,коліно
37,Oberschenkel::N,сандыр,стегно
38,Bein::N,аяҡ,нога
39,Körper::N,тән,тіло
40,Haut::N,тире,шкіра
41,Blut::N,ҡан,кров
42,Ader::N,тамыр,вена
43,Sehne::N,һеңер,сухожилля
44,Sehne::N,тарамыш,сухожилля
45,Knochen::N,һойәк,кістка
46,Gehirn::N,мейе,мозок
47,Herz::N,йорәк,серце
48,Magen::N,ашҡаҙан,шлунок
49,Leber::N,бауыр,печінка
50,Atem::N,һулыш,дихання
51,Hunger::N,аслыҡ,голод
52,Träne::N,күҙ иәше,сльоза
53,Geschmack::N,тәм,смак
54,Geruch::N,еҫ,запах
55,Schlaf::N,йоҡлау,сон
56,Schlaf::N,йоҡлау,сплячка
57,Traum::N,төш,сон
58,Himmel::N,күк,небо
59,Sonne::N,ҡояш,сонце
60,Mond::N,ай,місяць
61,Stern::N,йондоҙ,зірка
62,Luft::N,һауа,повітря
63,Wind::N,ел,вітер
64,Welle::N,тулҡын,хвиля
65,Wasser::N,һыу,вода
66,Stein::N,таш,камінь
67,Boden::N,тупраҡ,ґрунт
68,Erde::N,балсҡ,земля
69,Staub::N,туҙан,пил
70,Rauch::N,төтөн,дим
71,Funke::N,осҡон,іскра
72,Feuer::N,ут,вогонь
73,Licht::N,яҡтылыҡ,світло
74,Schatten::N,күләгә,тінь
75,Wetter::N,һауа торошо,погода
76,Nebel::N,төман,туман
77,Wolke::N,болот,хмара
78,Regen::N,ямғыр,дощ
79,Schnee::N,ҡар,сніг
80,Eis::N,боҙ,лід
81,Frost::N,һалҡын,мороз
82,Kälte::N,һыуыҡ,холод
83,Hitze::N,томра,жар
84,Hitze::N,эҫелек,жар
85,Raureif::N,ҡырау,іній
86,Regenbogen::N,йәйғор,райдуга
87,Donner::N,күк күкрәү,грім
88,Strömung::N,ағым,струмина
89,Tropfen::N,тамсы,крапля
90,Schaum::N,күбек,піна
91,Schmutz::N,батҡаҡ,бруд
92,See::N,күл,озеро
93,Sumpf::N,һаҙлык,драговина
94,Moor::N,һаҙ,болото
95,Wiese::N,болон,луг
96,Wiese::N,болон,лука
97,Wald::N,урман,ліс
98,Hügel::N,түбә,горб
99,Anhöhe::N,түбә,височина
100,Anhöhe::N,ҡалҡыулыҡ,височина
101,Berg::N,тау,гора
102,Gipfel::N,түбә,вершина
103,Höhle::N,мәмерйә,печера
104,Abhang::N,ипкен,схил
105,Quelle::N,шишмә,джерело
106,Bach::N,шишмә,струмок
107,Fluss::N,йылға,річка
108,Ufer::N,яр,берег
109,Küste::N,яр буйы,узбережжя
110,Festland::N,ҡоро ер,суша
111,Meer::N,диңгез,море
112,Bucht::N,бухта,бухта
113,Bucht::N,бухта,затока
114,Insel::N,үтрау,острів
115,Blume::N,сәскә,квітка
116,Gras::N,үлән,трава
117,Wurzel::N,тамыр,корінь
118,Baum::N,ағас,дерево
119,Stamm::N,олон,стовбур
120,Stamm::N,көбәк,стовбур
121,Rinde::N,ҡабыҡ,кора
122,Ast::N,ботаҡ,гілка
123,Zweig::N,ботаҡ,галузь
124,Zweig::N,тармаҡ,галузь
125,Blatt::N,япраҡ,лист
126,Birke::N,ҡайын,береза
127,Kiefer[Baum]::N,ҡарғай,сосна
128,Weide[Baum]::N,тал,верба
129,Tanne::N,шыршы,ялиця
130,Horn::N,мөғөҙ,ріг
131,Feder::N,ҡауырһын,перо
132,Fell::N,тире,хутро
133,Flügel::N,ҡанат,крило
134,Klaue::N,тырнаҡ,кіготь
135,Kralle::N,аяҡ,лапа
136,Schwanz::N,ҡойроҡ,хвіст
137,Ei::N,йомортҡа,яйце
138,Nest::N,оя,гніздо
139,Bau::N,оң,лігво
140,Tier::N,жайуан,тварина
141,Tier::N,йыртҡыс,тварина
142,Herde::N,көтөү,стадо
143,Kuh::N,һыйыр,корова
144,Bulle::N,үгеҙ,бик
145,Bulle::N,үгеҙ,бугай
146,Pferd::N,ат,кінь
147,Schaf::N,һарыҡ,вівця
148,Schwein::N,сусҡа,свиня
149,Hund::N,эт,собака
150,Katze::N,бесәй,кішка
151,Bär::N,айыу,ведмідь
152,Eichhörnchen::N,тейен,білка
153,Elch::N,мышы,лось
154,Fuchs::N,төлкө,лисиця
