,Concept_ID,ba,mhr
0,Auge::N,күҙ,шинча́
1,Ohr::N,ҡолаҡ,пы́лыш
2,Nase::N,танау,нер
3,Mund::N,ауыҙ,умша́
4,Zahn::N,теш,пӱй
5,Zunge::N,тел,йы́лме
6,Lippe::N,ирен,тӱ́рвӧ
7,Wange::N,яцаҡтар,шӱ́ргӧ
8,Gesicht::N,бит,чури́й
9,Stirn::N,маңлай,саҥга́
10,Haar::N,сәс,ӱп
11,Schnurrbart::N,мылтыҡ,ӧ́рыш
12,Bart::N,һаҡал,понда́ш
13,Kinn::N,эйэк,оҥыла́ш
14,Kiefer[Anatomie]::N,яңаҡ һөйәге,пӱйдӱ́ҥ
15,Kiefer[Anatomie]::N,яңаҡ һөйәге,пӱйората́
16,Kehle::N,тамаҡ,лога́р
17,Hals::N,муйын,шӱй
18,Genick::N,соңҡа,шӱйло́дыш
19,Kopf::N,баш,вуй
20,Rücken::N,арҡа,туп
21,Bauch::N,ҡорһаҡ,мӱ́шкыр
22,Nabel::N,кендек,кы́лымде
23,Busen::N,күкрәк,чы́зе
24,Brust::N,түш,оҥ
25,Schulter::N,яурын,ва́че
26,Arm::N,ҡул,кид
27,Ellenbogen::N,терһәк,кынерву́й
28,Hand::N,ҡул,кид
29,Hand::N,ҡул,копа́
30,Hand::N,ҡул суғы,кид
31,Hand::N,ҡул суғы,копа́
32,Handfläche::N,ус төбө,со́во
33,Finger::N,бармаҡ,парня́
34,Fingernagel::N,тырнаҡ,кидкӱ́ч
35,Fingernagel::N,тырнаҡ,парнягӱ́ч
36,Nagel[Anatomie]::N,тырнаҡ,кӱч
37,Zeh::N,бармаҡ,йолварня́
38,Fuß::N,табан,йол
39,Fuß::N,табан,йолкопа́
40,Ferse::N,үксә,тага́н
41,Knie::N,тубыҡ,пулву́й
42,Oberschenkel::N,сандыр,э́рде
43,Bein::N,аяҡ,йол
44,Körper::N,тән,кап
45,Haut::N,тире,кова́ште
46,Blut::N,ҡан,вӱр
47,Ader::N,тамыр,шӧн
48,Sehne::N,һеңер,шӧн
49,Sehne::N,һеңер,кӱсе́н
50,Sehne::N,тарамыш,шӧн
51,Sehne::N,тарамыш,кӱсе́н
52,Knochen::N,һойәк,лу
53,Gehirn::N,мейе,вем
54,Gehirn::N,мейе,вуйве́м
55,Herz::N,йорәк,шӱм
56,Magen::N,ашҡаҙан,пага́р
57,Leber::N,бауыр,мокш
58,Atem::N,һулыш,шӱ́лыш
59,Hunger::N,аслыҡ,шужыма́ш
60,Träne::N,күҙ иәше,шинчавӱ́д
61,Geschmack::N,тәм,там
62,Geruch::N,еҫ,пуш
63,Schlaf::N,йоҡлау,о́мо
64,Traum::N,төш,йӱдо́мо
65,Himmel::N,күк,кава́
66,Sonne::N,ҡояш,ке́че
67,Mond::N,ай,ты́лзе
68,Stern::N,йондоҙ,шӱ́дыр
69,Luft::N,һауа,юж
70,Wind::N,ел,марде́ж
71,Welle::N,тулҡын,то́лкын
72,Wasser::N,һыу,вӱд
73,Stein::N,таш,кӱ
74,Boden::N,тупраҡ,рок
75,Erde::N,балсҡ,мла́нде
76,Staub::N,туҙан,пура́к
77,Rauch::N,төтөн,шикш
78,Funke::N,осҡон,сеске́м
79,Funke::N,осҡон,тулйы́п
80,Feuer::N,ут,тул
81,Licht::N,яҡтылыҡ,со́то
82,Schatten::N,күләгә,ӱ́мыл
83,Wetter::N,һауа торошо,иге́че
84,Nebel::N,төман,тӱтыра́
85,Wolke::N,болот,пыл
86,Regen::N,ямғыр,йӱр
87,Schnee::N,ҡар,лум
88,Eis::N,боҙ,ий
89,Frost::N,һалҡын,чатлама́
90,Kälte::N,һыуыҡ,йӱ́штӧ
91,Hitze::N,томра,шо́кшо
92,Hitze::N,эҫелек,шо́кшо
93,Raureif::N,ҡырау,пӧрш
94,Raureif::N,ҡырау,по́кшым
95,Regenbogen::N,йәйғор,шонанпы́л
96,Donner::N,күк күкрәү,кӱ́дырчӧ
97,Strömung::N,ағым,йо́гын
98,Tropfen::N,тамсы,чӱча́лтыш
99,Schaum::N,күбек,шоҥ
100,Schmutz::N,батҡаҡ,лавыра́
101,See::N,күл,ер
102,Sumpf::N,һаҙлык,лӱ́кӧ
103,Moor::N,һаҙ,куп
104,Wiese::N,болон,о́лык
105,Wald::N,урман,чодыра́
106,Hügel::N,түбә,арка́
107,Anhöhe::N,түбә,тӧва́
108,Anhöhe::N,түбә,кӱкшака́
109,Anhöhe::N,ҡалҡыулыҡ,тӧва́
110,Anhöhe::N,ҡалҡыулыҡ,кӱкшака́
111,Berg::N,тау,ку́рык
112,Gipfel::N,түбә,чаҥга́
113,Gipfel::N,түбә,курыкву́й
114,Höhle::N,мәмерйә,пеще́р
115,Höhle::N,мәмерйә,курыкпо́мыш
116,Abhang::N,ипкен,та́йыл
117,Quelle::N,шишмә,важ
118,Quelle::N,шишмә,вӱдшинча́
119,Bach::N,шишмә,изэҥе́р
120,Fluss::N,йылға,эҥе́р
121,Ufer::N,яр,сер
122,Küste::N,яр буйы,вӱдтӱ́р
123,Festland::N,ҡоро ер,мла́нде
124,Meer::N,диңгез,те́ҥыз
125,Bucht::N,бухта,икса́
126,Insel::N,үтрау,отро́
127,Blume::N,сәскә,пеле́дыш
128,Gras::N,үлән,шу́до
129,Wurzel::N,тамыр,вож
130,Baum::N,ағас,пуше́ҥге
131,Stamm::N,олон,йы́тыр
132,Stamm::N,көбәк,йы́тыр
133,Rinde::N,ҡабыҡ,шӱм
134,Ast::N,ботаҡ,укш
135,Zweig::N,ботаҡ,торма́к
136,Zweig::N,тармаҡ,торма́к
137,Blatt::N,япраҡ,лышта́ш
138,Birke::N,ҡайын,куэ́
139,Kiefer[Baum]::N,ҡарғай,пӱ́нчӧ
140,Weide[Baum]::N,тал,уа́
141,Tanne::N,шыршы,кож
142,Horn::N,мөғөҙ,шур
143,Feder::N,ҡауырһын,пы́стыл
144,Fell::N,тире,кова́ште
145,Flügel::N,ҡанат,шу́лдыр
146,Klaue::N,тырнаҡ,кӱч
147,Kralle::N,аяҡ,ла́па
148,Kralle::N,аяҡ,копа́
149,Schwanz::N,ҡойроҡ,поч
150,Ei::N,йомортҡа,му́но
151,Nest::N,оя,пыжа́ш
152,Bau::N,оң,пыжа́ш
153,Tier::N,жайуан,я́нлык
154,Tier::N,жайуан,живо́тный
155,Tier::N,йыртҡыс,я́нлык
156,Tier::N,йыртҡыс,живо́тный
157,Herde::N,көтөү,кӱ́тӱ
158,Herde::N,көтөү,тӱшка́
159,Kuh::N,һыйыр,ушка́л
160,Bulle::N,үгеҙ,ӱ́шкыж
161,Pferd::N,ат,и́мне
162,Schaf::N,һарыҡ,шо́рык
163,Schwein::N,сусҡа,сӧсна́
164,Hund::N,эт,пий
165,Katze::N,бесәй,пы́рыс
166,Bär::N,айыу,маска́
167,Eichhörnchen::N,тейен,ур
168,Elch::N,мышы,шо́рдо
169,Fuchs::N,төлкө,ры́выж
170,Hase::N,ҡуян,мера́ҥ
171,Maus::N,сысҡан,коля́
172,Wolf::N,бүре,пи́ре
173,Vogel::N,ҡош,ка́йык
174,Schwarm::N,көтөү,каша́к
175,Huhn::N,тауыҡ,чы́ве
176,Hahn::N,әтәс,агыта́н
177,Gans::N,ҡаҙ,ко́мбо
178,Adler::N,бөркөт,карагу́ш
179,Ente::N,өйрәк,лу́до
180,Eule::N,өкө,тумна́
181,Eule::N,ябалаҡ,тумна́
182,Kranich::N,торна,турня́
183,Krähe::N,ҡарға,кора́к
184,Kuckuck::N,кәкүк,куку́
185,Schwan::N,аҡҡош,йӱ́ксӧ
186,Fisch::N,балыҡ,кол
187,Barsch::N,алабуға,ола́ҥге
188,Hecht::N,суртан,нуж
189,Hecht::N,суртан,чорта́н
190,Schlange[Tier]::N,йылан,ки́шке
191,Wurm::N,селяүсен,шукш
192,Spinne::N,үрмәксе,эҥыре́мыш
193,Ameise::N,ҡырмыҫҡа,ку́тко
194,Laus::N,бет,тий
195,Mücke::N,серәкәй,шыҥа́
196,Fliege::N,себен,ка́рме
197,Schmetterling::N,күбәләк,лы́ве
198,Beere::N,еләк,мӧр
199,Apfel::N,алма,олма́
200,Pilz::N,бәшмәк,по́ҥго
201,Zwiebel::N,һуган,шога́н
202,Saat::N,орлоҡ,нӧ́шмӧ
203,Saat::N,орлоҡ,туш
204,Korn::N,иген,шу́рно
205,Heu::N,бесән,шу́до
206,Schale::N,ҡабыҡ,шӱм
207,Grube::N,соҡор,выне́м
208,Falle::N,тоҙак,лӧ́дӧ
209,Falle::N,ҡапҡан,лӧ́дӧ
210,Schlinge::N,тоҙак,о́птыш
211,Schlinge::N,тоҙак,шӧрга́лтыш
212,Spur::N,әҫер,кыша́
213,Asche::N,көл,ло́мыж
214,Dreck::N,батҡаҡ,лавыра́
215,Eisen::N,тимер,кӱ́ртньӧ
216,Gold::N,алтын,шӧ́ртньӧ
217,Silber::N,көмөш,ший
218,Kohle::N,күмер,мландышӱ́й
219,Glas::N,быяла,янда́
220,Lehm::N,балсыҡ,шун
221,Sand::N,ҡом,ошма́
222,Mensch::N,кеше,еҥ
223,Mensch::N,кеше,айде́ме
224,Mann::N,ир,пӧръе́ҥ
225,Frau::N,ҡатын,ӱдырама́ш
226,Kind::N,бала,аза́
227,Junge::N,малай,рве́зе
228,Mädchen::N,ҡыҙ,ӱдыра́ш
229,Mädchen::N,ҡыҙыҡай,ӱдыра́ш
230,Familie::N,ғаилә,еш
231,Großvater::N,олатай,коча́
232,Großmutter::N,әбәй,кова́
233,Eltern::N,ата-әсә,ача́-ава́
234,Vater::N,атай,ача́
235,Mutter::N,әсә,ава́
236,Sohn::N,ул,э́рге
237,Tochter::N,ҡыҙ,ӱ́дыр
238,Bruder::N,агай,иза́
239,Bruder::N,агай,шо́льо
240,Schwester::N,алай,ака́
241,Schwester::N,һеңле,ака́
242,Onkel::N,ағай,иза́
243,Tante::N,апай,кока́
244,Ehemann::N,ир,мари́й
245,Ehefrau::N,ҡатын,ва́те
246,Freude::N,шатлыҡ,куа́н
247,Freude::N,шатлыҡ,куаныма́ш
248,Freude::N,ҡыуаныс,куа́н
249,Freude::N,ҡыуаныс,куаныма́ш
250,Gelächter::N,көлөү,во́штылтыш
251,Glück::N,бәхет,пиа́л
252,Kummer::N,ҡайғы,о́йго
253,Wunsch::N,теләк,ку́мыл
254,Lust::N,әүәҫлек,ку́мыл
255,Geist::N,аң,ӧрт
256,Geist::N,аң,чон
257,Geist::N,рух,ӧрт
258,Geist::N,рух,чон
259,Gedanke::N,уй,ой
260,Gedanke::N,уй,шоныма́ш
261,Gedanke::N,фекер,ой
262,Gedanke::N,фекер,шоныма́ш
263,Gedächtnis::N,хәтер,шарныма́ш
264,Verstand::N,аҡыл,уш
265,Sinn::N,мәғәня,смысл
266,Grund::N,сәбәп,ама́л
267,Wahrheit::N,дөрөҫлөк,чын
268,Gespräch::N,әңгәмә,мутланыма́ш
269,Märchen::N,әкиәт,йома́к
270,Erzählung::N,хикәйә,ойлыма́ш
271,Nachricht::N,хәбәр,увертарыма́ш
272,Neuigkeit::N,яңылыҡ,уве́р
273,Name::N,исем,лӱм
274,Rätsel::N,йомаҡ,ту́што
275,Rede::N,телмәр,ойлыма́ш
276,Sprache::N,тел,йы́лме
277,Sprache::N,телмәр,йы́лме
278,Stimme::N,тауыш,йӱк
279,Wort::N,һүҙ,ой
280,Wort::N,һүҙ,мут
281,Zeichen::N,билдә,ти́ште
282,Zeichen::N,билдә,знак
283,Ruf::N,саҡырыу,ӱжма́ш
284,Lärm::N,шаулау,лӱшкыма́ш
285,Lärm::N,шаулау,йӱк-йӱа́н
286,Laut::N,тауыш,йӱк
287,Ton::N,яңғырау,йӱксе́м
288,Lied::N,йыр,му́ро
289,Ruhe::N,ял,ты́мык
290,Ruhe::N,тыныслыҡ,ты́мык
291,Leute::N,кешеләр,еҥ-влак
292,Volk::N,халҡ,ка́лык
293,Arbeit::N,эш,паша́
294,Gast::N,ҡунаҡ,уна́
295,Geschenk::N,бүләк,пӧле́к
296,Spiel::N,уйын,мо́дыш
297,Spiel::N,уйын,модма́ш
298,Gesellschaft::N,йәмғиәт,тӱшка́
299,Hilfe::N,ярҙам,по́лыш
300,Freund::N,дуҫ,таҥ
301,Freund::N,дуҫ,йолта́ш
302,Kamerad::N,иптәш,таҥ
303,Angelegenheit::N,әш,паша́
304,Anzahl::N,һан,чот
305,Art::N,төр,вид
306,Stück::N,киҫәк,ка́тыш
307,Stück::N,киҫәк,ла́стык
308,Teil::N,өлөш,ужа́ш
309,Hälfte::N,ярты,пел
310,Hälfte::N,ярты,пе́ле
311,Kreis::N,түңәрәк,ты́ртыш
312,Kreuz::N,тәре,ыре́с
313,Linie::N,һыҙыҡ,ли́ний
314,Strich::N,һыҙат,коре́ш
315,Abstand::N,ара,кокла́
316,Entfernung::N,алыҫлыҡ,тора́
317,Entfernung::N,алыҫлыҡ,ку́жыт
318,Gegend::N,урын,кунде́м
319,Platz::N,арауыҡ,ку́мдык
320,Ort::N,ерҙәр,вер
321,Ort::N,ерҙәр,о́лмо
322,Ort::N,урындар,вер
323,Ort::N,урындар,о́лмо
324,Ort::N,эш урыны,вер
325,Ort::N,эш урыны,о́лмо
