,Concept_ID,vep,da
0,Auge::N,sil'm,øje
1,Ohr::N,korv,øre
2,Nase::N,nena,næse
3,Mund::N,su,mund
4,Zahn::N,pi,tand
5,Zahn::N,hambaz,tand
6,Zunge::N,kel',tunge
7,Lippe::N,hul',læbe
8,Wange::N,modpolišk,kind
9,Gesicht::N,mod,ansigt
10,Stirn::N,oc,pande
11,Haar::N,tuk,hår
12,Haar::N,hibuz,hår
13,Schnurrbart::N,habinod,overskæg
14,Bart::N,bard,skæg
15,Kinn::N,löug,hage
16,Kiefer[Anatomie]::N,hambazlu,kæbe
17,Kehle::N,kurk,strube
18,Hals::N,kagl,hals
19,Genick::N,tagarai,nakke
20,Kopf::N,pä,hoved
21,Rücken::N,sel'g,ryg
22,Bauch::N,vac,mave
23,Bauch::N,koht,mave
24,Nabel::N,naba,navle
25,Busen::N,niža,barm
26,Brust::N,rind,bryst
27,Schulter::N,oug,skulder
28,Arm::N,käzi,arm
29,Ellenbogen::N,künambruz,albue
30,Hand::N,käzi,hånd
31,Hand::N,käzitera,hånd
32,Handfläche::N,kämen,håndflade
33,Finger::N,sor'm,finger
34,Fingernagel::N,künz',fingernegl
35,Nagel[Anatomie]::N,künz',negl
36,Zeh::N,barbaz,tå
37,Fuß::N,jaug,fod
38,Ferse::N,kand,hæl
39,Knie::N,komb,knæ
40,Knie::N,pol'v,knæ
41,Oberschenkel::N,riiže,lår
42,Bein::N,jaug,ben
43,Körper::N,hibj,krop
44,Körper::N,hibj,legeme
45,Haut::N,nahk,hud
46,Blut::N,čak,blod
47,Blut::N,veri,blod
48,Ader::N,son',åre
49,Sehne::N,jände,sene
50,Knochen::N,lu,ben
51,Gehirn::N,aivod,hjerne
52,Herz::N,südäin,hjerte
53,Magen::N,südäikoht,mave
54,Leber::N,maks,lever
55,Atem::N,hengaiduz,ånde
56,Hunger::N,näl'g,sult
57,Träne::N,kündal',tåre
58,Geschmack::N,magu,smag
59,Geruch::N,haju,lugt
60,Schlaf::N,uni,søvn
61,Traum::N,unikuva,drøm
62,Himmel::N,taivaz,himmel
63,Sonne::N,päiväine,sol
64,Mond::N,kudmaine,måne
65,Stern::N,tähtaz,stjerne
66,Luft::N,il'm,luft
67,Wind::N,döl,vind
68,Wind::N,tullei,vind
69,Welle::N,ald,bølge
70,Welle::N,laineh,bølge
71,Wasser::N,vezi,vand
72,Stein::N,kivi,sten
73,Boden::N,ma,jord
74,Boden::N,pohj,jord
75,Erde::N,ma,jord
76,Staub::N,pölü,støv
77,Rauch::N,savu,røg
78,Funke::N,kibin,gnist
79,Feuer::N,lämoi,ild
80,Licht::N,vauktuz,lys
81,Schatten::N,pil'vez,skygge
