,Concept_ID,fa,ps
0,Auge::N,چشم,سترګه
1,Ohr::N,گوش,غوږ
2,Nase::N,بینی,پوزه
3,Mund::N,دهان,خوله
4,Zahn::N,دندان,غاښ
5,Zunge::N,زبان,جبه
6,Lippe::N,لب,شونډه
7,Wange::N,لپ,باړخو
8,Gesicht::N,رو,مخ
9,Gesicht::N,چهره,مخ
10,Stirn::N,پیشانی,تندی
11,Stirn::N,پیشانی,وچولی
12,Haar::N,مو,وېښته
13,Schnurrbart::N,سبیل,برېت
14,Bart::N,ریش,ږیره
15,Kinn::N,چانه,زنه
16,Kiefer[Anatomie]::N,فک,جامه
17,Kiefer[Anatomie]::N,آرواره,جامه
18,Kehle::N,حلق,غاړه
19,Hals::N,گردن,غاړه
20,Genick::N,پشت گردن,ورمېږ
21,Kopf::N,سر,سر
22,Kopf::N,کله,سر
23,Rücken::N,پشت,شا
24,Bauch::N,شکم,نس
25,Bauch::N,شکم,ګېډه
26,Nabel::N,ناف,نوم
27,Busen::N,پستان,تی
28,Brust::N,سینه,سینه
29,Schulter::N,دوش,اوږه
30,Schulter::N,شانه,اوږه
31,Arm::N,بازو,لاس
32,Ellenbogen::N,آرنج,څنګل
33,Hand::N,دست,لاس
34,Handfläche::N,کف دست,ورغوی
35,Finger::N,انگشت,ګوته
36,Fingernagel::N,ناخن دست,نوک
37,Nagel[Anatomie]::N,ناخن,نوک
38,Zeh::N,انگشت پا,ګوته
39,Fuß::N,پا,پښه
40,Ferse::N,پاشنه,پونده
41,Knie::N,زانو,زنګون
42,Oberschenkel::N,ران,پتون
43,Bein::N,پا,پښه
44,Bein::N,لنگ,پښه
45,Körper::N,تن,ځان
46,Körper::N,بدن,ځان
47,Haut::N,پوست,پوټکی
48,Blut::N,خون,وینه
49,Ader::N,رگ,رګ
50,Sehne::N,زردپی,پله
51,Knochen::N,استخوان,هډوکی
52,Gehirn::N,مخ,ماغزه
53,Gehirn::N,مغز,ماغزه
54,Herz::N,دل,زړه
55,Herz::N,قلب,زړه
56,Magen::N,معده,معده
57,Leber::N,کبد,ينه
58,Leber::N,کبد,ځیګر
59,Atem::N,نفس,نفس
60,Hunger::N,گرسنگی,ولږه
61,Träne::N,اشک,اوښکه
62,Geschmack::N,مزه,مزه
63,Geschmack::N,مزه,خوند
64,Geruch::N,بو,بوی
65,Schlaf::N,خواب,خوب
66,Traum::N,رؤیا,خوب
67,Himmel::N,فلک,اسمان
68,Himmel::N,آسمان,اسمان
69,Sonne::N,آفتاب,لمر
70,Sonne::N,خورشید,لمر
71,Mond::N,ماه,سپوږمۍ
72,Stern::N,ستاره,ستوری
73,Luft::N,هوا,هوا
74,Wind::N,باد,ورښ
75,Welle::N,موج,موج
76,Wasser::N,آب,اوبه
77,Stein::N,سنگ,ډبره
78,Boden::N,زمین,مځکه
79,Erde::N,خاک,خاوره
80,Erde::N,زمین,خاوره
81,Staub::N,گرد,ګرد
82,Staub::N,گرد,خاوره
83,Staub::N,غبار,ګرد
84,Staub::N,غبار,خاوره
85,Rauch::N,دود,دود
86,Rauch::N,دود,لوګی
87,Funke::N,جرقه,سپرغۍ
88,Feuer::N,آتش,اور
89,Licht::N,نور,رڼا
90,Licht::N,روشنی,رڼا
91,Schatten::N,سایه,سیوری
92,Wetter::N,هوا,هوا
93,Nebel::N,مه,لړه
94,Wolke::N,ابر,ورېځ
95,Regen::N,باران,وریا
96,Regen::N,باران,باران
97,Schnee::N,برف,واوره
98,Eis::N,یخ,یخ
99,Eis::N,یخ,کنګل
100,Frost::N,یخبندان,یخ
101,Kälte::N,سرما,ساړه
102,Hitze::N,گرما,تودوخي
103,Hitze::N,حرارت,تودوخي
104,Raureif::N,برف ریزه,سپینه پرخه
105,Regenbogen::N,رنگین‌کمان,بوډۍ ټال
106,Regenbogen::N,رنگین‌کمان,سره زرغونه
107,Donner::N,رعد,تالنده
108,Strömung::N,جریان,بهېدنه
109,Tropfen::N,قطره,قطره
110,Tropfen::N,قطره,څاڅکی
111,Schaum::N,کف,ځګ
112,Schmutz::N,گل,ناپاکي
113,Schmutz::N,کثافت,ناپاکي
114,See::N,دریاچه,جهیل
115,Sumpf::N,مرداب,جبه
116,Sumpf::N,باتلاق,جبه
117,Moor::N,باتلاق,جبه
118,Wiese::N,چمن,چمن
119,Wiese::N,چمن,شنېلی
120,Wald::N,جنگل,ځنګل
121,Hügel::N,تل,تپه
122,Hügel::N,تپه,تپه
123,Anhöhe::N,بلندی,غونډۍ
124,Berg::N,کوه,غ‍‍‍‍‍ر
125,Gipfel::N,قله,څوکه
126,Höhle::N,غار,کاز
127,Abhang::N,سرازیری,لمن
128,Quelle::N,چشمه,چینه
129,Bach::N,نهر,واله
130,Fluss::N,رود,سیند
131,Ufer::N,ساحل,غاړه
132,Ufer::N,کرانه,غاړه
133,Küste::N,ساحل,ساحل
134,Festland::N,خشکی,وچه
135,Meer::N,دریا,بحر
136,Meer::N,دریا,سمندر
137,Bucht::N,خلیج,کارۍ
138,Insel::N,جزیره,ټاپو
139,Insel::N,جزیره,جزيره
140,Blume::N,گل,ګل
141,Gras::N,علف,واښه
142,Wurzel::N,ریشه,ریښه
143,Baum::N,درخت,ونه
144,Stamm::N,تنه,ډډ
145,Rinde::N,توژ,پوستکی
146,Rinde::N,پوست,پوستکی
147,Ast::N,شاخه,ښاخ
148,Zweig::N,شاخه,څانګه
149,Blatt::N,برگ,پاڼه
150,Birke::N,غان,توس
151,Kiefer[Baum]::N,کاج,نښتر
152,Weide[Baum]::N,بید,وله
153,Tanne::N,صنوبر,ناجو
154,Horn::N,شاخ,ښکر
155,Feder::N,پر,بڼکه
156,Fell::N,خز,پوستکی
157,Flügel::N,پر,وزر
158,Flügel::N,بال,وزر
159,Klaue::N,چنگ,پنجه
160,Klaue::N,چنگ,منګول
161,Klaue::N,پنجه,پنجه
162,Klaue::N,پنجه,منګول
163,Kralle::N,پنجه,پنجه
164,Kralle::N,پنجه,منګول
165,Schwanz::N,دم,لکۍ
166,Ei::N,تخم,وۍ
167,Ei::N,تخم,هګۍ
168,Nest::N,لانه,جاله
169,Bau::N,بنا,کاز
170,Bau::N,ساختمان,کاز
171,Tier::N,هیوان,ژوی
172,Tier::N,هیوان,حیوان
173,Herde::N,رمه,رمه
174,Herde::N,رمه,غېله
