,Concept_ID,kn,ady
0,Auge::N,ಕಣ್ಣು,нэ
1,Ohr::N,ಕಿವಿ,тхьакӏу́м
2,Nase::N,ಮೂಗು,пэ
3,Mund::N,ಬಾಯಿ,жэ
4,Zahn::N,ಹಲ್ಲು,цэ
5,Zunge::N,ನಾಲಿಗೆ,бзэгу
6,Lippe::N,ತುಟಿ,ӏупшӏэ́
7,Wange::N,ಗಲ್ಲ,нэкӏу́шъу
8,Gesicht::N,ಮುಖ,нэ́гу
9,Stirn::N,ಹಣೆ,натӏэ́
10,Haar::N,ಕೂದಲು,шъхьацы́
11,Schnurrbart::N,ಮೀಸೆ,
12,Bart::N,ಗಡ್ಡ,жакӏэ́
13,Kinn::N,ಗದ್ದ,жэкӏэпэпкъ
14,Kiefer[Anatomie]::N,ದವಡೆ,жэпкъы́
15,Kehle::N,ಗಂಟಲು,чый
16,Hals::N,ಕೊರಳು,пшъэ
17,Genick::N,ಹಿಂಗತ್ತು,шъхьэпхэтыку
18,Kopf::N,ತಲೆ,шъхьэ́
19,Rücken::N,ಬೆನ್ನು,кӏыбы́
20,Bauch::N,ಹೊಟ್ಟೆ,ныбэ́
21,Nabel::N,ಹೊಕ್ಕುಳು,
22,Busen::N,ಸ್ತನ,бгъэ́
23,Brust::N,ಎದೆ,бгъэ́
24,Schulter::N,ಭುಜ,блыпкъ
25,Arm::N,ತೋಳು,ӏэ
26,Ellenbogen::N,ಮೊಣಕೈ,ӏэнтэ́гъу
27,Hand::N,ಕೈ,ӏэтхьэцу
28,Handfläche::N,ಅಂಗೈ,ӏэ́гу
29,Finger::N,ಕೈಬೆರಳು,ӏэхъуа́мб
30,Fingernagel::N,ಉಗುರು,ӏэбжъа́н
31,Nagel[Anatomie]::N,ಉಗುರು,ӏэбжъа́н
32,Zeh::N,ಕಾಲ್ಬೆರಳು,ӏэхъуа́мб
33,Fuß::N,ಪಾದ,лъэгу
34,Ferse::N,ಹಿಮ್ಮಡಿ,лъэдакъэ
35,Knie::N,ಮಂಡಿ,лъагуа́ндж
36,Oberschenkel::N,ತೊಡೆ,ко
37,Bein::N,ಕಾಲು,лъакъо́
38,Körper::N,ದೇಹ,пкъышъол
39,Haut::N,ಚರ್ಮ,кӏы́шъу
40,Blut::N,ರಕ್ತ,лъы
41,Ader::N,ನರ,льытф
42,Sehne::N,ನರ,фэ
43,Knochen::N,ಮೂಳೆ,къупшъхьэ́
44,Gehirn::N,ಮಿದುಳು,куцӏы
45,Herz::N,ಹೃದಯ,гу
46,Magen::N,ಉದರ,мышкӏу
47,Leber::N,ಯಕೃತ್ತು,шӏу
48,Atem::N,ಉಸಿರು,къэщэныр
49,Hunger::N,ಹಸಿವು,гъаблэ́
50,Träne::N,ಕಣ್ಣೀರು,нэпсы
51,Geschmack::N,ರುಚಿ,ӏэшӏугъа́кӏ
52,Geruch::N,ವಾಸನೆ,мэ
53,Schlaf::N,ನಿದ್ರೆ,пчыхьы́пӏ
54,Traum::N,ಕನಸು,пчыхьы́пӏ
55,Himmel::N,ಬಾನು,уашъо́
56,Sonne::N,ಸೂರ್ಯ,тыгъэ
57,Mond::N,ಚಂದ್ರ,мазэ
58,Stern::N,ಚುಕ್ಕಿ,жъуагъо́
