,Concept_ID,hu,la
0,Auge::N,szem,oculus
1,Ohr::N,fül,auris
2,Nase::N,orr,nasus
3,Mund::N,száj,os
4,Zahn::N,fog,dens
5,Zunge::N,nyelv,lingua
6,Lippe::N,ajak,labrum
7,Wange::N,orca,gena
8,Gesicht::N,arc,vultus
9,Stirn::N,homlok,frons
10,Haar::N,haj,capillus
11,Schnurrbart::N,bajusz,barba labri superioris
12,Bart::N,szakáll,barba
13,Kinn::N,áll,mentum
14,Kiefer[Anatomie]::N,állkapocs,mala
15,Kehle::N,gége,iugulums
16,Kehle::N,torok,iugulums
17,Hals::N,nyak,collum
18,Genick::N,tarkó,cervices
19,Kopf::N,fő,caput
20,Kopf::N,fej,caput
21,Rücken::N,hát,tergum
22,Bauch::N,has,venter
23,Nabel::N,köldök,umbilicus
24,Busen::N,mell,sinus
25,Busen::N,kebel,sinus
26,Brust::N,mell,pectus
27,Schulter::N,váll,umerus
28,Arm::N,kar,bracchium
29,Ellenbogen::N,könyök,cubitum
30,Hand::N,kéz,manus
31,Handfläche::N,tenyér,palma
32,Finger::N,ujj,digitus
33,Fingernagel::N,köröm,unguiculus
34,Nagel[Anatomie]::N,köröm,unguis
35,Zeh::N,lábujj,digitus
36,Fuß::N,láb,pes
37,Ferse::N,sarok,calx
38,Knie::N,térd,genu
39,Oberschenkel::N,comb,femur
40,Bein::N,láb,crus
41,Bein::N,lábszár,crus
42,Körper::N,test,corpus
43,Haut::N,bőr,cutis
44,Haut::N,bőr,pellis
45,Blut::N,vér,sanguis
46,Ader::N,ér,vena
47,Sehne::N,ín,nervus
48,Knochen::N,csont,os
49,Gehirn::N,agy,cerebrum
50,Gehirn::N,agyvelő,cerebrum
51,Herz::N,szív,cor
52,Herz::N,szív,animus
53,Magen::N,gyomor,stomachus
54,Leber::N,máj,iecur
55,Atem::N,lehelet,spiritus
56,Atem::N,lélegzet,spiritus
57,Hunger::N,éhség,fames
58,Träne::N,könny,lacrima
59,Geschmack::N,íz,sapor
60,Geschmack::N,íz,gustus
61,Geruch::N,szag,odor
62,Schlaf::N,álom,somnus
63,Schlaf::N,alvás,somnus
64,Traum::N,álom,somnium
65,Himmel::N,ég,caelum
66,Himmel::N,menny,caelum
67,Sonne::N,nap,sol
68,Mond::N,hold,luna
69,Stern::N,csillag,sidus
70,Stern::N,csillag,stella
71,Luft::N,levegő,aer
72,Wind::N,szél,ventus
73,Welle::N,hullám,unda
74,Wasser::N,víz,aqua
75,Stein::N,kő,lapis
76,Boden::N,föld,solum
77,Boden::N,talaj,solum
78,Erde::N,föld,terra
79,Staub::N,por,pulvis
80,Rauch::N,füst,fumus
81,Funke::N,szikra,scintilla
82,Feuer::N,tűz,ignis
83,Licht::N,fény,lux
84,Licht::N,fény,lumen
85,Schatten::N,árnyék,umbra
86,Wetter::N,idő,caelum
87,Wetter::N,idő,tempestas
88,Wetter::N,időjárás,caelum
89,Wetter::N,időjárás,tempestas
90,Nebel::N,köd,nebula
91,Wolke::N,felhő,nubes
92,Regen::N,eső,imber
93,Regen::N,eső,pluvia
94,Schnee::N,hó,nix
95,Eis::N,jég,glacies
96,Frost::N,fagy,gelu
97,Kälte::N,hideg,frigus
98,Hitze::N,hő,calor
99,Hitze::N,hő,aestus
100,Hitze::N,hőség,calor
101,Hitze::N,hőség,aestus
102,Raureif::N,zúzmara,pruina
103,Regenbogen::N,szivárvány,arcus
104,Donner::N,dörgés,tonitrus
105,Donner::N,mennydörgés,tonitrus
106,Strömung::N,áramlat,fluctus
107,Tropfen::N,csepp,gutta
108,Schaum::N,hab,spuma
109,Schaum::N,tajték,spuma
110,Schmutz::N,piszok,sordes
111,Schmutz::N,piszok,squalor
112,See::N,tó,lacus
113,Sumpf::N,mocsár,palus
114,Moor::N,láp,palus
115,Wiese::N,rét,pratum
116,Wiese::N,mező,pratum
117,Wald::N,erdő,silva
118,Hügel::N,domb,collis
119,Anhöhe::N,magaslat,specula
120,Berg::N,hegy,mons
121,Gipfel::N,csúcs,vertex
122,Höhle::N,barlang,caverna
123,Höhle::N,barlang,spelunca
124,Abhang::N,lejtő,declivum
125,Quelle::N,forrás,fons
126,Bach::N,patak,rivus
127,Fluss::N,folyó,flumen
128,Ufer::N,part,ripa
129,Küste::N,tengerpart,litus
130,Festland::N,szárazföld,continens
131,Meer::N,tenger,mare
132,Bucht::N,öböl,sinus
133,Insel::N,sziget,insula
134,Blume::N,virág,flos
135,Gras::N,fű,herba
136,Gras::N,fű,gramen
137,Wurzel::N,gyökér,radix
138,Baum::N,fa,arbor
139,Stamm::N,tő,truncus
140,Stamm::N,törzs,truncus
141,Rinde::N,kéreg,cortex
142,Ast::N,ág,ramus
143,Zweig::N,gally,ramus
144,Blatt::N,levél,folium
145,Birke::N,nyír,betulla
146,Kiefer[Baum]::N,fenyő,pinus
147,Weide[Baum]::N,fűz,salix
148,Tanne::N,fenyő,abies
149,Horn::N,szarv,cornu
150,Feder::N,toll,penna
151,Fell::N,szőr,pellis
152,Fell::N,bunda,pellis
153,Flügel::N,szárny,ala
154,Klaue::N,köröm,unguis
155,Kralle::N,karom,unguis
156,Schwanz::N,farok,cauda
157,Ei::N,tojás,ovum
158,Nest::N,fészek,nidus
159,Bau::N,odú,cavum
160,Bau::N,odú,latibulum
161,Tier::N,állat,bestia
162,Herde::N,nyáj,grex
163,Herde::N,csorda,grex
164,Kuh::N,tehén,vacca
165,Bulle::N,bika,taurus
166,Pferd::N,ló,equus
167,Schaf::N,juh,ovis
168,Schaf::N,birka,ovis
169,Schwein::N,sertés,sus
170,Schwein::N,sertés,porcus
171,Hund::N,eb,canis
172,Hund::N,kutya,canis
173,Katze::N,macska,felis
174,Bär::N,medve,ursus
175,Eichhörnchen::N,mókus,sciurus
176,Elch::N,jávorszarvas,alces
177,Fuchs::N,róka,vulpes
178,Hase::N,nyúl,lepus
179,Maus::N,egér,mus
180,Wolf::N,farkas,lupus
181,Vogel::N,madár,avis
182,Schwarm::N,raj,examen
183,Huhn::N,tyúk,gallina
184,Hahn::N,kakas,gallus
185,Gans::N,lúd,anser
186,Gans::N,liba,anser
187,Adler::N,sas,aquila
188,Ente::N,kacsa,anas
189,Eule::N,bagoly,ulula
190,Eule::N,bagoly,noctua
191,Kranich::N,daru,grus
192,Krähe::N,varjú,cornix
193,Kuckuck::N,kakukk,cuculus
194,Schwan::N,hattyú,olor
195,Schwan::N,hattyú,cycnus
196,Fisch::N,hal,piscis
197,Barsch::N,sügér,perca
198,Hecht::N,csuka,esox
199,Schlange[Tier]::N,kígyó,serpens
200,Wurm::N,kukac,vermis
201,Spinne::N,pók,aranea
202,Ameise::N,hangya,formica
203,Laus::N,tetű,pediculus
204,Mücke::N,szúnyog,culex
205,Fliege::N,légy,musca
206,Schmetterling::N,lepke,papilio
207,Schmetterling::N,pillangó,papilio
208,Beere::N,bogyó,baca
209,Apfel::N,alma,malum
210,Pilz::N,gomba,fungus
211,Zwiebel::N,hagyma,cepa
212,Saat::N,vetőmag,seges
213,Korn::N,mag,granum
214,Korn::N,szem,granum
215,Heu::N,széna,faenum
216,Schale::N,héj,putamen
217,Grube::N,verem,fovea
218,Falle::N,csapda,pedica
219,Schlinge::N,tőr,laqueus
220,Spur::N,nyom,vestigium
221,Asche::N,hamu,cinis
222,Dreck::N,sár,lutum
223,Dreck::N,piszok,lutum
224,Eisen::N,vas,ferrum
225,Gold::N,arany,aurum
226,Silber::N,ezüst,argentum
227,Kohle::N,szén,carbo
228,Glas::N,üveg,vitrum
229,Lehm::N,agyag,lutum
230,Lehm::N,vályog,lutum
231,Sand::N,homok,arena
232,Mensch::N,ember,homo
233,Mann::N,úr,vir
234,Mann::N,férfi,vir
235,Frau::N,nő,mulier
236,Frau::N,asszony,mulier
237,Kind::N,gyerek,puer
238,Kind::N,gyerek,infans
239,Kind::N,gyermek,puer
240,Kind::N,gyermek,infans
241,Junge::N,fiú,puer
242,Mädchen::N,lány,puella
243,Familie::N,család,familia
244,Großvater::N,nagyapa,avus
245,Großmutter::N,nagyanya,avia
246,Eltern::N,szülők,parentes
247,Vater::N,apa,pater
248,Vater::N,atya,pater
249,Mutter::N,anya,mater
250,Sohn::N,fiú,filius
251,Tochter::N,lány,filia
252,Bruder::N,fivér,frater
253,Bruder::N,testvér,frater
254,Schwester::N,nővér,soror
255,Schwester::N,lánytestvér,soror
256,Onkel::N,nagybácsi,patruus
257,Onkel::N,nagybácsi,avunculus
258,Tante::N,nagynéni,amita
259,Ehemann::N,férj,maritus
260,Ehefrau::N,feleség,uxor
261,Freude::N,öröm,gaudium
262,Freude::N,öröm,laetitia
263,Gelächter::N,nevetés,risus
264,Gelächter::N,hahotázás,risus
265,Glück::N,boldogság,felicitas
266,Kummer::N,bánat,aegritudo
267,Wunsch::N,óhaj,voluntas
268,Wunsch::N,óhaj,desiderium
269,Lust::N,kedv,libido
270,Lust::N,kedv,voluptas
271,Geist::N,elme,mens
272,Geist::N,elme,animus
273,Geist::N,szellem,mens
274,Geist::N,szellem,animus
275,Gedanke::N,gondolat,sententia
276,Gedächtnis::N,emlékezet,memoria
277,Verstand::N,ész,ratio
278,Verstand::N,ész,ingenium
279,Verstand::N,értelem,ratio
280,Verstand::N,értelem,ingenium
281,Sinn::N,értelem,sensus
282,Grund::N,ok,causa
283,Grund::N,alap,causa
284,Wahrheit::N,igaz,veritas
285,Wahrheit::N,igazság,veritas
286,Gespräch::N,beszélgetés,sermo
287,Märchen::N,mese,fabula
288,Erzählung::N,elbeszélés,fabula
289,Erzählung::N,elbeszélés,narratio
290,Nachricht::N,hír,nuntius
291,Nachricht::N,híradás,nuntius
292,Neuigkeit::N,újság,novitas
293,Name::N,név,nomen
294,Rätsel::N,rejtvény,aenigma
295,Rede::N,beszéd,oratio
296,Rede::N,szónoklat,oratio
297,Sprache::N,nyelv,lingua
298,Stimme::N,hang,vox
299,Wort::N,szó,verbum
300,Wort::N,szó,vocabulum
301,Zeichen::N,jel,signum
302,Ruf::N,kiáltás,clamor
303,Lärm::N,zaj,strepitus
304,Laut::N,hang,sonus
305,Ton::N,hang,sonus
306,Lied::N,dal,carmen
307,Lied::N,ének,carmen
308,Ruhe::N,csend,quies
309,Ruhe::N,nyugalom,quies
310,Leute::N,emberek,homines
311,Volk::N,nép,populus
312,Arbeit::N,dolog,labor
313,Gast::N,vendég,hospes
314,Gast::N,vendég,conviva
315,Geschenk::N,ajándék,munus
316,Spiel::N,játék,ludus
317,Gesellschaft::N,társaság,societas
318,Hilfe::N,segítség,auxilium
319,Hilfe::N,segítség,subsidium
320,Freund::N,barát,amicus
321,Kamerad::N,társ,socius
322,Angelegenheit::N,ügy,res
323,Anzahl::N,szám,numerus
324,Art::N,faj,genus
325,Art::N,fajta,genus
326,Stück::N,darab,frustum
327,Stück::N,darab,fragmentum
328,Teil::N,rész,pars
329,Hälfte::N,fél,dimidium
330,Kreis::N,kör,orbis
331,Kreis::N,kör,circus
332,Kreuz::N,kereszt,crux
333,Linie::N,vonal,linea
334,Strich::N,vonás,lineamentum
335,Abstand::N,köz,intervallum
336,Entfernung::N,távolság,spatium
337,Gegend::N,táj,loca
338,Gegend::N,táj,regio
339,Gegend::N,vidék,loca
340,Gegend::N,vidék,regio
341,Platz::N,hely,locus
342,Ort::N,hely,locus
343,Seite::N,fél,latus
344,Seite::N,oldal,latus
345,Mitte::N,közép,medium
346,Gegenstand::N,tárgy,res
347,Sache::N,dolog,res
348,Rand::N,szél,margo
349,Rand::N,perem,margo
350,Rand::N,szegély,margo
351,Kante::N,él,angulus
352,Ecke::N,sarok,angulus
353,Ecke::N,szöglet,angulus
354,Spitze::N,csúcs,cacumen
355,Ende::N,vég,caput
356,Loch::N,lyuk,foramen
357,Winkel::N,szög,angulus
358,Muster::N,minta,exemplum
359,Größe::N,nagyság,magnitudo
360,Länge::N,hossz,longitudo
361,Länge::N,hosszúság,longitudo
362,Höhe::N,magasság,altitudo
363,Gewicht::N,súly,pondus
364,Menge::N,sokaság,copia
365,Menge::N,mennyiség,copia
366,Haufen::N,halom,acervus
367,Reihe::N,sor,ordo
368,Boot::N,csónak,navicula
369,Ruder::N,evező,remus
370,Schlitten::N,szánkó,sclodia
371,Ski::N,sí,narta
372,Lagerfeuer::N,tábortűz,ignis
373,Last::N,teher,onus
374,Gang::N,járás,cursus
375,Schritt::N,lépés,gradus
376,Norden::N,észak,septentriones
377,Süden::N,dél,meridies
378,Westen::N,nyugat,occidens
379,Osten::N,kelet,oriens
380,Holz::N,fa,lignum
381,Brett::N,deszka,tabula
382,Platte::N,lap,lamina
383,Platte::N,lemez,lamina
384,Stütze::N,támasz,adminiculum
385,Stütze::N,támaszték,adminiculum
386,Stange::N,rúd,pertica
387,Stange::N,pózna,pertica
388,Stock::N,pálca,baculum
389,Stab::N,bot,scipio
390,Rohr::N,cső,tubus
391,Haus::N,ház,aedes
392,Heim::N,otthon,domicilium
393,Ofen::N,kályha,fornax
394,Fußboden::N,padló,solum
395,Tisch::N,asztal,mensa
396,Stuhl::N,szék,sella
397,Wiege::N,bölcső,cunae
398,Bett::N,ágy,lectus
399,Regal::N,polc,foruli
400,Regal::N,állvány,foruli
401,Kiste::N,láda,cista
402,Fenster::N,ablak,fenestra
403,Tür::N,ajtó,ianua
404,Tor::N,kapu,porta
405,Zaun::N,kerítés,saepes
406,Dach::N,tető,tectum
407,Leiter::N,létra,scalae
408,Besen::N,seprű,scopae
409,Spaten::N,ásó,pala
410,Schaufel::N,lapát,pala
411,Gabel::N,villa,fuscinula
412,Löffel::N,kanál,coclear
413,Messer::N,kés,culter
414,Nagel::N,szeg,clavus
415,Netz::N,háló,rete
416,Haken::N,kampó,hamus
417,Griff::N,nyél,manubrium
418,Griff::N,fogantyú,manubrium
419,Schloss::N,zár,claustra
420,Bild::N,kép,tabula
421,Bild::N,kép,pictura
422,Figur::N,alak,statunculum
423,Puppe::N,bábu,pupa
424,Beutel::N,zacskó,sacculus
425,Bündel::N,köteg,fascis
426,Tasche::N,táska,sacculus
427,Eimer::N,vödör,situla
428,Deckel::N,fedő,operculum
429,Deckel::N,fedél,operculum
430,Geschirr::N,edény,vasa
431,Sack::N,zsák,saccus
432,Tasse::N,csésze,pocillum
433,Topf::N,fazék,olla
434,Kessel::N,üst,aenum
435,Kessel::N,bogrács,aenum
436,Essen::N,evés,cena
437,Essen::N,étkezés,cena
438,Nahrung::N,ennivaló,cibus
439,Nahrung::N,ennivaló,alimenta
440,Speise::N,étel,cibus
441,Fleisch::N,hús,caro
442,Getreide::N,gabona,frumentum
443,Brei::N,pép,puls
444,Brei::N,kása,puls
445,Brot::N,kenyér,panis
446,Scheibe::N,szelet,frustum
447,Fett::N,háj,pingue
448,Fett::N,zsír,pingue
449,Butter::N,vaj,butȳrum
450,Öl::N,olaj,oleum
451,Salz::N,só,sal
452,Suppe::N,leves,ius
453,Honig::N,méz,mel
454,Milch::N,tej,lac
455,Tee::N,tea,thea
456,Leder::N,bőr,corium
457,Wolle::N,gyapjú,lana
458,Stoff::N,szövet,textum
459,Nadel::N,tű,acus
460,Faden::N,fonál,filum
461,Knopf::N,gomb,bulla
462,Knoten::N,csomó,nodus
463,Farbe::N,szín,pigmentum
464,Farbe::N,festék,pigmentum
465,Kleidung::N,ruha,vestimenta
466,Kleidung::N,ruházat,vestimenta
467,Hemd::N,ing,tunica
468,Kragen::N,gallér,collare
469,Ärmel::N,ujj,manica
470,Hose::N,gatya,bracae
471,Hose::N,nadrág,bracae
472,Gürtel::N,öv,cingulum
473,Mütze::N,sapka,pilleus
474,Schuh::N,cipő,calceus
475,Stiefel::N,csizma,pero
476,Stiefel::N,csizma,caliga
477,Ring::N,gyűrű,anulus
478,Band::N,szalag,redimiculum
479,Kamm::N,fésű,pecten
480,Spiegel::N,tükör,speculum
481,Riemen::N,szíj,lorum
482,Schnur::N,zsinór,linum
483,Leine::N,póráz,retinaculum
484,Decke::N,takaró,lodix
485,Kissen::N,párna,pulvinus
486,Tuch::N,kendő,velum
487,Handtuch::N,törülköző,mantele
488,Kraft::N,erő,vis
489,Stärke::N,erő,robur
490,Stärke::N,erősség,robur
491,Gesundheit::N,egészség,valetudo
492,Krankheit::N,kór,morbus
493,Krankheit::N,betegség,morbus
494,Schmerz::N,fájdalom,dolor
495,Wunde::N,seb,vulnus
496,Fieber::N,láz,febris
497,Arznei::N,orvosság,remedium
498,Arznei::N,gyógyszer,remedium
499,Brücke::N,híd,pons
500,Brunnen::N,kút,puteus
501,Weide::N,legelő,pascua
502,Pfad::N,ösvény,semita
503,Weg::N,út,iter
504,Straße::N,út,via
505,Dorf::N,falu,vicus
506,Stadt::N,város,urbs
507,Stadt::N,város,oppidum
508,Brief::N,levél,epistula
509,Buch::N,könyv,liber
510,Buchstabe::N,betű,littera
511,Zeitung::N,újság,diurnum
512,Zeitung::N,hírlap,diurnum
513,Leben::N,élet,vita
514,Tod::N,halál,mors
515,Grab::N,sír,sepulcrum
516,Kirche::N,templom,ecclesia
517,Sünde::N,bűn,peccatum
518,Sünde::N,vétek,peccatum
519,Gott::N,isten,deus
520,Arbeiter::N,munkás,operarius
521,Chef::N,főnök,praefectus
522,Meister::N,mester,magister
523,Arzt::N,orvos,medicus
524,Lehrer::N,tanár,magister
525,Lehrer::N,tanító,magister
526,Geld::N,pénz,aes
527,Geld::N,pénz,pecunia
528,Geschäft::N,üzlet,negotium
529,Laden::N,bolt,taberna
530,Preis::N,ár,pretium
531,Ware::N,áru,merx
532,Nutzen::N,haszon,utilitas
533,Reichtum::N,gazdagság,opes
534,Reichtum::N,gazdagság,divitiae
535,Welt::N,világ,mundus
536,Land::N,ország,terra
537,Staat::N,állam,res publica
538,König::N,király,rex
539,Macht::N,hatalom,potestas
540,Grenze::N,határ,limes
541,Krieg::N,háború,bellum
542,Feind::N,ellenség,inimicus
543,Gewalt::N,erőszak,vis
544,Kampf::N,harc,pugna
545,Bogen[Waffe]::N,íj,arcus
546,Pfeil::N,nyíl,sagitta
547,Gewehr::N,puska,sclopetum
548,Gewehr::N,fegyver,sclopetum
