,Concept_ID,sq,hr
0,Auge::N,sy,oko
1,Ohr::N,vesh,uho
2,Nase::N,hundë,nos
3,Mund::N,gojë,usta
4,Zahn::N,dhëmb,zub
5,Zunge::N,gjuhë,jezik
6,Lippe::N,buzë,usna
7,Wange::N,faqe,obraz
8,Wange::N,mollëz,obraz
9,Gesicht::N,fytyrë,lice
10,Stirn::N,ballë,čelo
11,Haar::N,flokë,kosa
12,Schnurrbart::N,mustaqe,brkovi
13,Bart::N,mjekër,brada
14,Kinn::N,mjekër,brada
15,Kinn::N,mjekër,podbradak
16,Kiefer[Anatomie]::N,nofull,čeljust
17,Kehle::N,fyt,grlo
18,Kehle::N,grykë,grlo
19,Hals::N,qafë,vrat
20,Genick::N,arrëz,zatiljak
21,Kopf::N,kokë,glava
22,Rücken::N,kurriz,leđa
23,Rücken::N,kurriz,hrbat
24,Bauch::N,bark,trbuh
25,Nabel::N,kërthizë,pupak
26,Busen::N,gji,sisa
27,Busen::N,gji,njedra
28,Brust::N,gjoks,prsa
29,Brust::N,kraharor,prsa
30,Schulter::N,sup,rame
31,Schulter::N,sup,pleći
32,Schulter::N,krah,rame
33,Schulter::N,krah,pleći
34,Arm::N,krah,ruka
35,Ellenbogen::N,bërryl,lakat
36,Hand::N,dorë,ruka
37,Handfläche::N,pëllëmbë,dlan
38,Finger::N,gisht,prst
39,Fingernagel::N,thua,nokat
40,Nagel[Anatomie]::N,thua,nokat
41,Zeh::N,gisht i këmbës,nozni prst
42,Fuß::N,këmbë,noga
43,Fuß::N,këmbë,stopalo
44,Ferse::N,thembër,peta
45,Knie::N,gju,koljeno
46,Oberschenkel::N,kofshë,bedro
47,Bein::N,këmbë,noga
48,Körper::N,trup,tijelo
49,Haut::N,lëkurë,put
50,Haut::N,lëkurë,koža
51,Blut::N,gjak,krv
52,Ader::N,venë,žila
53,Sehne::N,dell,tetiva
54,Knochen::N,asht,kost
55,Knochen::N,kockë,kost
56,Gehirn::N,tru,
57,Herz::N,zemër,srce
58,Magen::N,stomak,stomak
59,Magen::N,stomak,želudac
60,Leber::N,mëlçi,jetra
61,Atem::N,frymë,dah
62,Hunger::N,uri,glad
63,Träne::N,lot,suza
64,Geschmack::N,shije,ukus
65,Geruch::N,erë,njuh
66,Geruch::N,erë,miris
67,Schlaf::N,gjumë,san
68,Traum::N,ëndërr,san
69,Himmel::N,qiell,nebo
70,Sonne::N,diell,sunce
71,Mond::N,hënë,mjesec
72,Stern::N,yll,zvijezda
73,Luft::N,ajër,zrak
74,Wind::N,erë,vjetar
75,Welle::N,valë,val
76,Welle::N,valë,talas
77,Welle::N,dallgë,val
78,Welle::N,dallgë,talas
79,Wasser::N,ujë,voda
80,Stein::N,gur,kamen
81,Boden::N,tokë,tlo
82,Boden::N,tokë,zemlja
83,Boden::N,truall,tlo
84,Boden::N,truall,zemlja
85,Erde::N,dhe,zemlja
86,Erde::N,baltë,zemlja
87,Staub::N,pluhur,prah
88,Staub::N,pluhur,prašina
89,Rauch::N,tym,dim
90,Funke::N,xixë,iskra
91,Funke::N,xixë,varnica
92,Funke::N,shkëndijë,iskra
93,Funke::N,shkëndijë,varnica
94,Feuer::N,zjarr,vatra
95,Licht::N,dritë,svjetlo
96,Schatten::N,hije,hlad
97,Schatten::N,hije,sjena
98,Wetter::N,mot,vrijeme
99,Nebel::N,mjegull,magla
100,Wolke::N,re,oblak
101,Regen::N,shi,kiša
102,Schnee::N,borë,snijeg
103,Eis::N,akull,led
104,Frost::N,ngricë,mraz
105,Kälte::N,të ftohtë,studen
106,Kälte::N,të ftohtë,hladnoća
107,Hitze::N,vapë,vrućina
108,Hitze::N,nxehtësi,vrućina
109,Raureif::N,cikmë,inje
110,Regenbogen::N,ylber,duga
111,Donner::N,gjëmim,grom
112,Donner::N,gjëmim,grmljavina
113,Donner::N,bubullimë,grom
114,Donner::N,bubullimë,grmljavina
115,Strömung::N,rrymë,struja
116,Strömung::N,rrymë,strujanje
117,Tropfen::N,pikë,kap
118,Tropfen::N,pikë,kaplja
119,Schaum::N,shkumë,pjena
120,Schmutz::N,baltë,nečistoća
121,Schmutz::N,baltë,prljavština
122,See::N,liqen,jezero
123,Sumpf::N,batak,bara
124,Moor::N,kënetë,močvara
125,Wiese::N,livadh,livada
126,Wald::N,pyll,šuma
127,Hügel::N,kodër,brijeg
128,Hügel::N,kodër,brežuljak
129,Anhöhe::N,bregore,uzvišica
130,Berg::N,mal,brdo
131,Gipfel::N,kulm,vrh
132,Höhle::N,shpellë,pećina
133,Höhle::N,shpellë,spilja
134,Höhle::N,zgafelle,pećina
135,Höhle::N,zgafelle,spilja
136,Abhang::N,shpat,obronak
137,Abhang::N,shpat,nizbrdica
138,Abhang::N,tatëpjetë,obronak
139,Abhang::N,tatëpjetë,nizbrdica
140,Quelle::N,krua,izvor
141,Quelle::N,krua,vrelo
142,Quelle::N,burim,izvor
143,Quelle::N,burim,vrelo
144,Bach::N,virua,potok
145,Fluss::N,lumë,rijeka
146,Ufer::N,breg,obala
147,Küste::N,anëdet,obala
148,Küste::N,anëdet,morska obala
149,Küste::N,bregdet,obala
150,Küste::N,bregdet,morska obala
151,Festland::N,kontinent,kopno
152,Meer::N,det,more
153,Bucht::N,gji deti,zaliv
154,Insel::N,ishull,ada
155,Insel::N,ishull,otok
156,Insel::N,ujdhesë,ada
157,Insel::N,ujdhesë,otok
158,Blume::N,lule,cvijet
159,Gras::N,bar,trava
160,Wurzel::N,rrënjë,korijen
161,Baum::N,pemë,drvo
162,Baum::N,pemë,stablo
163,Stamm::N,trung,deblo
164,Stamm::N,trung,stablo
165,Rinde::N,lëvore,kora
166,Ast::N,degë,grana
167,Zweig::N,bisk,grana
168,Blatt::N,fletë,list
169,Blatt::N,gjethe,list
170,Birke::N,mështekën,breza
171,Kiefer[Baum]::N,pishë,bor
172,Weide[Baum]::N,shelg,iva
