,Concept_ID,et,la
0,Auge::N,silm,oculus
1,Ohr::N,kõrv,auris
2,Nase::N,nina,nasus
3,Mund::N,suu,os
4,Zahn::N,hammas,dens
5,Zunge::N,keel,lingua
6,Lippe::N,huul,labrum
7,Wange::N,põsk,gena
8,Gesicht::N,nägu,vultus
9,Stirn::N,otsmik,frons
10,Haar::N,juus,capillus
11,Schnurrbart::N,vurrud,barba labri superioris
12,Schnurrbart::N,vuntsid,barba labri superioris
13,Bart::N,habe,barba
14,Kinn::N,lõug,mentum
15,Kiefer[Anatomie]::N,lõualuu,mala
16,Kehle::N,kõri,iugulums
17,Hals::N,kael,collum
18,Genick::N,kukal,cervices
19,Kopf::N,pea,caput
20,Rücken::N,selg,tergum
21,Bauch::N,kõht,venter
22,Nabel::N,naba,umbilicus
23,Busen::N,rind,sinus
24,Brust::N,rind,pectus
25,Schulter::N,õlg,umerus
26,Arm::N,käsivars,bracchium
27,Ellenbogen::N,küünarnukk,cubitum
28,Hand::N,käsi,manus
29,Handfläche::N,pihk,palma
30,Finger::N,sõrm,digitus
31,Fingernagel::N,küüs,unguiculus
32,Nagel[Anatomie]::N,küüs,unguis
33,Zeh::N,varvas,digitus
34,Fuß::N,jalg,pes
35,Ferse::N,kand,calx
36,Knie::N,põlv,genu
37,Oberschenkel::N,reis,femur
38,Bein::N,jalg,crus
39,Körper::N,ihu,corpus
40,Körper::N,keha,corpus
41,Haut::N,nahk,cutis
42,Haut::N,nahk,pellis
43,Blut::N,veri,sanguis
44,Ader::N,veen,vena
45,Sehne::N,kõõlus,nervus
46,Knochen::N,luu,os
47,Gehirn::N,aju,cerebrum
48,Herz::N,süda,cor
49,Herz::N,süda,animus
50,Magen::N,magu,stomachus
51,Leber::N,maks,iecur
52,Atem::N,hingeõhk,spiritus
53,Atem::N,hingamine,spiritus
54,Hunger::N,nälg,fames
55,Träne::N,pisar,lacrima
56,Geschmack::N,maitse,sapor
57,Geschmack::N,maitse,gustus
58,Geruch::N,lõhn,odor
59,Schlaf::N,uni,somnus
60,Traum::N,unenägu,somnium
61,Himmel::N,taevas,caelum
62,Sonne::N,päike,sol
63,Mond::N,kuu,luna
64,Stern::N,täht,sidus
65,Stern::N,täht,stella
66,Luft::N,õhk,aer
67,Wind::N,tuul,ventus
68,Welle::N,laine,unda
69,Wasser::N,vesi,aqua
70,Stein::N,kivi,lapis
71,Boden::N,maa,solum
72,Boden::N,pinnas,solum
73,Erde::N,maa,terra
74,Staub::N,põrm,pulvis
75,Rauch::N,suits,fumus
76,Funke::N,säde,scintilla
77,Feuer::N,tuli,ignis
78,Licht::N,valgus,lux
79,Licht::N,valgus,lumen
80,Schatten::N,vari,umbra
81,Wetter::N,ilm,caelum
82,Wetter::N,ilm,tempestas
83,Nebel::N,udu,nebula
84,Wolke::N,pilv,nubes
85,Regen::N,sadu,imber
86,Regen::N,sadu,pluvia
87,Schnee::N,lumi,nix
88,Eis::N,jää,glacies
89,Frost::N,pakane,gelu
90,Kälte::N,külm,frigus
91,Kälte::N,külmus,frigus
92,Hitze::N,kuumus,calor
93,Hitze::N,kuumus,aestus
94,Hitze::N,palavus,calor
95,Hitze::N,palavus,aestus
96,Raureif::N,härmatis,pruina
97,Regenbogen::N,vikerkaar,arcus
98,Donner::N,kõu,tonitrus
99,Donner::N,müristamine,tonitrus
100,Strömung::N,voolus,fluctus
101,Strömung::N,jõevool,fluctus
102,Tropfen::N,tilk,gutta
103,Schaum::N,vaht,spuma
104,Schmutz::N,pori,sordes
105,Schmutz::N,pori,squalor
106,Schmutz::N,mustus,sordes
107,Schmutz::N,mustus,squalor
108,See::N,järv,lacus
109,Sumpf::N,soo,palus
110,Moor::N,raba,palus
111,Wiese::N,aas,pratum
112,Wiese::N,nurm,pratum
113,Wald::N,mets,silva
114,Hügel::N,küngas,collis
115,Anhöhe::N,küngas,specula
116,Berg::N,mägi,mons
117,Gipfel::N,mäetipp,vertex
118,Höhle::N,koobas,caverna
119,Höhle::N,koobas,spelunca
120,Abhang::N,nõlvak,declivum
121,Quelle::N,allikas,fons
122,Bach::N,oja,rivus
123,Fluss::N,jõgi,flumen
124,Ufer::N,kallas,ripa
125,Küste::N,rannik,litus
126,Festland::N,mander,continens
127,Festland::N,maismaa,continens
128,Meer::N,meri,mare
129,Bucht::N,laht,sinus
130,Insel::N,saar,insula
131,Blume::N,lill,flos
132,Gras::N,rohi,herba
133,Gras::N,rohi,gramen
134,Wurzel::N,juur,radix
135,Baum::N,puu,arbor
136,Stamm::N,tüvi,truncus
137,Rinde::N,koor,cortex
138,Ast::N,oks,ramus
139,Zweig::N,oks,ramus
140,Blatt::N,leht,folium
141,Birke::N,kask,betulla
142,Kiefer[Baum]::N,mänd,pinus
143,Weide[Baum]::N,paju,salix
144,Tanne::N,nulg,abies
145,Horn::N,sarv,cornu
146,Feder::N,sulg,penna
147,Fell::N,karvkate,pellis
148,Fell::N,karusnahk,pellis
149,Flügel::N,tiib,ala
150,Flügel::N,tiivik,ala
151,Klaue::N,küüs,unguis
152,Kralle::N,küünis,unguis
153,Schwanz::N,saba,cauda
154,Ei::N,muna,ovum
155,Nest::N,pesa,nidus
156,Bau::N,urg,cavum
157,Bau::N,urg,latibulum
158,Tier::N,loom,bestia
159,Herde::N,kari,grex
160,Kuh::N,lehm,vacca
161,Bulle::N,pull,taurus
162,Pferd::N,hobune,equus
163,Schaf::N,lammas,ovis
164,Schwein::N,siga,sus
165,Schwein::N,siga,porcus
166,Hund::N,koer,canis
167,Katze::N,kass,felis
168,Bär::N,karu,ursus
169,Eichhörnchen::N,orav,sciurus
170,Elch::N,põder,alces
171,Fuchs::N,rebane,vulpes
172,Hase::N,jänes,lepus
173,Maus::N,hiir,mus
174,Wolf::N,hunt,lupus
175,Vogel::N,lind,avis
176,Schwarm::N,parv,examen
177,Huhn::N,kana,gallina
178,Hahn::N,kukk,gallus
179,Gans::N,hani,anser
180,Adler::N,kotkas,aquila
181,Ente::N,part,anas
182,Eule::N,kakk,ulula
183,Eule::N,kakk,noctua
184,Eule::N,öökull,ulula
185,Eule::N,öökull,noctua
186,Kranich::N,kurg,grus
187,Krähe::N,vares,cornix
188,Kuckuck::N,kägu,cuculus
189,Schwan::N,luik,olor
190,Schwan::N,luik,cycnus
191,Fisch::N,kala,piscis
192,Barsch::N,ahven,perca
193,Hecht::N,haug,esox
194,Schlange[Tier]::N,uss,serpens
195,Wurm::N,uss,vermis
196,Wurm::N,vagel,vermis
197,Spinne::N,ämblik,aranea
198,Ameise::N,sipelgas,formica
199,Laus::N,täi,pediculus
200,Mücke::N,sääsk,culex
201,Fliege::N,kärbes,musca
202,Schmetterling::N,liblikas,papilio
203,Beere::N,mari,baca
204,Apfel::N,õun,malum
205,Pilz::N,seen,fungus
206,Zwiebel::N,sibul,cepa
207,Saat::N,seeme,seges
208,Korn::N,iva,granum
209,Korn::N,tera,granum
210,Heu::N,hein,faenum
211,Schale::N,koor,putamen
212,Grube::N,kaevand,fovea
213,Falle::N,lõks,pedica
214,Falle::N,püünis,pedica
215,Schlinge::N,aas,laqueus
216,Spur::N,jälg,vestigium
217,Asche::N,tuhk,cinis
218,Dreck::N,saast,lutum
219,Dreck::N,mustus,lutum
220,Eisen::N,raud,ferrum
221,Gold::N,kuld,aurum
222,Silber::N,hõbe,argentum
223,Kohle::N,süsi,carbo
224,Glas::N,klaas,vitrum
225,Lehm::N,savi,lutum
226,Sand::N,liiv,arena
227,Mensch::N,inimene,homo
228,Mann::N,mees,vir
229,Frau::N,naine,mulier
230,Kind::N,laps,puer
231,Kind::N,laps,infans
232,Junge::N,poiss,puer
233,Mädchen::N,tüdruk,puella
234,Familie::N,perekond,familia
235,Großvater::N,vanaisa,avus
236,Großmutter::N,vanaema,avia
237,Eltern::N,vanemad,parentes
238,Vater::N,isa,pater
239,Mutter::N,ema,mater
240,Sohn::N,poeg,filius
241,Tochter::N,tütar,filia
242,Bruder::N,vend,frater
243,Schwester::N,õde,soror
244,Onkel::N,onu,patruus
245,Onkel::N,onu,avunculus
246,Tante::N,tädi,amita
247,Ehemann::N,mees,maritus
248,Ehemann::N,abikaasa,maritus
249,Ehefrau::N,naine,uxor
250,Ehefrau::N,abikaasa,uxor
251,Freude::N,rõõm,gaudium
252,Freude::N,rõõm,laetitia
253,Gelächter::N,naer,risus
254,Glück::N,õnn,felicitas
255,Kummer::N,mure,aegritudo
256,Kummer::N,kurbus,aegritudo
257,Wunsch::N,soov,voluntas
258,Wunsch::N,soov,desiderium
259,Lust::N,himu,libido
260,Lust::N,himu,voluptas
