,Concept_ID,fr,en
0,Auge::N,œil,eye
1,Ohr::N,oreille,ear
2,Nase::N,nez,nose
3,Mund::N,bouche,mouth
4,Zahn::N,dent,tooth
5,Zunge::N,langue,tongue
6,Lippe::N,lèvre,lip
7,Wange::N,joue,cheek
8,Gesicht::N,face,face
9,Gesicht::N,visage,face
10,Stirn::N,front,forehead
11,Haar::N,cheveu,hair
12,Schnurrbart::N,moustache,moustache
13,Bart::N,barbe,beard
14,Kinn::N,menton,chin
15,Kiefer[Anatomie]::N,mâchoire,jaw
16,Kehle::N,gorge,throat
17,Hals::N,cou,neck
18,Genick::N,nuque,nape
19,Kopf::N,tête,head
20,Rücken::N,dos,back
21,Rücken::N,dos,spine
22,Bauch::N,ventre,belly
23,Nabel::N,nombril,navel
24,Busen::N,sein,bosom
25,Brust::N,poitrine,chest
26,Brust::N,poitrine,breast
27,Schulter::N,épaule,shoulder
28,Arm::N,bras,arm
29,Ellenbogen::N,coude,elbow
30,Hand::N,main,hand
31,Handfläche::N,paume,palm
32,Finger::N,doigt,finger
33,Fingernagel::N,ongle,fingernail
34,Nagel[Anatomie]::N,ongle,nail
35,Zeh::N,orteil,toe
36,Zeh::N,doigt de pied,toe
37,Fuß::N,pied,foot
38,Ferse::N,talon,heel
39,Knie::N,genou,knee
40,Oberschenkel::N,cuisse,thigh
41,Bein::N,jambe,leg
42,Körper::N,corps,body
43,Haut::N,peau,skin
44,Blut::N,sang,blood
45,Ader::N,veine,vein
46,Sehne::N,tendon,sinew
47,Knochen::N,os,bone
48,Gehirn::N,cerveau,brain
49,Herz::N,cœur,heart
50,Magen::N,estomac,stomach
51,Leber::N,foie,liver
52,Atem::N,haleine,breath
53,Hunger::N,faim,hunger
54,Träne::N,larme,tear
55,Geschmack::N,goût,flavour
56,Geschmack::N,goût,flavor
57,Geschmack::N,saveur,flavour
58,Geschmack::N,saveur,flavor
59,Geruch::N,odeur,odour
60,Geruch::N,odeur,odor
61,Schlaf::N,sommeil,sleep
