,Concept_ID,hr,ja
0,Auge::N,oko,目
1,Ohr::N,uho,耳
2,Nase::N,nos,鼻
3,Mund::N,usta,口
4,Zahn::N,zub,歯
5,Zunge::N,jezik,舌
6,Lippe::N,usna,唇
7,Wange::N,obraz,頬
8,Gesicht::N,lice,顔
9,Stirn::N,čelo,額
10,Haar::N,kosa,髪
11,Schnurrbart::N,brkovi,口髭
12,Bart::N,brada,髭
13,Kinn::N,brada,顎
14,Kinn::N,podbradak,顎
15,Kiefer[Anatomie]::N,čeljust,顎
16,Kehle::N,grlo,喉
17,Hals::N,vrat,首
18,Genick::N,zatiljak,首
19,Kopf::N,glava,頭
20,Rücken::N,leđa,背中
21,Rücken::N,hrbat,背中
22,Bauch::N,trbuh,腹
23,Bauch::N,trbuh,お腹
24,Nabel::N,pupak,へそ
25,Busen::N,sisa,乳房
26,Busen::N,njedra,乳房
27,Brust::N,prsa,胸
28,Schulter::N,rame,肩
29,Schulter::N,pleći,肩
30,Arm::N,ruka,腕
31,Ellenbogen::N,lakat,肘
32,Hand::N,ruka,手
33,Handfläche::N,dlan,手のひら
34,Finger::N,prst,指
35,Fingernagel::N,nokat,爪
36,Nagel[Anatomie]::N,nokat,爪
37,Zeh::N,nozni prst,足の指
38,Fuß::N,noga,足
39,Fuß::N,stopalo,足
40,Ferse::N,peta,かかと
41,Knie::N,koljeno,膝
42,Oberschenkel::N,bedro,上腿
43,Bein::N,noga,足
44,Körper::N,tijelo,体
45,Haut::N,put,皮膚
46,Haut::N,koža,皮膚
47,Blut::N,krv,血
48,Ader::N,žila,血管
49,Sehne::N,tetiva,腱
50,Knochen::N,kost,骨
51,Herz::N,srce,心
52,Herz::N,srce,心臓
53,Magen::N,stomak,胃
54,Magen::N,želudac,胃
55,Leber::N,jetra,肝臓
56,Atem::N,dah,息
57,Atem::N,dah,呼吸
58,Hunger::N,glad,空腹
59,Träne::N,suza,涙
60,Geschmack::N,ukus,味
61,Geruch::N,njuh,匂い
62,Geruch::N,miris,匂い
63,Schlaf::N,san,睡眠
64,Traum::N,san,夢
65,Himmel::N,nebo,空
66,Sonne::N,sunce,太陽
67,Mond::N,mjesec,月
68,Stern::N,zvijezda,星
69,Luft::N,zrak,空気
70,Wind::N,vjetar,風
71,Welle::N,val,波
72,Welle::N,talas,波
73,Wasser::N,voda,水
74,Stein::N,kamen,石
75,Boden::N,tlo,土地
76,Boden::N,zemlja,土地
77,Erde::N,zemlja,土
78,Staub::N,prah,埃
79,Staub::N,prašina,埃
80,Rauch::N,dim,煙
81,Funke::N,iskra,火花
82,Funke::N,varnica,火花
83,Feuer::N,vatra,火
84,Licht::N,svjetlo,光
85,Schatten::N,hlad,陰
86,Schatten::N,sjena,陰
87,Wetter::N,vrijeme,天気
88,Nebel::N,magla,霧
89,Wolke::N,oblak,雲
90,Regen::N,kiša,雨
91,Schnee::N,snijeg,雪
92,Eis::N,led,氷
93,Frost::N,mraz,霜
94,Kälte::N,studen,寒さ
95,Kälte::N,hladnoća,寒さ
96,Hitze::N,vrućina,暑さ
97,Raureif::N,inje,霧氷
98,Regenbogen::N,duga,虹
99,Donner::N,grom,雷
100,Donner::N,grmljavina,雷
101,Strömung::N,struja,流れ
102,Strömung::N,strujanje,流れ
103,Tropfen::N,kap,滴
104,Tropfen::N,kaplja,滴
105,Schaum::N,pjena,泡
106,Schmutz::N,nečistoća,汚れ
107,Schmutz::N,prljavština,汚れ
108,See::N,jezero,湖
109,Sumpf::N,bara,沼
110,Moor::N,močvara,湿原
111,Wiese::N,livada,草原
112,Wald::N,šuma,森
113,Hügel::N,brijeg,丘
114,Hügel::N,brežuljak,丘
