,Concept_ID,tr,cv
0,Auge::N,göz,куҫ
1,Ohr::N,kulak,хӑлха
2,Nase::N,burun,сӑмса
3,Mund::N,ağız,ҫӑвар
4,Zahn::N,diş,шӑл
5,Zunge::N,dil,чӗлхе
6,Lippe::N,dudak,тута
7,Wange::N,yanak,пит ҫӑмарти
8,Gesicht::N,yüz,пит
9,Gesicht::N,yüz,пит-куҫ
10,Stirn::N,alın,ҫамка
11,Haar::N,saç,ҫӳҫ
12,Schnurrbart::N,bıyık,усси
13,Bart::N,sakal,сухал
14,Kinn::N,çene,янах
15,Kiefer[Anatomie]::N,çene,янах
16,Kehle::N,boğaz,пыр
17,Kehle::N,boğaz,карланкӑ
18,Hals::N,boyun,пыр
19,Hals::N,gerdan,пыр
20,Genick::N,ense,ӗнсе
21,Kopf::N,baş,пуҫ
22,Kopf::N,kafa,пуҫ
23,Rücken::N,arka,ҫурӑм
24,Bauch::N,karın,
25,Nabel::N,göbek,кӑвапа
26,Busen::N,koyun,кӑкӑр
27,Brust::N,göğüs,умӗ
28,Schulter::N,omuz,хул пуҫҫи
29,Arm::N,kol,алӑ
30,Ellenbogen::N,dirsek,чавса
31,Hand::N,el,алӑ сыппи
32,Handfläche::N,avuç,ал лаппи
33,Handfläche::N,el ayası,ал лаппи
34,Finger::N,parmak,пӳрне
35,Fingernagel::N,el tırnağı,чӗрне
36,Nagel[Anatomie]::N,tırnak,чӗрне
37,Zeh::N,ayak parmağı,пӳрне
38,Fuß::N,ayak,ура лаппи
39,Ferse::N,topuk,кӗле
40,Knie::N,diz,чӗркуҫҫи
41,Oberschenkel::N,uyluk,пӗҫӗ
42,Bein::N,bacak,ура
43,Körper::N,vücut,ӳт
44,Körper::N,vücut,ӳт-пӳ
45,Haut::N,cilt,тир
46,Blut::N,kan,юн
47,Ader::N,damar,вена
48,Sehne::N,kiriş,шӑнӑр
49,Knochen::N,kemik,шӑмӑ
50,Gehirn::N,beyin,миме
51,Herz::N,kalp,чӗре
52,Herz::N,yürek,чӗре
53,Magen::N,mide,хырӑмлӑх
54,Leber::N,karaciğer,пӗвер
55,Atem::N,nefes,сывлав
56,Hunger::N,açlık,выҫлӑх
57,Träne::N,gözyaşı,куҫҫуль
58,Geschmack::N,tat,техӗм
59,Geschmack::N,lezzet,техӗм
60,Geruch::N,koku,шӑршӑ
61,Schlaf::N,uyku,ыйхӑ
62,Traum::N,düş,тӗлӗк
63,Traum::N,rüya,тӗлӗк
64,Himmel::N,gök,пӗлӗт
65,Sonne::N,güneş,хӗвел
66,Mond::N,ay,уйӑх
67,Stern::N,yıldız,ҫӑлтӑр
68,Luft::N,hava,сывлӑш
69,Wind::N,yel,ҫил
70,Wind::N,rüzgâr,ҫил
71,Welle::N,dalga,хум
72,Wasser::N,su,шыв
73,Wasser::N,su,шыв-шур
74,Stein::N,taş,чул
75,Boden::N,yer,тӑпра
76,Boden::N,zemin,тӑпра
77,Erde::N,toprak,ҫӗр
78,Staub::N,toz,тусан
79,Rauch::N,duman,тӗтӗм
80,Funke::N,kıvılcım,хӗм
81,Feuer::N,ateş,вут
82,Feuer::N,ateş,ҫулӑм
83,Licht::N,ışık,ҫутӑ
84,Schatten::N,gölge,сулхӑн
85,Wetter::N,hava,ҫанталӑк
86,Nebel::N,pus,тӗтре
87,Wolke::N,bulut,пӗлӗт
88,Regen::N,yağmur,ҫумӑр
89,Schnee::N,kar,юр
90,Eis::N,buz,пӑр
91,Frost::N,don,сивӗ
92,Kälte::N,soğukluk,сивӗ
93,Hitze::N,sıcaklık,вӗри
94,Hitze::N,sıcaklık,шӑрӑх
95,Raureif::N,kırç,пас
96,Regenbogen::N,gökkuşağı,асамат кӗперӗ
97,Donner::N,gök gürlemesi,аслати
98,Strömung::N,akıntı,юхӑ
99,Strömung::N,cereyan,юхӑ
100,Tropfen::N,damla,тумлам
101,Schaum::N,köpük,кӑпӑк
102,Schmutz::N,çamur,пылчӑк
103,Schmutz::N,pislik,пылчӑк
104,See::N,göl,кӳлӗ
105,Sumpf::N,batak,шур
106,Sumpf::N,batak,шурлӑх
107,Moor::N,cılgıt,торфлӑ шурлӑх
108,Wiese::N,çimen,улӑх
109,Wiese::N,çimen,ҫаран
110,Wald::N,koru,вӑрман
111,Wald::N,orman,вӑрман
112,Hügel::N,tepe,сӑрт
113,Hügel::N,tepe,тӗмеске
114,Anhöhe::N,tümsek,сӑрт
115,Anhöhe::N,yükseklik,сӑрт
116,Berg::N,dağ,ту
117,Gipfel::N,zirve,тӳпе
118,Höhle::N,in,ҫӗр хӑвӑлӗ
119,Höhle::N,mağara,ҫӗр хӑвӑлӗ
120,Abhang::N,bayır,тӑвайкки
121,Quelle::N,pınar,ҫӑл куҫ
122,Quelle::N,kaynak,ҫӑл куҫ
123,Bach::N,çay,пӗчӗк шыв
124,Bach::N,dere,пӗчӗк шыв
125,Fluss::N,nehir,юхан шыв
126,Ufer::N,kıyı,ҫыран
127,Ufer::N,sahil,ҫыран
128,Küste::N,kıyı,тинӗс ҫыранӗ
129,Küste::N,sahil,тинӗс ҫыранӗ
130,Festland::N,kara,тип ҫӗр
131,Meer::N,deniz,тинӗс
132,Bucht::N,koy,тинӗс кукӑрӗ
133,Bucht::N,körfez,тинӗс кукӑрӗ
134,Insel::N,ada,утрав
135,Blume::N,çiçek,чечек
136,Gras::N,ot,курӑк
137,Gras::N,çim,курӑк
138,Wurzel::N,kök,тымар
139,Baum::N,ağaç,йывӑҫ
140,Stamm::N,gövde,вулӑ
141,Rinde::N,kabuk,хуйӑр
142,Ast::N,dal,турат
143,Ast::N,budak,турат
144,Zweig::N,dal,турат
145,Blatt::N,yaprak,ҫулҫӑ
146,Birke::N,huş,хурӑн
147,Kiefer[Baum]::N,çam,хыр
148,Weide[Baum]::N,söğüt,хӑва
149,Tanne::N,çam,чӑрӑш
150,Tanne::N,köknar,чӑрӑш
151,Horn::N,boynuz,мӑйрака
152,Feder::N,tüy,тӗк
153,Fell::N,post,ҫӑм
154,Flügel::N,kanat,ҫунат
155,Klaue::N,pençe,чӗрне
156,Kralle::N,tırnak,ура
157,Schwanz::N,kuyruk,хӳре
158,Ei::N,yumurta,ҫӑмарта
159,Nest::N,yuva,йӑва
160,Bau::N,in,йӗнӗ
161,Tier::N,hayvan,выльӑх
162,Herde::N,sürü,кӗтӳ
163,Kuh::N,inek,ӗне
164,Bulle::N,boğa,вӑкӑр
165,Pferd::N,at,лаша
166,Pferd::N,beygir,лаша
167,Schaf::N,koyun,сурӑх
168,Schwein::N,domuz,сысна
169,Hund::N,it,йытӑ
170,Hund::N,köpek,йытӑ
171,Katze::N,kedi,кушак
172,Bär::N,ayı,упа
173,Eichhörnchen::N,sincap,пакша
174,Elch::N,büyük kuzey geyiği,пӑши
175,Fuchs::N,tilki,тилӗ
176,Hase::N,tavşan,куян
177,Hase::N,tavşan,мулкач
178,Maus::N,fare,шӑши
179,Maus::N,sıçan,шӑши
180,Wolf::N,kurt,кашкӑр
181,Vogel::N,kuş,кайӑк
182,Vogel::N,kuş,вӗҫен кайӑк
183,Schwarm::N,sürü,ушкӑн
184,Huhn::N,tavuk,чӑх
185,Huhn::N,tavuk,чӑхӑ
186,Hahn::N,horoz,автан
187,Gans::N,kaz,хур
188,Adler::N,kartal,ӑмӑрт кайӑк
189,Adler::N,karakuş,ӑмӑрт кайӑк
190,Ente::N,ördek,кӑвакал
191,Eule::N,baykuş,тӑмана
192,Kranich::N,turna,тӑрна
193,Krähe::N,karga,ула курак
194,Kuckuck::N,guguk,куккук
195,Schwan::N,kuğu,акӑш
196,Fisch::N,balık,пулӑ
197,Barsch::N,hani,уланкӑ
198,Barsch::N,levrek,уланкӑ
199,Hecht::N,turnabalığı,ҫӑрттан
200,Schlange[Tier]::N,yılan,ҫӗлен
201,Wurm::N,kurt,ӑман
202,Wurm::N,solucan,ӑман
203,Spinne::N,örümcek,эрешмен
204,Ameise::N,karınca,кӑткӑ
205,Laus::N,bit,пыйтӑ
206,Mücke::N,sivrisinek,вӑрӑм туна
207,Fliege::N,sinek,шӑна
208,Schmetterling::N,kelebek,лӗпӗш
209,Beere::N,tane,ҫырла
210,Apfel::N,elma,улма
211,Apfel::N,elma,пан улми
212,Pilz::N,mantar,кӑмпа
213,Zwiebel::N,soğan,сухан
214,Saat::N,ekin,вӑрӑ
215,Korn::N,tane,тӗшӗ
216,Korn::N,tane,пӗрчӗ
217,Heu::N,kuru ot,утӑ
218,Schale::N,kabuk,хупӑ
219,Grube::N,çukur,шӑтӑк
220,Falle::N,tuzak,тапӑ
221,Falle::N,tuzak,капкӑн
222,Schlinge::N,ilmik,йӑлӑ
223,Spur::N,iz,йӗр
224,Asche::N,kül,кӗл
225,Dreck::N,pislik,пылчӑк
226,Eisen::N,demir,тимӗр
227,Gold::N,altın,ылтӑн
228,Silber::N,gümüş,кӗмӗл
229,Kohle::N,kömür,кӑмрӑк
230,Glas::N,cam,кӗленче
231,Lehm::N,balçık,тӑм
232,Sand::N,kum,хӑйӑр
233,Mensch::N,insan,ҫын
234,Mensch::N,insan,этем
235,Mann::N,adam,ар
236,Mann::N,erkek,ар
237,Frau::N,bayan,хӗрарӑм
238,Kind::N,çocuk,ача
239,Junge::N,erkek çocuk,ача
240,Junge::N,erkek çocuk,ар ҫын ача
241,Mädchen::N,kız,хӗр ача
242,Familie::N,aile,ҫемье
243,Familie::N,aile,кил-йыш
244,Großvater::N,dede,кукаҫи
245,Großvater::N,büyükbaba,кукаҫи
246,Großmutter::N,nine,кукамай
247,Großmutter::N,büyükanne,кукамай
248,Eltern::N,ebeveyn,аҫа-ама
249,Eltern::N,ana baba,аҫа-ама
250,Vater::N,ata,атте
251,Vater::N,baba,атте
252,Mutter::N,ana,анне
253,Mutter::N,anne,анне
254,Sohn::N,oğul,ывӑл
255,Tochter::N,kız,хӗр
256,Tochter::N,kız evlât,хӗр
257,Bruder::N,abi,ар тӑван
258,Bruder::N,erkek kardeş,ар тӑван
259,Schwester::N,abla,аппа
260,Schwester::N,abla,йӑмӑк
261,Schwester::N,kız kardeş,аппа
262,Schwester::N,kız kardeş,йӑмӑк
263,Onkel::N,dayı,мучи
264,Onkel::N,dayı,пичче
265,Tante::N,hala,аппа
266,Tante::N,teyze,аппа
267,Ehemann::N,koca,упӑшка
268,Ehefrau::N,karı,арӑм
269,Freude::N,neşe,савӑнӑҫ
270,Freude::N,neşe,хаваслӑх
271,Freude::N,sevinç,савӑнӑҫ
272,Freude::N,sevinç,хаваслӑх
273,Gelächter::N,gülme,кулӑ
274,Gelächter::N,kahkaha,кулӑ
275,Glück::N,mutluluk,телей
276,Glück::N,mutluluk,ӑраскал
277,Kummer::N,dert,хурлӑх
278,Kummer::N,keder,хурлӑх
279,Wunsch::N,arzu,ӗмӗт
280,Wunsch::N,arzu,кӑмӑл
281,Wunsch::N,istek,ӗмӗт
282,Wunsch::N,istek,кӑмӑл
283,Lust::N,arzu,кӑмӑл
284,Lust::N,heves,кӑмӑл
285,Geist::N,tin,чун-чӗм
286,Geist::N,tin,ыр-усал
287,Geist::N,tin,чун хавалӗ
288,Gedanke::N,fikir,шухӑш
289,Gedanke::N,düşünce,шухӑш
290,Gedächtnis::N,bellek,ас
291,Verstand::N,zekâ,ӑс
292,Verstand::N,zekâ,ӑс-тӑн
293,Verstand::N,zekâ,ӑс-хакӑл
294,Sinn::N,anlam,тупсӑм
295,Sinn::N,anlam,пӗлтерӗш
296,Grund::N,sebep,сӑлтав
297,Wahrheit::N,doğruluk,чӑнлӑх
298,Wahrheit::N,gerçeklik,чӑнлӑх
299,Gespräch::N,görüşme,калаҫу
300,Märchen::N,masal,юмах
301,Erzählung::N,öykü,акалав
302,Erzählung::N,öykü,каласа пани
303,Erzählung::N,hikâye,акалав
304,Erzählung::N,hikâye,каласа пани
305,Nachricht::N,haber,хыпар
306,Neuigkeit::N,haber,ҫӗнӗ хыпар
307,Name::N,ad,ят
308,Name::N,isim,ят
309,Rätsel::N,bilmece,сутмалли юмах
310,Rede::N,söylev,сӑмах
311,Rede::N,konuşma,сӑмах
312,Sprache::N,dil,чӗлхе
313,Sprache::N,lisan,чӗлхе
314,Stimme::N,ses,сасӑ
315,Wort::N,kelime,сӑмах
316,Zeichen::N,işaret,паллӑ
317,Ruf::N,çağırma,йыхрав
318,Ruf::N,çağırma,чӗнӳ
319,Lärm::N,şamata,шав
320,Lärm::N,gürültü,шав
321,Laut::N,ses,сасӑ
322,Ton::N,ses,сасӑ
323,Lied::N,türkü,юрӑ
324,Ruhe::N,sakinlik,канӑҫлӑх
325,Ruhe::N,sakinlik,лӑпкӑлӑх
326,Leute::N,halk,ҫамрӑксем
327,Leute::N,halk,ҫамрӑк ҫынсем
