,Concept_ID,hr,kl
0,Auge::N,oko,isi
1,Ohr::N,uho,siut
2,Nase::N,nos,
3,Mund::N,usta,paaq
4,Mund::N,usta,qaneq
5,Zahn::N,zub,kigut
6,Zunge::N,jezik,oqaq
7,Lippe::N,usna,qarloq
8,Wange::N,obraz,ersaq
9,Gesicht::N,lice,kiinaq
10,Stirn::N,čelo,qaaq
11,Haar::N,kosa,meqqoq
12,Schnurrbart::N,brkovi,
13,Bart::N,brada,umik
14,Kinn::N,brada,talloq
15,Kinn::N,podbradak,talloq
16,Kiefer[Anatomie]::N,čeljust,alleroq
17,Kehle::N,grlo,malaq
18,Hals::N,vrat,qungaseq
19,Genick::N,zatiljak,pukusuk
20,Kopf::N,glava,niaqoq
21,Rücken::N,leđa,qimerlut
22,Rücken::N,hrbat,qimerlut
23,Bauch::N,trbuh,naaq
24,Nabel::N,pupak,qalaseq
25,Busen::N,sisa,iviangeq
26,Busen::N,njedra,iviangeq
27,Brust::N,prsa,iviangeq
28,Schulter::N,rame,ersik
29,Schulter::N,rame,assaqqoq
30,Schulter::N,pleći,ersik
31,Schulter::N,pleći,assaqqoq
32,Arm::N,ruka,taleq
33,Ellenbogen::N,lakat,ikusik
34,Hand::N,ruka,assak
35,Handfläche::N,dlan,itumak
36,Finger::N,prst,inuak
37,Fingernagel::N,nokat,kikiak
38,Nagel[Anatomie]::N,nokat,kukik
39,Zeh::N,nozni prst,isigak
40,Fuß::N,noga,
41,Fuß::N,stopalo,
42,Ferse::N,peta,kimmik
43,Knie::N,koljeno,seeqqoq
44,Oberschenkel::N,bedro,uppat
45,Oberschenkel::N,bedro,quttoraq
46,Bein::N,noga,isigak
47,Körper::N,tijelo,timi
48,Haut::N,put,mattak
49,Haut::N,koža,mattak
50,Blut::N,krv,aak
51,Ader::N,žila,taqaq
52,Sehne::N,tetiva,ujalu
53,Sehne::N,tetiva,ujaloq
54,Knochen::N,kost,saanikut
55,Herz::N,srce,uummat
56,Magen::N,stomak,aqajaroq
57,Magen::N,želudac,aqajaroq
58,Leber::N,jetra,tinguk
59,Atem::N,dah,anerneq
60,Hunger::N,glad,kaanneq
61,Träne::N,suza,qia
62,Träne::N,suza,qiak
63,Geschmack::N,ukus,qilanaartuut
64,Geruch::N,njuh,tipi
65,Geruch::N,njuh,tipik
66,Geruch::N,miris,tipi
67,Geruch::N,miris,tipik
68,Schlaf::N,san,
69,Traum::N,san,sinnattoq
70,Traum::N,san,sinnattugaq
71,Himmel::N,nebo,qilak
72,Sonne::N,sunce,seqineq
73,Mond::N,mjesec,qaammat
74,Stern::N,zvijezda,ulloriaq
