,Concept_ID,mhr,lt
0,Auge::N,шинча́,akis
1,Ohr::N,пы́лыш,ausis
2,Nase::N,нер,nosis
3,Mund::N,умша́,burna
4,Zahn::N,пӱй,dantis
5,Zunge::N,йы́лме,liežuvis
6,Lippe::N,тӱ́рвӧ,lūpa
7,Wange::N,шӱ́ргӧ,žandas
8,Wange::N,шӱ́ргӧ,skruostas
9,Gesicht::N,чури́й,veidas
10,Stirn::N,саҥга́,kakta
11,Haar::N,ӱп,plaukai
12,Schnurrbart::N,ӧ́рыш,ūsai
13,Bart::N,понда́ш,barzda
14,Kinn::N,оҥыла́ш,smakras
15,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,žandikaulis
16,Kiefer[Anatomie]::N,пӱйората́,žandikaulis
17,Kehle::N,лога́р,gerklė
18,Hals::N,шӱй,kaklas
19,Genick::N,шӱйло́дыш,sprandas
20,Kopf::N,вуй,galva
21,Rücken::N,туп,nugara
22,Bauch::N,мӱ́шкыр,pilvas
23,Nabel::N,кы́лымде,bamba
24,Busen::N,чы́зе,krūtinė
25,Brust::N,оҥ,krūtis
26,Schulter::N,ва́че,petys
27,Arm::N,кид,ranka
28,Ellenbogen::N,кынерву́й,alkūnė
29,Hand::N,кид,ranka
30,Hand::N,кид,plaštaka
31,Hand::N,копа́,ranka
32,Hand::N,копа́,plaštaka
33,Handfläche::N,со́во,delnas
34,Handfläche::N,со́во,plaštaka
35,Finger::N,парня́,pirštas
36,Fingernagel::N,кидкӱ́ч,nagas
37,Fingernagel::N,парнягӱ́ч,nagas
38,Nagel[Anatomie]::N,кӱч,nagas
39,Zeh::N,йолварня́,pirštas
40,Fuß::N,йол,pėda
41,Fuß::N,йолкопа́,pėda
42,Ferse::N,тага́н,kulnas
43,Knie::N,пулву́й,kelis
44,Oberschenkel::N,э́рде,kulšis
45,Oberschenkel::N,э́рде,šlaunis
46,Bein::N,йол,koja
47,Körper::N,кап,kūnas
48,Haut::N,кова́ште,oda
49,Blut::N,вӱр,kraujas
50,Ader::N,шӧн,kraujagyslė
51,Sehne::N,шӧн,sausgyslė
52,Sehne::N,кӱсе́н,sausgyslė
53,Knochen::N,лу,kaulas
54,Gehirn::N,вем,smegenys
55,Gehirn::N,вуйве́м,smegenys
56,Herz::N,шӱм,širdis
57,Magen::N,пага́р,skrandis
58,Leber::N,мокш,kepenys
59,Atem::N,шӱ́лыш,kvapas
60,Hunger::N,шужыма́ш,badas
61,Hunger::N,шужыма́ш,alkis
62,Träne::N,шинчавӱ́д,ašara
63,Geschmack::N,там,skonis
64,Geruch::N,пуш,kvapas
65,Schlaf::N,о́мо,miegas
66,Traum::N,йӱдо́мо,sapnas
67,Himmel::N,кава́,dangus
68,Sonne::N,ке́че,saulė
69,Mond::N,ты́лзе,mėnulis
70,Stern::N,шӱ́дыр,žvaigždė
71,Luft::N,юж,oras
72,Wind::N,марде́ж,vėjas
73,Welle::N,то́лкын,banga
74,Welle::N,то́лкын,vilnis
75,Wasser::N,вӱд,vanduo
76,Stein::N,кӱ,akmuo
77,Boden::N,рок,žemė
78,Boden::N,рок,dugnas
79,Erde::N,мла́нде,žemė
80,Staub::N,пура́к,dulkės
81,Rauch::N,шикш,dūmai
82,Funke::N,сеске́м,kibirkštis
83,Funke::N,тулйы́п,kibirkštis
84,Feuer::N,тул,ugnis
85,Licht::N,со́то,šviesa
86,Schatten::N,ӱ́мыл,paūksmė
87,Wetter::N,иге́че,oras
88,Nebel::N,тӱтыра́,migla
89,Nebel::N,тӱтыра́,rūkas
90,Wolke::N,пыл,debesis
91,Regen::N,йӱр,lietus
92,Schnee::N,лум,sniegas
93,Eis::N,ий,ledas
94,Frost::N,чатлама́,šalna
95,Kälte::N,йӱ́штӧ,šaltis
96,Hitze::N,шо́кшо,karštis
97,Raureif::N,пӧрш,šerkšnas
98,Raureif::N,по́кшым,šerkšnas
99,Regenbogen::N,шонанпы́л,vaivorykštė
100,Donner::N,кӱ́дырчӧ,perkūnas
101,Donner::N,кӱ́дырчӧ,griaustinis
102,Strömung::N,йо́гын,tėkmė
103,Tropfen::N,чӱча́лтыш,lašas
104,Schaum::N,шоҥ,putos
105,Schmutz::N,лавыра́,purvas
106,See::N,ер,ežeras
107,Sumpf::N,лӱ́кӧ,klampynė
108,Sumpf::N,лӱ́кӧ,liūnas
109,Moor::N,куп,pelkė
110,Wiese::N,о́лык,pieva
111,Wald::N,чодыра́,miškas
112,Hügel::N,арка́,kalva
113,Anhöhe::N,тӧва́,kauburys
114,Anhöhe::N,кӱкшака́,kauburys
115,Berg::N,ку́рык,kalnas
116,Gipfel::N,чаҥга́,viršūnė
117,Gipfel::N,курыкву́й,viršūnė
118,Höhle::N,пеще́р,ola
119,Höhle::N,курыкпо́мыш,ola
120,Abhang::N,та́йыл,šlaitas
121,Abhang::N,та́йыл,nuokalnė
122,Quelle::N,важ,versmė
123,Quelle::N,важ,šaltinis
124,Quelle::N,вӱдшинча́,versmė
125,Quelle::N,вӱдшинча́,šaltinis
126,Bach::N,изэҥе́р,upelis
127,Fluss::N,эҥе́р,upė
128,Ufer::N,сер,krantas
129,Küste::N,вӱдтӱ́р,pajūris
130,Festland::N,мла́нде,sausuma
131,Meer::N,те́ҥыз,jūra
132,Bucht::N,икса́,įlanka
133,Bucht::N,икса́,užutekis
134,Insel::N,отро́,sala
135,Blume::N,пеле́дыш,gėlė
136,Gras::N,шу́до,žolė
137,Wurzel::N,вож,šaknis
138,Baum::N,пуше́ҥге,medis
139,Stamm::N,йы́тыр,kamienas
140,Rinde::N,шӱм,žievė
141,Ast::N,укш,šaka
142,Zweig::N,торма́к,šakelė
143,Blatt::N,лышта́ш,lapas
144,Birke::N,куэ́,beržas
145,Kiefer[Baum]::N,пӱ́нчӧ,pušis
146,Weide[Baum]::N,уа́,karklas
147,Tanne::N,кож,eglė
148,Tanne::N,кож,kėnis
149,Horn::N,шур,ragas
150,Feder::N,пы́стыл,plunksna
151,Fell::N,кова́ште,kailis
152,Flügel::N,шу́лдыр,sparnas
153,Klaue::N,кӱч,kanopa
154,Kralle::N,ла́па,nagas
155,Kralle::N,копа́,nagas
156,Schwanz::N,поч,uodega
157,Ei::N,му́но,kiaušinis
158,Nest::N,пыжа́ш,gūžta
159,Nest::N,пыжа́ш,lizdas
160,Bau::N,пыжа́ш,ola
161,Tier::N,я́нлык,gyvūnas
162,Tier::N,живо́тный,gyvūnas
163,Herde::N,кӱ́тӱ,banda
164,Herde::N,кӱ́тӱ,kaimenė
165,Herde::N,тӱшка́,banda
166,Herde::N,тӱшка́,kaimenė
167,Kuh::N,ушка́л,karvė
168,Bulle::N,ӱ́шкыж,bulius
169,Pferd::N,и́мне,arklys
170,Schaf::N,шо́рык,avis
171,Schwein::N,сӧсна́,kiaulė
172,Hund::N,пий,šuo
173,Katze::N,пы́рыс,katė
174,Bär::N,маска́,lokys
175,Eichhörnchen::N,ур,voveraitė
176,Elch::N,шо́рдо,briedis
177,Fuchs::N,ры́выж,lapė
178,Hase::N,мера́ҥ,kiškas
179,Maus::N,коля́,pelė
180,Wolf::N,пи́ре,vilkas
181,Vogel::N,ка́йык,paukštis
182,Schwarm::N,каша́к,spiečius
183,Huhn::N,чы́ве,višta
184,Hahn::N,агыта́н,gaidys
185,Gans::N,ко́мбо,žąsis
186,Adler::N,карагу́ш,erelis
187,Ente::N,лу́до,antis
188,Eule::N,тумна́,pelėda
189,Kranich::N,турня́,gervė
190,Krähe::N,кора́к,varna
191,Kuckuck::N,куку́,gegužė
192,Schwan::N,йӱ́ксӧ,gulbė
193,Fisch::N,кол,žuvis
194,Barsch::N,ола́ҥге,ešerys
195,Hecht::N,нуж,lydeka
196,Hecht::N,чорта́н,lydeka
197,Schlange[Tier]::N,ки́шке,gyvatė
198,Wurm::N,шукш,kirmėlė
199,Spinne::N,эҥыре́мыш,voras
200,Ameise::N,ку́тко,skruzdė
201,Laus::N,тий,utėlė
202,Mücke::N,шыҥа́,uodas
203,Fliege::N,ка́рме,musė
204,Schmetterling::N,лы́ве,drugys
205,Schmetterling::N,лы́ве,peteliškė
206,Beere::N,мӧр,uoga
207,Apfel::N,олма́,obuolys
208,Pilz::N,по́ҥго,grybas
209,Zwiebel::N,шога́н,svogūnas
210,Saat::N,нӧ́шмӧ,sėkla
211,Saat::N,туш,sėkla
212,Korn::N,шу́рно,grūdai
213,Heu::N,шу́до,šienas
214,Schale::N,шӱм,žievelė
215,Grube::N,выне́м,duobė
216,Falle::N,лӧ́дӧ,pinklės
217,Falle::N,лӧ́дӧ,žabangai
218,Schlinge::N,о́птыш,kilpa
219,Schlinge::N,шӧрга́лтыш,kilpa
220,Spur::N,кыша́,vėžė
221,Spur::N,кыша́,pėdos
222,Spur::N,кыша́,pėdsakas
223,Asche::N,ло́мыж,pelenai
224,Dreck::N,лавыра́,purvas
225,Eisen::N,кӱ́ртньӧ,geležis
226,Gold::N,шӧ́ртньӧ,auksas
227,Silber::N,ший,sidabras
228,Kohle::N,мландышӱ́й,anglis
229,Glas::N,янда́,stiklas
230,Lehm::N,шун,molis
231,Sand::N,ошма́,smėlis
232,Mensch::N,еҥ,žmogus
233,Mensch::N,айде́ме,žmogus
234,Mann::N,пӧръе́ҥ,vyras
235,Mann::N,пӧръе́ҥ,vyriškis
236,Frau::N,ӱдырама́ш,moteris
237,Kind::N,аза́,vaikas
238,Junge::N,рве́зе,vaikinas
239,Junge::N,рве́зе,berniukas
240,Mädchen::N,ӱдыра́ш,mergytė
241,Mädchen::N,ӱдыра́ш,mergaitė
242,Familie::N,еш,šeima
243,Großvater::N,коча́,senelis
244,Großmutter::N,кова́,senelė
245,Eltern::N,ача́-ава́,tėvai
246,Vater::N,ача́,tėvas
247,Mutter::N,ава́,motina
248,Sohn::N,э́рге,sūnus
249,Tochter::N,ӱ́дыр,duktė
250,Bruder::N,иза́,brolis
251,Bruder::N,шо́льо,brolis
252,Schwester::N,ака́,sesuo
253,Onkel::N,иза́,dėdė
254,Tante::N,кока́,teta
255,Ehemann::N,мари́й,vyras
256,Ehefrau::N,ва́те,žmona
257,Freude::N,куа́н,džiaugsmas
258,Freude::N,куаныма́ш,džiaugsmas
259,Gelächter::N,во́штылтыш,juokas
260,Glück::N,пиа́л,laimė
261,Kummer::N,о́йго,vargas
