,Concept_ID,az,bg
0,Auge::N,göz,око
1,Ohr::N,qulaq,ухо
2,Nase::N,burun,нос
3,Mund::N,ağız,уста
4,Zahn::N,diş,зъб
5,Zunge::N,dil,език
6,Lippe::N,dodaq,устна
7,Wange::N,yanaq,буза
8,Gesicht::N,üz,лице
9,Gesicht::N,üz,образ
10,Stirn::N,alın,чело
11,Haar::N,saç,коса
12,Haar::N,saç,косъм
13,Schnurrbart::N,bığ,мустаци
14,Bart::N,saqqal,брада
15,Kinn::N,çənə,брада
16,Kinn::N,çənə,брадичка
17,Kiefer[Anatomie]::N,çənə,челюст
18,Kehle::N,boğaz,гърло
19,Hals::N,boyun,врат
20,Genick::N,ənsə,тил
21,Kopf::N,baş,глава
22,Rücken::N,bel,гръб
23,Bauch::N,qarın,корем
24,Nabel::N,göbək,пъп
25,Busen::N,məmə,бозка
26,Brust::N,döş,гръд
27,Schulter::N,çiyin,рамо
28,Schulter::N,çiyin,плещи
29,Arm::N,qol,ръка
30,Ellenbogen::N,dirsək,лакът
31,Hand::N,əl,ръка
32,Hand::N,əl,китка
33,Handfläche::N,ovuc,длан
34,Finger::N,barmaq,пръст
35,Fingernagel::N,barmaq dırnağı,нокът
36,Nagel[Anatomie]::N,dırnak,нокът
37,Zeh::N,ayaq barmağı,пръст на крак
38,Fuß::N,ayaq,крак
39,Fuß::N,ayaq,нога
40,Ferse::N,daban,пета
41,Knie::N,diz,коляно
42,Oberschenkel::N,bud,бедро
43,Bein::N,qıç,крак
44,Bein::N,qıç,нога
45,Körper::N,əndam,тяло
46,Haut::N,dəri,кожа
47,Blut::N,qan,кръв
48,Ader::N,damar,вена
49,Ader::N,damar,артерия
50,Sehne::N,vətər,жила
51,Sehne::N,vətər,сухожилие
52,Knochen::N,sümük,кост
53,Gehirn::N,beyin,мозък
54,Herz::N,ürək,сърце
55,Magen::N,mədə,стомах
56,Leber::N,qara ciyər,черен дроб
57,Atem::N,nəfəs,дишане
58,Hunger::N,aclıq,глад
59,Träne::N,göz yaşı,сълза
60,Geschmack::N,tam,вкус
61,Geschmack::N,ləzzət,вкус
62,Geruch::N,qoxu,миризма
63,Schlaf::N,yuxu,сън
64,Traum::N,röya,сън
65,Himmel::N,göy,небе
66,Himmel::N,səma,небе
67,Sonne::N,günəş,слънце
68,Mond::N,ay,луна
69,Mond::N,ay,месец
70,Stern::N,ulduz,звезда
71,Luft::N,hava,въздух
72,Wind::N,yel,вятър
73,Wind::N,külək,вятър
74,Welle::N,dalğa,вълна
75,Wasser::N,su,вода
76,Stein::N,daş,камък
77,Boden::N,yer,земя
78,Boden::N,yer,почва
79,Boden::N,zəmin,земя
80,Boden::N,zəmin,почва
81,Erde::N,yer torpaq,земя
82,Erde::N,yer torpaq,почва
83,Staub::N,toz,прах
84,Rauch::N,tüstü,дим
85,Rauch::N,tüstü,пушек
86,Funke::N,qığılcım,искра
87,Feuer::N,od,огън
88,Licht::N,işıq,светлина
89,Schatten::N,kölgə,сянка
90,Wetter::N,hava,време
91,Nebel::N,duman,мъгла
92,Wolke::N,bulud,облак
93,Regen::N,yağış,дъжд
94,Regen::N,yağmur,дъжд
95,Schnee::N,qar,сняг
96,Eis::N,buz,лед
97,Frost::N,ayaz,мраз
98,Kälte::N,soyuq,студ
99,Hitze::N,coşğunluq,жега
100,Hitze::N,coşğunluq,горещина
101,Raureif::N,qırov,скреж
102,Raureif::N,qırov,слана
103,Regenbogen::N,göy qurşağı,дъга
104,Donner::N,göy gurultusu,гръм
105,Strömung::N,axın,течение
106,Tropfen::N,damcı,капка
107,Schaum::N,köpük,пяна
108,Schmutz::N,çamır,кал
109,Schmutz::N,çamır,мръсотия
110,See::N,göl,езеро
111,Sumpf::N,bataqlıq,блато
112,Moor::N,bataqlıq,мочурище
113,Wiese::N,çəmən,ливада
114,Wald::N,meşə,гора
115,Hügel::N,təpə,рид
116,Hügel::N,təpə,хълм
117,Anhöhe::N,təpə,могила
118,Anhöhe::N,təpə,възвишение
119,Berg::N,dağ,планина
120,Gipfel::N,zirvə,връх
121,Höhle::N,mağara,пещера
122,Abhang::N,yamac,склон
123,Abhang::N,yamac,стръмнина
124,Quelle::N,bulaq,извор
125,Bach::N,kiçik çay,поток
126,Fluss::N,çay,река
127,Ufer::N,kənar,бряг
128,Küste::N,sahil,бряг
129,Küste::N,sahil,крайбрежие
130,Festland::N,materik,суша
131,Meer::N,dəniz,море
132,Bucht::N,körfəz,залив
133,Insel::N,ada,остров
134,Blume::N,çiçək,цвете
135,Gras::N,ot,трева
136,Wurzel::N,kök,корен
137,Baum::N,ağac,дърво
138,Stamm::N,gövdə,стъбло
139,Rinde::N,qabıq,кора
140,Ast::N,şax,клон
141,Zweig::N,budaq,клон
142,Blatt::N,yarpaq,лист
143,Birke::N,tozağacı,бреза
144,Kiefer[Baum]::N,şam,бор
145,Weide[Baum]::N,söyüd,върба
146,Tanne::N,küknar,ела
147,Horn::N,buynuz,рог
148,Feder::N,tük,перо
149,Feder::N,lələk,перо
150,Fell::N,xəz,кожа
151,Flügel::N,qanad,крило
152,Klaue::N,pəncə,нокът
153,Kralle::N,dırnaq,нокът
154,Schwanz::N,quyruq,опашка
155,Ei::N,yumurta,яйце
156,Nest::N,yuva,гнездо
157,Bau::N,yuva,дупка
158,Tier::N,heyvan,животно
159,Herde::N,sürü,стадо
160,Kuh::N,inək,крава
161,Bulle::N,öküz,бик
162,Pferd::N,at,кон
163,Schaf::N,qoyun,овца
164,Schwein::N,donuz,свиня
165,Hund::N,it,куче
166,Hund::N,köpək,куче
167,Katze::N,pişik,котка
168,Bär::N,ayı,мечка
169,Eichhörnchen::N,dələ,катерица
170,Elch::N,sığın,лос
171,Fuchs::N,tülkü,лисица
172,Hase::N,dovşan,заек
173,Maus::N,siçan,мишка
174,Wolf::N,qurd,вълк
175,Vogel::N,quş,птица
176,Schwarm::N,sürü,рой
177,Schwarm::N,sürü,рояк
178,Huhn::N,toyuq,кокошка
179,Hahn::N,xoruz,петел
180,Gans::N,qaz,гъска
181,Adler::N,qartal,орел
182,Adler::N,qaraquş,орел
183,Ente::N,ördək,патица
184,Eule::N,bayquş,сова
185,Kranich::N,durna,жерав
186,Krähe::N,qarğa,врана
187,Kuckuck::N,ququ,кукувица
188,Schwan::N,qu quşu,лебед
189,Fisch::N,balıq,риба
190,Barsch::N,tar,костур
191,Hecht::N,durnabalığı,щука
192,Schlange[Tier]::N,ilan,змия
193,Wurm::N,qurd,червей
194,Spinne::N,hörümçək,паяк
195,Ameise::N,qarışqa,мравка
196,Laus::N,bit,въшка
197,Mücke::N,ağcaqanad,комар
198,Fliege::N,milçək,муха
199,Schmetterling::N,kəpənək,пеперуда
200,Beere::N,gilə,плод
201,Apfel::N,alma,ябълка
202,Pilz::N,göbələk,гъба
203,Zwiebel::N,soğan,лук
204,Zwiebel::N,soğan,кромид
205,Saat::N,əkin,семе
206,Korn::N,taxıl,зърно
207,Heu::N,quru ot,сено
208,Schale::N,qabıq,кора
209,Grube::N,çuxur,яма
210,Grube::N,çuxur,дупка
211,Falle::N,tələ,примка
212,Falle::N,duzaq,примка
213,Schlinge::N,ilmək,клуп
214,Spur::N,iz,диря
215,Spur::N,iz,следа
216,Asche::N,kül,пепел
217,Dreck::N,kir,кал
218,Eisen::N,dəmir,желязо
219,Gold::N,altun,злато
220,Silber::N,gümüş,сребро
221,Kohle::N,kömür,въглища
222,Glas::N,şüşə,стъкло
223,Lehm::N,gil,глина
224,Lehm::N,palçıq,глина
225,Sand::N,qum,пясък
226,Mensch::N,adam,човек
227,Mensch::N,insan,човек
228,Mann::N,kişi,мъж
229,Frau::N,qadın,жена
230,Kind::N,uşaq,дете
231,Junge::N,oğlan,момче
232,Mädchen::N,qız,момиче
233,Familie::N,ailə,фамилия
234,Familie::N,ailə,семейство
235,Großvater::N,baba,дядо
236,Großmutter::N,nənə,баба
237,Eltern::N,valideyn,родители
238,Vater::N,ata,баща
239,Mutter::N,ana,майка
240,Sohn::N,oğul,син
241,Tochter::N,qız,дъщеря
242,Bruder::N,qardaş,брат
243,Schwester::N,bacı,сестра
244,Onkel::N,əmi,чичо
245,Onkel::N,əmi,вуйчо
246,Onkel::N,dayı,чичо
247,Onkel::N,dayı,вуйчо
248,Tante::N,bibi,леля
249,Ehemann::N,ər,съпруг
250,Ehefrau::N,arvad,съпруга
251,Freude::N,nəşə,радост
252,Freude::N,sevinc,радост
253,Gelächter::N,gülüş,смях
254,Gelächter::N,qəhqəhə,смях
255,Glück::N,səadət,щастие
256,Glück::N,xoşbəxtlik,щастие
257,Kummer::N,qəm,тъга
258,Kummer::N,kədər,тъга
259,Wunsch::N,arzu,желание
260,Lust::N,həvəs,желание
261,Geist::N,ruh,дух
262,Gedanke::N,fikir,мисъл
263,Gedanke::N,düşüncə,мисъл
264,Gedächtnis::N,xatir,памет
265,Gedächtnis::N,hafizə,памет
266,Verstand::N,ağıl,ум
267,Verstand::N,ağıl,разум
268,Sinn::N,məna,смисъл
269,Grund::N,səbəb,причина
270,Wahrheit::N,haqq,правда
271,Wahrheit::N,doğruluq,правда
272,Gespräch::N,söhbət,разговор
273,Gespräch::N,qonuşma,разговор
274,Märchen::N,nağıl,приказка
275,Erzählung::N,hekayə,разказ
276,Nachricht::N,xəbər,вест
277,Nachricht::N,xəbər,известие
278,Neuigkeit::N,xəbər,новина
279,Neuigkeit::N,yenilik,новина
280,Name::N,ad,име
281,Rätsel::N,tapmaca,гатанка
282,Rede::N,nitq,реч
283,Rede::N,nitq,слово
284,Sprache::N,dil,език
285,Stimme::N,səs,глас
286,Wort::N,söz,дума
287,Wort::N,kəlmə,дума
288,Zeichen::N,nişan,знак
289,Ruf::N,çığırtı,зов
290,Lärm::N,gurultu,шум
291,Lärm::N,gurultu,глъчка
292,Laut::N,səs,звук
293,Ton::N,ton,тон
294,Lied::N,mahnı,песен
295,Ruhe::N,sakitlik,тишина
296,Ruhe::N,sakitlik,спокойствие
297,Leute::N,xalq,хора
298,Volk::N,millət,народ
299,Arbeit::N,iş,труд
300,Arbeit::N,iş,работа
301,Arbeit::N,əmək,труд
302,Arbeit::N,əmək,работа
