,Concept_ID,hi,be
0,Auge::N,आँख,вока
1,Auge::N,चक्षु,вока
2,Ohr::N,कान,вуха
3,Ohr::N,कर्ण,вуха
4,Nase::N,नाक,нос
5,Nase::N,नासा,нос
6,Mund::N,मुख,рот
7,Mund::N,मुँह,рот
8,Zahn::N,दंत,зуб
9,Zahn::N,दाँत,зуб
10,Zunge::N,जीभ,язык
11,Zunge::N,ज़बान,язык
12,Zunge::N,जिह्वा,язык
13,Lippe::N,ओंठ,губа
14,Lippe::N,होंठ,губа
15,Wange::N,गाल,шчака
16,Wange::N,कपोल,шчака
17,Gesicht::N,मुँह,твар
18,Gesicht::N,चेहरा,твар
19,Stirn::N,माथा,лоб
20,Stirn::N,मस्तक,лоб
21,Haar::N,बाल,волас
22,Haar::N,बाल,валасы
23,Schnurrbart::N,मूँछें,вус
24,Schnurrbart::N,मूँछें,вусы
25,Bart::N,दाढ़ी,барада
26,Kinn::N,चिबुक,падбародак
27,Kiefer[Anatomie]::N,जबड़ा,сківіца
28,Kehle::N,गला,горла
29,Hals::N,गला,шыя
30,Hals::N,गरदन,шыя
31,Genick::N,गरदन,патыліца
32,Genick::N,ग्रीवा,патыліца
33,Kopf::N,सिर,галава
34,Kopf::N,शीर्ष,галава
35,Rücken::N,पीठ,спіна
36,Bauch::N,उदर,жывот
37,Nabel::N,नाभि,пупок
38,Nabel::N,ढोंढी,пупок
39,Busen::N,कुच,грудзі
40,Busen::N,स्तन,грудзі
41,Brust::N,वक्ष,грудзі
42,Schulter::N,कंधा,плячо
43,Schulter::N,स्कंध,плячо
44,Arm::N,बाँह,рука
45,Arm::N,बाज़ू,рука
46,Ellenbogen::N,कुहनी,локаць
47,Hand::N,हाथ,кісць
48,Hand::N,हस्त,кісць
49,Handfläche::N,हथेली,далонь
50,Finger::N,उँगली,палец
51,Finger::N,अँगुली,палец
52,Fingernagel::N,नख,ногаць
53,Fingernagel::N,नाख़ून,ногаць
54,Nagel[Anatomie]::N,नख,ногаць
55,Nagel[Anatomie]::N,नाख़ून,ногаць
56,Zeh::N,उँगली,палец
57,Zeh::N,पाँव की उँगली,палец
58,Fuß::N,चरण,нага
59,Fuß::N,पाँव,нага
60,Ferse::N,एड़ी,пята
61,Ferse::N,एड़ी,пятка
62,Knie::N,जानु,калена
63,Knie::N,घुटना,калена
64,Oberschenkel::N,उरु,бядро
65,Oberschenkel::N,उरु,сцягно
66,Bein::N,टाँग,нага
67,Körper::N,तन,цела
68,Körper::N,देह,цела
69,Körper::N,शरीर,цела
70,Haut::N,चर्म,скура
71,Haut::N,त्वचा,скура
72,Blut::N,लहू,кроў
73,Blut::N,ख़ून,кроў
74,Ader::N,रग,вена
75,Ader::N,रग,сасуд
76,Ader::N,शिरा,вена
77,Ader::N,शिरा,сасуд
78,Sehne::N,कंडरा,жыла
79,Sehne::N,कंडरा,цеціва
80,Sehne::N,कंडरा,сухажылле
81,Sehne::N,स्नायु,жыла
82,Sehne::N,स्नायु,цеціва
83,Sehne::N,स्नायु,сухажылле
84,Knochen::N,अस्थि,косць
85,Gehirn::N,दिमाग़,мозг
86,Gehirn::N,मस्तिष्क,мозг
87,Herz::N,दिल,сэрца
88,Herz::N,हृदय,сэрца
89,Magen::N,मेदा,страўнік
90,Magen::N,अमाशय,страўнік
91,Leber::N,जिगर,печань
92,Leber::N,यकृत्,печань
93,Atem::N,दम,дыханне
94,Atem::N,साँस,дыханне
95,Atem::N,श्वास,дыханне
96,Hunger::N,भूख,голад
97,Hunger::N,क्षुधा,голад
98,Träne::N,आँसू,сляза
99,Träne::N,अश्रु,сляза
100,Geschmack::N,स्वाद,смак
101,Geschmack::N,ज़ायक़ा,смак
102,Geruch::N,बू,пах
103,Geruch::N,गंध,пах
104,Schlaf::N,नींद,сон
105,Schlaf::N,निद्रा,сон
106,Traum::N,सपना,сон
107,Traum::N,स्वप्न,сон
108,Himmel::N,आकाश,неба
109,Himmel::N,आसमान,неба
110,Sonne::N,रवि,сонца
111,Sonne::N,सूरज,сонца
112,Sonne::N,सूर्य,сонца
113,Mond::N,चाँद,месяц
114,Mond::N,चंद्र,месяц
115,Stern::N,तारा,зорка
116,Stern::N,सितारा,зорка
117,Luft::N,हवा,паветра
118,Luft::N,वायु,паветра
119,Wind::N,पाद,вецер
120,Welle::N,लहर,хваля
121,Welle::N,तरंग,хваля
122,Wasser::N,जल,вада
123,Wasser::N,पानी,вада
124,Stein::N,पत्थर,камень
125,Boden::N,मिट्टी,глеба
126,Erde::N,भूमि,зямля
127,Erde::N,ज़मीन,зямля
128,Staub::N,धूल,пыл
129,Rauch::N,धूआँ,дым
130,Rauch::N,धुम्र,дым
131,Funke::N,चिनगारी,іскра
