,Concept_ID,vep,ce
0,Auge::N,sil'm,бӏаьрг
1,Ohr::N,korv,лерг
2,Nase::N,nena,мара
3,Mund::N,su,бага
4,Zahn::N,pi,церг
5,Zahn::N,hambaz,церг
6,Zunge::N,kel',мотт
7,Lippe::N,hul',балда
8,Wange::N,modpolišk,бесни
9,Gesicht::N,mod,юьхь
10,Stirn::N,oc,хьаж
11,Haar::N,tuk,мас
12,Haar::N,hibuz,мас
13,Schnurrbart::N,habinod,мекх
14,Bart::N,bard,маж
15,Kinn::N,löug,чӏениг
16,Kiefer[Anatomie]::N,hambazlu,мочхал
17,Kehle::N,kurk,къамкъарг
18,Hals::N,kagl,ворта
19,Genick::N,tagarai,кӏесаркӏаг
20,Kopf::N,pä,корта
21,Rücken::N,sel'g,букъ
22,Bauch::N,vac,кийра
23,Bauch::N,koht,кийра
24,Nabel::N,naba,цӏонга
25,Busen::N,niža,зударийн накха
26,Brust::N,rind,накха
27,Schulter::N,oug,белш
28,Arm::N,käzi,пхьарс
29,Ellenbogen::N,künambruz,пхьаьрсан гола
30,Hand::N,käzi,куьг
31,Hand::N,käzitera,куьг
32,Handfläche::N,kämen,кераюкъ
33,Finger::N,sor'm,пӏелг
34,Fingernagel::N,künz',мӏара
35,Nagel[Anatomie]::N,künz',мӏара
36,Zeh::N,barbaz,кога пӏелг
37,Fuß::N,jaug,ког
38,Ferse::N,kand,кӏажа
39,Knie::N,komb,гола
40,Knie::N,pol'v,гола
41,Oberschenkel::N,riiže,варе
42,Bein::N,jaug,ког
43,Körper::N,hibj,хӏума
44,Haut::N,nahk,чкъор
45,Blut::N,čak,цӏий
46,Blut::N,veri,цӏий
47,Ader::N,son',пха
48,Sehne::N,jände,хьорзам
49,Knochen::N,lu,даьӏахк
50,Gehirn::N,aivod,хье
51,Herz::N,südäin,дог
52,Magen::N,südäikoht,зорх
53,Leber::N,maks,доӏах
54,Atem::N,hengaiduz,садеӏар
55,Hunger::N,näl'g,мацалла
56,Träne::N,kündal',бӏаьрхи
