,Concept_ID,da,ar
0,Auge::N,øje,عين
1,Ohr::N,øre,أذن
2,Nase::N,næse,أنف
3,Mund::N,mund,فم
4,Zahn::N,tand,سن
5,Zunge::N,tunge,لسان
6,Lippe::N,læbe,شفة
7,Wange::N,kind,خد
8,Wange::N,kind,وجنة
9,Gesicht::N,ansigt,وجه
10,Stirn::N,pande,جبين
11,Haar::N,hår,شعر
12,Schnurrbart::N,overskæg,شارب
13,Bart::N,skæg,لحية
14,Kinn::N,hage,ذقن
15,Kiefer[Anatomie]::N,kæbe,فك
16,Kehle::N,strube,حلق
17,Hals::N,hals,عنق
18,Hals::N,hals,رقبة
19,Genick::N,nakke,قفا
20,Kopf::N,hoved,رأس
21,Rücken::N,ryg,ظهر
22,Bauch::N,mave,بطن
23,Nabel::N,navle,سرة
24,Busen::N,barm,ثدي
25,Brust::N,bryst,صدر
26,Schulter::N,skulder,كتف
27,Arm::N,arm,ذراع
28,Ellenbogen::N,albue,كوع
29,Hand::N,hånd,يد
30,Handfläche::N,håndflade,كف
31,Finger::N,finger,إصبع
32,Fingernagel::N,fingernegl,ظفر
33,Nagel[Anatomie]::N,negl,ظفر
34,Zeh::N,tå,إصبع القدم
35,Fuß::N,fod,قدم
36,Ferse::N,hæl,كعب
37,Knie::N,knæ,ركبة
38,Oberschenkel::N,lår,فخذ
39,Bein::N,ben,ساق
40,Körper::N,krop,جسم
41,Körper::N,legeme,جسم
42,Haut::N,hud,بشرة
43,Blut::N,blod,دم
44,Ader::N,åre,عرق
45,Sehne::N,sene,طنب
46,Knochen::N,ben,عظم
47,Gehirn::N,hjerne,دماغ
48,Herz::N,hjerte,قلب
49,Magen::N,mave,معدة
50,Leber::N,lever,كبد
51,Atem::N,ånde,نفس
52,Hunger::N,sult,جوع
53,Träne::N,tåre,دمعة
54,Geschmack::N,smag,طعم
55,Geschmack::N,smag,مذاق
56,Geruch::N,lugt,رائحة
57,Schlaf::N,søvn,نوم
58,Schlaf::N,søvn,منام
59,Traum::N,drøm,حلم
60,Himmel::N,himmel,سماء
61,Sonne::N,sol,شمس
62,Mond::N,måne,قمر
63,Stern::N,stjerne,نجم
64,Stern::N,stjerne,كوكب
65,Luft::N,luft,هواء
66,Wind::N,vind,ريح
67,Welle::N,bølge,موجة
68,Wasser::N,vand,ماء
69,Stein::N,sten,حجر
70,Boden::N,jord,تراب
71,Erde::N,jord,أرض
72,Staub::N,støv,غبار
73,Rauch::N,røg,دخان
74,Funke::N,gnist,شرارة
75,Feuer::N,ild,نار
76,Licht::N,lys,نور
77,Licht::N,lys,ضوء
78,Schatten::N,skygge,ظل
79,Schatten::N,skygge,فيء
80,Wetter::N,vejr,جو
81,Wetter::N,vejr,طقس
82,Nebel::N,tåge,ضباب
83,Wolke::N,sky,غيمة
84,Wolke::N,sky,سحابة
85,Regen::N,regn,مطر
86,Schnee::N,sne,ثلج
87,Eis::N,is,جليد
88,Frost::N,frost,صقيع
89,Kälte::N,kulde,برد
90,Hitze::N,hede,حر
91,Hitze::N,hede,حرارة
92,Raureif::N,rimfrost,صقيع
93,Regenbogen::N,regnbue,قوس قزح
94,Donner::N,torden,رعد
95,Strömung::N,strømning,تيار
96,Tropfen::N,dråbe,قطرة
97,Schaum::N,skum,زبد
98,Schaum::N,skum,رغوة
99,Schmutz::N,snavs,وسخ
100,See::N,sø,بحيرة
101,Sumpf::N,sump,مستنقع
102,Moor::N,mose,مستنقع
103,Wiese::N,eng,مرج
104,Wald::N,skov,غابة
105,Hügel::N,høj,تل
106,Hügel::N,bakke,تل
107,Anhöhe::N,høj,تل
108,Anhöhe::N,bakke,تل
109,Berg::N,bjerg,جبل
110,Gipfel::N,top,قمة
111,Höhle::N,hule,كهف
112,Abhang::N,skrænt,منحدر
113,Abhang::N,skråning,منحدر
114,Quelle::N,kilde,منبع
115,Bach::N,bæk,مجرى
116,Fluss::N,flod,نهر
117,Ufer::N,bred,ضفة
118,Küste::N,kyst,ساحل
119,Festland::N,fastland,بر
120,Meer::N,hav,بحر
121,Bucht::N,bugt,خليج
122,Insel::N,ø,جزيرة
123,Blume::N,blomst,زهرة
124,Gras::N,græs,حشيش
125,Wurzel::N,rod,أصل
126,Baum::N,træ,شجرة
127,Stamm::N,stamme,جذع
128,Rinde::N,bark,قشرة
129,Ast::N,gren,فرع
130,Zweig::N,kvist,غصن
131,Blatt::N,blad,ورقة
132,Birke::N,birk,قضبان
133,Kiefer[Baum]::N,fyrretræ,صنوبرة
134,Weide[Baum]::N,piletræ,صفصاف
135,Tanne::N,gran,شوح
136,Tanne::N,gran,تبوب
137,Horn::N,horn,قرن
138,Feder::N,fjer,ريشة
139,Fell::N,skind,فرو
140,Flügel::N,vinge,جناح
141,Klaue::N,klov,مخلب
142,Kralle::N,klo,مخلب
143,Schwanz::N,hale,ذيل
144,Ei::N,æg,بيض
145,Nest::N,rede,عش
146,Bau::N,bo,جحر
147,Tier::N,dyr,حيوان
148,Herde::N,flok,قطيع
149,Kuh::N,ko,بقرة
150,Bulle::N,tyr,ثور
151,Pferd::N,hest,خيل
152,Schaf::N,får,شاة
153,Schwein::N,gris,خنزير
154,Hund::N,hund,كلب
155,Katze::N,kat,قطة
156,Bär::N,bjørn,دب
157,Eichhörnchen::N,egern,سنجاب
158,Elch::N,elg,موظ
159,Fuchs::N,ræv,ثعلب
160,Hase::N,hare,أرنب
161,Maus::N,mus,فأرة
162,Wolf::N,ulv,ذئب
163,Vogel::N,fugl,طير
164,Schwarm::N,sværm,سرب
165,Huhn::N,høne,دجاجة
166,Hahn::N,hane,ديك
167,Gans::N,gås,وزة
168,Adler::N,ørn,نسر
169,Ente::N,and,بطة
170,Eule::N,ugle,بوم
171,Kranich::N,trane,كركي
172,Krähe::N,krage,غراب
173,Kuckuck::N,gøg,وقواق
174,Schwan::N,svane,إوز عراقي
175,Fisch::N,fisk,سمك
176,Barsch::N,aborre,فرخ أوربي
177,Hecht::N,gedde,سمك الكراكي
178,Schlange[Tier]::N,slange,حية
179,Schlange[Tier]::N,slange,ثعبان
180,Wurm::N,orm,دودة
181,Spinne::N,edderkop,عنكبوت
182,Ameise::N,myre,نملة
183,Laus::N,lus,قملة
184,Mücke::N,myg,ناموسة
185,Fliege::N,flue,ذبابة
186,Schmetterling::N,sommerfugl,فراشة
187,Beere::N,bær,حبة
188,Apfel::N,æble,تفاح
189,Pilz::N,svamp,فطر
190,Zwiebel::N,løg,بصل
191,Saat::N,sæd,زرع
192,Korn::N,korn,حبة
193,Heu::N,hø,دريس
194,Schale::N,skræl,قشرة
195,Grube::N,grav,نقرة
196,Falle::N,fælde,فخ
197,Falle::N,fælde,مصيدة
198,Schlinge::N,snare,عروة
199,Spur::N,spor,أثر
200,Asche::N,aske,رماد
201,Dreck::N,snavs,قذر
202,Eisen::N,jern,حديد
203,Gold::N,guld,ذهب
204,Silber::N,sølv,فضة
205,Kohle::N,kul,فحم
206,Glas::N,glas,زجاج
207,Lehm::N,ler,طين
208,Sand::N,sand,رمل
209,Mensch::N,mennesge,إنسان
210,Mann::N,mand,رجل
211,Frau::N,kvinde,امرأة
212,Kind::N,barn,طفل
213,Junge::N,dreng,ولد
214,Mädchen::N,pige,بنت
215,Familie::N,familie,عائلة
216,Großvater::N,bedstefar,جد
217,Großmutter::N,bedstemor,جدة
218,Eltern::N,forældre,أبوان
219,Eltern::N,forældre,والدان
220,Vater::N,far,أب
221,Mutter::N,mor,أم
222,Sohn::N,søn,إبن
223,Tochter::N,datter,بنت
224,Tochter::N,datter,إبنة
225,Bruder::N,bror,أخ
226,Bruder::N,bror,شقيق
227,Schwester::N,søster,أخت
228,Onkel::N,onkel,عم
229,Tante::N,tante,عمة
230,Ehemann::N,ægtemand,زوج
231,Ehefrau::N,hustru,زوجة
232,Freude::N,glæde,فرح
233,Freude::N,glæde,سرور
234,Gelächter::N,latter,قهقهة
235,Glück::N,lykke,سعادة
236,Kummer::N,sorg,غم
237,Wunsch::N,ønske,منية
238,Lust::N,lyst,شهوة
239,Geist::N,ånd,روح
240,Gedanke::N,tanke,فكرة
241,Gedächtnis::N,hukommelse,ذاكرة
242,Verstand::N,forstand,عقل
243,Sinn::N,mening,معنى
244,Sinn::N,betydning,معنى
245,Grund::N,grund,سبب
246,Wahrheit::N,sandhed,حقيقة
247,Gespräch::N,samtale,محادثة
248,Märchen::N,eventyr,خرافة
249,Erzählung::N,fortælling,قصة
250,Erzählung::N,fortælling,حكاية
251,Nachricht::N,efterretning,خبر
252,Neuigkeit::N,nyhed,خبر جديد
253,Name::N,navn,اسم
254,Rätsel::N,gåde,لغز
255,Rede::N,tale,خطبة
256,Sprache::N,sprog,لغة
257,Stimme::N,stemme,صوت
258,Wort::N,ord,كلمة
259,Zeichen::N,tegn,رمز
260,Zeichen::N,tegn,إشارة
261,Ruf::N,råb,نداء
262,Lärm::N,larm,صخب
263,Lärm::N,larm,ضجة
264,Laut::N,lyd,صوت
265,Ton::N,tone,نغمة
266,Lied::N,sang,أغنية
267,Ruhe::N,ro,هدوء
268,Ruhe::N,hvile,هدوء
269,Leute::N,folk,ناس
270,Leute::N,mennesker,ناس
271,Volk::N,folk,شعب
272,Arbeit::N,arbejde,عمل
273,Gast::N,gæst,ضيف
274,Geschenk::N,gave,هدية
275,Spiel::N,leg,لعب
276,Gesellschaft::N,selskab,صحبة
277,Hilfe::N,hjælp,عون
