,Concept_ID,uz,te
0,Auge::N,ko'z,కన్ను
1,Ohr::N,quloq,చెవి
2,Nase::N,burun,ముక్కు
3,Mund::N,og'iz,నోరు
4,Zahn::N,tish,పల్లు
5,Zunge::N,til,నాలుక
6,Lippe::N,dudoq,పెదవి
7,Wange::N,bet,చెంప
8,Gesicht::N,yuz,ముఖము
9,Stirn::N,manglay,నుదురు
10,Haar::N,soch,వెండ్రుక
11,Schnurrbart::N,mo'ylov,మీసము
12,Bart::N,soqol,గడ్డము
13,Kinn::N,ängak,గడ్డము
14,Kiefer[Anatomie]::N,iyak,దౌడ
15,Kehle::N,bo'g'iz,గొంతు
16,Hals::N,bo'yin,మెడ
17,Genick::N,gardan,మూపు
18,Kopf::N,bosh,తల
19,Rücken::N,orqa,వెన్ను
20,Bauch::N,qorin,కడుపు
21,Nabel::N,kindik,బొడ్డు
22,Busen::N,ämchak,స్తనము
23,Brust::N,ko'krak,ఱొమ్ము
24,Schulter::N,elka,భుజము
25,Arm::N,bilak,చేయి
26,Ellenbogen::N,tirsak,మోచేయి
27,Hand::N,qo'l,చేయి
28,Handfläche::N,kaft,అరచేయు
29,Finger::N,barmoq,చేతిప్రేలు
30,Fingernagel::N,tirnoq,గోరు
31,Nagel[Anatomie]::N,tirnoq,గోరు
32,Zeh::N,oyoq barmog'i,కాలిప్రేలు
33,Fuß::N,oyoq,అడుగు
34,Ferse::N,tovon,మడమ
35,Knie::N,tiz,మోకాలు
36,Oberschenkel::N,son,తొడ
37,Bein::N,oyoq,కాలు
38,Körper::N,badna,కాయము
39,Haut::N,teri,చర్మము
40,Blut::N,qon,రక్తము
41,Ader::N,qon tomir,సిర
42,Sehne::N,tomir,స్నాయువు
43,Knochen::N,suyak,ఎముక
44,Gehirn::N,miya,మెదడు
45,Herz::N,qalb,హృదయము
46,Magen::N,oshqozon,కడుపు
47,Leber::N,bag'ir,కాలేయము
48,Atem::N,dam,ఉపిరి
49,Hunger::N,ochlik,ఆకలి
50,Träne::N,yosh,కన్నీటిచుక్క
51,Geschmack::N,tam,రుచి
52,Geruch::N,jid,వాసన
53,Schlaf::N,uyqu,నిద్ర
54,Traum::N,tush,కల
55,Himmel::N,osmon,ఆకాశము
56,Sonne::N,quyosh,సూర్యుడు
57,Mond::N,oy,చంద్రుడు
58,Stern::N,yulduz,నక్షత్రము
59,Luft::N,havo,గాలి
60,Wind::N,el,వీచుచున్నగాలి
61,Welle::N,to'lqin,అల
62,Wasser::N,suv,నీరు
63,Stein::N,tosh,ఱాయి
64,Boden::N,tuproq,నేల
65,Erde::N,er,మన్ను
66,Staub::N,chang,దుమ్ము
67,Rauch::N,tutun,పొగ
68,Funke::N,yalt,అగ్నికణము
69,Feuer::N,o't,అగ్ని
70,Licht::N,yorug',కాంతి
71,Schatten::N,soya,నీడ
72,Wetter::N,havo,వాతావరణ స్థితి
73,Nebel::N,tuman,పొగమంచు
74,Wolke::N,bulut,మేఘము
75,Regen::N,yomg'ir,వాన
76,Schnee::N,qor,హిమము
77,Eis::N,muz,మంచుగడ్డ
78,Frost::N,ajoz,పేరిన మంచు
79,Kälte::N,ajoz,చలి
80,Hitze::N,issiq,వేడిమి
81,Raureif::N,qirov,మంచు
82,Regenbogen::N,kamalak,ఇంద్రధనుస్సు
83,Donner::N,guldur,ఉరుము
84,Strömung::N,oqim,ప్రవాహము
85,Tropfen::N,tomchi,చుక్క
86,Schaum::N,ko'pik,నురుగు
87,Schmutz::N,gard,మైల
88,See::N,ko'l,సరస్సు
89,Sumpf::N,botqoq,చిత్తడినేల
90,Moor::N,qir-adir,చిత్తడినేల
91,Wiese::N,o'tzor,పచ్చిక బయలు
92,Wald::N,o'rmon,అడవి
93,Hügel::N,tepa,చివ్నకొండ
94,Anhöhe::N,adir,కొండ
95,Berg::N,tog',పర్వతము
96,Gipfel::N,cho'qqi,శిఖరము
97,Höhle::N,kavak,గుహ
98,Abhang::N,to'sh,ఏటవాలు
99,Quelle::N,buloq,మూలము
100,Bach::N,o'zan,కాలువ
101,Fluss::N,daryo,నది
102,Ufer::N,sohil,తీరము
103,Küste::N,qirg'oq,తీరము
104,Festland::N,materik,భూమి
105,Meer::N,dengiz,సముద్రము
106,Bucht::N,qo'ltiq,మరుగు
107,Insel::N,orol,దీవి
108,Blume::N,gul,పుష్పము
109,Gras::N,sabza,పచ్చగడ్డి
110,Wurzel::N,tub,వేరు
111,Wurzel::N,tomir,వేరు
112,Baum::N,daraxt,చెట్టు
113,Stamm::N,o'simta,చెట్టుబోదె
114,Rinde::N,qobiq,చెట్టుపట్ట
115,Ast::N,shox,కొమ్మ
116,Zweig::N,butoq,చివుకు
117,Blatt::N,barg,ఆకు
118,Birke::N,qayin,తరహా చెట్టు
119,Kiefer[Baum]::N,qarag'ay,దేవదారు చెట్టు
120,Weide[Baum]::N,shum,జాతిచెట్టు
121,Tanne::N,archa,దేవదారుచెట్టు
122,Horn::N,mugiz,కొమ్ము
123,Feder::N,par,ఈక
124,Fell::N,mo'yna,తోలు
125,Flügel::N,qanot,ఱెక్క
126,Klaue::N,tirnoq,వంకరగోరు
127,Kralle::N,tirnoq,వంకరగోరు
128,Schwanz::N,quyruq,తోక
129,Ei::N,tuxum,గ్రుడ్డు
130,Nest::N,oshyon,పక్షిగూడు
131,Bau::N,o'pqon,గుహ
132,Tier::N,hayvon,జంతువు
133,Herde::N,gala,మంద
134,Kuh::N,inak,ఆవు
135,Bulle::N,ho'kiz,గిత్త
136,Pferd::N,ot,గుఱ్ఱము
137,Schaf::N,qo'y,గొఱ్ఱె
138,Schwein::N,cho'chqa,పంది
139,Hund::N,it,కుక్క
140,Katze::N,mushuk,పిల్లి
141,Bär::N,ayiq,ఎలుగుబంటి
142,Eichhörnchen::N,tiyin,ఉడుత
143,Elch::N,los,కణంజు
144,Fuchs::N,tulki,గుంటనక్క
145,Hase::N,kuyon,కుందేలు
146,Maus::N,sichqon,చిట్టెలుక
147,Wolf::N,bo'ri,తోడేలు
148,Vogel::N,qush,పక్షి
149,Schwarm::N,to'da,గుంపు
150,Huhn::N,tovuq,కోడిపిల్ల
151,Hahn::N,xo'roz,కోడివుంజు
152,Gans::N,g'oz,ఆడుబాతు
153,Adler::N,burgut,గ్రద్ద
154,Ente::N,o'rdak,పాట్టిబాతు
155,Eule::N,boyo'g'li,గ్రుడ్లగూబ
156,Kranich::N,turna,కొంగ
157,Krähe::N,qarg'a,కాకి
158,Kuckuck::N,kakku,కోయల
159,Schwan::N,oqkush,హంస
160,Fisch::N,baliq,చేప
161,Barsch::N,olabug'a,ఒకచేఁప
162,Hecht::N,cho'rtan,గండుమీను
163,Schlange[Tier]::N,ilon,పాము
164,Wurm::N,qurt,పురుగు
165,Spinne::N,o'rgimchak,సాలె పురుగు
166,Ameise::N,chumoli,చీమ
167,Laus::N,bit,పేను
168,Mücke::N,chivin,చీకటీగ
169,Fliege::N,pashsha,ఈగ
170,Schmetterling::N,kapalak,సీతాకోకచిలుక
171,Beere::N,meva,కాయ
172,Apfel::N,olma,ఆపిల్ పండు
173,Pilz::N,qo'ziqorin,కుక్కగొడుగు
174,Zwiebel::N,piyoz,నీరుల్లి
175,Saat::N,äkin,విత్తనము
176,Korn::N,zarra,గింజ
177,Heu::N,xashak,ఎండుగడ్డి
178,Schale::N,po'choq,పొట్టు
179,Grube::N,co'ra,గొయ్యి
180,Falle::N,qopqon,బోను
181,Schlinge::N,sirtmoq,ఉరి
182,Spur::N,iz,జాడ
183,Asche::N,kul,బూడిద
184,Dreck::N,kir,ముఱికి
185,Eisen::N,temir,ఇనుము
186,Gold::N,tilla,బంగారము
187,Silber::N,kumush,వెండి
188,Kohle::N,ko'mir,నేలబొగ్గు
189,Glas::N,oyna,గాజు
190,Lehm::N,loy,బంకమన్ను
191,Sand::N,qum,ఇసుక
192,Mensch::N,odam,నరుడు
193,Mann::N,ärkak,పురుమడు
194,Frau::N,ayol,ఆడుది
195,Kind::N,bola,బిడ్డ
196,Kind::N,kichkintoy,బిడ్డ
197,Junge::N,bola,బాలుడు
198,Mädchen::N,qiz,బాలిక
199,Familie::N,oila,కుటుంబము
200,Großvater::N,buva,తాత
201,Großvater::N,katta ota,తాత
202,Großmutter::N,buvi,అయ్యమ్మ
203,Großmutter::N,katta oyi,అయ్యమ్మ
204,Eltern::N,ota-ona,తల్లితండ్రులు
205,Vater::N,ota,తండ్రి
206,Mutter::N,ona,తల్లి
207,Sohn::N,o'g'il,కొడుకు
208,Tochter::N,qiz,కూతురు
209,Bruder::N,og'a,పోదరుడు
210,Bruder::N,uka,పోదరుడు
211,Schwester::N,opa,సోదరి
212,Schwester::N,singil,సోదరి
213,Onkel::N,amaki,మేనమామ
214,Tante::N,amma,మేనత్త
215,Tante::N,amma,పినతల్లి
216,Tante::N,xola,మేనత్త
217,Tante::N,xola,పినతల్లి
218,Ehemann::N,är,భర్త
219,Ehefrau::N,rafiqa,భార్య
220,Freude::N,ayish,సంతోషము
221,Gelächter::N,kulgi,నవ్వు
222,Glück::N,saodat,సంతోషము
223,Kummer::N,g'am,దుఃఖము
224,Wunsch::N,orzu,కోరిక
225,Lust::N,rag'bat,కోరిక
226,Geist::N,ruh,ఆత్మ
227,Gedanke::N,fikr,ఆలోచన
228,Gedächtnis::N,äs,జ్ఞాపకము
229,Verstand::N,aql,మనస్సు
230,Sinn::N,ma'ni,అర్థము
231,Grund::N,sabab,కారణము
232,Wahrheit::N,haq,సత్యము
233,Gespräch::N,gap,పంభాషణ
234,Märchen::N,ärtak,అద్భుతకథ
235,Erzählung::N,rivoyat,కథ
236,Nachricht::N,xabar,వార్త
237,Neuigkeit::N,yangilik,వార్త
238,Name::N,ot,పేరు
239,Rätsel::N,topishmoq,చిక్కు
240,Rede::N,nutq,ఉపన్యాసము
241,Sprache::N,til,భాష
242,Stimme::N,ovoz,కంరథ్సని
243,Wort::N,so'z,మాట
244,Zeichen::N,alomat,గుర్తు
