,Concept_ID,tt,tr
0,Auge::N,күз,göz
1,Ohr::N,колак,kulak
2,Nase::N,борын,burun
3,Mund::N,авыз,ağız
4,Mund::N,тамак,ağız
5,Zahn::N,теш,diş
6,Zunge::N,тел,dil
7,Lippe::N,ирен,dudak
8,Wange::N,яңак,yanak
9,Gesicht::N,йөз,yüz
10,Stirn::N,маңгай,alın
11,Haar::N,чәч,saç
12,Schnurrbart::N,мыек,bıyık
13,Bart::N,сакал,sakal
14,Kinn::N,ияк,çene
15,Kiefer[Anatomie]::N,казналык,çene
16,Kehle::N,тамак,boğaz
17,Hals::N,бугаз,boyun
18,Hals::N,бугаз,gerdan
19,Genick::N,җилкә,ense
20,Kopf::N,баш,baş
21,Kopf::N,баш,kafa
22,Rücken::N,сырт,arka
23,Bauch::N,корсак,karın
24,Nabel::N,кендек,göbek
25,Busen::N,түш,koyun
26,Brust::N,имчәк,göğüs
27,Brust::N,күкрәк,göğüs
28,Schulter::N,иңбаш,omuz
29,Schulter::N,кулбаш,omuz
30,Arm::N,кул,kol
31,Ellenbogen::N,терсәк,dirsek
32,Hand::N,кул,el
33,Handfläche::N,уч,avuç
34,Handfläche::N,уч,el ayası
35,Finger::N,бармак,parmak
36,Fingernagel::N,тырнак,el tırnağı
37,Nagel[Anatomie]::N,тырнак,tırnak
38,Zeh::N,бармак,ayak parmağı
39,Fuß::N,табан,ayak
40,Ferse::N,үкчә,topuk
41,Knie::N,тез,diz
42,Oberschenkel::N,бот,uyluk
43,Bein::N,аяк,bacak
44,Körper::N,тән,vücut
45,Körper::N,җисем,vücut
46,Haut::N,тире,cilt
47,Blut::N,кан,kan
48,Ader::N,тамыр,damar
49,Sehne::N,сеңер,kiriş
50,Knochen::N,сөяк,kemik
51,Gehirn::N,ми,beyin
52,Herz::N,йөрәк,kalp
53,Herz::N,йөрәк,yürek
54,Magen::N,ашказаны,mide
55,Leber::N,бавыр,karaciğer
56,Atem::N,сулыш,nefes
57,Hunger::N,ачлык,açlık
58,Träne::N,яшь,gözyaşı
59,Geschmack::N,тәм,tat
60,Geschmack::N,тәм,lezzet
61,Geschmack::N,зәвык,tat
62,Geschmack::N,зәвык,lezzet
63,Geruch::N,ис,koku
64,Schlaf::N,йокы,uyku
65,Traum::N,төш,düş
66,Traum::N,төш,rüya
67,Himmel::N,күк,gök
68,Sonne::N,кояш,güneş
69,Mond::N,ай,ay
70,Stern::N,йолдыз,yıldız
71,Luft::N,һава,hava
72,Wind::N,җил,yel
73,Wind::N,җил,rüzgâr
74,Welle::N,дулкын,dalga
75,Wasser::N,су,su
76,Stein::N,таш,taş
77,Boden::N,туфрак,yer
78,Boden::N,туфрак,zemin
79,Erde::N,җир,toprak
80,Staub::N,тузан,toz
81,Rauch::N,төтен,duman
82,Funke::N,очкын,kıvılcım
83,Feuer::N,ут,ateş
84,Licht::N,якты,ışık
85,Schatten::N,күләгә,gölge
86,Wetter::N,һава,hava
87,Nebel::N,томан,pus
88,Wolke::N,болыт,bulut
89,Regen::N,яңгыр,yağmur
90,Schnee::N,кар,kar
91,Eis::N,боз,buz
92,Frost::N,суык,don
93,Frost::N,салкын,don
94,Kälte::N,суык,soğukluk
95,Kälte::N,салкын,soğukluk
96,Hitze::N,эсселек,sıcaklık
97,Raureif::N,бәс,kırç
98,Raureif::N,сыкы,kırç
99,Regenbogen::N,салават күпере,gökkuşağı
100,Donner::N,күкрәү,gök gürlemesi
101,Strömung::N,агыш'агым,akıntı
102,Strömung::N,агыш'агым,cereyan
103,Tropfen::N,тамчы,damla
104,Schaum::N,күбек,köpük
105,Schmutz::N,пычрак,çamur
106,Schmutz::N,пычрак,pislik
107,See::N,күл,göl
108,Sumpf::N,саз,batak
109,Moor::N,торфлык,cılgıt
110,Wiese::N,болын,çimen
111,Wald::N,урман,koru
112,Wald::N,урман,orman
113,Hügel::N,калку,tepe
114,Anhöhe::N,үр,tümsek
115,Anhöhe::N,үр,yükseklik
116,Berg::N,тау,dağ
117,Gipfel::N,оч,zirve
118,Höhle::N,мәгарә,in
119,Höhle::N,мәгарә,mağara
120,Abhang::N,кабырга,bayır
121,Quelle::N,чишмә,pınar
122,Quelle::N,чишмә,kaynak
123,Bach::N,елга,çay
124,Bach::N,елга,dere
125,Fluss::N,дәрья,nehir
126,Ufer::N,су кырые,kıyı
127,Ufer::N,су кырые,sahil
128,Küste::N,яр буе,kıyı
129,Küste::N,яр буе,sahil
130,Festland::N,коры җир,kara
131,Meer::N,диңгез,deniz
132,Bucht::N,бухта,koy
133,Bucht::N,бухта,körfez
134,Bucht::N,култык,koy
135,Bucht::N,култык,körfez
136,Insel::N,атау,ada
137,Insel::N,утрау,ada
138,Blume::N,чәчкә,çiçek
139,Gras::N,үлән,ot
140,Gras::N,үлән,çim
141,Wurzel::N,тамыр,kök
142,Baum::N,агач,ağaç
143,Stamm::N,кәүсә,gövde
144,Rinde::N,кабык,kabuk
145,Ast::N,ботак,dal
146,Ast::N,ботак,budak
147,Zweig::N,ботак,dal
148,Zweig::N,тармак,dal
149,Blatt::N,яфрак,yaprak
150,Birke::N,каен,huş
151,Kiefer[Baum]::N,нарат,çam
152,Weide[Baum]::N,тал,söğüt
153,Tanne::N,чыршы,çam
154,Tanne::N,чыршы,köknar
155,Horn::N,мөгез,boynuz
156,Feder::N,йон,tüy
157,Fell::N,тире,post
158,Flügel::N,канат,kanat
159,Klaue::N,тырнак,pençe
160,Kralle::N,тырнак,tırnak
161,Schwanz::N,койрык,kuyruk
162,Ei::N,күкәй,yumurta
163,Ei::N,йомырка,yumurta
164,Nest::N,оя,yuva
165,Bau::N,өн,in
166,Tier::N,хайван,hayvan
167,Herde::N,көтү,sürü
168,Kuh::N,сыер,inek
169,Bulle::N,үгез,boğa
170,Pferd::N,ат,at
171,Pferd::N,ат,beygir
172,Schaf::N,сарык,koyun
173,Schwein::N,дуңгыз,domuz
174,Hund::N,эт,it
175,Hund::N,эт,köpek
176,Katze::N,песи,kedi
177,Bär::N,аю,ayı
178,Eichhörnchen::N,тиен,sincap
179,Elch::N,поши,büyük kuzey geyiği
180,Fuchs::N,төлке,tilki
181,Hase::N,куян,tavşan
182,Maus::N,тычкан,fare
183,Maus::N,тычкан,sıçan
184,Wolf::N,бүре,kurt
185,Vogel::N,кош,kuş
186,Schwarm::N,көтү,sürü
187,Huhn::N,тавык,tavuk
188,Hahn::N,әтәч,horoz
189,Gans::N,каз,kaz
190,Adler::N,каракош,kartal
191,Adler::N,каракош,karakuş
192,Ente::N,үрдәк,ördek
193,Eule::N,ябалак,baykuş
194,Kranich::N,торна,turna
195,Krähe::N,карга,karga
196,Kuckuck::N,күке,guguk
197,Kuckuck::N,кәккүк,guguk
198,Schwan::N,аккош,kuğu
199,Fisch::N,балык,balık
200,Barsch::N,алабуга,hani
201,Barsch::N,алабуга,levrek
202,Hecht::N,чуртан,turnabalığı
203,Schlange[Tier]::N,елан,yılan
204,Wurm::N,корт,kurt
205,Wurm::N,корт,solucan
206,Spinne::N,үрмәкүч,örümcek
207,Ameise::N,кырмыска,karınca
208,Laus::N,бет,bit
209,Mücke::N,черки,sivrisinek
210,Mücke::N,озынборын,sivrisinek
211,Fliege::N,чебен,sinek
212,Schmetterling::N,күбәләк,kelebek
213,Beere::N,җиләк,tane
214,Apfel::N,алма,elma
215,Pilz::N,гөмбә,mantar
216,Zwiebel::N,суган,soğan
217,Zwiebel::N,суганбаш,soğan
218,Saat::N,орлык,ekin
219,Korn::N,иген,tane
220,Korn::N,орлык,tane
221,Heu::N,печән,kuru ot
222,Schale::N,кабык,kabuk
223,Grube::N,баз,çukur
224,Grube::N,чокыр,çukur
225,Falle::N,тозак,tuzak
226,Falle::N,капкын,tuzak
227,Schlinge::N,элмәк,ilmik
228,Spur::N,эз,iz
229,Asche::N,көл,kül
230,Dreck::N,пычрак,pislik
231,Eisen::N,тимер,demir
232,Gold::N,алтын,altın
233,Silber::N,көмеш,gümüş
234,Kohle::N,күмер,kömür
235,Glas::N,пыяла,cam
236,Lehm::N,балчык,balçık
237,Sand::N,ком,kum
238,Mensch::N,адәм,insan
239,Mensch::N,инсан,insan
240,Mann::N,ир,adam
241,Mann::N,ир,erkek
242,Frau::N,хатын,bayan
243,Kind::N,бала,çocuk
244,Junge::N,малай,erkek çocuk
245,Mädchen::N,кыз,kız
246,Familie::N,гаилә,aile
247,Großvater::N,бабай,dede
248,Großvater::N,бабай,büyükbaba
249,Großmutter::N,әби,nine
250,Großmutter::N,әби,büyükanne
251,Eltern::N,ата-ана,ebeveyn
252,Eltern::N,ата-ана,ana baba
253,Vater::N,ата,ata
254,Vater::N,ата,baba
255,Mutter::N,ана,ana
256,Mutter::N,ана,anne
257,Sohn::N,ул,oğul
258,Tochter::N,кыз,kız
259,Tochter::N,кыз,kız evlât
260,Bruder::N,кардәш,abi
261,Bruder::N,кардәш,erkek kardeş
262,Schwester::N,апа,abla
263,Schwester::N,апа,kız kardeş
264,Schwester::N,сеңел,abla
265,Schwester::N,сеңел,kız kardeş
266,Onkel::N,дәдә,dayı
267,Onkel::N,дәдәй,dayı
268,Tante::N,түти,hala
269,Tante::N,түти,teyze
270,Tante::N,тәтәй,hala
