,Concept_ID,te,mrj
0,Auge::N,కన్ను,сӹнзӓ
1,Ohr::N,చెవి,пӹлӹш
2,Nase::N,ముక్కు,нер
3,Mund::N,నోరు,ышма
4,Zahn::N,పల్లు,пӱ
5,Zunge::N,నాలుక,йӹлмӹ
6,Lippe::N,పెదవి,тӹрвӹ
7,Wange::N,చెంప,шӹргӹ
8,Gesicht::N,ముఖము,лицӓ
9,Stirn::N,నుదురు,лепкӓ
10,Haar::N,వెండ్రుక,ӱп
11,Schnurrbart::N,మీసము,öрш
12,Bart::N,గడ్డము,пандаш
13,Kinn::N,గడ్డము,онгылаш
14,Kiefer[Anatomie]::N,దౌడ,пӱ арата
15,Kehle::N,గొంతు,логер
16,Hals::N,మెడ,шӱ
17,Genick::N,మూపు,ланга
18,Kopf::N,తల,вуй
19,Rücken::N,వెన్ను,туп
20,Bauch::N,కడుపు,мӹшкӹр
21,Nabel::N,బొడ్డు,кӹлӹмдӹ
22,Busen::N,స్తనము,цӹзӹ
23,Brust::N,ఱొమ్ము,мел
24,Schulter::N,భుజము,ӹнгӹжӓ
25,Arm::N,చేయి,кид
26,Ellenbogen::N,మోచేయి,кӹнервуй
27,Hand::N,చేయి,лапа
28,Handfläche::N,అరచేయు,кид лапа
29,Finger::N,చేతిప్రేలు,парня
30,Fingernagel::N,గోరు,кӹч
31,Nagel[Anatomie]::N,గోరు,кӹч
32,Zeh::N,కాలిప్రేలు,парня
33,Fuß::N,అడుగు,ял лапа
34,Ferse::N,మడమ,ялгавал
35,Ferse::N,మడమ,ял кавал
36,Knie::N,మోకాలు,пылвуй
37,Oberschenkel::N,తొడ,ӓрдӹ
38,Bein::N,కాలు,ял
39,Körper::N,కాయము,монгыр
40,Haut::N,చర్మము,кавашты
41,Blut::N,రక్తము,вӹр
42,Ader::N,సిర,вӹршӓр
43,Sehne::N,స్నాయువు,кукшышӱн
44,Knochen::N,ఎముక,лу
45,Gehirn::N,మెదడు,вим
46,Herz::N,హృదయము,шӱм
