,Concept_ID,it,de
0,Auge::N,occhio,Auge
1,Ohr::N,orecchio,Ohr
2,Nase::N,naso,Nase
3,Mund::N,bocca,Mund
4,Zahn::N,dente,Zahn
5,Zunge::N,lingua,Zunge
6,Lippe::N,labbro,Lippe
7,Wange::N,guancia,Wange
8,Gesicht::N,viso,Gesicht
9,Gesicht::N,faccia,Gesicht
10,Stirn::N,fronte,Stirn
11,Haar::N,capello,Haar
12,Schnurrbart::N,baffi,Schnurrbart
13,Schnurrbart::N,mustacchi,Schnurrbart
14,Bart::N,barba,Bart
15,Kinn::N,mento,Kinn
16,Kiefer[Anatomie]::N,mascella,Kiefer
17,Kehle::N,gola,Kehle
18,Hals::N,collo,Hals
19,Genick::N,nuca,Genick
20,Kopf::N,capo,Kopf
21,Kopf::N,testa,Kopf
22,Rücken::N,dorso,Rücken
23,Rücken::N,schiena,Rücken
24,Bauch::N,ventre,Bauch
25,Nabel::N,ombelico,Nabel
26,Busen::N,seno,Busen
27,Brust::N,petto,Brust
28,Schulter::N,spalla,Schulter
29,Arm::N,braccio,Arm
30,Ellenbogen::N,gomito,Ellenbogen
31,Hand::N,mano,Hand
32,Handfläche::N,palma,Handfläche
33,Finger::N,dito,Finger
34,Fingernagel::N,unghia,Fingernagel
35,Nagel[Anatomie]::N,unghia,Nagel
36,Zeh::N,dito del piede,Zeh
37,Fuß::N,piede,Fuß
38,Ferse::N,tallone,Ferse
39,Ferse::N,calcagno,Ferse
40,Knie::N,ginocchio,Knie
41,Oberschenkel::N,fèmore,Oberschenkel
42,Bein::N,gamba,Bein
43,Körper::N,corpo,Körper
44,Haut::N,pelle,Haut
45,Blut::N,sangue,Blut
46,Ader::N,vena,Ader
47,Sehne::N,tèndine,Sehne
48,Knochen::N,osso,Knochen
49,Gehirn::N,cervello,Gehirn
50,Herz::N,cuore,Herz
51,Magen::N,stòmaco,Magen
52,Leber::N,fegato,Leber
53,Atem::N,fiato,Atem
54,Atem::N,respiro,Atem
