,Concept_ID,tt,lbe
0,Auge::N,күз,я
1,Ohr::N,колак,вичӏи
2,Nase::N,борын,май
3,Mund::N,авыз,кьацӏ
4,Mund::N,тамак,кьацӏ
5,Zahn::N,теш,ккарччи
6,Zunge::N,тел,маз
7,Lippe::N,ирен,мурччи
8,Wange::N,яңак,чӏав
9,Gesicht::N,йөз,лажин
10,Stirn::N,маңгай,ненттабакӏ
11,Haar::N,чәч,чӏара
12,Schnurrbart::N,мыек,ссирссилтту
13,Bart::N,сакал,чӏири
14,Kinn::N,ияк,лунттубакӏ
15,Kiefer[Anatomie]::N,казналык,ххинчулул
16,Kehle::N,тамак,кьакьари
17,Hals::N,бугаз,ссурссу
18,Genick::N,җилкә,махъабакӏ
19,Kopf::N,баш,бакӏ
20,Rücken::N,сырт,ттиликӏ
21,Bauch::N,корсак,лякьа
22,Nabel::N,кендек,цӏумуккутӏ
23,Busen::N,түш,ккукку
24,Brust::N,имчәк,хъазам
25,Brust::N,күкрәк,хъазам
26,Schulter::N,иңбаш,хъачӏ
27,Schulter::N,кулбаш,хъачӏ
28,Arm::N,кул,ка
29,Ellenbogen::N,терсәк,ссюрхъ
30,Hand::N,кул,бартка
31,Handfläche::N,уч,хъат
32,Handfläche::N,уч,битӏянхъ
33,Finger::N,бармак,кӏисса
34,Fingernagel::N,тырнак,михь
35,Nagel[Anatomie]::N,тырнак,михь
36,Zeh::N,бармак,кӏисса
37,Fuß::N,табан,чӏанччан
38,Ferse::N,үкчә,никъа
39,Knie::N,тез,ник
40,Oberschenkel::N,бот,жира
41,Bein::N,аяк,ччан
42,Körper::N,тән,чурх
43,Körper::N,җисем,чурх
44,Haut::N,тире,бурчу
45,Blut::N,кан,оь
46,Ader::N,тамыр,тунну
47,Sehne::N,сеңер,хьхьа
48,Knochen::N,сөяк,ттаркӏ
49,Gehirn::N,ми,ня
50,Herz::N,йөрәк,дакӏ
51,Herz::N,йөрәк,къюкӏ
52,Magen::N,ашказаны,лякьа
53,Leber::N,бавыр,
54,Atem::N,сулыш,ссихӏ ласаву
55,Atem::N,сулыш,ссихӏ бигьаву
56,Hunger::N,ачлык,ккаши
57,Träne::N,яшь,макь
58,Geschmack::N,тәм,тӏин
59,Geschmack::N,тәм,тӏааьн
60,Geschmack::N,зәвык,тӏин
61,Geschmack::N,зәвык,тӏааьн
62,Geruch::N,ис,кьанкь
63,Schlaf::N,йокы,шану
64,Traum::N,төш,макӏру
65,Himmel::N,күк,ссав
66,Sonne::N,кояш,баргъ
67,Mond::N,ай,барз
68,Stern::N,йолдыз,цӏуку
69,Luft::N,һава,гьава
70,Wind::N,җил,марч
71,Welle::N,дулкын,щатӏи
72,Wasser::N,су,щин
73,Stein::N,таш,чару
74,Boden::N,туфрак,аьрщи
75,Erde::N,җир,аьрщи
76,Staub::N,тузан,ххит
77,Rauch::N,төтен,пуркӏу
78,Funke::N,очкын,пиягь
79,Feuer::N,ут,цӏу
80,Licht::N,якты,чани
81,Schatten::N,күләгә,ххют
82,Wetter::N,һава,гьава
83,Nebel::N,томан,шархь ттурлу
84,Wolke::N,болыт,ттурлу
85,Regen::N,яңгыр,гъарал
86,Schnee::N,кар,марххала
87,Eis::N,боз,микӏ
88,Frost::N,суык,дяркъу
89,Frost::N,суык,замгьар
90,Frost::N,салкын,дяркъу
91,Frost::N,салкын,замгьар
