,Concept_ID,ku,la
0,Auge::N,çav,oculus
1,Ohr::N,guh,auris
2,Nase::N,bêvil,nasus
3,Mund::N,dev,os
4,Zahn::N,didan,dens
5,Zunge::N,ziman,lingua
6,Lippe::N,lêv,labrum
7,Wange::N,dêm,gena
8,Wange::N,hinarik,gena
9,Gesicht::N,rû,vultus
10,Stirn::N,enî,frons
11,Haar::N,por,capillus
12,Schnurrbart::N,simbêl,barba labri superioris
13,Bart::N,rih,barba
14,Kinn::N,zenî,mentum
15,Kiefer[Anatomie]::N,arguşk,mala
16,Kehle::N,qirik,iugulums
17,Hals::N,stû,collum
18,Hals::N,qirik,collum
19,Genick::N,stû,cervices
20,Kopf::N,serî,caput
21,Rücken::N,pişt,tergum
22,Bauch::N,ûr,venter
23,Bauch::N,zik,venter
24,Nabel::N,navik,umbilicus
25,Busen::N,sîng,sinus
26,Brust::N,sîng,pectus
27,Schulter::N,mil,umerus
28,Arm::N,çepil,bracchium
29,Ellenbogen::N,enîşk,cubitum
30,Hand::N,dest,manus
31,Handfläche::N,kefadest,palma
32,Finger::N,tilî,digitus
33,Fingernagel::N,neynuk,unguiculus
34,Nagel[Anatomie]::N,bizmar,unguis
35,Zeh::N,tilî linga,digitus
36,Fuß::N,ling,pes
37,Ferse::N,pahnî,calx
38,Knie::N,kabok,genu
39,Oberschenkel::N,rahn,femur
40,Bein::N,çip,crus
41,Körper::N,laş,corpus
42,Körper::N,gowde,corpus
43,Haut::N,çerm,cutis
44,Haut::N,çerm,pellis
45,Blut::N,xwîn,sanguis
46,Ader::N,reh,vena
47,Sehne::N,reh,nervus
48,Knochen::N,hestî,os
49,Gehirn::N,mêjî,cerebrum
50,Herz::N,dil,cor
51,Herz::N,dil,animus
52,Magen::N,navêş,stomachus
53,Leber::N,kezeb,iecur
54,Atem::N,hilm,spiritus
55,Hunger::N,birçîtî,fames
56,Träne::N,hêstir,lacrima
57,Geschmack::N,tam,sapor
58,Geschmack::N,tam,gustus
59,Geruch::N,bêhn,odor
60,Schlaf::N,xew,somnus
61,Traum::N,xewn,somnium
