,Concept_ID,sv,sah
0,Auge::N,öga,харах
1,Ohr::N,öra,кулгаах
2,Nase::N,näsa,мурун
3,Mund::N,mun,айах
4,Zahn::N,tand,тиис
5,Zunge::N,tunga,тыл
6,Lippe::N,läpp,уос
7,Wange::N,kind,иэдэс
8,Gesicht::N,syn,сирэй
9,Gesicht::N,ansikte,сирэй
10,Stirn::N,panna,сүүс
11,Haar::N,hår,баттах
12,Schnurrbart::N,mustasch,уос бытыга
13,Bart::N,skägg,сэҥийэ бытыга
14,Kinn::N,haka,сэҥийэ
15,Kiefer[Anatomie]::N,käke,сыҥаах
16,Kehle::N,strupe,тамах
17,Kehle::N,strupe,күөмэй
18,Hals::N,hals,моой
19,Genick::N,nacke,кэтэх
20,Kopf::N,huvud,бас
21,Rücken::N,rygg,көҕүс
22,Bauch::N,buk,ис
23,Bauch::N,mage,ис
24,Nabel::N,navel,киин
25,Busen::N,barm,эмиий
26,Brust::N,bröst,түөс
27,Schulter::N,skuldra,сарын
28,Arm::N,arm,илии
29,Ellenbogen::N,armbåge,тоҕонох
30,Hand::N,hand,илии
31,Handfläche::N,handflata,ытыс
32,Finger::N,finger,тарбах
33,Fingernagel::N,fingernagel,тыҥырах
34,Nagel[Anatomie]::N,nagel,тыҥырах
35,Zeh::N,tå,тарбах
36,Fuß::N,fot,уллуҥах
37,Ferse::N,häl,тилэх
38,Knie::N,knä,тобук
39,Knie::N,knä,дьилбэк
40,Oberschenkel::N,lår,уллук
41,Oberschenkel::N,lår,өттүк
42,Bein::N,ben,атах
43,Körper::N,kropp,бэйэ
44,Haut::N,hud,тирии
45,Haut::N,skinn,тирии
46,Blut::N,blod,хаан
47,Ader::N,åder,вена
48,Ader::N,åder,күөх_тымыр
49,Sehne::N,sena,иҥиир
50,Knochen::N,ben,уҥуох
51,Knochen::N,ben,уҥгуох
52,Gehirn::N,hjärna,мэйии
53,Herz::N,hjärta,сүрэх
54,Magen::N,mage,куртах
55,Leber::N,lever,быар
56,Atem::N,anda,тыын
57,Atem::N,andedräkt,тыын
58,Hunger::N,svält,аас
59,Hunger::N,hunger,аас
60,Träne::N,tår,харах уута
61,Geschmack::N,smak,амтан
62,Geruch::N,lukt,сыт
63,Schlaf::N,sömn,утуйуу
64,Traum::N,dröm,түүл
65,Himmel::N,himmel,халлаан
66,Sonne::N,sol,күн
67,Mond::N,måne,ый
68,Stern::N,stjärna,сулус
69,Luft::N,luft,салгын
70,Wind::N,vind,тыал
71,Welle::N,våg,долгун
72,Welle::N,våg,балхаан
73,Welle::N,bölja,долгун
74,Welle::N,bölja,балхаан
75,Wasser::N,vatten,уу
76,Stein::N,sten,таас
77,Boden::N,mark,сир
78,Erde::N,jord,буор
79,Staub::N,damm,быыл
80,Rauch::N,rök,буруо
81,Funke::N,gnista,кыым
82,Feuer::N,eld,уот
83,Licht::N,ljus,уот
84,Schatten::N,skugga,күлүк
85,Wetter::N,väder,күн-дьыл
86,Nebel::N,dimma,туман
87,Nebel::N,töcken,туман
88,Wolke::N,sky,былыт
89,Wolke::N,moln,былыт
90,Regen::N,regn,самыыр
91,Schnee::N,snö,хаар
92,Eis::N,is,муус
93,Frost::N,frost,тымныы
94,Kälte::N,köld,тымныы
95,Hitze::N,hetta,куйаас
96,Raureif::N,rimfrost,кырыа
97,Regenbogen::N,regnbåge,кустук
98,Donner::N,åska,этиҥ
99,Donner::N,dunder,этиҥ
100,Strömung::N,strömning,сүүрүк
101,Tropfen::N,dropper,таммах
102,Tropfen::N,dropper,хааппыла
103,Schaum::N,skum,күүгэн
104,Schmutz::N,lort,кир
105,Schmutz::N,smuts,кир
106,See::N,sjö,күөл
107,Sumpf::N,träsk,бадараан
108,Moor::N,myr,дьэбэрэ
109,Moor::N,mosse,дьэбэрэ
110,Wiese::N,äng,ходуһа
111,Wald::N,skog,ойуур
112,Hügel::N,höjd,булгунньах
113,Hügel::N,kulle,булгунньах
114,Anhöhe::N,höjd,үрдэл
115,Anhöhe::N,backe,үрдэл
116,Berg::N,berg,хайа
117,Berg::N,fjäll,хайа
118,Gipfel::N,topp,чыпчаал
