,Concept_ID,az,br
0,Auge::N,göz,lagad
1,Ohr::N,qulaq,skouarn
2,Nase::N,burun,fri
3,Mund::N,ağız,genoù
4,Zahn::N,diş,dant
5,Zunge::N,dil,teod
6,Lippe::N,dodaq,muzell
7,Wange::N,yanaq,chot
8,Gesicht::N,üz,dremm
9,Stirn::N,alın,tal
10,Haar::N,saç,blev
11,Schnurrbart::N,bığ,mourenn
12,Bart::N,saqqal,barv
13,Kinn::N,çənə,groñj
14,Kiefer[Anatomie]::N,çənə,javed
15,Kehle::N,boğaz,gouzoug
16,Hals::N,boyun,gouzoug
17,Genick::N,ənsə,choug
18,Kopf::N,baş,penn
19,Rücken::N,bel,kein
20,Bauch::N,qarın,kof
21,Nabel::N,göbək,begel
22,Busen::N,məmə,bronn
23,Brust::N,döş,bruched
24,Schulter::N,çiyin,skoaz
25,Arm::N,qol,brec'h
26,Ellenbogen::N,dirsək,ilin
27,Hand::N,əl,dorn
28,Handfläche::N,ovuc,palv
29,Finger::N,barmaq,biz
30,Fingernagel::N,barmaq dırnağı,ivin
31,Nagel[Anatomie]::N,dırnak,ivin
32,Zeh::N,ayaq barmağı,biz-troad
33,Fuß::N,ayaq,troad
34,Ferse::N,daban,seul
35,Knie::N,diz,glin
36,Oberschenkel::N,bud,morzhed
37,Bein::N,qıç,gar
38,Körper::N,əndam,korf
39,Haut::N,dəri,kroc'hen
40,Blut::N,qan,gwad
41,Ader::N,damar,gwazhi
42,Sehne::N,vətər,stir
43,Knochen::N,sümük,askorn
44,Gehirn::N,beyin,empenn
45,Herz::N,ürək,kalon
46,Magen::N,mədə,stomog
47,Leber::N,qara ciyər,avu
48,Atem::N,nəfəs,anal
49,Hunger::N,aclıq,naon
50,Träne::N,göz yaşı,daer
51,Geschmack::N,tam,blaz
52,Geschmack::N,ləzzət,blaz
53,Geruch::N,qoxu,c'hwezh
54,Schlaf::N,yuxu,kousked
55,Traum::N,röya,hune
56,Himmel::N,göy,oabl
57,Himmel::N,səma,oabl
58,Sonne::N,günəş,heol
59,Mond::N,ay,loar
60,Stern::N,ulduz,steredenn
61,Luft::N,hava,aer
62,Wind::N,yel,avel
63,Wind::N,külək,avel
64,Welle::N,dalğa,houlenn
65,Wasser::N,su,dour
66,Stein::N,daş,maen
67,Boden::N,yer,tachenn
68,Boden::N,zəmin,tachenn
69,Erde::N,yer torpaq,douar
70,Staub::N,toz,poultr
71,Rauch::N,tüstü,moged
72,Funke::N,qığılcım,ful
73,Feuer::N,od,tan
74,Licht::N,işıq,gouloù
75,Schatten::N,kölgə,disheol
76,Wetter::N,hava,amzer
77,Nebel::N,duman,brumenn
78,Wolke::N,bulud,koumoulenn
79,Regen::N,yağış,glav
80,Regen::N,yağmur,glav
81,Schnee::N,qar,erc'h
82,Eis::N,buz,skorn
83,Frost::N,ayaz,rev
84,Kälte::N,soyuq,yen
85,Hitze::N,coşğunluq,tommder
86,Raureif::N,qırov,frim
87,Regenbogen::N,göy qurşağı,gwareg-ar-glav
88,Donner::N,göy gurultusu,kurun
89,Strömung::N,axın,red
90,Tropfen::N,damcı,bannac'h
91,Tropfen::N,damcı,takenn
92,Schaum::N,köpük,spoum
93,Schmutz::N,çamır,fank
94,See::N,göl,lenn
95,Sumpf::N,bataqlıq,gwern
96,Moor::N,bataqlıq,taouarc'heg
97,Wiese::N,çəmən,prad
98,Wald::N,meşə,koad
99,Hügel::N,təpə,torgenn
100,Anhöhe::N,təpə,run
101,Berg::N,dağ,menez
102,Gipfel::N,zirvə,barr
103,Höhle::N,mağara,kav
104,Abhang::N,yamac,naou
105,Quelle::N,bulaq,feunteun
106,Bach::N,kiçik çay,gwazh
107,Fluss::N,çay,stêr
