,Concept_ID,cv,ce
0,Auge::N,куҫ,бӏаьрг
1,Ohr::N,хӑлха,лерг
2,Nase::N,сӑмса,мара
3,Mund::N,ҫӑвар,бага
4,Zahn::N,шӑл,церг
5,Zunge::N,чӗлхе,мотт
6,Lippe::N,тута,балда
7,Wange::N,пит ҫӑмарти,бесни
8,Gesicht::N,пит,юьхь
9,Gesicht::N,пит-куҫ,юьхь
10,Stirn::N,ҫамка,хьаж
11,Haar::N,ҫӳҫ,мас
12,Schnurrbart::N,усси,мекх
13,Bart::N,сухал,маж
14,Kinn::N,янах,чӏениг
15,Kiefer[Anatomie]::N,янах,мочхал
16,Kehle::N,пыр,къамкъарг
17,Kehle::N,карланкӑ,къамкъарг
18,Hals::N,пыр,ворта
19,Genick::N,ӗнсе,кӏесаркӏаг
20,Kopf::N,пуҫ,корта
21,Rücken::N,ҫурӑм,букъ
22,Nabel::N,кӑвапа,цӏонга
23,Busen::N,кӑкӑр,зударийн накха
24,Brust::N,умӗ,накха
25,Schulter::N,хул пуҫҫи,белш
26,Arm::N,алӑ,пхьарс
27,Ellenbogen::N,чавса,пхьаьрсан гола
28,Hand::N,алӑ сыппи,куьг
29,Handfläche::N,ал лаппи,кераюкъ
30,Finger::N,пӳрне,пӏелг
31,Fingernagel::N,чӗрне,мӏара
32,Nagel[Anatomie]::N,чӗрне,мӏара
33,Zeh::N,пӳрне,кога пӏелг
34,Fuß::N,ура лаппи,ког
35,Ferse::N,кӗле,кӏажа
36,Knie::N,чӗркуҫҫи,гола
37,Oberschenkel::N,пӗҫӗ,варе
38,Bein::N,ура,ког
39,Körper::N,ӳт,хӏума
40,Körper::N,ӳт-пӳ,хӏума
41,Haut::N,тир,чкъор
42,Blut::N,юн,цӏий
43,Ader::N,вена,пха
44,Sehne::N,шӑнӑр,хьорзам
45,Knochen::N,шӑмӑ,даьӏахк
46,Gehirn::N,миме,хье
47,Herz::N,чӗре,дог
48,Magen::N,хырӑмлӑх,зорх
49,Leber::N,пӗвер,доӏах
50,Atem::N,сывлав,садеӏар
51,Hunger::N,выҫлӑх,мацалла
52,Träne::N,куҫҫуль,бӏаьрхи
53,Geschmack::N,техӗм,чам
54,Geruch::N,шӑршӑ,хьожа
55,Schlaf::N,ыйхӑ,наб
56,Traum::N,тӗлӗк,гӏан
57,Himmel::N,пӗлӗт,стигал
58,Sonne::N,хӗвел,малх
59,Mond::N,уйӑх,бутт
60,Stern::N,ҫӑлтӑр,седа
61,Luft::N,сывлӑш,xӏаваъ
62,Wind::N,ҫил,мох
63,Welle::N,хум,тулгӏе
64,Wasser::N,шыв,хи
65,Wasser::N,шыв-шур,хи
66,Stein::N,чул,тӏулг
67,Boden::N,тӑпра,цӏенкъа
68,Erde::N,ҫӗр,латта
69,Staub::N,тусан,чан
70,Rauch::N,тӗтӗм,кӏур
71,Funke::N,хӗм,суй
72,Feuer::N,вут,цӏе
73,Feuer::N,ҫулӑм,цӏе
74,Licht::N,ҫутӑ,серло
75,Schatten::N,сулхӑн,ӏиндагӏ
76,Wetter::N,ҫанталӑк,хенан хӏоттам
77,Nebel::N,тӗтре,дохк
78,Wolke::N,пӗлӗт,марха
79,Regen::N,ҫумӑр,догӏа
80,Schnee::N,юр,ло
81,Eis::N,пӑр,ша
82,Frost::N,сивӗ,шело
83,Kälte::N,сивӗ,шело
84,Hitze::N,вӗри,йовхо
85,Hitze::N,шӑрӑх,йовхо
86,Raureif::N,пас,йис
87,Regenbogen::N,асамат кӗперӗ,стелаӏад
88,Donner::N,аслати,ткъес
89,Strömung::N,юхӑ,дӏаэхар
90,Strömung::N,юхӑ,дӏасалелар
91,Tropfen::N,тумлам,тӏадам
92,Schaum::N,кӑпӑк,чопа
93,Schmutz::N,пылчӑк,хатт
94,See::N,кӳлӗ,ӏам
95,Sumpf::N,шур,уьшал
96,Sumpf::N,шурлӑх,уьшал
97,Moor::N,торфлӑ шурлӑх,уьшал
98,Wiese::N,улӑх,бай
99,Wiese::N,ҫаран,бай
100,Wald::N,вӑрман,хьун
101,Hügel::N,сӑрт,гу
102,Hügel::N,сӑрт,шу
103,Hügel::N,сӑрт,барз
104,Hügel::N,тӗмеске,гу
