,Concept_ID,br,lt
180,Wurm::N,preñv,kirmėlė
181,Spinne::N,kevnidenn,voras
182,Ameise::N,merion,skruzdė
183,Laus::N,laouenn,utėlė
184,Mücke::N,moustik,uodas
185,Fliege::N,kelienenn,musė
186,Schmetterling::N,balafenn,drugys
187,Schmetterling::N,balafenn,peteliškė
188,Beere::N,hog,uoga
189,Apfel::N,aval,obuolys
190,Pilz::N,kabell-touseg,grybas
191,Zwiebel::N,ognonenn,svogūnas
192,Saat::N,had,sėkla
193,Korn::N,ed,grūdai
194,Heu::N,foenn,šienas
195,Schale::N,peliadur,žievelė
196,Falle::N,pech,pinklės
197,Falle::N,pech,žabangai
198,Schlinge::N,krouglas,kilpa
199,Asche::N,ludu,pelenai
200,Dreck::N,fank,purvas
201,Eisen::N,houarn,geležis
202,Gold::N,aour,auksas
203,Silber::N,arc'hant,sidabras
204,Kohle::N,glaou,anglis
205,Glas::N,gwer,stiklas
206,Sand::N,traezh,smėlis
207,Mensch::N,den,žmogus
208,Mann::N,den,vyras
209,Mann::N,den,vyriškis
210,Frau::N,maouez,moteris
211,Kind::N,bugel,vaikas
212,Junge::N,paotr,vaikinas
213,Junge::N,paotr,berniukas
214,Mädchen::N,plac'h,mergytė
215,Mädchen::N,plac'h,mergaitė
216,Familie::N,familh,šeima
217,Großvater::N,tad-kozh,senelis
218,Großmutter::N,mamm-gozh,senelė
219,Eltern::N,kerent,tėvai
220,Vater::N,tad,tėvas
221,Mutter::N,mamm,motina
222,Sohn::N,mab,sūnus
223,Tochter::N,merc'h,duktė
224,Bruder::N,breur,brolis
225,Schwester::N,c'hoar,sesuo
226,Onkel::N,eontr,dėdė
227,Tante::N,moereb,teta
228,Ehemann::N,gwaz,vyras
229,Ehefrau::N,gwreg,žmona
230,Freude::N,levenez,džiaugsmas
231,Gelächter::N,c'hoarzherezh,juokas
232,Glück::N,chañs,laimė
233,Kummer::N,doan,vargas
234,Kummer::N,doan,rūpestis
235,Wunsch::N,c'hoant,troškimas
236,Wunsch::N,c'hoant,pageidavimas
237,Lust::N,c'hoant,noras
238,Lust::N,c'hoant,geidulys
239,Geist::N,spered,dvasia
240,Gedanke::N,soñj,mintis
241,Gedächtnis::N,eñvor,atmintis
242,Verstand::N,skiant,protas
243,Sinn::N,ster,prasmė
244,Grund::N,kaoz,priežastis
245,Wahrheit::N,gwirionez,tiesa
246,Wahrheit::N,gwirionez,teisybė
247,Gespräch::N,kaozeadenn,pokalbis
248,Märchen::N,kaoz korriganez,pasaka
249,Erzählung::N,kontadenn,apsakymas
250,Erzählung::N,kontadenn,pasakojimas
251,Nachricht::N,keloù,žinia
252,Neuigkeit::N,kelaouenn,naujiena
253,Name::N,anv,vardas
254,Rätsel::N,divinatez,mįslė
255,Rede::N,diskour,kalba
256,Sprache::N,yezh,kalba
257,Stimme::N,mouezh,balsas
258,Wort::N,ger,žodis
259,Zeichen::N,sin,žymė
260,Zeichen::N,sin,ženklas
261,Ruf::N,galv,šauksmas
262,Lärm::N,trouz,triukšmas
263,Ton::N,ton,tonas
264,Ton::N,ton,garsas
265,Lied::N,kanaouenn,daina
266,Lied::N,kanaouenn,giesmė
267,Ruhe::N,sioulded,ramybė
268,Ruhe::N,sioulded,ramumas
269,Leute::N,tud,žmonės
270,Volk::N,pobl,tauta
271,Arbeit::N,labour,darbas
272,Arbeit::N,labour,triūsas
273,Gast::N,kouviad,svečias
274,Geschenk::N,prof,dovana
275,Spiel::N,c'hoari,žaismas
276,Spiel::N,c'hoari,žaidimas
277,Gesellschaft::N,kompagnunezh,draugija
278,Gesellschaft::N,kompagnunezh,kompanija
279,Gesellschaft::N,kavandad,draugija
280,Gesellschaft::N,kavandad,kompanija
