,Concept_ID,cs,hi
0,Auge::N,oko,आँख
1,Auge::N,oko,चक्षु
2,Ohr::N,ucho,कान
3,Ohr::N,ucho,कर्ण
4,Nase::N,nos,नाक
5,Nase::N,nos,नासा
6,Mund::N,pusa,मुख
7,Mund::N,pusa,मुँह
8,Zahn::N,zub,दंत
9,Zahn::N,zub,दाँत
10,Zunge::N,jazyk,जीभ
11,Zunge::N,jazyk,ज़बान
12,Zunge::N,jazyk,जिह्वा
13,Lippe::N,ret,ओंठ
14,Lippe::N,ret,होंठ
15,Wange::N,tvář,गाल
16,Wange::N,tvář,कपोल
17,Gesicht::N,obličej,मुँह
18,Gesicht::N,obličej,चेहरा
19,Stirn::N,čelo,माथा
20,Stirn::N,čelo,मस्तक
21,Haar::N,vlas,बाल
22,Haar::N,vlasy,बाल
23,Schnurrbart::N,kníry,मूँछें
24,Bart::N,vousy,दाढ़ी
25,Kinn::N,brada,चिबुक
26,Kiefer[Anatomie]::N,čelist,जबड़ा
27,Kehle::N,hrdlo,गला
28,Hals::N,krk,गला
29,Hals::N,krk,गरदन
30,Genick::N,týl,गरदन
31,Genick::N,týl,ग्रीवा
32,Kopf::N,hlava,सिर
33,Kopf::N,hlava,शीर्ष
34,Rücken::N,záda,पीठ
35,Rücken::N,hřbet,पीठ
36,Bauch::N,břicho,उदर
37,Nabel::N,pupek,नाभि
38,Nabel::N,pupek,ढोंढी
39,Busen::N,ňadra,कुच
40,Busen::N,ňadra,स्तन
41,Brust::N,prsa,वक्ष
42,Schulter::N,plece,कंधा
43,Schulter::N,plece,स्कंध
44,Schulter::N,rameno,कंधा
45,Schulter::N,rameno,स्कंध
46,Arm::N,ruka,बाँह
47,Arm::N,ruka,बाज़ू
48,Ellenbogen::N,loket,कुहनी
49,Hand::N,ruka,हाथ
50,Hand::N,ruka,हस्त
51,Handfläche::N,dlaň,हथेली
52,Finger::N,prst,उँगली
53,Finger::N,prst,अँगुली
54,Fingernagel::N,nehet,नख
55,Fingernagel::N,nehet,नाख़ून
56,Nagel[Anatomie]::N,nehet,नख
57,Nagel[Anatomie]::N,nehet,नाख़ून
58,Zeh::N,prst u nohy,उँगली
59,Zeh::N,prst u nohy,पाँव की उँगली
60,Fuß::N,noha,चरण
61,Fuß::N,noha,पाँव
62,Ferse::N,pata,एड़ी
63,Knie::N,koleno,जानु
64,Knie::N,koleno,घुटना
65,Oberschenkel::N,stehno,उरु
66,Bein::N,noha,टाँग
67,Körper::N,tělo,तन
68,Körper::N,tělo,देह
69,Körper::N,tělo,शरीर
70,Haut::N,kůže,चर्म
71,Haut::N,kůže,त्वचा
72,Blut::N,krev,लहू
73,Blut::N,krev,ख़ून
74,Ader::N,céva,रग
75,Ader::N,céva,शिरा
76,Sehne::N,šlacha,कंडरा
77,Sehne::N,šlacha,स्नायु
78,Knochen::N,kost,अस्थि
79,Gehirn::N,mozek,दिमाग़
80,Gehirn::N,mozek,मस्तिष्क
81,Herz::N,srdce,दिल
82,Herz::N,srdce,हृदय
83,Magen::N,žaludek,मेदा
84,Magen::N,žaludek,अमाशय
85,Leber::N,játra,जिगर
86,Leber::N,játra,यकृत्
87,Atem::N,dech,दम
88,Atem::N,dech,साँस
89,Atem::N,dech,श्वास
90,Hunger::N,hlad,भूख
91,Hunger::N,hlad,क्षुधा
92,Träne::N,slza,आँसू
93,Träne::N,slza,अश्रु
94,Geschmack::N,vkus,स्वाद
95,Geschmack::N,vkus,ज़ायक़ा
96,Geruch::N,vůně,बू
97,Geruch::N,vůně,गंध
98,Geruch::N,zápach,बू
99,Geruch::N,zápach,गंध
100,Schlaf::N,spánek,नींद
101,Schlaf::N,spánek,निद्रा
102,Traum::N,sen,सपना
