,Concept_ID,br,udm
0,Auge::N,lagad,син
1,Ohr::N,skouarn,пель
2,Nase::N,fri,ныр
3,Mund::N,genoù,ым
4,Zahn::N,dant,пинь
5,Zunge::N,teod,кыл
6,Lippe::N,muzell,ымдур
7,Wange::N,chot,бам
8,Gesicht::N,dremm,ымныр
9,Stirn::N,tal,кымес
10,Haar::N,blev,йырси
11,Schnurrbart::N,mourenn,мыйык
12,Bart::N,barv,туш
13,Kinn::N,groñj,ангес
14,Kiefer[Anatomie]::N,javed,ан
15,Kiefer[Anatomie]::N,javed,анлы
16,Kehle::N,gouzoug,гульым
17,Hals::N,gouzoug,чырты
18,Genick::N,choug,йырбер
19,Kopf::N,penn,йыр
20,Rücken::N,kein,мыш
21,Bauch::N,kof,кӧт
22,Nabel::N,begel,гогы
23,Busen::N,bronn,ноны
24,Brust::N,bruched,мӧля
25,Schulter::N,skoaz,пельпум
26,Arm::N,brec'h,суй
27,Ellenbogen::N,ilin,гырпум
28,Hand::N,dorn,ки
29,Handfläche::N,palv,ки пыдэс
30,Handfläche::N,palv,кырым пыдэс
31,Finger::N,biz,чиньы
32,Fingernagel::N,ivin,гижы
33,Fingernagel::N,ivin,гиждӥнь
34,Nagel[Anatomie]::N,ivin,гижы
35,Zeh::N,biz-troad,пыдчиньы
36,Fuß::N,troad,пыд
37,Ferse::N,seul,пыдбер
38,Knie::N,glin,пыдес
39,Oberschenkel::N,morzhed,макес
40,Bein::N,gar,пыд
41,Körper::N,korf,мугор
42,Körper::N,korf,вылтыр
43,Haut::N,kroc'hen,ку
44,Blut::N,gwad,вир
45,Ader::N,gwazhi,вирсэр
46,Sehne::N,stir,вуж
47,Knochen::N,askorn,лы
48,Gehirn::N,empenn,вим
49,Herz::N,kalon,сюлэм
50,Magen::N,stomog,ӝуш
51,Leber::N,avu,мус
52,Atem::N,anal,лул
53,Atem::N,anal,шокан
54,Hunger::N,naon,кӧтсюман
55,Träne::N,daer,синкыли
56,Geschmack::N,blaz,шӧм
57,Geruch::N,c'hwezh,зын
58,Schlaf::N,kousked,вӧт
59,Traum::N,hune,уйвӧт
60,Himmel::N,oabl,ин
61,Sonne::N,heol,шунды
62,Mond::N,loar,толэзь
63,Stern::N,steredenn,кизили
64,Luft::N,aer,омыр
65,Wind::N,avel,тӧл
66,Welle::N,houlenn,тулкым
67,Wasser::N,dour,ву
68,Stein::N,maen,из
69,Boden::N,tachenn,музъем
70,Erde::N,douar,му
