,Concept_ID,cv,he
0,Auge::N,куҫ,עין
1,Ohr::N,хӑлха,אזן
2,Nase::N,сӑмса,אף
3,Nase::N,сӑмса,חטם
4,Mund::N,ҫӑвар,פה
5,Zahn::N,шӑл,שן
6,Zunge::N,чӗлхе,לשון
7,Lippe::N,тута,שפה
8,Wange::N,пит ҫӑмарти,לחי
9,Gesicht::N,пит,פנים
10,Gesicht::N,пит-куҫ,פנים
11,Stirn::N,ҫамка,מצח
12,Haar::N,ҫӳҫ,שערה
13,Schnurrbart::N,усси,שפם
14,Bart::N,сухал,זקן
15,Kinn::N,янах,סנטר
16,Kiefer[Anatomie]::N,янах,לסת
17,Kehle::N,пыр,גרון
18,Kehle::N,карланкӑ,גרון
19,Hals::N,пыр,צואר
20,Genick::N,ӗнсе,ערף
21,Kopf::N,пуҫ,ראש
22,Rücken::N,ҫурӑм,גב
23,Nabel::N,кӑвапа,טבור
24,Busen::N,кӑкӑр,שד
25,Brust::N,умӗ,חזה
26,Schulter::N,хул пуҫҫи,כתף
27,Arm::N,алӑ,זרוע
28,Ellenbogen::N,чавса,מרפק
29,Hand::N,алӑ сыппи,יד
30,Handfläche::N,ал лаппи,כף יד
31,Finger::N,пӳрне,אצבע
32,Fingernagel::N,чӗрне,צפרן
33,Nagel[Anatomie]::N,чӗрне,צפרן
34,Zeh::N,пӳрне,אצבע
35,Fuß::N,ура лаппи,רגל
36,Ferse::N,кӗле,עקב
37,Knie::N,чӗркуҫҫи,ברך
38,Oberschenkel::N,пӗҫӗ,ירך
39,Bein::N,ура,רגל
40,Körper::N,ӳт,גוף
41,Körper::N,ӳт-пӳ,גוף
42,Haut::N,тир,עור
43,Blut::N,юн,דם
44,Ader::N,вена,וריד
45,Sehne::N,шӑнӑр,גיד
46,Knochen::N,шӑмӑ,עצם
47,Gehirn::N,миме,מוח
48,Herz::N,чӗре,לב
49,Magen::N,хырӑмлӑх,קבה
50,Leber::N,пӗвер,כבד
51,Atem::N,сывлав,נשימה
52,Hunger::N,выҫлӑх,רעב
53,Träne::N,куҫҫуль,דמעה
54,Geschmack::N,техӗм,טעם
55,Geruch::N,шӑршӑ,ריח
56,Schlaf::N,ыйхӑ,שנה
57,Traum::N,тӗлӗк,חלום
58,Himmel::N,пӗлӗт,שמים
59,Sonne::N,хӗвел,שמש
60,Mond::N,уйӑх,ירח
61,Stern::N,ҫӑлтӑр,כוכב
62,Luft::N,сывлӑш,אויר
63,Wind::N,ҫил,רוח
64,Welle::N,хум,גל
65,Wasser::N,шыв,מים
66,Wasser::N,шыв-шур,מים
67,Stein::N,чул,אבן
68,Boden::N,тӑпра,קרקע
69,Erde::N,ҫӗр,אדמה
70,Staub::N,тусан,אבק
71,Rauch::N,тӗтӗм,עשן
72,Funke::N,хӗм,ניצוץ
73,Feuer::N,вут,אש
74,Feuer::N,ҫулӑм,אש
75,Licht::N,ҫутӑ,אור
76,Schatten::N,сулхӑн,צל
77,Wetter::N,ҫанталӑк,מזג אויר
78,Nebel::N,тӗтре,ערפל
79,Wolke::N,пӗлӗт,ענן
80,Regen::N,ҫумӑр,גשם
81,Schnee::N,юр,שלג
82,Eis::N,пӑр,קרח
83,Frost::N,сивӗ,צנה
84,Kälte::N,сивӗ,קר
85,Hitze::N,вӗри,חם
86,Hitze::N,шӑрӑх,חם
87,Raureif::N,пас,כפור
88,Regenbogen::N,асамат кӗперӗ,קשת
89,Donner::N,аслати,רעם
90,Strömung::N,юхӑ,זרימה
91,Tropfen::N,тумлам,טפה
92,Schaum::N,кӑпӑк,קצף
93,Schmutz::N,пылчӑк,לכלוך
94,See::N,кӳлӗ,אגם
95,Sumpf::N,шур,בצה
96,Sumpf::N,шурлӑх,בצה
97,Moor::N,торфлӑ шурлӑх,בצה
98,Wiese::N,улӑх,מרעה
99,Wiese::N,ҫаран,מרעה
100,Wald::N,вӑрман,יער
101,Hügel::N,сӑрт,תל
102,Hügel::N,тӗмеске,תל
103,Anhöhe::N,сӑрт,מעלה
104,Berg::N,ту,הר
105,Gipfel::N,тӳпе,פסגה
106,Höhle::N,ҫӗр хӑвӑлӗ,מערה
107,Abhang::N,тӑвайкки,מדרון
108,Abhang::N,тӑвайкки,שפוע
109,Quelle::N,ҫӑл куҫ,מעין
110,Bach::N,пӗчӗк шыв,נחל
111,Fluss::N,юхан шыв,נהר
112,Ufer::N,ҫыран,גדה
113,Küste::N,тинӗс ҫыранӗ,חוף
114,Festland::N,тип ҫӗр,יבשה
115,Meer::N,тинӗс,ים
116,Bucht::N,тинӗс кукӑрӗ,מפרץ
117,Insel::N,утрав,אי
118,Blume::N,чечек,פרח
119,Gras::N,курӑк,דשא
120,Wurzel::N,тымар,שרש
121,Baum::N,йывӑҫ,עץ
122,Stamm::N,вулӑ,גזע
123,Rinde::N,хуйӑр,קלפת עץ
124,Ast::N,турат,ענף
125,Zweig::N,турат,ענף
126,Blatt::N,ҫулҫӑ,עלה
127,Birke::N,хурӑн,שדר
128,Kiefer[Baum]::N,хыр,ארן
129,Weide[Baum]::N,хӑва,ערבה
130,Tanne::N,чӑрӑш,אשוח
131,Horn::N,мӑйрака,קרן
132,Feder::N,тӗк,נוצה
133,Fell::N,ҫӑм,פרוה
134,Flügel::N,ҫунат,כנף
135,Klaue::N,чӗрне,טלף
136,Kralle::N,ура,טפר
137,Schwanz::N,хӳре,זנב
