,Concept_ID,xal,mrj
0,Auge::N,нүдн,сӹнзӓ
1,Ohr::N,чикн,пӹлӹш
2,Nase::N,хамр,нер
3,Mund::N,амн,ышма
4,Zahn::N,шүдн,пӱ
5,Zunge::N,келн,йӹлмӹ
6,Lippe::N,урл,тӹрвӹ
7,Wange::N,халх,шӹргӹ
8,Gesicht::N,нүр,лицӓ
9,Stirn::N,маңна,лепкӓ
10,Haar::N,үсн,ӱп
11,Schnurrbart::N,сахл,öрш
12,Bart::N,сахл,пандаш
13,Bart::N,өргнә сахл,пандаш
14,Kinn::N,өргн,онгылаш
15,Kiefer[Anatomie]::N,өргн,пӱ арата
16,Kehle::N,хол,логер
17,Hals::N,күзүн,шӱ
18,Genick::N,гиҗг,ланга
19,Kopf::N,толһа,вуй
20,Rücken::N,нурһн,туп
21,Bauch::N,гесн,мӹшкӹр
22,Nabel::N,киисн,кӹлӹмдӹ
23,Busen::N,көкн,цӹзӹ
24,Brust::N,чееҗ,мел
25,Schulter::N,ээм,ӹнгӹжӓ
26,Arm::N,һар,кид
27,Ellenbogen::N,тоха,кӹнервуй
28,Hand::N,баһлцг,лапа
29,Handfläche::N,альхн,кид лапа
30,Finger::N,хурһн,парня
31,Finger::N,һарин хурһн,парня
32,Fingernagel::N,хумсн,кӹч
33,Nagel[Anatomie]::N,хумсн,кӹч
34,Zeh::N,хурһн,парня
35,Zeh::N,көлин хурһн,парня
36,Fuß::N,тавг,ял лапа
37,Ferse::N,өскә,ялгавал
38,Ferse::N,өскә,ял кавал
39,Knie::N,өвдг,пылвуй
40,Oberschenkel::N,һуй,ӓрдӹ
41,Bein::N,көл,ял
42,Körper::N,махмуд,монгыр
43,Haut::N,арсн,кавашты
44,Blut::N,цусн,вӹр
45,Ader::N,судцн,вӹршӓр
46,Sehne::N,шүрүсн,кукшышӱн
47,Knochen::N,ясн,лу
48,Gehirn::N,экн,вим
49,Herz::N,зүркн,шӱм
50,Magen::N,гесн,шӱм
51,Leber::N,элкн,мокш
52,Atem::N,әмсхл,шӱлӹш
53,Hunger::N,харһнлһн,шужымаш
54,Träne::N,нульмсн,сӹнзӓвӹд
55,Geschmack::N,амтн,тот
56,Geruch::N,үнр,пыш
57,Schlaf::N,нөр,ом
58,Traum::N,зүүдн,ом
59,Himmel::N,теңгр,пӹлгом
60,Sonne::N,нарн,кечӹ
61,Mond::N,сар,тӹлзӹ
62,Stern::N,одн,шӹдӹр
63,Luft::N,аһар,юж
64,Luft::N,аһар,воздух
65,Wind::N,салькн,мардеж
66,Welle::N,дольган,ко
67,Welle::N,дольган,коэ
68,Wasser::N,усн,вӹд
69,Stein::N,чолун,кӱ
70,Boden::N,Һазр,рок
71,Erde::N,Һазр,свет
72,Staub::N,тоосн,пырак
73,Rauch::N,утан,шӹкш
74,Funke::N,очн,ип
75,Funke::N,очн,тылип
76,Feuer::N,һал,тыл
77,Licht::N,герл,соты
78,Licht::N,герл,валгыды
79,Schatten::N,сүүдр,ӹмӹл
80,Wetter::N,теңгр,игечӹ
81,Nebel::N,будн,тӹтӹрӓ
82,Wolke::N,үүлн,пӹл
83,Regen::N,хур,юр
84,Schnee::N,цасн,лым
85,Eis::N,мөсн,и
86,Frost::N,киитн,ӱштӹ
87,Kälte::N,киитн,ӱштӹ
88,Hitze::N,халун,шокшы
89,Raureif::N,цаң,пöрш
90,Raureif::N,кирү,пöрш
91,Regenbogen::N,солңһ,шанавӹл
92,Donner::N,оһтрһун дун,хӹдӹртӹш
93,Strömung::N,урсхл,йогы
94,Tropfen::N,дусал,капльы
95,Tropfen::N,дусал,капльык
96,Schaum::N,көөсн,шонг
97,Schmutz::N,кир,лявӹрӓ
