,Concept_ID,eu,cy
0,Auge::N,begi,llygad
1,Ohr::N,belarri,clust
2,Nase::N,sudur,trwyn
3,Mund::N,aho,ceg
4,Zahn::N,hortz,dant
5,Zunge::N,mihi,tafod
6,Lippe::N,ezpain,gwefus
7,Wange::N,masail,boch
8,Gesicht::N,aurpegi,wyneb
9,Stirn::N,bekoki,talcen
10,Haar::N,ile,blew
11,Haar::N,bilo,blew
12,Schnurrbart::N,bibote,mwstas
13,Schnurrbart::N,sudurpeko,mwstas
14,Bart::N,bizar,barf
15,Kinn::N,kokots,gên
16,Kiefer[Anatomie]::N,masailezur,gên
17,Kehle::N,eztarri,gwddf
18,Hals::N,sama,gwddf
19,Genick::N,garondo,gwar
20,Genick::N,garondo,gwegil
21,Kopf::N,buru,pen
22,Rücken::N,bizkar,cefn
23,Bauch::N,sabel,bol
24,Nabel::N,zilbor,bogail
25,Busen::N,titi,bron
26,Busen::N,ugatz,bron
27,Brust::N,bular,brest
28,Schulter::N,besaburu,ysgwydd
29,Arm::N,beso,braich
30,Ellenbogen::N,ukondo,penelin
31,Hand::N,esku,llaw
32,Handfläche::N,ahur,palf
33,Finger::N,hatz,bys
34,Fingernagel::N,azazkal,ewin
35,Nagel[Anatomie]::N,azazkal,ewin
36,Zeh::N,behatz,bys troed
37,Fuß::N,oin,troed
38,Ferse::N,orpo,sawdl
39,Ferse::N,oinburu,sawdl
40,Knie::N,belaun,glin
41,Oberschenkel::N,izter,clun
42,Bein::N,zango,coes
43,Körper::N,soin,corff
44,Haut::N,azal,croen
45,Blut::N,odol,gwaed
46,Ader::N,zain,gwythïen
47,Sehne::N,gihar-zain,gewyn
48,Knochen::N,hezur,asgwrn
49,Gehirn::N,garun,ymennydd
50,Gehirn::N,burmuin,ymennydd
51,Herz::N,bihotz,calon
52,Magen::N,urdail,cylla
53,Magen::N,urdail,stumog
54,Leber::N,gibel,iau
55,Atem::N,hats,anadl
56,Atem::N,arnasa,anadl
57,Hunger::N,gose,newyn
58,Träne::N,malko,deigryn
59,Geschmack::N,dasta,cyflas
60,Geruch::N,usain,aroglau
61,Schlaf::N,lo,cwsg
62,Traum::N,amets,breuddwyd
63,Himmel::N,zeru,awyr
64,Sonne::N,eguzki,haul
65,Mond::N,ilargi,lleuad
66,Stern::N,izar,seren
67,Luft::N,aire,awyr
68,Wind::N,haize,gwynt
69,Welle::N,uhin,ton
70,Welle::N,olatu,ton
71,Wasser::N,ur,dŵr
72,Stein::N,harri,carreg
73,Boden::N,lur,llawr
74,Boden::N,zoru,llawr
75,Erde::N,lur,pridd
76,Staub::N,hauts,llwch
77,Rauch::N,ke,mwg
78,Funke::N,zirta,gwreichioni
79,Funke::N,txinparta,gwreichioni
80,Feuer::N,su,tân
81,Licht::N,argi,golau
82,Schatten::N,itzal,cysgod
83,Schatten::N,geriza,cysgod
84,Wetter::N,eguraldi,tywydd
85,Nebel::N,laino,niwl
86,Wolke::N,hodei,cwmwl
87,Regen::N,euri,glaw
88,Schnee::N,elur,ôd
89,Schnee::N,elur,eira
90,Eis::N,horma,iâ
91,Frost::N,izotzaldi,rhew
92,Kälte::N,hotz,oerni
93,Kälte::N,hotz,annwyd
94,Hitze::N,bero,gwres
95,Raureif::N,antzigar,barrug
96,Regenbogen::N,ostadar,enfys
97,Regenbogen::N,ortzadar,enfys
98,Donner::N,ostots,tyrfau
99,Donner::N,ihurtzuri,tyrfau
100,Strömung::N,laster,cerrynt
101,Tropfen::N,xorta,dafn
102,Tropfen::N,xorta,diferyn
103,Schaum::N,bits,ewyn
104,Schmutz::N,lohi,baw
105,Schmutz::N,lohi,budreddi
106,Schmutz::N,zikin,baw
107,Schmutz::N,zikin,budreddi
108,See::N,laku,llyn
109,See::N,aintzira,llyn
110,Sumpf::N,zingira,cors
111,Moor::N,zohikaztegi,rhos
