,Concept_ID,nl,fi
0,Auge::N,oog,silmä
1,Ohr::N,oor,korva
2,Nase::N,neus,nenä
3,Mund::N,mond,suu
4,Zahn::N,tand,hammas
5,Zunge::N,tong,kieli
6,Lippe::N,lip,huuli
7,Wange::N,wang,poski
8,Gesicht::N,gelaat,naama
9,Gesicht::N,gelaat,kasvot
10,Gesicht::N,gezicht,naama
11,Gesicht::N,gezicht,kasvot
12,Stirn::N,voorhoofd,otsa
13,Haar::N,haar,hius
14,Haar::N,haar,tukka
15,Schnurrbart::N,snor,viikset
16,Bart::N,baard,parta
17,Kinn::N,kin,leuka
18,Kiefer[Anatomie]::N,kaak,leukaluu
19,Kehle::N,keel,kurkku
20,Kehle::N,strot,kurkku
21,Hals::N,hals,kaula
22,Genick::N,nek,niska
23,Kopf::N,hoofd,pää
24,Rücken::N,rug,selkä
25,Bauch::N,buik,maha
26,Bauch::N,buik,vatsa
27,Nabel::N,navel,napa
28,Busen::N,boezem,rinta
29,Brust::N,borst,rinta
30,Schulter::N,schouder,olka
31,Schulter::N,schouder,hartia
32,Schulter::N,schouder,olkapää
33,Arm::N,arm,käsivarsi
34,Ellenbogen::N,elleboog,kyynärpää
35,Hand::N,hand,käsi
36,Handfläche::N,handpalm,kämmen
37,Finger::N,vinger,sormi
38,Fingernagel::N,nagel,kynsi
39,Nagel[Anatomie]::N,nagel,kynsi
40,Zeh::N,teen,varvas
41,Fuß::N,voet,jalka
42,Ferse::N,hak,kantapää
43,Ferse::N,hiel,kantapää
44,Knie::N,knie,polvi
45,Oberschenkel::N,dij,reisi
46,Bein::N,been,jalka
47,Körper::N,lichaam,keho
48,Körper::N,lichaam,ruumis
49,Haut::N,huid,iho
50,Blut::N,bloed,veri
51,Ader::N,ader,suoni
52,Sehne::N,pees,jänne
53,Knochen::N,bot,luu
54,Knochen::N,been,luu
55,Knochen::N,knook,luu
56,Gehirn::N,hersenen,aivot
57,Herz::N,hart,sydän
58,Magen::N,maag,maha
59,Magen::N,maag,vatsa
60,Leber::N,lever,maksa
61,Atem::N,adem,henki
62,Atem::N,adem,hengitys
63,Hunger::N,honger,nälkä
64,Träne::N,traan,kyynel
65,Geschmack::N,smaak,maku
66,Geruch::N,geur,haju
67,Schlaf::N,slaap,uni
68,Traum::N,droom,uni
69,Himmel::N,hemel,taivas
70,Sonne::N,zon,aurinko
71,Mond::N,maan,kuu
72,Stern::N,ster,tähti
73,Luft::N,lucht,ilma
74,Wind::N,wind,tuuli
75,Welle::N,golf,aalto
76,Wasser::N,water,vesi
77,Stein::N,steen,kivi
