,Concept_ID,mrj,tt
0,Auge::N,сӹнзӓ,күз
1,Ohr::N,пӹлӹш,колак
2,Nase::N,нер,борын
3,Mund::N,ышма,авыз
4,Mund::N,ышма,тамак
5,Zahn::N,пӱ,теш
6,Zunge::N,йӹлмӹ,тел
7,Lippe::N,тӹрвӹ,ирен
8,Wange::N,шӹргӹ,яңак
9,Gesicht::N,лицӓ,йөз
10,Stirn::N,лепкӓ,маңгай
11,Haar::N,ӱп,чәч
12,Schnurrbart::N,öрш,мыек
13,Bart::N,пандаш,сакал
14,Kinn::N,онгылаш,ияк
15,Kiefer[Anatomie]::N,пӱ арата,казналык
16,Kehle::N,логер,тамак
17,Hals::N,шӱ,бугаз
18,Genick::N,ланга,җилкә
19,Kopf::N,вуй,баш
20,Rücken::N,туп,сырт
21,Bauch::N,мӹшкӹр,корсак
22,Nabel::N,кӹлӹмдӹ,кендек
23,Busen::N,цӹзӹ,түш
24,Brust::N,мел,имчәк
25,Brust::N,мел,күкрәк
26,Schulter::N,ӹнгӹжӓ,иңбаш
27,Schulter::N,ӹнгӹжӓ,кулбаш
28,Arm::N,кид,кул
29,Ellenbogen::N,кӹнервуй,терсәк
30,Hand::N,лапа,кул
31,Handfläche::N,кид лапа,уч
32,Finger::N,парня,бармак
33,Fingernagel::N,кӹч,тырнак
34,Nagel[Anatomie]::N,кӹч,тырнак
35,Zeh::N,парня,бармак
36,Fuß::N,ял лапа,табан
37,Ferse::N,ялгавал,үкчә
38,Ferse::N,ял кавал,үкчә
39,Knie::N,пылвуй,тез
40,Oberschenkel::N,ӓрдӹ,бот
41,Bein::N,ял,аяк
42,Körper::N,монгыр,тән
43,Körper::N,монгыр,җисем
44,Haut::N,кавашты,тире
45,Blut::N,вӹр,кан
46,Ader::N,вӹршӓр,тамыр
47,Sehne::N,кукшышӱн,сеңер
48,Knochen::N,лу,сөяк
49,Gehirn::N,вим,ми
50,Herz::N,шӱм,йөрәк
51,Magen::N,шӱм,ашказаны
52,Leber::N,мокш,бавыр
53,Atem::N,шӱлӹш,сулыш
54,Hunger::N,шужымаш,ачлык
55,Träne::N,сӹнзӓвӹд,яшь
56,Geschmack::N,тот,тәм
57,Geschmack::N,тот,зәвык
58,Geruch::N,пыш,ис
59,Schlaf::N,ом,йокы
60,Traum::N,ом,төш
61,Himmel::N,пӹлгом,күк
62,Sonne::N,кечӹ,кояш
63,Mond::N,тӹлзӹ,ай
64,Stern::N,шӹдӹр,йолдыз
65,Luft::N,юж,һава
66,Luft::N,воздух,һава
67,Wind::N,мардеж,җил
68,Welle::N,ко,дулкын
69,Welle::N,коэ,дулкын
70,Wasser::N,вӹд,су
71,Stein::N,кӱ,таш
72,Boden::N,рок,туфрак
73,Erde::N,свет,җир
74,Staub::N,пырак,тузан
75,Rauch::N,шӹкш,төтен
76,Funke::N,ип,очкын
77,Funke::N,тылип,очкын
78,Feuer::N,тыл,ут
79,Licht::N,соты,якты
80,Licht::N,валгыды,якты
81,Schatten::N,ӹмӹл,күләгә
82,Wetter::N,игечӹ,һава
83,Nebel::N,тӹтӹрӓ,томан
84,Wolke::N,пӹл,болыт
85,Regen::N,юр,яңгыр
86,Schnee::N,лым,кар
87,Eis::N,и,боз
88,Frost::N,ӱштӹ,суык
89,Frost::N,ӱштӹ,салкын
90,Kälte::N,ӱштӹ,суык
91,Kälte::N,ӱштӹ,салкын
92,Hitze::N,шокшы,эсселек
