,Concept_ID,te,mn
0,Auge::N,కన్ను,нүд
1,Ohr::N,చెవి,чих
2,Nase::N,ముక్కు,хамар
3,Mund::N,నోరు,ам
4,Zahn::N,పల్లు,шүд
5,Zunge::N,నాలుక,хэл
6,Lippe::N,పెదవి,уруул
7,Wange::N,చెంప,хацар
8,Gesicht::N,ముఖము,царай
9,Gesicht::N,ముఖము,нүүр
10,Stirn::N,నుదురు,дух
11,Haar::N,వెండ్రుక,үс
12,Schnurrbart::N,మీసము,дээд сахал
13,Schnurrbart::N,మీసము,живэр сахал
14,Bart::N,గడ్డము,сахал
15,Kinn::N,గడ్డము,эрүү
16,Kiefer[Anatomie]::N,దౌడ,эрүү
17,Kehle::N,గొంతు,хоолой
18,Hals::N,మెడ,хүзүү
19,Genick::N,మూపు,шил
20,Genick::N,మూపు,хүзүү
21,Kopf::N,తల,толгой
22,Rücken::N,వెన్ను,ар
23,Rücken::N,వెన్ను,нуруу
24,Bauch::N,కడుపు,хэвлий
25,Bauch::N,కడుపు,гэдэс
26,Nabel::N,బొడ్డు,хүйс
27,Busen::N,స్తనము,хөх
28,Brust::N,ఱొమ్ము,цээж
29,Schulter::N,భుజము,мөр
30,Schulter::N,భుజము,бугалга
31,Arm::N,చేయి,гар
32,Ellenbogen::N,మోచేయి,тохой
33,Hand::N,చేయి,гар
34,Hand::N,చేయి,алга
35,Handfläche::N,అరచేయు,алга
36,Finger::N,చేతిప్రేలు,хуруу
37,Fingernagel::N,గోరు,хурууны хумс
38,Nagel[Anatomie]::N,గోరు,хумс
39,Zeh::N,కాలిప్రేలు,хуруу
40,Fuß::N,అడుగు,хөл
41,Ferse::N,మడమ,өсгий
42,Knie::N,మోకాలు,өвдөг
43,Oberschenkel::N,తొడ,гуя
44,Bein::N,కాలు,хөл
45,Körper::N,కాయము,бие
46,Haut::N,చర్మము,арьс
47,Blut::N,రక్తము,цус
48,Ader::N,సిర,судас
49,Sehne::N,స్నాయువు,бүлх
50,Sehne::N,స్నాయువు,шандас
51,Knochen::N,ఎముక,яс
52,Gehirn::N,మెదడు,тархи
53,Herz::N,హృదయము,зүрх
54,Magen::N,కడుపు,ходоод
55,Leber::N,కాలేయము,элэг
56,Atem::N,ఉపిరి,амьсгаа
57,Hunger::N,ఆకలి,өлсгөлөн
58,Träne::N,కన్నీటిచుక్క,нулимс
59,Geschmack::N,రుచి,амт
60,Geruch::N,వాసన,үнэр
61,Schlaf::N,నిద్ర,нойр
62,Traum::N,కల,зүүд
63,Himmel::N,ఆకాశము,тэнгэр
64,Himmel::N,ఆకాశము,огторгуй
65,Sonne::N,సూర్యుడు,нар
66,Mond::N,చంద్రుడు,сар
67,Stern::N,నక్షత్రము,од
68,Luft::N,గాలి,агаар
69,Wind::N,వీచుచున్నగాలి,салхи
70,Welle::N,అల,долгио
71,Welle::N,అల,давалгаа
72,Wasser::N,నీరు,ус
73,Stein::N,ఱాయి,чулуу
74,Boden::N,నేల,хөрс
75,Erde::N,మన్ను,газар
76,Erde::N,మన్ను,шороо
77,Staub::N,దుమ్ము,тоос
78,Rauch::N,పొగ,утаа
79,Funke::N,అగ్నికణము,оч
80,Feuer::N,అగ్ని,гал
81,Licht::N,కాంతి,гэрэл
82,Licht::N,కాంతి,гэгээ
83,Schatten::N,నీడ,сүүдэр
84,Wetter::N,వాతావరణ స్థితి,тэнгэр
85,Wetter::N,వాతావరణ స్థితి,цаг уур
86,Nebel::N,పొగమంచు,будан
87,Wolke::N,మేఘము,үүл
88,Regen::N,వాన,бороо
89,Schnee::N,హిమము,цас
90,Eis::N,మంచుగడ్డ,мөс
91,Frost::N,పేరిన మంచు,хүйт
92,Kälte::N,చలి,хүйт
93,Hitze::N,వేడిమి,халуун
94,Raureif::N,మంచు,цан
95,Raureif::N,మంచు,хяруу
96,Regenbogen::N,ఇంద్రధనుస్సు,солонго
97,Donner::N,ఉరుము,тэнгэрийн дуу
98,Strömung::N,ప్రవాహము,урсгал
99,Tropfen::N,చుక్క,дусал
100,Schaum::N,నురుగు,хөөс
101,Schmutz::N,మైల,хир
102,Schmutz::N,మైల,шавхай
103,See::N,సరస్సు,нуур
104,Sumpf::N,చిత్తడినేల,намаг
105,Sumpf::N,చిత్తడినేల,балчиг
106,Moor::N,చిత్తడినేల,хүлрийн намаг
107,Wiese::N,పచ్చిక బయలు,нуга
108,Wald::N,అడవి,ой
109,Hügel::N,చివ్నకొండ,болдог
110,Anhöhe::N,కొండ,гүвээ
111,Berg::N,పర్వతము,уул
112,Gipfel::N,శిఖరము,орой
113,Gipfel::N,శిఖరము,оргил
114,Höhle::N,గుహ,агуй
115,Abhang::N,ఏటవాలు,хүр
116,Quelle::N,మూలము,булаг
117,Bach::N,కాలువ,горхи
118,Fluss::N,నది,гол
119,Fluss::N,నది,мөрөн
120,Ufer::N,తీరము,эрэг
121,Küste::N,తీరము,эрэг
122,Festland::N,భూమి,хуурай газар
123,Meer::N,సముద్రము,далай
124,Meer::N,సముద్రము,тэнгис
125,Bucht::N,మరుగు,булан
126,Bucht::N,మరుగు,далайн тохой
127,Insel::N,దీవి,арал
128,Blume::N,పుష్పము,цэцэг
129,Gras::N,పచ్చగడ్డి,өвс
130,Gras::N,పచ్చగడ్డి,ногоо
131,Wurzel::N,వేరు,үндэс
132,Baum::N,చెట్టు,мод
133,Stamm::N,చెట్టుబోదె,иш
134,Stamm::N,చెట్టుబోదె,гуалин
135,Rinde::N,చెట్టుపట్ట,холтос
136,Ast::N,కొమ్మ,гишүү
137,Zweig::N,చివుకు,салаа
138,Blatt::N,ఆకు,навч
139,Birke::N,తరహా చెట్టు,хус
140,Kiefer[Baum]::N,దేవదారు చెట్టు,нарс
141,Weide[Baum]::N,జాతిచెట్టు,уд
142,Weide[Baum]::N,జాతిచెట్టు,бургас
143,Tanne::N,దేవదారుచెట్టు,гачуур
144,Horn::N,కొమ్ము,эвэр
145,Feder::N,ఈక,өд
146,Fell::N,తోలు,арьс
147,Flügel::N,ఱెక్క,жигүүр
148,Flügel::N,ఱెక్క,далавч
149,Klaue::N,వంకరగోరు,савар
150,Klaue::N,వంకరగోరు,хумс
151,Kralle::N,వంకరగోరు,савар
152,Schwanz::N,తోక,сүүл
153,Ei::N,గ్రుడ్డు,өндөг
154,Nest::N,పక్షిగూడు,үүр
155,Bau::N,గుహ,нүх
156,Bau::N,గుహ,элүү
157,Tier::N,జంతువు,амьтан
158,Tier::N,జంతువు,адгуус
159,Herde::N,మంద,сүрэг
160,Kuh::N,ఆవు,үнээ
161,Bulle::N,గిత్త,бух
162,Pferd::N,గుఱ్ఱము,морь
163,Pferd::N,గుఱ్ఱము,адуу
164,Schaf::N,గొఱ్ఱె,хонь
165,Schwein::N,పంది,гахай
166,Hund::N,కుక్క,нохой
167,Katze::N,పిల్లి,муур
168,Katze::N,పిల్లి,мигуй
169,Bär::N,ఎలుగుబంటి,баавгай
170,Eichhörnchen::N,ఉడుత,хэрэм
171,Elch::N,కణంజు,хандгай
172,Fuchs::N,గుంటనక్క,үнэг
173,Hase::N,కుందేలు,туулай
174,Maus::N,చిట్టెలుక,хулгана
175,Wolf::N,తోడేలు,чоно
176,Vogel::N,పక్షి,шувуу
177,Schwarm::N,గుంపు,сүрэг
178,Huhn::N,కోడిపిల్ల,тахиа
179,Hahn::N,కోడివుంజు,эр тахиа
180,Gans::N,ఆడుబాతు,галуу
181,Adler::N,గ్రద్ద,бүргэд
182,Ente::N,పాట్టిబాతు,нугас
183,Eule::N,గ్రుడ్లగూబ,ууль
184,Kranich::N,కొంగ,тогоруу
185,Krähe::N,కాకి,хэрээ
186,Kuckuck::N,కోయల,хөхөө
187,Schwan::N,హంస,хун
188,Fisch::N,చేప,загас
189,Barsch::N,ఒకచేఁప,алгана
190,Hecht::N,గండుమీను,цурхай
191,Schlange[Tier]::N,పాము,могой
192,Wurm::N,పురుగు,өт
193,Wurm::N,పురుగు,хорхой
194,Spinne::N,సాలె పురుగు,аалз
195,Ameise::N,చీమ,шоргоолж
196,Laus::N,పేను,бөөс
197,Mücke::N,చీకటీగ,шумуул
198,Fliege::N,ఈగ,ялаа
199,Schmetterling::N,సీతాకోకచిలుక,эрвээхэй
200,Beere::N,కాయ,жимсгэнэ
201,Apfel::N,ఆపిల్ పండు,алим
202,Pilz::N,కుక్కగొడుగు,мөөг
203,Zwiebel::N,నీరుల్లి,сонгино
204,Saat::N,విత్తనము,тариа
205,Korn::N,గింజ,үр
206,Korn::N,గింజ,мөхлөг
207,Heu::N,ఎండుగడ్డి,өвс
208,Schale::N,పొట్టు,хальс
209,Grube::N,గొయ్యి,алам
210,Grube::N,గొయ్యి,нүх
211,Falle::N,బోను,хавх
212,Falle::N,బోను,занга
213,Schlinge::N,ఉరి,урхи
214,Spur::N,జాడ,мөр
215,Asche::N,బూడిద,үнс
216,Dreck::N,ముఱికి,хир
217,Eisen::N,ఇనుము,төмөр
218,Gold::N,బంగారము,алт
219,Silber::N,వెండి,мөнгө
220,Kohle::N,నేలబొగ్గు,нүүрс
221,Glas::N,గాజు,шил
222,Lehm::N,బంకమన్ను,шавар
223,Sand::N,ఇసుక,элс
224,Mensch::N,నరుడు,хүн
225,Mann::N,పురుమడు,эр
226,Mann::N,పురుమడు,эрэгтэй
227,Frau::N,ఆడుది,эмэгтэй
228,Frau::N,ఆడుది,хатагтай
229,Kind::N,బిడ్డ,хүүхэд
230,Junge::N,బాలుడు,хүү
231,Mädchen::N,బాలిక,охин
232,Mädchen::N,బాలిక,бүсгүй
233,Familie::N,కుటుంబము,айл
234,Großvater::N,తాత,өвгөн аав
235,Großmutter::N,అయ్యమ్మ,эмэг эх
236,Großmutter::N,అయ్యమ్మ,эмгээ
237,Eltern::N,తల్లితండ్రులు,эцэг эх
238,Vater::N,తండ్రి,аав
239,Vater::N,తండ్రి,эцэг
240,Mutter::N,తల్లి,эх
241,Mutter::N,తల్లి,ээж
242,Sohn::N,కొడుకు,хүү
243,Tochter::N,కూతురు,охин
244,Bruder::N,పోదరుడు,ах
245,Bruder::N,పోదరుడు,дүү
246,Schwester::N,సోదరి,эгч
247,Schwester::N,సోదరి,охин дүү
248,Onkel::N,మేనమామ,авга ах
249,Onkel::N,మేనమామ,нагац ах
250,Tante::N,మేనత్త,авга эгч
251,Tante::N,మేనత్త,нагац эгч
252,Tante::N,పినతల్లి,авга эгч
253,Tante::N,పినతల్లి,нагац эгч
254,Ehemann::N,భర్త,нөхөр
255,Ehefrau::N,భార్య,эхнэр
256,Ehefrau::N,భార్య,гэргий
257,Freude::N,సంతోషము,баяр
258,Freude::N,సంతోషము,баясгалан
259,Gelächter::N,నవ్వు,инээдэм
260,Glück::N,సంతోషము,жаргалан
261,Kummer::N,దుఃఖము,гаслан
262,Wunsch::N,కోరిక,ерөөл
263,Lust::N,కోరిక,дур
264,Lust::N,కోరిక,хүсэл
265,Geist::N,ఆత్మ,оюун
266,Gedanke::N,ఆలోచన,сэтгэл
267,Gedächtnis::N,జ్ఞాపకము,ой
268,Gedächtnis::N,జ్ఞాపకము,цээж
269,Verstand::N,మనస్సు,ухаан
270,Sinn::N,అర్థము,утга
271,Grund::N,కారణము,учир
272,Wahrheit::N,సత్యము,үнэн
273,Gespräch::N,పంభాషణ,яриа
274,Märchen::N,అద్భుతకథ,явган үлгэр
275,Erzählung::N,కథ,тууж
276,Nachricht::N,వార్త,мэдээ
277,Neuigkeit::N,వార్త,сонин
278,Name::N,పేరు,нэр
279,Rätsel::N,చిక్కు,оньсого
280,Rede::N,ఉపన్యాసము,хэлсэн үг
281,Sprache::N,భాష,хэл
282,Stimme::N,కంరథ్సని,дуу
283,Wort::N,మాట,үг
284,Zeichen::N,గుర్తు,тамга
285,Zeichen::N,గుర్తు,тэмдэг
286,Ruf::N,పిలువు,дуудлага
287,Lärm::N,సందడి,шуугиан
288,Lärm::N,సందడి,чимээ
289,Laut::N,ధ్వని,анир
290,Laut::N,ధ్వని,дуу
291,Ton::N,స్వరము,авиа
292,Ton::N,స్వరము,аялгуу
293,Lied::N,పాట,дуу
294,Ruhe::N,గాలిలేమి,энх
295,Ruhe::N,గాలిలేమి,тайван
296,Leute::N,జనులు,хүмүүс
297,Volk::N,జాతి,улс
298,Arbeit::N,పని,ажил
299,Arbeit::N,పని,хөдөлмөр
300,Gast::N,అతిధి,зочин
301,Gast::N,అతిధి,айлчин
302,Geschenk::N,దానము,бэлэг
303,Spiel::N,ఆట,наадам
304,Spiel::N,ఆట,тоглоом
305,Gesellschaft::N,జట్టు,хамт байх
306,Hilfe::N,సాహాయ్యము,тусламж
307,Freund::N,స్నేహితుడు,найз
308,Freund::N,స్నేహితుడు,нөхөр
309,Kamerad::N,చెలికాడు,хань
310,Kamerad::N,చెలికాడు,нөхөр
311,Angelegenheit::N,విషయము,хэрэг
312,Anzahl::N,లెక్క,тоо
313,Art::N,జాతి,төрөл
314,Art::N,జాతి,янз
315,Stück::N,తునుక,хэсэг
316,Teil::N,భాగము,хувь
317,Teil::N,భాగము,хэсэг
318,Hälfte::N,సగము,хагас
319,Kreis::N,వృత్తము,тойрог
320,Kreis::N,వృత్తము,хүрээ
321,Kreuz::N,సిలువ,загалмай
322,Linie::N,గీత,шугам
323,Strich::N,గీత,зураас
324,Abstand::N,సందు,зай
325,Entfernung::N,దూరము,зай
326,Entfernung::N,దూరము,хол ойр
327,Gegend::N,విస్తీర్ణము,хавь
328,Gegend::N,విస్తీర్ణము,газар
329,Platz::N,ఎడము,зай
330,Platz::N,ఎడము,завсар
331,Ort::N,స్థలము,газар
332,Ort::N,స్థలము,байр
333,Seite::N,ప్రక్క,тал
334,Seite::N,ప్రక్క,этгээд
335,Mitte::N,నడిమి,төв
336,Mitte::N,నడిమి,дунд
337,Gegenstand::N,పద్దు,юм
338,Sache::N,వస్తువు,үйл
339,Sache::N,వస్తువు,хэрэг
340,Rand::N,అంచు,зах
341,Rand::N,అంచు,хөвөө
342,Kante::N,అంచు,ирмэг
343,Ecke::N,మూల,өнцөг
344,Spitze::N,మొన,үзүүр
345,Ende::N,కొన,зах
346,Ende::N,కొన,үзүүр
347,Loch::N,రంధ్రము,цоорхой
348,Loch::N,రంధ్రము,онгорхой
349,Winkel::N,కోణము,өнцөг
350,Muster::N,మాదిరి,хээ
351,Muster::N,మాదిరి,угалз
352,Größe::N,పరిమాణము,хэмжээ
353,Länge::N,పొడుగు,урт
354,Höhe::N,పొడుగు,өндөр
355,Gewicht::N,భారము,жин
356,Menge::N,మొత్తము,тоо
