,Concept_ID,ml,cy
0,Auge::N,കണ്ണ്,llygad
1,Ohr::N,ചെവി,clust
2,Nase::N,മൂക്ക്,trwyn
3,Mund::N,വായ,ceg
4,Zahn::N,പല്ല്,dant
5,Zunge::N,നാക്ക്,tafod
6,Lippe::N,ചുണ്ട്,gwefus
7,Wange::N,കവിൾത്തടം,boch
8,Gesicht::N,മുഖം,wyneb
9,Stirn::N,നെറ്റി,talcen
10,Haar::N,തലമുടി,blew
11,Schnurrbart::N,മീശ,mwstas
12,Bart::N,താടിരോമം,barf
13,Kinn::N,താടി,gên
14,Kiefer[Anatomie]::N,താടിയെല്ല്,gên
15,Kehle::N,കണ്ഠനാളം,gwddf
16,Hals::N,കഴുത്ത്,gwddf
17,Genick::N,പിടലി,gwar
18,Genick::N,പിടലി,gwegil
19,Kopf::N,തല,pen
20,Rücken::N,മുതുക്,cefn
21,Bauch::N,നയറ്,bol
22,Nabel::N,നാഭി,bogail
23,Busen::N,സ്തനം,bron
24,Brust::N,സ്തനം,brest
25,Schulter::N,തോൾ,ysgwydd
26,Arm::N,കൈ,braich
27,Ellenbogen::N,കൈമുട്ട്,penelin
28,Hand::N,കൈ,llaw
29,Handfläche::N,ഉള്ളം കൈ,palf
30,Finger::N,വിരൽ,bys
31,Fingernagel::N,നഖം,ewin
32,Nagel[Anatomie]::N,നഖം,ewin
33,Zeh::N,കാൽവിരൽ,bys troed
34,Fuß::N,കാൽപ്പാദം,troed
35,Ferse::N,ഉപ്പൂറ്റി,sawdl
36,Knie::N,കാൽമുട്ട്,glin
37,Oberschenkel::N,തുട,clun
38,Bein::N,കാൽ,coes
39,Körper::N,ശരീരം,corff
40,Haut::N,ചർമ്മം,croen
41,Blut::N,രക്തം,gwaed
42,Ader::N,ഞരമ്പ്,gwythïen
43,Sehne::N,സ്നായു,gewyn
44,Knochen::N,അസ്ഥി,asgwrn
45,Gehirn::N,തലച്ചോറ്,ymennydd
46,Herz::N,ഹൃദയം,calon
47,Magen::N,വയർ,cylla
48,Magen::N,വയർ,stumog
49,Leber::N,കരൾ,iau
50,Atem::N,ശ്വാസം,anadl
51,Hunger::N,വിശപ്പ്,newyn
52,Träne::N,കണ്ണീർ,deigryn
53,Geschmack::N,രുചി,cyflas
54,Geruch::N,ഗന്ധം,aroglau
55,Schlaf::N,ഉറകും,cwsg
56,Traum::N,സ്വപ്നം,breuddwyd
57,Himmel::N,ആകാശം,awyr
58,Sonne::N,സൂര്യൻ,haul
59,Mond::N,ചന്ദ്രൻ,lleuad
60,Stern::N,നക്ഷത്രം,seren
61,Luft::N,കാറ്റ്,awyr
62,Wind::N,കാറ്റ്,gwynt
63,Welle::N,തിരമാല,ton
64,Wasser::N,വെള്ളം,dŵr
65,Stein::N,ശില,carreg
66,Stein::N,കല്ല്,carreg
67,Boden::N,തറ,llawr
68,Boden::N,നിലം,llawr
69,Erde::N,മണ്ണ്,pridd
70,Staub::N,പൊടി,llwch
71,Rauch::N,പുക,mwg
72,Funke::N,തീപ്പൊരി,gwreichioni
73,Feuer::N,തീ,tân
74,Licht::N,വിളക്ക്,golau
75,Licht::N,സൂര്യപ്രകാശം,golau
76,Schatten::N,തണൽ,cysgod
77,Wetter::N,കാലാവസ്ഥ,tywydd
78,Nebel::N,മൂടൽമഞ്ഞ്,niwl
79,Wolke::N,മേഘം,cwmwl
80,Regen::N,മഴ,glaw
81,Schnee::N,മഞ്ഞ്,ôd
82,Schnee::N,മഞ്ഞ്,eira
83,Eis::N,ഐസ്,iâ
84,Frost::N,മൂടൽമഞ്ഞ്,rhew
85,Kälte::N,തണുപ്പ്,oerni
86,Kälte::N,തണുപ്പ്,annwyd
87,Hitze::N,ചൂട്,gwres
88,Raureif::N,കോടമഞ്ഞ്,barrug
89,Regenbogen::N,മഴവില്ല്,enfys
90,Donner::N,ഇടി,tyrfau
91,Strömung::N,പ്രവാഹം,cerrynt
92,Tropfen::N,തുള്ളി,dafn
93,Tropfen::N,തുള്ളി,diferyn
94,Schaum::N,നുര,ewyn
95,Schmutz::N,അഴുക്ക്,baw
96,Schmutz::N,അഴുക്ക്,budreddi
97,See::N,തടാകം,llyn
98,Sumpf::N,ചതുപ്പുനിലം,cors
99,Moor::N,പാഴ്നിലം,rhos
100,Wiese::N,പുൽത്തകിടി,dôl
101,Wald::N,വനം,coedwig
102,Wald::N,കാട്,coedwig
103,Hügel::N,കുന്ന്,bryn
104,Anhöhe::N,ഉയർന്ന ഭൂമി,bryn
105,Berg::N,പർവ്വതം,mynydd
106,Gipfel::N,ഉച്ചകോടി,copa
107,Höhle::N,ഗുഹ,ogof
108,Abhang::N,ചരിവ്,llethr
109,Quelle::N,ഉറവിടം,tarddiad
110,Quelle::N,ഉറവിടം,ffynhonnell
111,Bach::N,അരുവി,nant
112,Bach::N,അരുവി,afonig
113,Bach::N,അരുവി,cornant
114,Fluss::N,നദി,afon
115,Ufer::N,തീരം,glan
116,Küste::N,കടൽത്തീരം,traeth
117,Küste::N,കടൽത്തീരം,arfordir
118,Festland::N,കര,tir
119,Meer::N,കടൽ,môr
120,Bucht::N,ഉൾക്കടല്,bae
121,Insel::N,ദ്വീപ്,ynys
122,Blume::N,പൂവ്,blodyn
123,Gras::N,പുല്ല്,glaswellt
124,Wurzel::N,വേര്,gwreiddyn
125,Baum::N,മരം,coeden
126,Stamm::N,തായ്ത്തടി,colfen
127,Stamm::N,തായ്ത്തടി,boncyff
128,Rinde::N,പട്ട,rhisgl
129,Ast::N,ശാഖ,cangen
130,Zweig::N,ശാഖ,cainc
131,Zweig::N,ശാഖ,cangen
132,Blatt::N,ഇല,deilen
133,Birke::N,പൂവരശ്,bedwen
134,Kiefer[Baum]::N,പൈൻമരം,pinwydden
135,Weide[Baum]::N,വില്ലോ,helygen
136,Tanne::N,ദേവദാരു,ffynidwydden
137,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,corn
138,Feder::N,തൂവൽ,plufyn
139,Fell::N,മൃദുരോമം,ffwr
140,Flügel::N,ചിറക്,adain
141,Klaue::N,നഖം,crafanc
142,Kralle::N,നഖം,ewin
143,Schwanz::N,വാൽ,cwt
144,Schwanz::N,വാൽ,cynffon
145,Ei::N,മുട്ട,wy
146,Nest::N,കൂട്,nyth
147,Bau::N,മാളം,ffau
148,Tier::N,മൃഗം,anifail
149,Herde::N,കൂട്ടം,praidd
150,Herde::N,കൂട്ടം,diadell
151,Kuh::N,പശു,buwch
152,Bulle::N,കാള,tarw
153,Pferd::N,കുതിര,ceffyl
154,Schaf::N,ആട്,dafad
155,Schwein::N,പന്നി,mochyn
156,Hund::N,നായ്,ci
157,Katze::N,പൂച്ച,cath
158,Bär::N,കരടി,arth
159,Eichhörnchen::N,അണ്ണാൻ,gwiwer
160,Elch::N,കടമാന്,elc
161,Fuchs::N,കുറുക്കൻ,cadno
162,Hase::N,മുയൽ,ysgyfarnog
163,Maus::N,ചുണ്ടലി,llygoden
164,Wolf::N,ചെന്നായ,blaidd
165,Vogel::N,പക്ഷി,aderyn
166,Schwarm::N,കൂട്ടം,haid
167,Huhn::N,കോഴി,cyw
168,Hahn::N,പൂവൻകോഴി,ceiliog
169,Gans::N,അരയന്നം,gŵydd
170,Adler::N,കഴുകൻ,eryr
171,Ente::N,താറാവ്,hwyad
172,Eule::N,മൂങ്ങ,tylluan
173,Kranich::N,കൊക്ക്,garan
174,Kranich::N,കൊക്ക്,crychydd
175,Krähe::N,കാക്ക,brân
176,Kuckuck::N,കുയിൽ,cog
177,Kuckuck::N,കുയിൽ,cwcw
178,Schwan::N,അരയന്നം,alarch
179,Fisch::N,മത്സ്യം,pysgod
180,Barsch::N,ഒരിനം മത്സ്യം,draenog
181,Hecht::N,ഒരു മത്സ്യം,penhwyad
182,Schlange[Tier]::N,പാമ്പ്,neidr
183,Wurm::N,വിര,abwydyn
184,Wurm::N,വിര,pryf genwair
185,Spinne::N,ചിലന്തി,cor
186,Spinne::N,ചിലന്തി,pryf copyn
187,Ameise::N,ഉറുമ്പ്,morgrugyn
188,Laus::N,പേന്,lleuen
189,Mücke::N,മശകം,gwybedyn
190,Fliege::N,ഈച്ച,cleren
191,Schmetterling::N,ചിത്രശലഭം,glöyn byw
192,Schmetterling::N,ചിത്രശലഭം,iâr fach yr haf
193,Beere::N,ബെറി,aeronen
194,Apfel::N,ആപ്പിൾ,afal
195,Pilz::N,കൂൺ,madarch
196,Zwiebel::N,സവാള,nionyn
197,Zwiebel::N,സവാള,winwnsyn
198,Saat::N,വിത്ത്,had
199,Korn::N,ധാന്യം,grawn
200,Heu::N,വയ്ക്കോൽ,gwair
201,Schale::N,തൊലി,croen
202,Schale::N,തൊലി,plisgyn
203,Grube::N,കുഴി,pwll
204,Grube::N,കുഴി,pydew
205,Falle::N,കെണി,magl
206,Schlinge::N,കുടുക്ക്,cwlwm rhedeg
207,Spur::N,ചുവട്,ôl
208,Asche::N,ചാരം,lludw
209,Dreck::N,അഴുക്ക്,baw
210,Dreck::N,അഴുക്ക്,budreddi
211,Eisen::N,ഇരുമ്പ്,haearn
212,Gold::N,സ്വർണ്ണം,aur
213,Silber::N,വെള്ളി,arian
214,Kohle::N,കൽക്കരി,glo
215,Glas::N,ഗ്ലാസ്,gwydr
216,Lehm::N,കളിമണ്ണ്,clai
217,Sand::N,മണൽ,tywod
218,Mensch::N,മനുഷ്യർ,dyn
219,Mann::N,പുരുഷൻ,dyn
220,Frau::N,സ്ത്രീ,merch
221,Frau::N,സ്ത്രീ,gwraig
222,Kind::N,കുഞ്ഞ്,plentyn
223,Junge::N,ആൺകുട്ടി,hogyn
224,Junge::N,ആൺകുട്ടി,bachgen
225,Mädchen::N,പെൺകുട്ടി,merch
226,Mädchen::N,പെൺകുട്ടി,geneth
227,Familie::N,കുടുംബം,teulu
228,Familie::N,കുടുംബം,tylwyth
229,Großvater::N,അപ്പൂപ്പൻ,taid
230,Großvater::N,അപ്പൂപ്പൻ,tad-cu
231,Großmutter::N,അമ്മുമ്മ,nain
232,Großmutter::N,അമ്മുമ്മ,mam-gu
233,Eltern::N,മാതാപിതാക്കള്,rhieni
234,Vater::N,അച്ഛൻ,tad
235,Mutter::N,അമ്മ,mam
236,Sohn::N,മകൻ,mab
237,Tochter::N,മകൾ,merch
238,Bruder::N,ചേട്ടൻ,brawd
239,Bruder::N,അനിയൻ,brawd
240,Schwester::N,ചേച്ചി,chwaer
241,Schwester::N,അനിയത്തി,chwaer
242,Onkel::N,അമ്മാവൻ,ewythr
243,Tante::N,മാമി,modryb
244,Ehemann::N,ഭർത്താവ്,gŵr
245,Ehefrau::N,ഭാര്യ,gwraig
