,Concept_ID,ga,pl
0,Auge::N,súil,oko
1,Ohr::N,cluas,ucho
2,Nase::N,soc,nos
3,Mund::N,béal,usta
4,Zahn::N,fiacail,ząb
5,Zunge::N,teanga,język
6,Lippe::N,liopa,warga
7,Wange::N,grua,policzek
8,Wange::N,leiceann,policzek
9,Gesicht::N,éadan,twarz
10,Gesicht::N,aghaidh,twarz
11,Stirn::N,baithis,czoło
12,Stirn::N,clár éadain,czoło
13,Haar::N,gruaig,włos
14,Haar::N,gruaig,włosy
15,Schnurrbart::N,croiméal,wąsy
16,Bart::N,féasóg,broda
17,Kinn::N,smig,podbródek
18,Kiefer[Anatomie]::N,giall,czeluść
19,Kehle::N,scornach,gardło
20,Hals::N,muinéal,szyja
21,Genick::N,baic,kark
22,Kopf::N,ceann,głowa
23,Rücken::N,droim,plecy
24,Rücken::N,droim,grzbiet
25,Bauch::N,bolg,brzuch
26,Nabel::N,imleacán,pępek
27,Busen::N,cíoch,biust
28,Brust::N,brollach,pierś
29,Schulter::N,gualainn,bark
30,Schulter::N,gualainn,ramię
31,Arm::N,lámh,ręka
32,Arm::N,lámh,ramię
33,Ellenbogen::N,uillinn,łokieć
34,Hand::N,lámh,dłoń
35,Handfläche::N,bos,dłoń
36,Finger::N,méar,palec
37,Fingernagel::N,ionga,paznokieć
38,Nagel[Anatomie]::N,ionga,paznokieć
39,Zeh::N,ladhar,palec
40,Fuß::N,cos,stopa
41,Fuß::N,troigh,stopa
42,Ferse::N,sáil,pięta
43,Knie::N,glúin,kolano
44,Oberschenkel::N,ceathrú,udo
45,Bein::N,cos,noga
46,Körper::N,corp,ciało
47,Körper::N,colainn,ciało
48,Haut::N,cneas,skóra
49,Haut::N,craiceann,skóra
50,Blut::N,fuil,krew
51,Sehne::N,teannán,ścięgno
52,Sehne::N,féitheog,ścięgno
53,Knochen::N,cnámh,kość
54,Gehirn::N,inchinn,mózg
55,Herz::N,croí,serce
56,Magen::N,bolg,żołądek
57,Magen::N,goile,żołądek
58,Leber::N,ae,wątroba
59,Atem::N,anáil,dech
60,Atem::N,anáil,oddech
61,Hunger::N,ocras,głód
62,Träne::N,deoir,łza
63,Geschmack::N,blas,smak
64,Geruch::N,boladh,woń
65,Geruch::N,boladh,zapach
66,Schlaf::N,suan,sen
67,Schlaf::N,codladh,sen
68,Traum::N,taibhreamh,sen
69,Himmel::N,spéir,niebo
70,Sonne::N,grian,słońce
71,Mond::N,ré,księżyc
72,Mond::N,gealach,księżyc
73,Stern::N,rinn,gwiazda
74,Stern::N,réalta,gwiazda
75,Luft::N,aer,powietrze
76,Wind::N,gaoth,wiatr
77,Welle::N,tonn,fala
78,Wasser::N,uisce,woda
79,Stein::N,cloch,kamień
80,Boden::N,talamh,grunt
81,Erde::N,cré,ziemia
82,Erde::N,ithir,ziemia
83,Staub::N,dusta,pył
84,Staub::N,dusta,kurz
85,Staub::N,deannach,pył
86,Staub::N,deannach,kurz
87,Rauch::N,toit,dym
88,Rauch::N,deatach,dym
89,Funke::N,drithle,iskra
90,Feuer::N,tine,ogień
91,Licht::N,solas,światło
92,Schatten::N,scáth,cień
93,Wetter::N,aimsir,pogoda
94,Nebel::N,ceo,mgła
95,Wolke::N,néal,obłok
96,Wolke::N,néal,chmura
97,Wolke::N,scamall,obłok
98,Wolke::N,scamall,chmura
99,Regen::N,báisteach,deszcz
100,Regen::N,fearthainn,deszcz
101,Schnee::N,sneachta,śnieg
102,Eis::N,oighear,lód
103,Frost::N,sioc,mróz
104,Kälte::N,fuacht,chłód
105,Hitze::N,teas,gorąco
106,Hitze::N,teocht,gorąco
107,Raureif::N,sioc bán,szron
108,Regenbogen::N,stua ceatha,tęcza
109,Regenbogen::N,bogha báistí,tęcza
110,Donner::N,toirneach,grzmot
111,Strömung::N,sruth,nurt
112,Tropfen::N,deoir,kropla
113,Schaum::N,cúr,piana
114,Schmutz::N,salachar,brud
115,See::N,loch,jezioro
116,Sumpf::N,portach,bagno
117,Moor::N,caorán,bagno
118,Moor::N,móinteán,bagno
119,Wiese::N,cluain,łąka
120,Wiese::N,móinéar,łąka
121,Wald::N,coill,las
122,Wald::N,foraois,las
123,Hügel::N,ard,pagórek
124,Anhöhe::N,ard,wzgórze
125,Anhöhe::N,ardán,wzgórze
126,Berg::N,sliabh,góra
127,Gipfel::N,barr,szczyt
128,Gipfel::N,barr,wierzchołek
129,Gipfel::N,mullach,szczyt
130,Gipfel::N,mullach,wierzchołek
131,Höhle::N,uaimh,pieczara
