,Concept_ID,sl,xal
0,Auge::N,okó,нүдн
1,Ohr::N,uhó,чикн
2,Nase::N,nós,хамр
3,Mund::N,ústa,амн
4,Zahn::N,zób,шүдн
5,Zunge::N,jêzik,келн
6,Lippe::N,ústnica,урл
7,Wange::N,líce,халх
8,Gesicht::N,oblíčje,нүр
9,Stirn::N,čêlo,маңна
10,Haar::N,lás,үсн
11,Schnurrbart::N,bŕki,сахл
12,Bart::N,bráda,сахл
13,Bart::N,bráda,өргнә сахл
14,Kinn::N,bráda,өргн
15,Kiefer[Anatomie]::N,čeljúst,өргн
16,Kehle::N,gŕlo,хол
17,Hals::N,vrát,күзүн
18,Genick::N,zatílnik,гиҗг
19,Kopf::N,gláva,толһа
20,Rücken::N,hrbèt,нурһн
21,Bauch::N,trébuh,гесн
22,Nabel::N,pópek,киисн
23,Busen::N,nédrja,көкн
24,Brust::N,pŕsi,чееҗ
25,Schulter::N,ráma,ээм
26,Schulter::N,plêče,ээм
27,Arm::N,rôka,һар
28,Ellenbogen::N,komólec,тоха
29,Hand::N,rôka,баһлцг
30,Handfläche::N,dlán,альхн
31,Finger::N,pŕst,хурһн
32,Finger::N,pŕst,һарин хурһн
33,Fingernagel::N,nóht na rôki,хумсн
34,Nagel[Anatomie]::N,nóht,хумсн
35,Zeh::N,pŕst na nôgi,хурһн
36,Zeh::N,pŕst na nôgi,көлин хурһн
37,Fuß::N,nôga,тавг
38,Ferse::N,pêta,өскә
39,Knie::N,koléno,өвдг
40,Oberschenkel::N,stêgno,һуй
41,Bein::N,nôga,көл
42,Körper::N,teló,махмуд
43,Haut::N,kóža,арсн
44,Blut::N,krí,цусн
45,Ader::N,žíla,судцн
46,Sehne::N,kíta,шүрүсн
47,Knochen::N,kóst,ясн
48,Gehirn::N,možgáni,экн
49,Herz::N,srcé,зүркн
50,Magen::N,želódec,гесн
51,Leber::N,jétra,элкн
52,Atem::N,díh,әмсхл
53,Hunger::N,glád,харһнлһн
54,Träne::N,sólza,нульмсн
55,Geschmack::N,okús,амтн
56,Geruch::N,vónj,үнр
57,Schlaf::N,sèn,нөр
58,Schlaf::N,spánec,нөр
59,Traum::N,sánje,зүүдн
60,Himmel::N,nebó,теңгр
61,Sonne::N,sónce,нарн
62,Mond::N,lúna,сар
63,Mond::N,mésec,сар
64,Stern::N,zvézda,одн
65,Luft::N,zràk,аһар
66,Wind::N,véter,салькн
67,Welle::N,vál,дольган
68,Wasser::N,vôda,усн
69,Stein::N,kámen,чолун
70,Boden::N,tlà,Һазр
71,Erde::N,pŕst,Һазр
72,Erde::N,zêmlja,Һазр
73,Staub::N,práh,тоосн
74,Rauch::N,dìm,утан
75,Funke::N,ískra,очн
76,Feuer::N,ôgenj,һал
77,Licht::N,lúč,герл
78,Schatten::N,sénca,сүүдр
79,Wetter::N,vrême,теңгр
80,Nebel::N,meglà,будн
81,Wolke::N,oblák,үүлн
82,Regen::N,dèž,хур
83,Schnee::N,snég,цасн
84,Eis::N,léd,мөсн
85,Frost::N,zmrzál,киитн
86,Kälte::N,mràz,киитн
87,Hitze::N,pripéka,халун
88,Raureif::N,ívje,цаң
89,Raureif::N,ívje,кирү
90,Raureif::N,slána,цаң
91,Raureif::N,slána,кирү
92,Regenbogen::N,mávrica,солңһ
93,Donner::N,gròm,оһтрһун дун
94,Strömung::N,strúja,урсхл
95,Tropfen::N,káplja,дусал
96,Schaum::N,péna,көөсн
97,Schmutz::N,nesnága,кир
98,See::N,jézero,нур
99,Sumpf::N,močvírje,унул
100,Moor::N,bárje,улм
101,Wiese::N,trávnik,хадлһн
102,Wald::N,lés,ө-модн
103,Wald::N,gòzd,ө-модн
104,Hügel::N,brég,толһа
105,Hügel::N,goríca,толһа
106,Anhöhe::N,gríč,хамр
107,Anhöhe::N,višína,хамр
108,Berg::N,gôra,уул
109,Berg::N,planína,уул
110,Gipfel::N,vŕh,ора
111,Höhle::N,jáma,хадин көндә
112,Höhle::N,votlína,хадин көндә
113,Abhang::N,pobóčje,ташу
114,Quelle::N,izvír,булг
115,Bach::N,pôtok,һооҗур
116,Fluss::N,réka,һол
117,Ufer::N,brég,көвә
118,Küste::N,obála,көвә
119,Küste::N,obála,теңгсин көвә
120,Küste::N,obréžje,көвә
121,Küste::N,obréžje,теңгсин көвә
122,Festland::N,celína,хүүрә һазр
123,Festland::N,kopnína,хүүрә һазр
124,Meer::N,mórje,теңгс
125,Bucht::N,zalív,цекә
126,Bucht::N,zalív,теңгсин цекә
127,Insel::N,ôtok,арл
128,Blume::N,cvetlíca,цецг
129,Gras::N,tráva,ноһан
130,Wurzel::N,korenína,уңг
131,Baum::N,drevó,модн
132,Stamm::N,dêblo,шилв
133,Stamm::N,dêblo,һол модн
134,Rinde::N,lúbje,көрсн
135,Rinde::N,skórja,көрсн
136,Ast::N,véja,ац
137,Zweig::N,véja,ац
138,Blatt::N,líst,хамтхасн
139,Birke::N,bréza,хусм модн
140,Kiefer[Baum]::N,bòr,шар харһа
141,Weide[Baum]::N,vŕba,удн
142,Tanne::N,hója,җөөлн цаһан модн
143,Horn::N,róg,өвр
144,Feder::N,peró,өрвлг
145,Fell::N,kŕzno,арсн
146,Flügel::N,krílo,җивр
147,Klaue::N,párkelj,хумсн
148,Kralle::N,krémpelj,тавг
149,Schwanz::N,rèp,сүл
150,Ei::N,jájce,өндгн
151,Nest::N,gnézdo,үр
152,Bau::N,brlòg,нүкн
153,Tier::N,živál,мал
154,Herde::N,čréda,сүрг мал
155,Kuh::N,kráva,үкр
156,Bulle::N,bìk,бух
157,Pferd::N,kònj,мөрн
158,Schaf::N,ôvca,хөн
159,Schwein::N,svínja,һаха
160,Hund::N,pès,ноха
161,Katze::N,máčka,мис
162,Bär::N,mêdved,аю
163,Eichhörnchen::N,véverica,кермн
164,Elch::N,lós,хандһа
165,Fuchs::N,lisíca,арат
166,Hase::N,zájec,туула
167,Maus::N,mìš,хулһн
168,Wolf::N,vólk,чон
169,Vogel::N,ptìč,шовун
170,Vogel::N,ptíca,шовун
171,Schwarm::N,játa,зел
172,Huhn::N,kokóš,така
173,Hahn::N,petêlin,эр така
174,Gans::N,gós,һалун
175,Adler::N,ôrel,һәрд
176,Ente::N,ráca,нуһсн
177,Eule::N,sôva,һурвлһ
178,Kranich::N,žerjàv,тоһрун
179,Krähe::N,vrána,шаазһа
180,Kuckuck::N,kúkavica,эргин хуцдг
181,Schwan::N,labód,хун
182,Fisch::N,ríba,заһсн
183,Barsch::N,ostríž,шүрг
184,Hecht::N,ščúka,цурх
185,Schlange[Tier]::N,káča,моһа
186,Wurm::N,čr̀v,өтн
187,Wurm::N,glísta,өтн
188,Spinne::N,pájek,аралҗн
189,Ameise::N,mrávlja,шорһлҗн
190,Laus::N,úš,бөөсн
191,Mücke::N,komár,бөкүн
192,Fliege::N,múha,батхн
193,Schmetterling::N,metúlj,эрвәкә
194,Beere::N,jágoda,бөөлҗрһн
195,Apfel::N,jábolko,альмн
196,Pilz::N,góba,теңгрин ки
197,Zwiebel::N,čebúla,мәңгрснә толһа
198,Saat::N,séme,буудян экн
199,Korn::N,zŕno,экн
200,Heu::N,senó,өвсн
201,Schale::N,lupína,хальсн
202,Grube::N,jáma,нүкн
203,Falle::N,pást,урх
204,Falle::N,pást,хавх
205,Schlinge::N,zánka,бүтү
206,Schlinge::N,pêtlja,бүтү
207,Spur::N,sléd,мөр
208,Asche::N,pepél,үмсн
209,Dreck::N,bláto,бальчг
210,Eisen::N,želézo,төмр
211,Gold::N,zlató,алтн
212,Silber::N,srebró,мөңгн
213,Silber::N,srebró,цаһан мөңгн
214,Kohle::N,ógel,нүүрсн
215,Glas::N,stêklo,шил
216,Lehm::N,ílo,шавр
217,Sand::N,pések,элсн
218,Mensch::N,člôvek,күн
219,Mensch::N,člôvek,күмн
220,Mann::N,móž,эр
221,Mann::N,môški,эр
222,Frau::N,gospá,күүкд күн
223,Frau::N,žénska,күүкд күн
224,Kind::N,déte,үрн
225,Kind::N,otròk,үрн
226,Junge::N,fànt,көвүн
227,Junge::N,déček,көвүн
228,Mädchen::N,deklè,бичкн күүкн
229,Mädchen::N,déklica,бичкн күүкн
230,Familie::N,družína,бүл
231,Großvater::N,dèd,өвк эцк
232,Großvater::N,dèd,наһц эцк
233,Großvater::N,dédek,өвк эцк
234,Großvater::N,dédek,наһц эцк
235,Großmutter::N,bábica,эмг эк
236,Großmutter::N,bábica,наһц эк
237,Eltern::N,stárši,эк эцк хойр
238,Vater::N,ôče,эцк
239,Mutter::N,máma,эк
240,Sohn::N,sín,көвүн
241,Tochter::N,hčí,күүкн
242,Tochter::N,hčérka,күүкн
243,Bruder::N,bràt,дү көвүн
244,Schwester::N,sêstra,эгч
245,Schwester::N,sêstra,дү күүкн
246,Onkel::N,újec,авһ
247,Onkel::N,újec,наһцх
248,Onkel::N,stríc,авһ
249,Onkel::N,stríc,наһцх
250,Tante::N,têta,наһц эгч
251,Tante::N,strína,наһц эгч
252,Ehemann::N,móž,залу
253,Ehemann::N,sopróg,залу
254,Ehefrau::N,žêna,гергн
255,Ehefrau::N,sopróga,гергн
256,Freude::N,rádost,байр
257,Freude::N,vesêlje,байр
258,Gelächter::N,sméh,инәдн
259,Gelächter::N,grohòt,инәдн
260,Glück::N,sréča,җирһл
261,Glück::N,sréča,сәәхн җирһл
262,Kummer::N,gorjé,зовлң
263,Wunsch::N,žêlja,дурн
264,Lust::N,poželênje,җилвтлһн
265,Geist::N,dúša,зөрг
266,Gedanke::N,mísel,ухан
267,Gedächtnis::N,pámet,чееҗин тодлвр
268,Sinn::N,pomèn,учр-утх
269,Sinn::N,smísel,учр-утх
270,Grund::N,vzròk,учр
271,Grund::N,vzròk,шалтан
272,Wahrheit::N,resníca,үнн
273,Gespräch::N,pogóvor,күүндвүр
274,Märchen::N,právljica,тууль
275,Erzählung::N,povést,келвр
276,Nachricht::N,sporočílo,медүллһн
277,Neuigkeit::N,novóst,зәңг
278,Name::N,imé,нерн
279,Rätsel::N,ugánka,тәәлвртә тууль
280,Rede::N,góvor,келлһн
281,Sprache::N,jêzik,келн
282,Stimme::N,glás,дун
283,Wort::N,beséda,үг
284,Zeichen::N,znák,темдг
285,Ruf::N,klíc,дуудлһн
286,Lärm::N,hrúp,шууган
287,Lärm::N,trúšč,шууган
288,Laut::N,glás,ә
289,Ton::N,tón,дун
290,Lied::N,pésem,дун
291,Ruhe::N,pokòj,амулң
292,Leute::N,ljudjé,әмтн
293,Volk::N,národ,улс
294,Arbeit::N,délo,көдлмш
295,Gast::N,gòst,гиич
296,Geschenk::N,darílo,белг
297,Spiel::N,ígra,наадн
298,Gesellschaft::N,drúžba,олн
299,Hilfe::N,pomóč,нөкд
300,Freund::N,prijátelj,иньг
301,Kamerad::N,továriš,үр
302,Angelegenheit::N,zadéva,керг
303,Anzahl::N,števílo,то
304,Art::N,vŕsta,зүүл
305,Stück::N,kós,хусг
306,Teil::N,dél,хүв
307,Hälfte::N,polovíca,өрәл
308,Kreis::N,króg,төгрг
309,Kreis::N,kolobár,төгрг
310,Kreuz::N,kríž,кирс
311,Linie::N,próga,зурасн
312,Strich::N,čŕta,татасн
313,Abstand::N,preslédek,зә
314,Entfernung::N,oddáljenost,һазр
315,Gegend::N,kràj,һазр
316,Gegend::N,dežêla,һазр
317,Platz::N,prôstor,зә
318,Ort::N,mésto,бәәрн
319,Seite::N,bòk,тал
320,Seite::N,bòk,хаҗу
321,Seite::N,bòk,хәврһ
322,Seite::N,strán,тал
323,Seite::N,strán,хаҗу
324,Seite::N,strán,хәврһ
325,Mitte::N,sredína,дунд
326,Gegenstand::N,prédmet,юмн
327,Sache::N,réč,юмн
328,Sache::N,stvár,юмн
329,Rand::N,kràj,зах
330,Kante::N,rób,ирмәг
331,Ecke::N,vogál,өнцг
332,Spitze::N,óst,үзүр
333,Ende::N,kônec,үзүр
334,Loch::N,lúknja,хаһрха
335,Winkel::N,kót,булң
336,Muster::N,vzórec,намч
337,Größe::N,veličína,кемҗән
338,Länge::N,dolžína,ут
339,Höhe::N,vršína,өндр
340,Gewicht::N,téža,күнд
341,Gewicht::N,téža,чиңнүр
342,Menge::N,količína,ик
343,Haufen::N,kùp,ова
344,Haufen::N,kopíca,ова
345,Reihe::N,níz,зерг
346,Reihe::N,níz,зерглән
347,Reihe::N,vŕsta,зерг
348,Reihe::N,vŕsta,зерглән
349,Boot::N,čóln,оңһц
350,Ruder::N,vêslo,хәәв
351,Schlitten::N,saní,цан
352,Ski::N,smučí,лыҗ
353,Lagerfeuer::N,táborni ôgenj,костёр
354,Last::N,tôvor,күнд
355,Gang::N,hòd,йовлһн
356,Schritt::N,korák,ишкм
357,Norden::N,séver,ар үзг
358,Süden::N,júg,өмн
359,Süden::N,júg,өмн үзг
360,Westen::N,zapàd,барун
361,Westen::N,zapàd,барун үзг
362,Osten::N,vzhòd,зүн
363,Osten::N,vzhòd,зүн үзг
364,Holz::N,lés,модн
365,Brett::N,deskà,харһа
366,Platte::N,plôča,хавтха чолун
367,Stütze::N,opóra,тулг
368,Stütze::N,zaslómba,тулг
369,Stange::N,gréd,уньн
370,Stock::N,pálica,модн
371,Stab::N,pálica,шуург
372,Rohr::N,cév,турва
373,Haus::N,híša,гер
374,Heim::N,dóm,гер-бул
375,Ofen::N,péč,беш
376,Fußboden::N,pòd,девскр
377,Tisch::N,míza,ширә
378,Stuhl::N,stòl,стул
379,Wiege::N,zíbel,өлгә
380,Wiege::N,zíbel,дүүҗң
381,Bett::N,póstelja,орн
382,Bett::N,póstelja,орндг
383,Regal::N,políca,таг
384,Regal::N,políca,тәвц
385,Kiste::N,zabòj,яршг
386,Fenster::N,ôkno,терз
387,Tür::N,vráta,үүдн
388,Tor::N,velíka vráta,үүдн
389,Tor::N,velíka vráta,өргн үүдн
390,Tor::N,velíka vráta,хашан үүдн
391,Zaun::N,ográja,хаша
392,Dach::N,stréha,деевр
393,Leiter::N,léstev,шат
394,Leiter::N,léstev,давшур
395,Besen::N,mêtla,сәвүр
396,Spaten::N,lopáta,күрз
397,Schaufel::N,lopáta,совг
398,Gabel::N,vílice,серә
399,Löffel::N,žlíca,ухр
400,Messer::N,nòž,утх
401,Nagel::N,žebèlj,хадасн
402,Netz::N,mréža,гөлм
