,Concept_ID,cs,ps
0,Auge::N,oko,سترګه
1,Ohr::N,ucho,غوږ
2,Nase::N,nos,پوزه
3,Mund::N,pusa,خوله
4,Zahn::N,zub,غاښ
5,Zunge::N,jazyk,جبه
6,Lippe::N,ret,شونډه
7,Wange::N,tvář,باړخو
8,Gesicht::N,obličej,مخ
9,Stirn::N,čelo,تندی
10,Stirn::N,čelo,وچولی
11,Haar::N,vlas,وېښته
12,Haar::N,vlasy,وېښته
13,Schnurrbart::N,kníry,برېت
14,Bart::N,vousy,ږیره
15,Kinn::N,brada,زنه
16,Kiefer[Anatomie]::N,čelist,جامه
17,Kehle::N,hrdlo,غاړه
18,Hals::N,krk,غاړه
19,Genick::N,týl,ورمېږ
20,Kopf::N,hlava,سر
21,Rücken::N,záda,شا
22,Rücken::N,hřbet,شا
23,Bauch::N,břicho,نس
24,Bauch::N,břicho,ګېډه
25,Nabel::N,pupek,نوم
26,Busen::N,ňadra,تی
27,Brust::N,prsa,سینه
28,Schulter::N,plece,اوږه
29,Schulter::N,rameno,اوږه
30,Arm::N,ruka,لاس
31,Ellenbogen::N,loket,څنګل
32,Hand::N,ruka,لاس
33,Handfläche::N,dlaň,ورغوی
34,Finger::N,prst,ګوته
35,Fingernagel::N,nehet,نوک
36,Nagel[Anatomie]::N,nehet,نوک
37,Zeh::N,prst u nohy,ګوته
38,Fuß::N,noha,پښه
39,Ferse::N,pata,پونده
40,Knie::N,koleno,زنګون
41,Oberschenkel::N,stehno,پتون
42,Bein::N,noha,پښه
43,Körper::N,tělo,ځان
44,Haut::N,kůže,پوټکی
45,Blut::N,krev,وینه
46,Ader::N,céva,رګ
47,Sehne::N,šlacha,پله
48,Knochen::N,kost,هډوکی
49,Gehirn::N,mozek,ماغزه
50,Herz::N,srdce,زړه
51,Magen::N,žaludek,معده
52,Leber::N,játra,ينه
53,Leber::N,játra,ځیګر
54,Atem::N,dech,نفس
55,Hunger::N,hlad,ولږه
56,Träne::N,slza,اوښکه
57,Geschmack::N,vkus,مزه
58,Geschmack::N,vkus,خوند
59,Geruch::N,vůně,بوی
60,Geruch::N,zápach,بوی
61,Schlaf::N,spánek,خوب
62,Traum::N,sen,خوب
63,Himmel::N,nebe,اسمان
64,Sonne::N,slunce,لمر
65,Mond::N,měsíc,سپوږمۍ
66,Stern::N,hvězda,ستوری
67,Luft::N,vzduch,هوا
68,Wind::N,vítr,ورښ
69,Welle::N,vlna,موج
70,Wasser::N,voda,اوبه
71,Stein::N,kámen,ډبره
72,Boden::N,půda,مځکه
73,Erde::N,země,خاوره
74,Staub::N,prach,ګرد
75,Staub::N,prach,خاوره
76,Rauch::N,dým,دود
77,Rauch::N,dým,لوګی
78,Rauch::N,kouř,دود
79,Rauch::N,kouř,لوګی
80,Funke::N,jiskra,سپرغۍ
81,Feuer::N,oheň,اور
82,Licht::N,světlo,رڼا
83,Schatten::N,stín,سیوری
84,Wetter::N,počasí,هوا
85,Nebel::N,mlha,لړه
86,Wolke::N,mrak,ورېځ
87,Wolke::N,oblak,ورېځ
88,Regen::N,déšť,وریا
89,Regen::N,déšť,باران
90,Schnee::N,sníh,واوره
91,Eis::N,led,یخ
92,Eis::N,led,کنګل
93,Frost::N,mráz,یخ
94,Kälte::N,chlad,ساړه
95,Hitze::N,horko,تودوخي
96,Raureif::N,jinovatka,سپینه پرخه
97,Regenbogen::N,duha,بوډۍ ټال
98,Regenbogen::N,duha,سره زرغونه
99,Donner::N,hrom,تالنده
100,Strömung::N,proudění,بهېدنه
101,Tropfen::N,kapka,قطره
102,Tropfen::N,kapka,څاڅکی
