,Concept_ID,os,lez
0,Auge::N,цӕст,вил
1,Ohr::N,хъус,яб
2,Nase::N,фындз,нер
3,Mund::N,дзых,сив
4,Zahn::N,дӕндаг,сас
5,Zahn::N,дӕндаг,свах
6,Zunge::N,ӕвзаг,мез
7,Lippe::N,был,пӏуз
8,Wange::N,рус,хъвехъ
9,Wange::N,уадул,хъвехъ
10,Wange::N,ӕхсӕрфарс,хъвехъ
11,Gesicht::N,цӕсгом,ччин
12,Stirn::N,ных,пел
13,Haar::N,хил,чӏар
14,Schnurrbart::N,рихи,спел
15,Schnurrbart::N,рихи,спелар
16,Bart::N,зачъе,ччуру
17,Kinn::N,роцъо,чене
18,Kiefer[Anatomie]::N,ӕфсӕр,чене
19,Kehle::N,хъуыр,туьд
20,Hals::N,къубал,гардан
21,Genick::N,къӕбут,кьам
22,Kopf::N,сӕр,кьил
23,Rücken::N,фӕсонтӕ,далу
24,Bauch::N,гуыбын,руфун
25,Nabel::N,бикъ,пицӏ
26,Busen::N,дзидзи,мам
27,Brust::N,риу,хур
28,Schulter::N,уӕхск,къуьн
29,Arm::N,цонг,гъил
30,Ellenbogen::N,рæмбын,кьуьнт
31,Hand::N,къух,капаш
32,Handfläche::N,армытъӕпӕн,капан юкь
33,Finger::N,ӕнруылдз,тӏуб
34,Fingernagel::N,ных,кек
35,Nagel[Anatomie]::N,ных,кек
36,Zeh::N,къух,кул
37,Fuß::N,фад,кӏвач
38,Ferse::N,зӕвӕт,дабан
39,Knie::N,уӕраг,мет
40,Oberschenkel::N,агъд,
41,Bein::N,зӕнг,кӏвач
42,Körper::N,буар,беден
43,Haut::N,царм,хам
44,Blut::N,туг,иви
45,Ader::N,дадзин,дамар
46,Ader::N,тугдадзин,дамар
47,Sehne::N,хъиутæ,кьуру дамар
48,Sehne::N,нуар,кьуру дамар
49,Knochen::N,стӕг,кӏараб
50,Gehirn::N,магъз,мефт
51,Herz::N,зӕрдӕ,рикӏ
52,Magen::N,ахсӕн,хук
53,Leber::N,игæр,лекь
54,Atem::N,улӕфт,ял
55,Atem::N,улӕфт,нефес
56,Hunger::N,стонг,каш
57,Träne::N,цæссыг,вилин нагъв
58,Geschmack::N,ад,дад
59,Geschmack::N,ад,тӏям
60,Geruch::N,смаг,ни
61,Schlaf::N,хуыссӕг,ахвар
62,Traum::N,фын,ахвар
63,Himmel::N,арв,цав
64,Himmel::N,уӕларв,цав
65,Sonne::N,хур,рагъ
66,Mond::N,мӕй,варз
67,Stern::N,стъалы,гъед
68,Luft::N,уӕлдӕф,гьава
69,Wind::N,дымгӕ,гар
70,Welle::N,уылӕн,лепе
71,Wasser::N,дон,яд
72,Stein::N,дур,къван
73,Boden::N,зӕхх,накьв
74,Erde::N,сыджыт,ччил
75,Staub::N,рыг,руг
76,Rauch::N,фӕздӕг,гум
77,Funke::N,цӕхӕр,цӏелхем
78,Feuer::N,зынг,цӏай
79,Licht::N,рухс,экв
80,Schatten::N,аууон,серин
81,Wetter::N,боныхъӕд,гьава
82,Nebel::N,мигъ,ччилин циф
83,Wolke::N,ӕврагъ,циф
84,Regen::N,уарын,марф
85,Schnee::N,мит,жив
86,Eis::N,их,мурк
87,Frost::N,ихæн,аяз
88,Kälte::N,уазал,мекь
89,Kälte::N,уазал,мекьивал
90,Hitze::N,ӕнтӕф,зегьем
91,Raureif::N,халас,къирав
92,Regenbogen::N,арвырон,яргъируш
93,Regenbogen::N,арвырдын,яргъируш
94,Donner::N,æрвнæрын,цавун ван
95,Strömung::N,цыд,
96,Tropfen::N,æртах,стӏал
97,Schaum::N,фынк,каф
98,Schmutz::N,цъыф,чирк
99,Schmutz::N,цъыф,кьуруш
100,See::N,цад,вир
101,Sumpf::N,цъыфдзаст,уьлен
102,Moor::N,цъыфдзаст,
103,Wiese::N,уыгӕрдӕн,векь
104,Wald::N,хъӕд,там
105,Hügel::N,обау,кӏунтӏ
106,Hügel::N,къуыбыр,кӏунтӏ
107,Anhöhe::N,уæлвæз,тепе
108,Anhöhe::N,уæлвæз,гьуьндуьрвал
109,Anhöhe::N,уæлхох,тепе
110,Anhöhe::N,уæлхох,гьуьндуьрвал
111,Berg::N,хох,дагъ
112,Gipfel::N,цъупп,кӏукӏ
113,Höhle::N,лӕгӕт,кьветӏ
114,Abhang::N,къул,гуьне
115,Quelle::N,суадон,чешме
116,Bach::N,мӕсчъыдон,булах
117,Fluss::N,дон,вацӏ
118,Fluss::N,цӕугӕдон,вацӏ
119,Ufer::N,был,къерех
120,Küste::N,донбыл,къерех
121,Festland::N,сурзæхх,кьурамат
122,Meer::N,денджыз,гьуьл
123,Bucht::N,донбакæлæн,бухта
124,Insel::N,сакъадах,остров
125,Blume::N,дидинӕг,цуьк
126,Gras::N,кӕрдӕг,хъач
127,Wurzel::N,уидаг,дувул
128,Baum::N,бӕлас,ттар
129,Stamm::N,хӕтӕл,тан
130,Rinde::N,цъар,чкал
131,Ast::N,арх,тӏур
