,Concept_ID,ady,mdf
0,Auge::N,нэ,сельме
1,Ohr::N,тхьакӏу́м,пиле
2,Nase::N,пэ,шалхка
3,Mund::N,жэ,курга
4,Zahn::N,цэ,пей
5,Zunge::N,бзэгу,кяль
6,Lippe::N,ӏупшӏэ́,търва́
7,Wange::N,нэкӏу́шъу,щёка
8,Gesicht::N,нэ́гу,шама
9,Stirn::N,натӏэ́,коня
10,Haar::N,шъхьацы́,шя́ярь
11,Bart::N,жакӏэ́,сакал
12,Kinn::N,жэкӏэпэпкъ,ула
13,Kiefer[Anatomie]::N,жэпкъы́,саласка
14,Kehle::N,чый,кълдома
15,Kehle::N,чый,кърга́парь
16,Hals::N,пшъэ,сялдаз
17,Genick::N,шъхьэпхэтыку,шовонь
18,Kopf::N,шъхьэ́,пря
19,Rücken::N,кӏыбы́,копорь
20,Bauch::N,ныбэ́,пеке
21,Busen::N,бгъэ́,потя
22,Brust::N,бгъэ́,мяште
23,Schulter::N,блыпкъ,лафту
24,Arm::N,ӏэ,кядь
25,Ellenbogen::N,ӏэнтэ́гъу,кенерьба́карь
26,Hand::N,ӏэтхьэцу,кядь
27,Handfläche::N,ӏэ́гу,кядьлапш
28,Finger::N,ӏэхъуа́мб,сур
29,Fingernagel::N,ӏэбжъа́н,кенже
30,Nagel[Anatomie]::N,ӏэбжъа́н,кенже
31,Zeh::N,ӏэхъуа́мб,пильгосу́р
32,Fuß::N,лъэгу,пильге
33,Fuß::N,лъэгу,пильгелапа
34,Ferse::N,лъэдакъэ,кочкяря
35,Knie::N,лъагуа́ндж,эль
36,Knie::N,лъагуа́ндж,пълма́нжа
37,Oberschenkel::N,ко,пильгепукша
38,Bein::N,лъакъо́,пильге
39,Körper::N,пкъышъол,ро́нга
40,Körper::N,пкъышъол,по́нда
41,Haut::N,кӏы́шъу,киське
42,Blut::N,лъы,вер
43,Ader::N,льытф,сан
44,Ader::N,льытф,верза́н
45,Sehne::N,фэ,коське сан
46,Knochen::N,къупшъхьэ́,пакарь
47,Gehirn::N,куцӏы,уй
48,Herz::N,гу,седи
49,Magen::N,мышкӏу,коткърдазь
50,Leber::N,шӏу,макса
51,Atem::N,къэщэныр,лекома
52,Atem::N,къэщэныр,ваймонь тарксема
53,Hunger::N,гъаблэ́,вачеши
54,Träne::N,нэпсы,сельмове́дь
55,Geschmack::N,ӏэшӏугъа́кӏ,таньф
56,Geruch::N,мэ,шине
57,Schlaf::N,пчыхьы́пӏ,удома́
58,Traum::N,пчыхьы́пӏ,он
59,Himmel::N,уашъо́,менель
60,Sonne::N,тыгъэ,ши
61,Mond::N,мазэ,ков
62,Stern::N,жъуагъо́,тяште
63,Luft::N,жьы,кожф
64,Wind::N,жьыбгъэ́,варма
65,Welle::N,ор,тавла
66,Welle::N,оры,тавла
67,Wasser::N,псы,ведь
68,Stein::N,мыжъо́,кев
69,Boden::N,чӏ́ыгу,мода
70,Boden::N,чӏ́ыгу,потмакс
71,Erde::N,чӏ́ыгу,мода
72,Erde::N,чӏ́ыгу,мастор
73,Staub::N,сап,пуль
74,Rauch::N,ӏугъо́,качам
75,Funke::N,мэшӏуа́ч,ця́тка
76,Feuer::N,машӏо́,тол
77,Licht::N,нэфы,ва́лда
78,Licht::N,нэфын,ва́лда
79,Schatten::N,жьау́,цильф
80,Schatten::N,ныбжьыкъу,цильф
81,Nebel::N,пща́гъу,тума́н
82,Wolke::N,ошъуапщэ,ковол
83,Regen::N,ощхы,пизем
84,Schnee::N,осы́,лов
85,Eis::N,мылы,эй
86,Kälte::N,чъыӏэ́,якшама
87,Hitze::N,фэба́е,пси
88,Regenbogen::N, лэгъупэкъо́пс,а́тямъёнга
89,Donner::N,шыблэ́,атям
90,Strömung::N,ток,шудема́
91,Tropfen::N,ткӏопс,путькс
92,Tropfen::N,ткӏопс,пътняфкс
93,Tropfen::N,гъуаткӏу,путькс
94,Tropfen::N,гъуаткӏу,пътняфкс
95,Schaum::N,тхъурбэ,шов
96,Schmutz::N,псынжъы,ърда́з
97,See::N,хыку́м,эрьхке
98,See::N,псыхъура́й,эрьхке
99,Sumpf::N,орыжъ,шяй
100,Moor::N,орыжъ,шяй
101,Wiese::N,хъупӏэ́,луга
102,Wiese::N,мэкъупӏ,луга
103,Wald::N,мэзы́,вирь
104,Hügel::N,ӏуашъхь,губо́р
105,Hügel::N,ӏуашъхь,пандоня
106,Anhöhe::N,чӏыӏэтыгъ,губо́р
107,Berg::N,къушъхьэ́,панда
108,Gipfel::N,шыгу,пря
109,Höhle::N,гъочӏэгъ,у́нда
110,Abhang::N,чапэ,па́нда ша́ма
111,Quelle::N,псынэчэ́чъ,эшиня
112,Bach::N,псышкуашку,шудерькс
113,Fluss::N,псыхъо́,ляй
114,Ufer::N,нэпкъы,търва́
115,Küste::N,ӏушъо,ляйтърва́
116,Festland::N,чӏл́ыгу,мода
117,Meer::N,хы,моря
118,Bucht::N,хыблыгу,ведьуське
119,Insel::N,хыгъэхъу́н,цёнга
120,Blume::N,къэгъа́гь,панчф
121,Gras::N,уцы́,тише
122,Wurzel::N,лъапсэ́,юр
123,Wurzel::N,лъапсэ́,ункс
124,Baum::N,чъыгы́,шуфта
125,Stamm::N,пкъы,ро́нга
126,Rinde::N,пхъашъо́,кер
127,Ast::N,куамэ,морга
128,Zweig::N,къутамэ́,тарад
129,Blatt::N,тхьап,лопа
130,Birke::N,пчэн,ке́лу
