,Concept_ID,ba,pt
0,Auge::N,күҙ,olho
1,Ohr::N,ҡолаҡ,orelha
2,Nase::N,танау,nariz
3,Mund::N,ауыҙ,boca
4,Zahn::N,теш,dente
5,Zunge::N,тел,língua
6,Lippe::N,ирен,lábio
7,Wange::N,яцаҡтар,face
8,Gesicht::N,бит,cara
9,Gesicht::N,бит,rosto
10,Stirn::N,маңлай,testa
11,Haar::N,сәс,cabelo
12,Schnurrbart::N,мылтыҡ,bigode
13,Bart::N,һаҡал,barba
14,Kinn::N,эйэк,queixo
15,Kiefer[Anatomie]::N,яңаҡ һөйәге,maxila
16,Kiefer[Anatomie]::N,яңаҡ һөйәге,mandíbula
17,Kehle::N,тамаҡ,garganta
18,Hals::N,муйын,colo
19,Hals::N,муйын,pescoço
20,Genick::N,соңҡа,nuca
21,Kopf::N,баш,cabeça
22,Rücken::N,арҡа,dorso
23,Rücken::N,арҡа,costas
24,Bauch::N,ҡорһаҡ,ventre
25,Bauch::N,ҡорһаҡ,barriga
26,Nabel::N,кендек,umbigo
27,Busen::N,күкрәк,seio
28,Brust::N,түш,peito
29,Schulter::N,яурын,ombro
30,Arm::N,ҡул,braço
31,Ellenbogen::N,терһәк,cotovelo
32,Hand::N,ҡул,mão
33,Hand::N,ҡул суғы,mão
34,Handfläche::N,ус төбө,palma
35,Handfläche::N,ус төбө,palma da mão
36,Finger::N,бармаҡ,dedo
37,Fingernagel::N,тырнаҡ,unha
38,Nagel[Anatomie]::N,тырнаҡ,unha
39,Zeh::N,бармаҡ,dedo do pé
40,Fuß::N,табан,pé
41,Ferse::N,үксә,calcanhar
42,Knie::N,тубыҡ,joelho
43,Oberschenkel::N,сандыр,coxa
44,Bein::N,аяҡ,perna
45,Körper::N,тән,corpo
46,Haut::N,тире,pele
47,Blut::N,ҡан,sangue
48,Ader::N,тамыр,veia
49,Sehne::N,һеңер,tendão
50,Sehne::N,тарамыш,tendão
51,Knochen::N,һойәк,osso
52,Gehirn::N,мейе,cérebro
53,Herz::N,йорәк,coração
54,Magen::N,ашҡаҙан,estômago
55,Leber::N,бауыр,fígado
56,Atem::N,һулыш,fôlego
57,Hunger::N,аслыҡ,fome
58,Träne::N,күҙ иәше,lágrima
59,Geschmack::N,тәм,gosto
60,Geruch::N,еҫ,odor
61,Geruch::N,еҫ,cheiro
62,Schlaf::N,йоҡлау,sono
63,Traum::N,төш,sonho
64,Himmel::N,күк,céu
65,Sonne::N,ҡояш,sol
66,Mond::N,ай,lua
67,Stern::N,йондоҙ,estrela
68,Luft::N,һауа,ar
69,Wind::N,ел,vento
70,Welle::N,тулҡын,onda
71,Wasser::N,һыу,água
72,Stein::N,таш,pedra
73,Boden::N,тупраҡ,solo
74,Erde::N,балсҡ,terra
75,Staub::N,туҙан,pó
76,Rauch::N,төтөн,fumo
77,Funke::N,осҡон,faísca
78,Funke::N,осҡон,centelha
79,Feuer::N,ут,fogo
80,Licht::N,яҡтылыҡ,luz
81,Schatten::N,күләгә,sombra
82,Wetter::N,һауа торошо,tempo
83,Nebel::N,төман,nevoeiro
84,Wolke::N,болот,nuvem
85,Regen::N,ямғыр,chuva
86,Schnee::N,ҡар,neve
87,Eis::N,боҙ,gelo
88,Frost::N,һалҡын,gelo
89,Frost::N,һалҡын,geada
90,Kälte::N,һыуыҡ,frio
91,Hitze::N,томра,ardor
92,Hitze::N,эҫелек,ardor
93,Raureif::N,ҡырау,geada
94,Regenbogen::N,йәйғор,arco-iris
95,Donner::N,күк күкрәү,trovão
96,Strömung::N,ағым,corrente
97,Tropfen::N,тамсы,gota
98,Schaum::N,күбек,espuma
99,Schmutz::N,батҡаҡ,sujidade
100,Schmutz::N,батҡаҡ,imundície
101,See::N,күл,lago
102,Sumpf::N,һаҙлык,charco
103,Sumpf::N,һаҙлык,pântano
104,Moor::N,һаҙ,pântano
105,Wiese::N,болон,prado
106,Wald::N,урман,bosque
107,Wald::N,урман,floresta
108,Hügel::N,түбә,colina
109,Anhöhe::N,түбә,alto
110,Anhöhe::N,түбә,outeiro
111,Anhöhe::N,ҡалҡыулыҡ,alto
112,Anhöhe::N,ҡалҡыулыҡ,outeiro
113,Berg::N,тау,monte
114,Berg::N,тау,montanha
115,Gipfel::N,түбә,pico
116,Höhle::N,мәмерйә,caverna
117,Abhang::N,ипкен,encosta
118,Quelle::N,шишмә,fonte
119,Bach::N,шишмә,regato
120,Bach::N,шишмә,ribeiro
121,Fluss::N,йылға,rio
122,Ufer::N,яр,beira
123,Küste::N,яр буйы,costa
124,Festland::N,ҡоро ер,terra firme
125,Meer::N,диңгез,mar
126,Bucht::N,бухта,baía
127,Insel::N,үтрау,ilha
128,Blume::N,сәскә,flor
129,Gras::N,үлән,erva
130,Wurzel::N,тамыр,raiz
131,Baum::N,ағас,árvore
132,Stamm::N,олон,tronco
133,Stamm::N,көбәк,tronco
134,Rinde::N,ҡабыҡ,casca
135,Ast::N,ботаҡ,ramo
136,Zweig::N,ботаҡ,galho
137,Zweig::N,тармаҡ,galho
138,Blatt::N,япраҡ,folha
139,Birke::N,ҡайын,bétula
140,Kiefer[Baum]::N,ҡарғай,pinheiro
141,Weide[Baum]::N,тал,salgueiro
142,Tanne::N,шыршы,abeto
143,Horn::N,мөғөҙ,corno
144,Horn::N,мөғөҙ,chifre
145,Feder::N,ҡауырһын,pena
146,Fell::N,тире,pele
147,Flügel::N,ҡанат,asa
148,Klaue::N,тырнаҡ,pata
149,Kralle::N,аяҡ,unha
150,Kralle::N,аяҡ,garra
151,Schwanz::N,ҡойроҡ,rabo
152,Schwanz::N,ҡойроҡ,cauda
153,Ei::N,йомортҡа,ovo
154,Nest::N,оя,ninho
155,Bau::N,оң,toca
156,Bau::N,оң,covil
157,Tier::N,жайуан,animal
158,Tier::N,йыртҡыс,animal
159,Herde::N,көтөү,rebanho
160,Kuh::N,һыйыр,vaca
161,Bulle::N,үгеҙ,touro
162,Pferd::N,ат,cavalo
163,Schaf::N,һарыҡ,ovelha
164,Schwein::N,сусҡа,porco
165,Hund::N,эт,cão
166,Katze::N,бесәй,gata
167,Bär::N,айыу,urso
168,Eichhörnchen::N,тейен,esquilo
169,Elch::N,мышы,alce
170,Fuchs::N,төлкө,raposa
171,Hase::N,ҡуян,lebre
172,Maus::N,сысҡан,rato
173,Wolf::N,бүре,lobo
174,Vogel::N,ҡош,ave
175,Vogel::N,ҡош,pássaro
176,Schwarm::N,көтөү,bando
177,Schwarm::N,көтөү,enxame
178,Huhn::N,тауыҡ,galinha
179,Hahn::N,әтәс,galo
180,Gans::N,ҡаҙ,ganso
181,Adler::N,бөркөт,águia
182,Ente::N,өйрәк,pata
183,Eule::N,өкө,mocho
184,Eule::N,өкө,coruja
185,Eule::N,ябалаҡ,mocho
186,Eule::N,ябалаҡ,coruja
187,Kranich::N,торна,grou
188,Krähe::N,ҡарға,gralha
189,Kuckuck::N,кәкүк,cuco
190,Schwan::N,аҡҡош,cisne
191,Fisch::N,балыҡ,peixe
192,Barsch::N,алабуға,perca
193,Hecht::N,суртан,lúcio
194,Schlange[Tier]::N,йылан,serpente
195,Wurm::N,селяүсен,verme
196,Spinne::N,үрмәксе,aranha
197,Ameise::N,ҡырмыҫҡа,formiga
198,Laus::N,бет,piolho
199,Mücke::N,серәкәй,mosquito
200,Fliege::N,себен,mosca
201,Schmetterling::N,күбәләк,borboleta
202,Beere::N,еләк,bago
203,Apfel::N,алма,maçã
204,Pilz::N,бәшмәк,fungo
205,Pilz::N,бәшмәк,cogumelo
206,Zwiebel::N,һуган,cebola
207,Saat::N,орлоҡ,sementeira
208,Korn::N,иген,grão
209,Heu::N,бесән,feno
210,Schale::N,ҡабыҡ,casca
211,Grube::N,соҡор,cova
212,Grube::N,соҡор,fossa
213,Falle::N,тоҙак,armadilha
