,Concept_ID,cv,it
0,Auge::N,куҫ,occhio
1,Ohr::N,хӑлха,orecchio
2,Nase::N,сӑмса,naso
3,Mund::N,ҫӑвар,bocca
4,Zahn::N,шӑл,dente
5,Zunge::N,чӗлхе,lingua
6,Lippe::N,тута,labbro
7,Wange::N,пит ҫӑмарти,guancia
8,Gesicht::N,пит,viso
9,Gesicht::N,пит,faccia
10,Gesicht::N,пит-куҫ,viso
11,Gesicht::N,пит-куҫ,faccia
12,Stirn::N,ҫамка,fronte
13,Haar::N,ҫӳҫ,capello
14,Schnurrbart::N,усси,baffi
15,Schnurrbart::N,усси,mustacchi
16,Bart::N,сухал,barba
17,Kinn::N,янах,mento
18,Kiefer[Anatomie]::N,янах,mascella
19,Kehle::N,пыр,gola
20,Kehle::N,карланкӑ,gola
21,Hals::N,пыр,collo
22,Genick::N,ӗнсе,nuca
23,Kopf::N,пуҫ,capo
24,Kopf::N,пуҫ,testa
25,Rücken::N,ҫурӑм,dorso
26,Rücken::N,ҫурӑм,schiena
27,Nabel::N,кӑвапа,ombelico
28,Busen::N,кӑкӑр,seno
29,Brust::N,умӗ,petto
30,Schulter::N,хул пуҫҫи,spalla
31,Arm::N,алӑ,braccio
32,Ellenbogen::N,чавса,gomito
33,Hand::N,алӑ сыппи,mano
34,Handfläche::N,ал лаппи,palma
35,Finger::N,пӳрне,dito
36,Fingernagel::N,чӗрне,unghia
37,Nagel[Anatomie]::N,чӗрне,unghia
38,Zeh::N,пӳрне,dito del piede
39,Fuß::N,ура лаппи,piede
40,Ferse::N,кӗле,tallone
41,Ferse::N,кӗле,calcagno
42,Knie::N,чӗркуҫҫи,ginocchio
43,Oberschenkel::N,пӗҫӗ,fèmore
44,Bein::N,ура,gamba
45,Körper::N,ӳт,corpo
46,Körper::N,ӳт-пӳ,corpo
47,Haut::N,тир,pelle
48,Blut::N,юн,sangue
49,Ader::N,вена,vena
50,Sehne::N,шӑнӑр,tèndine
51,Knochen::N,шӑмӑ,osso
52,Gehirn::N,миме,cervello
53,Herz::N,чӗре,cuore
54,Magen::N,хырӑмлӑх,stòmaco
55,Leber::N,пӗвер,fegato
56,Atem::N,сывлав,fiato
57,Atem::N,сывлав,respiro
58,Hunger::N,выҫлӑх,fame
59,Träne::N,куҫҫуль,làcrima
60,Geschmack::N,техӗм,gusto
61,Geschmack::N,техӗм,sapore
62,Geruch::N,шӑршӑ,odore
63,Schlaf::N,ыйхӑ,sonno
64,Traum::N,тӗлӗк,sogno
65,Himmel::N,пӗлӗт,cielo
66,Sonne::N,хӗвел,sole
67,Mond::N,уйӑх,luna
68,Stern::N,ҫӑлтӑр,stella
69,Luft::N,сывлӑш,aria
70,Wind::N,ҫил,vento
71,Welle::N,хум,onda
72,Wasser::N,шыв,acqua
73,Wasser::N,шыв-шур,acqua
74,Stein::N,чул,sasso
75,Stein::N,чул,pietra
76,Boden::N,тӑпра,suolo
77,Boden::N,тӑпра,terreno
78,Erde::N,ҫӗр,terra
79,Staub::N,тусан,polvere
80,Rauch::N,тӗтӗм,fumo
81,Funke::N,хӗм,scintilla
82,Feuer::N,вут,fuoco
83,Feuer::N,ҫулӑм,fuoco
84,Licht::N,ҫутӑ,luce
85,Schatten::N,сулхӑн,ombra
86,Wetter::N,ҫанталӑк,tempo
87,Nebel::N,тӗтре,nebbia
88,Wolke::N,пӗлӗт,nube
89,Wolke::N,пӗлӗт,nùvola
90,Regen::N,ҫумӑр,pioggia
91,Schnee::N,юр,neve
92,Eis::N,пӑр,ghiaccio
93,Frost::N,сивӗ,gelo
94,Kälte::N,сивӗ,freddo
95,Hitze::N,вӗри,caldo
96,Hitze::N,вӗри,calura
97,Hitze::N,шӑрӑх,caldo
98,Hitze::N,шӑрӑх,calura
99,Raureif::N,пас,brina
100,Regenbogen::N,асамат кӗперӗ,arcobaleno
101,Donner::N,аслати,tuono
102,Strömung::N,юхӑ,corrente
103,Tropfen::N,тумлам,goccia
104,Schaum::N,кӑпӑк,spuma
105,Schaum::N,кӑпӑк,schiuma
106,Schmutz::N,пылчӑк,sudiciume
107,See::N,кӳлӗ,lago
108,Sumpf::N,шур,palude
109,Sumpf::N,шурлӑх,palude
110,Moor::N,торфлӑ шурлӑх,torbiera
111,Wiese::N,улӑх,prato
112,Wiese::N,ҫаран,prato
113,Wald::N,вӑрман,bosco
114,Wald::N,вӑрман,foresta
115,Hügel::N,сӑрт,colle
116,Hügel::N,сӑрт,collina
117,Hügel::N,тӗмеске,colle
118,Hügel::N,тӗмеске,collina
119,Anhöhe::N,сӑрт,altura
120,Berg::N,ту,monte
121,Berg::N,ту,montagna
122,Gipfel::N,тӳпе,cima
123,Höhle::N,ҫӗр хӑвӑлӗ,grotta
124,Höhle::N,ҫӗр хӑвӑлӗ,caverna
125,Abhang::N,тӑвайкки,pendìo
126,Quelle::N,ҫӑл куҫ,sorgente
127,Bach::N,пӗчӗк шыв,ruscello
128,Fluss::N,юхан шыв,fiume
129,Ufer::N,ҫыран,riva
130,Küste::N,тинӗс ҫыранӗ,costa
131,Festland::N,тип ҫӗр,terraferma
132,Meer::N,тинӗс,mare
133,Bucht::N,тинӗс кукӑрӗ,cala
134,Insel::N,утрав,ìsola
135,Blume::N,чечек,fiore
136,Gras::N,курӑк,erba
137,Wurzel::N,тымар,radice
138,Baum::N,йывӑҫ,àlbero
139,Stamm::N,вулӑ,tronco
140,Rinde::N,хуйӑр,corteccia
141,Ast::N,турат,ramo
142,Zweig::N,турат,ramo
143,Blatt::N,ҫулҫӑ,foglia
144,Birke::N,хурӑн,betulla
145,Kiefer[Baum]::N,хыр,pino
146,Weide[Baum]::N,хӑва,sàlice
147,Tanne::N,чӑрӑш,abete
148,Horn::N,мӑйрака,corno
149,Feder::N,тӗк,penna
