,Concept_ID,cv,kv
0,Auge::N,куҫ,син
1,Ohr::N,хӑлха,пель
2,Nase::N,сӑмса,ныр
3,Mund::N,ҫӑвар,ӧм
4,Zahn::N,шӑл,пинь
5,Zunge::N,чӗлхе,кыв
6,Lippe::N,тута,тырп
7,Wange::N,пит ҫӑмарти,рожабан
8,Gesicht::N,пит,бан
9,Gesicht::N,пит-куҫ,бан
10,Stirn::N,ҫамка,кымӧс
11,Haar::N,ҫӳҫ,юрси
12,Schnurrbart::N,усси,уссэз
13,Bart::N,сухал,тош
14,Kinn::N,янах,тшӧка
15,Kiefer[Anatomie]::N,янах,ан
16,Kehle::N,пыр,юан
17,Kehle::N,карланкӑ,юан
18,Hals::N,пыр,юан
19,Genick::N,ӗнсе,юр бӧр
20,Kopf::N,пуҫ,юр
21,Rücken::N,ҫурӑм,мышк
22,Nabel::N,кӑвапа,гӧг
23,Busen::N,кӑкӑр,морос
24,Brust::N,умӗ,морос
25,Schulter::N,хул пуҫҫи,пельпон
26,Arm::N,алӑ,ки
27,Ellenbogen::N,чавса,гырдзза
28,Hand::N,алӑ сыппи,кикар
29,Handfläche::N,ал лаппи,ки пыдӧс
30,Finger::N,пӳрне,чунь
31,Fingernagel::N,чӗрне,гыж
32,Nagel[Anatomie]::N,чӗрне,гыж
33,Zeh::N,пӳрне,чунь
34,Fuß::N,ура лаппи,кокпыдӧс
35,Ferse::N,кӗле,кокдзир
36,Knie::N,чӗркуҫҫи,пидзӧс
37,Oberschenkel::N,пӗҫӗ,лядьбей
38,Bein::N,ура,кок
39,Körper::N,ӳт,вывтыр
40,Körper::N,ӳт-пӳ,вывтыр
41,Haut::N,тир,кучик
42,Blut::N,юн,вир
43,Ader::N,вена,сӧн
44,Sehne::N,шӑнӑр,жила
45,Knochen::N,шӑмӑ,коска
46,Gehirn::N,миме,вем
47,Herz::N,чӗре,сьӧлӧм
48,Magen::N,хырӑмлӑх,жӧвдӧк
49,Leber::N,пӗвер,мус
50,Atem::N,сывлав,лолалӧм
51,Hunger::N,выҫлӑх,тшыг
52,Träne::N,куҫҫуль,синва
53,Geschmack::N,техӗм,кӧр
54,Geruch::N,шӑршӑ,дук
55,Schlaf::N,ыйхӑ,он
56,Traum::N,тӗлӗк,вӧт
57,Himmel::N,пӗлӗт,небо
58,Sonne::N,хӗвел,шондi
59,Mond::N,уйӑх,тӧлiсь
60,Stern::N,ҫӑлтӑр,кӧдзыв
61,Luft::N,сывлӑш,ру
62,Wind::N,ҫил,тӧв
63,Welle::N,хум,гы
64,Wasser::N,шыв,ва
65,Wasser::N,шыв-шур,ва
66,Stein::N,чул,из
67,Boden::N,тӑпра,му
68,Erde::N,ҫӗр,му
69,Staub::N,тусан,бус
70,Rauch::N,тӗтӗм,тшын
71,Funke::N,хӗм,бичир
72,Feuer::N,вут,би
73,Feuer::N,ҫулӑм,би
74,Licht::N,ҫутӑ,би
75,Schatten::N,сулхӑн,вуджӧр
76,Wetter::N,ҫанталӑк,погоддя
77,Nebel::N,тӗтре,туман
78,Wolke::N,пӗлӗт,кымӧр
79,Regen::N,ҫумӑр,зэр
80,Schnee::N,юр,лым
81,Eis::N,пӑр,йы
82,Frost::N,сивӗ,мороз
83,Kälte::N,сивӗ,кӧдзыт
84,Hitze::N,вӗри,ӧд
85,Hitze::N,шӑрӑх,ӧд
86,Raureif::N,пас,кижа
87,Regenbogen::N,асамат кӗперӗ,енӧшка
88,Donner::N,аслати,гым
89,Strömung::N,юхӑ,визывтӧм
90,Tropfen::N,тумлам,тёп
91,Schaum::N,кӑпӑк,быг
92,Schmutz::N,пылчӑк,нять
93,See::N,кӳлӗ,ты
94,Sumpf::N,шур,арай
95,Sumpf::N,шурлӑх,арай
96,Moor::N,торфлӑ шурлӑх,нюр
97,Wiese::N,улӑх,видз
98,Wiese::N,ҫаран,видз
99,Wald::N,вӑрман,вӧр
100,Hügel::N,сӑрт,мыльк
101,Hügel::N,тӗмеске,мыльк
102,Anhöhe::N,сӑрт,вывтас
103,Anhöhe::N,сӑрт,вылынін
104,Berg::N,ту,керӧс
105,Gipfel::N,тӳпе,йыв
106,Höhle::N,ҫӗр хӑвӑлӗ,нора
107,Abhang::N,тӑвайкки,покат
108,Quelle::N,ҫӑл куҫ,больган
109,Bach::N,пӗчӗк шыв,шор
110,Fluss::N,юхан шыв,ю
111,Ufer::N,ҫыран,берег
112,Küste::N,тинӗс ҫыранӗ,берег
113,Festland::N,тип ҫӗр,му
114,Meer::N,тинӗс,море
115,Bucht::N,тинӗс кукӑрӗ,курья
116,Insel::N,утрав,
117,Blume::N,чечек,цветок
118,Gras::N,курӑк,турун
119,Wurzel::N,тымар,вуж
120,Baum::N,йывӑҫ,пу
121,Stamm::N,вулӑ,мыр
122,Stamm::N,вулӑ,кер
123,Rinde::N,хуйӑр,кач
124,Ast::N,турат,ув
125,Zweig::N,турат,ув
126,Blatt::N,ҫулҫӑ,лист
127,Birke::N,хурӑн,кыдз
128,Kiefer[Baum]::N,хыр,пожум
129,Weide[Baum]::N,хӑва,бадь
130,Tanne::N,чӑрӑш,кӧз
131,Horn::N,мӑйрака,сюр
132,Feder::N,тӗк,гӧн
133,Fell::N,ҫӑм,кучик
134,Flügel::N,ҫунат,борд
135,Klaue::N,чӗрне,гыж
136,Kralle::N,ура,кабыр
137,Schwanz::N,хӳре,бӧж
138,Ei::N,ҫӑмарта,кольть
139,Nest::N,йӑва,поз
