,Concept_ID,mhr,pt
0,Auge::N,шинча́,olho
1,Ohr::N,пы́лыш,orelha
2,Nase::N,нер,nariz
3,Mund::N,умша́,boca
4,Zahn::N,пӱй,dente
5,Zunge::N,йы́лме,língua
6,Lippe::N,тӱ́рвӧ,lábio
7,Wange::N,шӱ́ргӧ,face
8,Gesicht::N,чури́й,cara
9,Gesicht::N,чури́й,rosto
10,Stirn::N,саҥга́,testa
11,Haar::N,ӱп,cabelo
12,Schnurrbart::N,ӧ́рыш,bigode
13,Bart::N,понда́ш,barba
14,Kinn::N,оҥыла́ш,queixo
15,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,maxila
16,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,mandíbula
17,Kiefer[Anatomie]::N,пӱйората́,maxila
18,Kiefer[Anatomie]::N,пӱйората́,mandíbula
19,Kehle::N,лога́р,garganta
20,Hals::N,шӱй,colo
21,Hals::N,шӱй,pescoço
22,Genick::N,шӱйло́дыш,nuca
23,Kopf::N,вуй,cabeça
24,Rücken::N,туп,dorso
25,Rücken::N,туп,costas
26,Bauch::N,мӱ́шкыр,ventre
27,Bauch::N,мӱ́шкыр,barriga
28,Nabel::N,кы́лымде,umbigo
29,Busen::N,чы́зе,seio
30,Brust::N,оҥ,peito
31,Schulter::N,ва́че,ombro
32,Arm::N,кид,braço
33,Ellenbogen::N,кынерву́й,cotovelo
34,Hand::N,кид,mão
35,Hand::N,копа́,mão
36,Handfläche::N,со́во,palma
37,Handfläche::N,со́во,palma da mão
38,Finger::N,парня́,dedo
39,Fingernagel::N,кидкӱ́ч,unha
40,Fingernagel::N,парнягӱ́ч,unha
41,Nagel[Anatomie]::N,кӱч,unha
42,Zeh::N,йолварня́,dedo do pé
43,Fuß::N,йол,pé
44,Fuß::N,йолкопа́,pé
45,Ferse::N,тага́н,calcanhar
46,Knie::N,пулву́й,joelho
47,Oberschenkel::N,э́рде,coxa
48,Bein::N,йол,perna
49,Körper::N,кап,corpo
50,Haut::N,кова́ште,pele
51,Blut::N,вӱр,sangue
52,Ader::N,шӧн,veia
53,Sehne::N,шӧн,tendão
54,Sehne::N,кӱсе́н,tendão
55,Knochen::N,лу,osso
56,Gehirn::N,вем,cérebro
57,Gehirn::N,вуйве́м,cérebro
58,Herz::N,шӱм,coração
59,Magen::N,пага́р,estômago
60,Leber::N,мокш,fígado
61,Atem::N,шӱ́лыш,fôlego
62,Hunger::N,шужыма́ш,fome
63,Träne::N,шинчавӱ́д,lágrima
64,Geschmack::N,там,gosto
65,Geruch::N,пуш,odor
66,Geruch::N,пуш,cheiro
67,Schlaf::N,о́мо,sono
68,Traum::N,йӱдо́мо,sonho
69,Himmel::N,кава́,céu
70,Sonne::N,ке́че,sol
71,Mond::N,ты́лзе,lua
72,Stern::N,шӱ́дыр,estrela
73,Luft::N,юж,ar
74,Wind::N,марде́ж,vento
75,Welle::N,то́лкын,onda
76,Wasser::N,вӱд,água
77,Stein::N,кӱ,pedra
78,Boden::N,рок,solo
79,Erde::N,мла́нде,terra
80,Staub::N,пура́к,pó
81,Rauch::N,шикш,fumo
82,Funke::N,сеске́м,faísca
83,Funke::N,сеске́м,centelha
84,Funke::N,тулйы́п,faísca
85,Funke::N,тулйы́п,centelha
86,Feuer::N,тул,fogo
87,Licht::N,со́то,luz
88,Schatten::N,ӱ́мыл,sombra
89,Wetter::N,иге́че,tempo
90,Nebel::N,тӱтыра́,nevoeiro
91,Wolke::N,пыл,nuvem
92,Regen::N,йӱр,chuva
93,Schnee::N,лум,neve
94,Eis::N,ий,gelo
95,Frost::N,чатлама́,gelo
96,Frost::N,чатлама́,geada
97,Kälte::N,йӱ́штӧ,frio
98,Hitze::N,шо́кшо,ardor
99,Raureif::N,пӧрш,geada
100,Raureif::N,по́кшым,geada
101,Regenbogen::N,шонанпы́л,arco-iris
102,Donner::N,кӱ́дырчӧ,trovão
103,Strömung::N,йо́гын,corrente
104,Tropfen::N,чӱча́лтыш,gota
105,Schaum::N,шоҥ,espuma
106,Schmutz::N,лавыра́,sujidade
107,Schmutz::N,лавыра́,imundície
108,See::N,ер,lago
109,Sumpf::N,лӱ́кӧ,charco
110,Sumpf::N,лӱ́кӧ,pântano
111,Moor::N,куп,pântano
112,Wiese::N,о́лык,prado
113,Wald::N,чодыра́,bosque
114,Wald::N,чодыра́,floresta
115,Hügel::N,арка́,colina
116,Anhöhe::N,тӧва́,alto
117,Anhöhe::N,тӧва́,outeiro
118,Anhöhe::N,кӱкшака́,alto
119,Anhöhe::N,кӱкшака́,outeiro
120,Berg::N,ку́рык,monte
121,Berg::N,ку́рык,montanha
122,Gipfel::N,чаҥга́,pico
123,Gipfel::N,курыкву́й,pico
124,Höhle::N,пеще́р,caverna
125,Höhle::N,курыкпо́мыш,caverna
126,Abhang::N,та́йыл,encosta
127,Quelle::N,важ,fonte
128,Quelle::N,вӱдшинча́,fonte
129,Bach::N,изэҥе́р,regato
130,Bach::N,изэҥе́р,ribeiro
131,Fluss::N,эҥе́р,rio
132,Ufer::N,сер,beira
133,Küste::N,вӱдтӱ́р,costa
134,Festland::N,мла́нде,terra firme
135,Meer::N,те́ҥыз,mar
136,Bucht::N,икса́,baía
137,Insel::N,отро́,ilha
138,Blume::N,пеле́дыш,flor
139,Gras::N,шу́до,erva
140,Wurzel::N,вож,raiz
141,Baum::N,пуше́ҥге,árvore
142,Stamm::N,йы́тыр,tronco
143,Rinde::N,шӱм,casca
144,Ast::N,укш,ramo
145,Zweig::N,торма́к,galho
146,Blatt::N,лышта́ш,folha
147,Birke::N,куэ́,bétula
148,Kiefer[Baum]::N,пӱ́нчӧ,pinheiro
149,Weide[Baum]::N,уа́,salgueiro
150,Tanne::N,кож,abeto
151,Horn::N,шур,corno
152,Horn::N,шур,chifre
153,Feder::N,пы́стыл,pena
154,Fell::N,кова́ште,pele
155,Flügel::N,шу́лдыр,asa
156,Klaue::N,кӱч,pata
157,Kralle::N,ла́па,unha
158,Kralle::N,ла́па,garra
159,Kralle::N,копа́,unha
160,Kralle::N,копа́,garra
161,Schwanz::N,поч,rabo
162,Schwanz::N,поч,cauda
163,Ei::N,му́но,ovo
164,Nest::N,пыжа́ш,ninho
165,Bau::N,пыжа́ш,toca
166,Bau::N,пыжа́ш,covil
167,Tier::N,я́нлык,animal
168,Tier::N,живо́тный,animal
169,Herde::N,кӱ́тӱ,rebanho
170,Herde::N,тӱшка́,rebanho
171,Kuh::N,ушка́л,vaca
172,Bulle::N,ӱ́шкыж,touro
173,Pferd::N,и́мне,cavalo
174,Schaf::N,шо́рык,ovelha
175,Schwein::N,сӧсна́,porco
176,Hund::N,пий,cão
177,Katze::N,пы́рыс,gata
178,Bär::N,маска́,urso
179,Eichhörnchen::N,ур,esquilo
180,Elch::N,шо́рдо,alce
181,Fuchs::N,ры́выж,raposa
182,Hase::N,мера́ҥ,lebre
183,Maus::N,коля́,rato
184,Wolf::N,пи́ре,lobo
185,Vogel::N,ка́йык,ave
186,Vogel::N,ка́йык,pássaro
187,Schwarm::N,каша́к,bando
188,Schwarm::N,каша́к,enxame
189,Huhn::N,чы́ве,galinha
190,Hahn::N,агыта́н,galo
191,Gans::N,ко́мбо,ganso
192,Adler::N,карагу́ш,águia
193,Ente::N,лу́до,pata
194,Eule::N,тумна́,mocho
195,Eule::N,тумна́,coruja
196,Kranich::N,турня́,grou
197,Krähe::N,кора́к,gralha
198,Kuckuck::N,куку́,cuco
199,Schwan::N,йӱ́ксӧ,cisne
200,Fisch::N,кол,peixe
201,Barsch::N,ола́ҥге,perca
202,Hecht::N,нуж,lúcio
203,Hecht::N,чорта́н,lúcio
204,Schlange[Tier]::N,ки́шке,serpente
205,Wurm::N,шукш,verme
206,Spinne::N,эҥыре́мыш,aranha
207,Ameise::N,ку́тко,formiga
208,Laus::N,тий,piolho
209,Mücke::N,шыҥа́,mosquito
210,Fliege::N,ка́рме,mosca
211,Schmetterling::N,лы́ве,borboleta
212,Beere::N,мӧр,bago
213,Apfel::N,олма́,maçã
214,Pilz::N,по́ҥго,fungo
215,Pilz::N,по́ҥго,cogumelo
216,Zwiebel::N,шога́н,cebola
217,Saat::N,нӧ́шмӧ,sementeira
218,Saat::N,туш,sementeira
219,Korn::N,шу́рно,grão
220,Heu::N,шу́до,feno
221,Schale::N,шӱм,casca
222,Grube::N,выне́м,cova
223,Grube::N,выне́м,fossa
224,Falle::N,лӧ́дӧ,armadilha
225,Schlinge::N,о́птыш,laço
226,Schlinge::N,шӧрга́лтыш,laço
227,Spur::N,кыша́,pista
228,Spur::N,кыша́,vestígio
229,Asche::N,ло́мыж,cinza
230,Dreck::N,лавыра́,sujidade
231,Eisen::N,кӱ́ртньӧ,ferro
232,Gold::N,шӧ́ртньӧ,ouro
233,Silber::N,ший,prata
234,Kohle::N,мландышӱ́й,carvão
235,Glas::N,янда́,vidro
236,Lehm::N,шун,barro
237,Lehm::N,шун,argila
238,Sand::N,ошма́,areia
239,Mensch::N,еҥ,homem
240,Mensch::N,еҥ,pessoa
241,Mensch::N,айде́ме,homem
242,Mensch::N,айде́ме,pessoa
243,Mann::N,пӧръе́ҥ,homem
244,Frau::N,ӱдырама́ш,mulher
245,Kind::N,аза́,filho
246,Kind::N,аза́,criança
247,Junge::N,рве́зе,rapaz
248,Junge::N,рве́зе,menino
249,Mädchen::N,ӱдыра́ш,menina
250,Mädchen::N,ӱдыра́ш,rapariga
251,Familie::N,еш,família
252,Großvater::N,коча́,avô
253,Großmutter::N,кова́,avó
254,Eltern::N,ача́-ава́,pais
255,Vater::N,ача́,pai
