,Concept_ID,az,ba
171,Kranich::N,durna,торна
172,Krähe::N,qarğa,ҡарға
173,Kuckuck::N,ququ,кәкүк
174,Schwan::N,qu quşu,аҡҡош
175,Fisch::N,balıq,балыҡ
176,Barsch::N,tar,алабуға
177,Hecht::N,durnabalığı,суртан
178,Schlange[Tier]::N,ilan,йылан
179,Wurm::N,qurd,селяүсен
180,Spinne::N,hörümçək,үрмәксе
181,Ameise::N,qarışqa,ҡырмыҫҡа
182,Laus::N,bit,бет
183,Mücke::N,ağcaqanad,серәкәй
184,Fliege::N,milçək,себен
185,Schmetterling::N,kəpənək,күбәләк
186,Beere::N,gilə,еләк
187,Apfel::N,alma,алма
188,Pilz::N,göbələk,бәшмәк
189,Zwiebel::N,soğan,һуган
190,Saat::N,əkin,орлоҡ
191,Korn::N,taxıl,иген
192,Heu::N,quru ot,бесән
193,Schale::N,qabıq,ҡабыҡ
194,Grube::N,çuxur,соҡор
195,Falle::N,tələ,тоҙак
196,Falle::N,tələ,ҡапҡан
197,Falle::N,duzaq,тоҙак
198,Falle::N,duzaq,ҡапҡан
199,Schlinge::N,ilmək,тоҙак
200,Spur::N,iz,әҫер
201,Asche::N,kül,көл
202,Dreck::N,kir,батҡаҡ
203,Eisen::N,dəmir,тимер
204,Gold::N,altun,алтын
205,Silber::N,gümüş,көмөш
206,Kohle::N,kömür,күмер
207,Glas::N,şüşə,быяла
208,Lehm::N,gil,балсыҡ
209,Lehm::N,palçıq,балсыҡ
210,Sand::N,qum,ҡом
211,Mensch::N,adam,кеше
212,Mensch::N,insan,кеше
213,Mann::N,kişi,ир
214,Frau::N,qadın,ҡатын
215,Kind::N,uşaq,бала
216,Junge::N,oğlan,малай
217,Mädchen::N,qız,ҡыҙ
218,Mädchen::N,qız,ҡыҙыҡай
219,Familie::N,ailə,ғаилә
220,Großvater::N,baba,олатай
221,Großmutter::N,nənə,әбәй
222,Eltern::N,valideyn,ата-әсә
223,Vater::N,ata,атай
224,Mutter::N,ana,әсә
225,Sohn::N,oğul,ул
226,Tochter::N,qız,ҡыҙ
227,Bruder::N,qardaş,агай
228,Schwester::N,bacı,алай
229,Schwester::N,bacı,һеңле
230,Onkel::N,əmi,ағай
231,Onkel::N,dayı,ағай
232,Tante::N,bibi,апай
233,Ehemann::N,ər,ир
234,Ehefrau::N,arvad,ҡатын
235,Freude::N,nəşə,шатлыҡ
236,Freude::N,nəşə,ҡыуаныс
237,Freude::N,sevinc,шатлыҡ
238,Freude::N,sevinc,ҡыуаныс
239,Gelächter::N,gülüş,көлөү
240,Gelächter::N,qəhqəhə,көлөү
241,Glück::N,səadət,бәхет
242,Glück::N,xoşbəxtlik,бәхет
243,Kummer::N,qəm,ҡайғы
244,Kummer::N,kədər,ҡайғы
245,Wunsch::N,arzu,теләк
246,Lust::N,həvəs,әүәҫлек
247,Geist::N,ruh,аң
248,Geist::N,ruh,рух
249,Gedanke::N,fikir,уй
250,Gedanke::N,fikir,фекер
251,Gedanke::N,düşüncə,уй
252,Gedanke::N,düşüncə,фекер
253,Gedächtnis::N,xatir,хәтер
254,Gedächtnis::N,hafizə,хәтер
255,Verstand::N,ağıl,аҡыл
256,Sinn::N,məna,мәғәня
257,Grund::N,səbəb,сәбәп
258,Wahrheit::N,haqq,дөрөҫлөк
259,Wahrheit::N,doğruluq,дөрөҫлөк
260,Gespräch::N,söhbət,әңгәмә
261,Gespräch::N,qonuşma,әңгәмә
262,Märchen::N,nağıl,әкиәт
263,Erzählung::N,hekayə,хикәйә
264,Nachricht::N,xəbər,хәбәр
265,Neuigkeit::N,xəbər,яңылыҡ
266,Neuigkeit::N,yenilik,яңылыҡ
267,Name::N,ad,исем
268,Rätsel::N,tapmaca,йомаҡ
269,Rede::N,nitq,телмәр
270,Sprache::N,dil,тел
271,Sprache::N,dil,телмәр
272,Stimme::N,səs,тауыш
273,Wort::N,söz,һүҙ
274,Wort::N,kəlmə,һүҙ
275,Zeichen::N,nişan,билдә
276,Ruf::N,çığırtı,саҡырыу
277,Lärm::N,gurultu,шаулау
278,Laut::N,səs,тауыш
279,Ton::N,ton,яңғырау
