,Concept_ID,ar,bn
160,Wolf::N,ذئب,নেকড়ে
161,Vogel::N,طير,পক্ষী
162,Schwarm::N,سرب,ঝাঁক
163,Huhn::N,دجاجة,মোরগ
164,Hahn::N,ديك,কুক্কুট
165,Gans::N,وزة,হংসী
166,Adler::N,نسر,ইগল
167,Ente::N,بطة,হংসী
168,Eule::N,بوم,পেচক
169,Kranich::N,كركي,সারস
170,Krähe::N,غراب,কাক
171,Kuckuck::N,وقواق,কোকিল
172,Schwan::N,إوز عراقي,মরাল
173,Fisch::N,سمك,মাছ
174,Barsch::N,فرخ أوربي,মৎন্যবিশেষ
175,Hecht::N,سمك الكراكي,বানমাছ
176,Schlange[Tier]::N,حية,সর্প
177,Schlange[Tier]::N,ثعبان,সর্প
178,Wurm::N,دودة,কীট
179,Spinne::N,عنكبوت,মাকড়সা
180,Ameise::N,نملة,পিপীলিকা
181,Laus::N,قملة,উকুন
182,Mücke::N,ناموسة,মশা
183,Fliege::N,ذبابة,মাছি
184,Schmetterling::N,فراشة,প্রজাপতি
185,Beere::N,حبة,বেরি
186,Apfel::N,تفاح,আপেল
187,Pilz::N,فطر,ছত্রক
188,Zwiebel::N,بصل,পিয়াজ
189,Saat::N,زرع,বীজ
190,Korn::N,حبة,শস্য
191,Heu::N,دريس,খড়
192,Schale::N,قشرة,খোসা
193,Grube::N,نقرة,গর্ত
194,Falle::N,فخ,ফাঁদ
195,Falle::N,مصيدة,ফাঁদ
196,Schlinge::N,عروة,পাশ
197,Spur::N,أثر,চিহ্ন
198,Asche::N,رماد,ভস্ম
199,Dreck::N,قذر,ময়লা
200,Eisen::N,حديد,লোহা
201,Gold::N,ذهب,স্বর্ণ
202,Silber::N,فضة,রৌপ্য
203,Kohle::N,فحم,অঙ্গার
204,Glas::N,زجاج,কাচ
205,Lehm::N,طين,মৃত্তিকা
206,Sand::N,رمل,বালি
207,Mensch::N,إنسان,নর
208,Mensch::N,إنسان,মানুষ
209,Mann::N,رجل,মানুষ
210,Frau::N,امرأة,নারী
211,Kind::N,طفل,বাচ্চা
212,Junge::N,ولد,ছেলে
213,Mädchen::N,بنت,মেয়ে
214,Familie::N,عائلة,পরিবার
215,Großvater::N,جد,মাতামহ
216,Großmutter::N,جدة,মাতামহী
217,Eltern::N,أبوان,মাতাপিতা
218,Eltern::N,والدان,মাতাপিতা
219,Vater::N,أب,পিতা
220,Mutter::N,أم,মাতা
221,Sohn::N,إبن,ছেলে
222,Tochter::N,بنت,মেয়ে
223,Tochter::N,إبنة,মেয়ে
224,Bruder::N,أخ,দাদা
225,Bruder::N,شقيق,দাদা
226,Schwester::N,أخت,বোন
227,Schwester::N,أخت,দিদি
228,Onkel::N,عم,মামা
229,Tante::N,عمة,মাসী
230,Ehemann::N,زوج,স্বামী
231,Ehefrau::N,زوجة,পত্নী
232,Freude::N,فرح,উল্লাস
233,Freude::N,سرور,উল্লাস
234,Gelächter::N,قهقهة,হাসি
235,Glück::N,سعادة,সুখ
236,Kummer::N,غم,দুঃখ
237,Wunsch::N,منية,আকাঙ্ক্ষা
238,Lust::N,شهوة,বাসনা
239,Geist::N,روح,আত্না
240,Gedanke::N,فكرة,চিন্তা
241,Gedächtnis::N,ذاكرة,স্মরণশক্তি
242,Verstand::N,عقل,মন
243,Sinn::N,معنى,পদার্থ
244,Grund::N,سبب,কারণ
245,Wahrheit::N,حقيقة,সত্য
246,Gespräch::N,محادثة,কথাবার্তা
247,Märchen::N,خرافة,রূপকথা
248,Erzählung::N,قصة,গল্প
249,Erzählung::N,حكاية,গল্প
250,Nachricht::N,خبر,তথ্য
251,Neuigkeit::N,خبر جديد,খবরাখবর
252,Name::N,اسم,নাম
253,Rätsel::N,لغز,ধাঁধা
254,Rede::N,خطبة,বক্তৃতা
255,Sprache::N,لغة,ভাষা
256,Stimme::N,صوت,স্বর
257,Wort::N,كلمة,শব্দ
258,Zeichen::N,رمز,প্রতীক
259,Zeichen::N,إشارة,প্রতীক
260,Ruf::N,نداء,ডাক
261,Lärm::N,صخب,হৈচৈ
262,Lärm::N,ضجة,হৈচৈ
263,Laut::N,صوت,ধ্বনি
264,Ton::N,نغمة,স্বর
265,Lied::N,أغنية,গান
266,Ruhe::N,هدوء,শান্তি
267,Leute::N,ناس,প্রজাপুঞ্জ
268,Volk::N,شعب,জাতি
269,Arbeit::N,عمل,চাকরি
270,Gast::N,ضيف,অতিথি
271,Geschenk::N,هدية,উপহার
272,Spiel::N,لعب,খেলা
273,Gesellschaft::N,صحبة,সঙ্গিগণ
274,Hilfe::N,عون,সাহায্য
275,Hilfe::N,مساعدة,সাহায্য
276,Freund::N,صديق,বন্ধু
277,Kamerad::N,زميل,সঙ্গী
278,Angelegenheit::N,أمر,বিষয়
279,Angelegenheit::N,شأن,বিষয়
280,Anzahl::N,عدد,পরিমাণ
281,Art::N,نوع,রকম
282,Stück::N,قطعة,টুকরো
283,Teil::N,قسم,অংশ
284,Hälfte::N,نصف,অর্ধেক
285,Kreis::N,دائرة,বৃত্ত
286,Kreuz::N,صليب,ক্রুশ
287,Linie::N,خط,রেখা
288,Strich::N,شرطة,কষি
289,Abstand::N,مسافة,ফাঁক
290,Entfernung::N,بعد,ব্যবধান
291,Gegend::N,ناحية,ক্ষেত্র
292,Platz::N,فراغ,জায়গা
293,Ort::N,مكان,স্থান
294,Seite::N,جانب,পার্শ্ব
295,Mitte::N,وسط,মধ্য
296,Gegenstand::N,موضوع,জিনিস
297,Sache::N,شيء,বস্তু
298,Rand::N,حافة,কানা
299,Kante::N,حافة,ধার
300,Ecke::N,ركن,কোণ
301,Spitze::N,سن,ডগা
302,Ende::N,طرف,প্রান্ত
303,Loch::N,ثقب,গর্ত
304,Winkel::N,زاوية,কোণ
305,Muster::N,عينة,নমুন্
306,Größe::N,حجم,আয়তন
307,Länge::N,طول,দৈর্ঘ্য
308,Höhe::N,علو,উচ্চতা
309,Höhe::N,ارتفاع,উচ্চতা
310,Gewicht::N,وزن,ওজন
311,Menge::N,كمية,পরিমাণ
312,Haufen::N,كوم,পুঞ্জ
313,Reihe::N,صف,শ্রেণী
314,Boot::N,قارب,নৌকা
315,Boot::N,زورق,নৌকা
316,Ruder::N,مجذاف,দাঁড়
317,Schlitten::N,مزلقة,স্নেজ্-গাড়ি
318,Ski::N,زلاجة,শী
319,Lagerfeuer::N,نار المخيم,অগ্নি
320,Last::N,حمل,বোঝা
321,Gang::N,مشية,হণ্টন
322,Schritt::N,خطوة,পদ
323,Norden::N,شمال,উত্তরদিক্
324,Süden::N,جنوب,দক্ষিণদিক
325,Westen::N,غرب,পশ্চিমদিক্
326,Osten::N,شرق,পূর্বদিক
327,Holz::N,خشب,কাঠ
328,Brett::N,لوح,তক্তা
329,Platte::N,صفيحة,ফলক
330,Stütze::N,سند,নাগদণ্ড
331,Stütze::N,دعامة,নাগদণ্ড
332,Stange::N,عود,দণ্ড
333,Stock::N,عصا,ছড়ি
334,Stab::N,قضيب,যষ্টি
335,Rohr::N,أنبوبة,নল
336,Haus::N,دار,ঘর
337,Haus::N,بيت,ঘর
338,Heim::N,بيت,বাসা
339,Heim::N,مسكن,বাসা
340,Ofen::N,مدفأة,স্টোভ্
341,Fußboden::N,أرضية,গহতল
342,Tisch::N,مائدة,মেজ
343,Tisch::N,مائدة,টেবিল
344,Stuhl::N,كرسي,চেয়ার
345,Stuhl::N,كرسي,কেদারা
346,Wiege::N,مهد,দোলনা
347,Bett::N,سرير,শয্যা
348,Regal::N,رف,তাক
349,Kiste::N,صندوق,বাক্স
350,Fenster::N,شباك,জানালা
351,Fenster::N,نافذة,জানালা
352,Tür::N,باب,দ্বার
353,Tor::N,بوابة,দ্বার
354,Zaun::N,سياج,বেড়া
355,Dach::N,سطح,ছাদ
356,Leiter::N,سلم,মই
357,Besen::N,مكنسة,গুল্মবিশেষ
358,Spaten::N,مسحاة,কোদাল
359,Schaufel::N,مجرفة,বেলচা
360,Gabel::N,شوكة,কাঁটা
361,Löffel::N,ملعقة,চামচ
362,Messer::N,سكين,ছুরি
363,Nagel::N,مسمار,পেরেক
364,Netz::N,شبكة,জাল
365,Haken::N,خطاف,কাচি
366,Haken::N,صنارة,কাচি
367,Griff::N,قبضة,হাতল
368,Schloss::N,قفل,তালা
369,Bild::N,صورة,ছবি
370,Bild::N,صورة,চিত্র
371,Figur::N,تمثال,আকার
372,Puppe::N,دمية,পুতুল
373,Beutel::N,كيس,বটুয়া
374,Bündel::N,ربطة,আঁটি
375,Tasche::N,شنطة,থলি
376,Tasche::N,محفظة,থলি
377,Eimer::N,سطل,বাল্তি
378,Eimer::N,جردل,বাল্তি
379,Deckel::N,سداد,আবরণ
380,Geschirr::N,أوان,থালা-বাসন
381,Sack::N,زكيبة,বস্তা
382,Tasse::N,فنجان,কাপ
383,Topf::N,قدر,পাত্র
384,Topf::N,طنجرة,পাত্র
385,Kessel::N,قدر,কেটলি
386,Kessel::N,غلاية,কেটলি
387,Essen::N,طعام,আহার
388,Nahrung::N,غذاء,খাদ্য
389,Speise::N,أكل,খাদ্য
390,Fleisch::N,لحم,মাংস
391,Getreide::N,حبوب,শস্য
392,Brei::N,عصيدة,মণ্ড
393,Brot::N,خبز,রুটি
394,Scheibe::N,شريحة,ফালি
395,Fett::N,سمن,মেদ
396,Butter::N,زبدة,মাখন
397,Öl::N,زيت,তৈল
398,Salz::N,ملح,নুন
399,Suppe::N,حساء,শুরুয়া
400,Suppe::N,شربة,শুরুয়া
401,Honig::N,عسل,মধু
402,Milch::N,حليب,দুধ
403,Tee::N,شاي,চা
404,Leder::N,جلد,পাকা চামড়া
405,Wolle::N,صوف,পশম
406,Stoff::N,قماش,বস্ত্র
407,Nadel::N,إبرة,সুচ
