,Concept_ID,tt,ady
0,Auge::N,күз,нэ
1,Ohr::N,колак,тхьакӏу́м
2,Nase::N,борын,пэ
3,Mund::N,авыз,жэ
4,Mund::N,тамак,жэ
5,Zahn::N,теш,цэ
6,Zunge::N,тел,бзэгу
7,Lippe::N,ирен,ӏупшӏэ́
8,Wange::N,яңак,нэкӏу́шъу
9,Gesicht::N,йөз,нэ́гу
10,Stirn::N,маңгай,натӏэ́
11,Haar::N,чәч,шъхьацы́
12,Schnurrbart::N,мыек,
13,Bart::N,сакал,жакӏэ́
14,Kinn::N,ияк,жэкӏэпэпкъ
15,Kiefer[Anatomie]::N,казналык,жэпкъы́
16,Kehle::N,тамак,чый
17,Hals::N,бугаз,пшъэ
18,Genick::N,җилкә,шъхьэпхэтыку
19,Kopf::N,баш,шъхьэ́
20,Rücken::N,сырт,кӏыбы́
21,Bauch::N,корсак,ныбэ́
22,Nabel::N,кендек,
23,Busen::N,түш,бгъэ́
24,Brust::N,имчәк,бгъэ́
25,Brust::N,күкрәк,бгъэ́
26,Schulter::N,иңбаш,блыпкъ
27,Schulter::N,кулбаш,блыпкъ
28,Arm::N,кул,ӏэ
29,Ellenbogen::N,терсәк,ӏэнтэ́гъу
30,Hand::N,кул,ӏэтхьэцу
31,Handfläche::N,уч,ӏэ́гу
32,Finger::N,бармак,ӏэхъуа́мб
33,Fingernagel::N,тырнак,ӏэбжъа́н
34,Nagel[Anatomie]::N,тырнак,ӏэбжъа́н
35,Zeh::N,бармак,ӏэхъуа́мб
36,Fuß::N,табан,лъэгу
37,Ferse::N,үкчә,лъэдакъэ
38,Knie::N,тез,лъагуа́ндж
39,Oberschenkel::N,бот,ко
40,Bein::N,аяк,лъакъо́
41,Körper::N,тән,пкъышъол
42,Körper::N,җисем,пкъышъол
43,Haut::N,тире,кӏы́шъу
44,Blut::N,кан,лъы
45,Ader::N,тамыр,льытф
46,Sehne::N,сеңер,фэ
47,Knochen::N,сөяк,къупшъхьэ́
48,Gehirn::N,ми,куцӏы
49,Herz::N,йөрәк,гу
50,Magen::N,ашказаны,мышкӏу
