,Concept_ID,tr,kv
0,Auge::N,göz,син
1,Ohr::N,kulak,пель
2,Nase::N,burun,ныр
3,Mund::N,ağız,ӧм
4,Zahn::N,diş,пинь
5,Zunge::N,dil,кыв
6,Lippe::N,dudak,тырп
7,Wange::N,yanak,рожабан
8,Gesicht::N,yüz,бан
9,Stirn::N,alın,кымӧс
10,Haar::N,saç,юрси
11,Schnurrbart::N,bıyık,уссэз
12,Bart::N,sakal,тош
13,Kinn::N,çene,тшӧка
14,Kiefer[Anatomie]::N,çene,ан
15,Kehle::N,boğaz,юан
16,Hals::N,boyun,юан
17,Hals::N,gerdan,юан
18,Genick::N,ense,юр бӧр
19,Kopf::N,baş,юр
20,Kopf::N,kafa,юр
21,Rücken::N,arka,мышк
22,Bauch::N,karın,кынӧм
23,Nabel::N,göbek,гӧг
24,Busen::N,koyun,морос
25,Brust::N,göğüs,морос
26,Schulter::N,omuz,пельпон
27,Arm::N,kol,ки
28,Ellenbogen::N,dirsek,гырдзза
29,Hand::N,el,кикар
30,Handfläche::N,avuç,ки пыдӧс
31,Handfläche::N,el ayası,ки пыдӧс
32,Finger::N,parmak,чунь
33,Fingernagel::N,el tırnağı,гыж
34,Nagel[Anatomie]::N,tırnak,гыж
35,Zeh::N,ayak parmağı,чунь
36,Fuß::N,ayak,кокпыдӧс
37,Ferse::N,topuk,кокдзир
38,Knie::N,diz,пидзӧс
39,Oberschenkel::N,uyluk,лядьбей
40,Bein::N,bacak,кок
41,Körper::N,vücut,вывтыр
42,Haut::N,cilt,кучик
43,Blut::N,kan,вир
44,Ader::N,damar,сӧн
45,Sehne::N,kiriş,жила
46,Knochen::N,kemik,коска
47,Gehirn::N,beyin,вем
48,Herz::N,kalp,сьӧлӧм
49,Herz::N,yürek,сьӧлӧм
50,Magen::N,mide,жӧвдӧк
51,Leber::N,karaciğer,мус
52,Atem::N,nefes,лолалӧм
53,Hunger::N,açlık,тшыг
54,Träne::N,gözyaşı,синва
55,Geschmack::N,tat,кӧр
56,Geschmack::N,lezzet,кӧр
57,Geruch::N,koku,дук
58,Schlaf::N,uyku,он
59,Traum::N,düş,вӧт
60,Traum::N,rüya,вӧт
61,Himmel::N,gök,небо
62,Sonne::N,güneş,шондi
63,Mond::N,ay,тӧлiсь
64,Stern::N,yıldız,кӧдзыв
65,Luft::N,hava,ру
66,Wind::N,yel,тӧв
67,Wind::N,rüzgâr,тӧв
68,Welle::N,dalga,гы
69,Wasser::N,su,ва
70,Stein::N,taş,из
71,Boden::N,yer,му
72,Boden::N,zemin,му
73,Erde::N,toprak,му
74,Staub::N,toz,бус
75,Rauch::N,duman,тшын
76,Funke::N,kıvılcım,бичир
77,Feuer::N,ateş,би
78,Licht::N,ışık,би
79,Schatten::N,gölge,вуджӧр
80,Wetter::N,hava,погоддя
81,Nebel::N,pus,туман
82,Wolke::N,bulut,кымӧр
83,Regen::N,yağmur,зэр
84,Schnee::N,kar,лым
85,Eis::N,buz,йы
86,Frost::N,don,мороз
87,Kälte::N,soğukluk,кӧдзыт
88,Hitze::N,sıcaklık,ӧд
89,Raureif::N,kırç,кижа
90,Regenbogen::N,gökkuşağı,енӧшка
91,Donner::N,gök gürlemesi,гым
92,Strömung::N,akıntı,визывтӧм
93,Strömung::N,cereyan,визывтӧм
94,Tropfen::N,damla,тёп
95,Schaum::N,köpük,быг
96,Schmutz::N,çamur,нять
97,Schmutz::N,pislik,нять
98,See::N,göl,ты
99,Sumpf::N,batak,арай
100,Moor::N,cılgıt,нюр
101,Wiese::N,çimen,видз
102,Wald::N,koru,вӧр
103,Wald::N,orman,вӧр
104,Hügel::N,tepe,мыльк
105,Anhöhe::N,tümsek,вывтас
106,Anhöhe::N,tümsek,вылынін
107,Anhöhe::N,yükseklik,вывтас
108,Anhöhe::N,yükseklik,вылынін
109,Berg::N,dağ,керӧс
110,Gipfel::N,zirve,йыв
111,Höhle::N,in,нора
112,Höhle::N,mağara,нора
113,Abhang::N,bayır,покат
114,Quelle::N,pınar,больган
115,Quelle::N,kaynak,больган
116,Bach::N,çay,шор
117,Bach::N,dere,шор
118,Fluss::N,nehir,ю
119,Ufer::N,kıyı,берег
120,Ufer::N,sahil,берег
121,Küste::N,kıyı,берег
122,Küste::N,sahil,берег
123,Festland::N,kara,му
124,Meer::N,deniz,море
125,Bucht::N,koy,курья
126,Bucht::N,körfez,курья
127,Insel::N,ada,
128,Blume::N,çiçek,цветок
129,Gras::N,ot,турун
130,Gras::N,çim,турун
131,Wurzel::N,kök,вуж
132,Baum::N,ağaç,пу
133,Stamm::N,gövde,мыр
134,Stamm::N,gövde,кер
135,Rinde::N,kabuk,кач
136,Ast::N,dal,ув
137,Ast::N,budak,ув
138,Zweig::N,dal,ув
139,Blatt::N,yaprak,лист
140,Birke::N,huş,кыдз
141,Kiefer[Baum]::N,çam,пожум
142,Weide[Baum]::N,söğüt,бадь
143,Tanne::N,çam,кӧз
144,Tanne::N,köknar,кӧз
145,Horn::N,boynuz,сюр
146,Feder::N,tüy,гӧн
147,Fell::N,post,кучик
148,Flügel::N,kanat,борд
149,Klaue::N,pençe,гыж
150,Kralle::N,tırnak,кабыр
151,Schwanz::N,kuyruk,бӧж
152,Ei::N,yumurta,кольть
153,Nest::N,yuva,поз
154,Bau::N,in,осьта
155,Bau::N,in,нора
156,Tier::N,hayvan,зверь
157,Herde::N,sürü,гурт
158,Kuh::N,inek,мӧс
159,Bulle::N,boğa,ӧшка
160,Pferd::N,at,вӧв
161,Pferd::N,beygir,вӧв
162,Schaf::N,koyun,баля
163,Schwein::N,domuz,порсь
164,Hund::N,it,пон
165,Hund::N,köpek,пон
166,Katze::N,kedi,кань
167,Bär::N,ayı,ош
168,Eichhörnchen::N,sincap,ур
169,Elch::N,büyük kuzey geyiği,вӧр мӧс
170,Fuchs::N,tilki,руч
171,Hase::N,tavşan,кӧч
172,Maus::N,fare,шыр
173,Maus::N,sıçan,шыр
174,Wolf::N,kurt,кӧин
175,Vogel::N,kuş,кай
176,Schwarm::N,sürü,стая
177,Schwarm::N,sürü,чукӧр
178,Huhn::N,tavuk,курӧг
179,Hahn::N,horoz,петух
180,Hahn::N,horoz,ай курӧг
181,Gans::N,kaz,дзодзог
182,Adler::N,kartal,куч
183,Adler::N,kartal,кутш
184,Adler::N,karakuş,куч
185,Adler::N,karakuş,кутш
186,Ente::N,ördek,утка
187,Eule::N,baykuş,тупка
188,Kranich::N,turna,тури
189,Krähe::N,karga,рака
190,Kuckuck::N,guguk,кӧк
191,Schwan::N,kuğu,юсь
192,Fisch::N,balık,чери
193,Barsch::N,hani,ёкыш
194,Barsch::N,levrek,ёкыш
195,Hecht::N,turnabalığı,сирпинь
196,Schlange[Tier]::N,yılan,змей
197,Wurm::N,kurt,номыр
198,Wurm::N,solucan,номыр
199,Spinne::N,örümcek,черань
200,Ameise::N,karınca,кӧдзывкар
201,Laus::N,bit,ляпа той
202,Mücke::N,sivrisinek,ном
203,Fliege::N,sinek,гут
204,Schmetterling::N,kelebek,бабыв
205,Beere::N,tane,ягӧд
206,Apfel::N,elma,яблоко
207,Pilz::N,mantar,тшак
208,Zwiebel::N,soğan,грез
