,Concept_ID,hu,av
0,Auge::N,szem,
1,Ohr::N,fül,гӏин
2,Nase::N,orr,мегӏер
3,Mund::N,száj,кӏал
4,Zahn::N,fog,гӏус
5,Zunge::N,nyelv,мацӏ
6,Lippe::N,ajak,кӏветӏ
7,Wange::N,orca,гӏоно
8,Gesicht::N,arc,гьумер
9,Stirn::N,homlok,нодо
10,Haar::N,haj,рас
11,Schnurrbart::N,bajusz,михъ
12,Bart::N,szakáll,мегеж
13,Kinn::N,áll,нилъу
14,Kiefer[Anatomie]::N,állkapocs,чанагъ
15,Kehle::N,gége,щекъер
16,Kehle::N,torok,щекъер
17,Hals::N,nyak,габур
18,Genick::N,tarkó,гъванща
19,Kopf::N,fő,бетӏер
20,Kopf::N,fej,бетӏер
21,Rücken::N,hát,мугъ
22,Bauch::N,has,чехь
23,Nabel::N,köldök,цӏину
24,Busen::N,mell,керен
25,Busen::N,kebel,керен
26,Brust::N,mell,керен
27,Schulter::N,váll,гъажазубетӏер
28,Arm::N,kar,гъеж
29,Ellenbogen::N,könyök,гӏункӏрукь
30,Hand::N,kéz,квер
31,Handfläche::N,tenyér,огъохъат
32,Handfläche::N,tenyér,жанисахъат
33,Finger::N,ujj,килищ
34,Fingernagel::N,köröm,малъ
35,Nagel[Anatomie]::N,köröm,малъ
36,Zeh::N,lábujj,килищ
37,Fuß::N,láb,хӏетӏ
38,Fuß::N,láb,хӏетӏе
39,Ferse::N,sarok,эгъе
40,Knie::N,térd,наку
41,Oberschenkel::N,comb,мачӏ
42,Bein::N,láb,бох
43,Bein::N,lábszár,бох
44,Körper::N,test,къаркъала
45,Haut::N,bőr,тӏом
46,Blut::N,vér,би
47,Ader::N,ér,бидурихь
48,Sehne::N,ín,
49,Knochen::N,csont,ракьа
50,Gehirn::N,agy,гӏадалнах
51,Gehirn::N,agyvelő,гӏадалнах
52,Herz::N,szív,ракӏ
53,Magen::N,gyomor,кванирукъ
54,Leber::N,máj,тӏул
55,Atem::N,lehelet,хӏухь
56,Atem::N,lélegzet,хӏухь
57,Hunger::N,éhség,ракъи
58,Träne::N,könny,магӏу
59,Geschmack::N,íz,тату
60,Geruch::N,szag,махӏ
61,Schlaf::N,álom,макьу
62,Schlaf::N,alvás,макьу
63,Traum::N,álom,макьу
64,Himmel::N,ég,зоб
65,Himmel::N,menny,зоб
