,Concept_ID,mn,ru
0,Auge::N,нүд,глаз
1,Ohr::N,чих,ухо
2,Nase::N,хамар,нос
3,Mund::N,ам,рот
4,Zahn::N,шүд,зуб
5,Zunge::N,хэл,язык
6,Lippe::N,уруул,губа
7,Wange::N,хацар,щека
8,Gesicht::N,царай,лицо
9,Gesicht::N,нүүр,лицо
10,Stirn::N,дух,лоб
11,Haar::N,үс,волос
12,Haar::N,үс,волосы
13,Schnurrbart::N,дээд сахал,ус
14,Schnurrbart::N,дээд сахал,усы
15,Schnurrbart::N,живэр сахал,ус
16,Schnurrbart::N,живэр сахал,усы
17,Bart::N,сахал,борода
18,Kinn::N,эрүү,подбородок
19,Kiefer[Anatomie]::N,эрүү,челюсть
20,Kehle::N,хоолой,горло
21,Hals::N,хүзүү,шея
22,Genick::N,шил,затылок
23,Genick::N,хүзүү,затылок
24,Kopf::N,толгой,голова
25,Rücken::N,ар,спина
26,Rücken::N,нуруу,спина
27,Bauch::N,хэвлий,живот
28,Bauch::N,гэдэс,живот
29,Nabel::N,хүйс,пупок
30,Busen::N,хөх,женская грудь
31,Brust::N,цээж,грудь
32,Schulter::N,мөр,плечо
33,Schulter::N,бугалга,плечо
34,Arm::N,гар,рука
35,Ellenbogen::N,тохой,локоть
36,Hand::N,гар,кисть
37,Hand::N,алга,кисть
38,Handfläche::N,алга,ладонь
39,Finger::N,хуруу,палец
40,Fingernagel::N,хурууны хумс,ноготь
41,Nagel[Anatomie]::N,хумс,ноготь
42,Zeh::N,хуруу,палец
43,Fuß::N,хөл,ступня
44,Ferse::N,өсгий,пята
45,Ferse::N,өсгий,пятка
46,Knie::N,өвдөг,колено
47,Oberschenkel::N,гуя,бедро
48,Bein::N,хөл,нога
49,Körper::N,бие,тело
50,Haut::N,арьс,кожа
51,Blut::N,цус,кровь
52,Ader::N,судас,вена
53,Ader::N,судас,сосуд
54,Sehne::N,бүлх,жила
55,Sehne::N,бүлх,тетива
56,Sehne::N,бүлх,сухожилие
57,Sehne::N,шандас,жила
