,Concept_ID,pt,udm
0,Auge::N,olho,син
1,Ohr::N,orelha,пель
2,Nase::N,nariz,ныр
3,Mund::N,boca,ым
4,Zahn::N,dente,пинь
5,Zunge::N,língua,кыл
6,Lippe::N,lábio,ымдур
7,Wange::N,face,бам
8,Gesicht::N,cara,ымныр
9,Gesicht::N,rosto,ымныр
10,Stirn::N,testa,кымес
11,Haar::N,cabelo,йырси
12,Schnurrbart::N,bigode,мыйык
13,Bart::N,barba,туш
14,Kinn::N,queixo,ангес
15,Kiefer[Anatomie]::N,maxila,ан
16,Kiefer[Anatomie]::N,maxila,анлы
17,Kiefer[Anatomie]::N,mandíbula,ан
18,Kiefer[Anatomie]::N,mandíbula,анлы
19,Kehle::N,garganta,гульым
20,Hals::N,colo,чырты
21,Hals::N,pescoço,чырты
22,Genick::N,nuca,йырбер
23,Kopf::N,cabeça,йыр
24,Rücken::N,dorso,мыш
25,Rücken::N,costas,мыш
26,Bauch::N,ventre,кӧт
27,Bauch::N,barriga,кӧт
28,Nabel::N,umbigo,гогы
29,Busen::N,seio,ноны
30,Brust::N,peito,мӧля
31,Schulter::N,ombro,пельпум
32,Arm::N,braço,суй
33,Ellenbogen::N,cotovelo,гырпум
34,Hand::N,mão,ки
35,Handfläche::N,palma,ки пыдэс
36,Handfläche::N,palma,кырым пыдэс
37,Handfläche::N,palma da mão,ки пыдэс
38,Handfläche::N,palma da mão,кырым пыдэс
39,Finger::N,dedo,чиньы
40,Fingernagel::N,unha,гижы
41,Fingernagel::N,unha,гиждӥнь
42,Nagel[Anatomie]::N,unha,гижы
43,Zeh::N,dedo do pé,пыдчиньы
44,Fuß::N,pé,пыд
45,Ferse::N,calcanhar,пыдбер
46,Knie::N,joelho,пыдес
47,Oberschenkel::N,coxa,макес
48,Bein::N,perna,пыд
49,Körper::N,corpo,мугор
50,Körper::N,corpo,вылтыр
51,Haut::N,pele,ку
52,Blut::N,sangue,вир
53,Ader::N,veia,вирсэр
54,Sehne::N,tendão,вуж
55,Knochen::N,osso,лы
56,Gehirn::N,cérebro,вим
57,Herz::N,coração,сюлэм
58,Magen::N,estômago,ӝуш
59,Leber::N,fígado,мус
60,Atem::N,fôlego,лул
61,Atem::N,fôlego,шокан
