,Concept_ID,udm,lez
0,Auge::N,син,вил
1,Ohr::N,пель,яб
2,Nase::N,ныр,нер
3,Mund::N,ым,сив
4,Zahn::N,пинь,сас
5,Zahn::N,пинь,свах
6,Zunge::N,кыл,мез
7,Lippe::N,ымдур,пӏуз
8,Wange::N,бам,хъвехъ
9,Gesicht::N,ымныр,ччин
10,Stirn::N,кымес,пел
11,Haar::N,йырси,чӏар
12,Schnurrbart::N,мыйык,спел
13,Schnurrbart::N,мыйык,спелар
14,Bart::N,туш,ччуру
15,Kinn::N,ангес,чене
16,Kiefer[Anatomie]::N,ан,чене
17,Kiefer[Anatomie]::N,анлы,чене
18,Kehle::N,гульым,туьд
19,Hals::N,чырты,гардан
20,Genick::N,йырбер,кьам
21,Kopf::N,йыр,кьил
22,Rücken::N,мыш,далу
23,Bauch::N,кӧт,руфун
24,Nabel::N,гогы,пицӏ
25,Busen::N,ноны,мам
26,Brust::N,мӧля,хур
27,Schulter::N,пельпум,къуьн
28,Arm::N,суй,гъил
29,Ellenbogen::N,гырпум,кьуьнт
30,Hand::N,ки,капаш
31,Handfläche::N,ки пыдэс,капан юкь
32,Handfläche::N,кырым пыдэс,капан юкь
33,Finger::N,чиньы,тӏуб
34,Fingernagel::N,гижы,кек
35,Fingernagel::N,гиждӥнь,кек
36,Nagel[Anatomie]::N,гижы,кек
37,Zeh::N,пыдчиньы,кул
38,Fuß::N,пыд,кӏвач
39,Ferse::N,пыдбер,дабан
40,Knie::N,пыдес,мет
41,Oberschenkel::N,макес,
42,Bein::N,пыд,кӏвач
43,Körper::N,мугор,беден
44,Körper::N,вылтыр,беден
45,Haut::N,ку,хам
46,Blut::N,вир,иви
47,Ader::N,вирсэр,дамар
48,Sehne::N,вуж,кьуру дамар
49,Knochen::N,лы,кӏараб
50,Gehirn::N,вим,мефт
51,Herz::N,сюлэм,рикӏ
52,Magen::N,ӝуш,хук
53,Leber::N,мус,лекь
54,Atem::N,лул,ял
55,Atem::N,лул,нефес
56,Atem::N,шокан,ял
57,Atem::N,шокан,нефес
58,Hunger::N,кӧтсюман,каш
59,Träne::N,синкыли,вилин нагъв
60,Geschmack::N,шӧм,дад
61,Geschmack::N,шӧм,тӏям
62,Geruch::N,зын,ни
63,Schlaf::N,вӧт,ахвар
64,Traum::N,уйвӧт,ахвар
65,Himmel::N,ин,цав
66,Sonne::N,шунды,рагъ
67,Mond::N,толэзь,варз
68,Stern::N,кизили,гъед
69,Luft::N,омыр,гьава
70,Wind::N,тӧл,гар
71,Welle::N,тулкым,лепе
72,Wasser::N,ву,яд
73,Stein::N,из,къван
74,Boden::N,музъем,накьв
75,Erde::N,му,ччил
76,Staub::N,пыль,руг
77,Rauch::N,ӵын,гум
78,Funke::N,гизьы,цӏелхем
79,Feuer::N,тыл,цӏай
80,Licht::N,тыл,экв
81,Schatten::N,вужер,серин
82,Wetter::N,куазь,гьава
83,Nebel::N,бус,ччилин циф
84,Wolke::N,пилем,циф
85,Regen::N,зор,марф
86,Schnee::N,лымы,жив
87,Eis::N,йӧ,мурк
