,Concept_ID,ar,uz
0,Auge::N,عين,ko'z
1,Ohr::N,أذن,quloq
2,Nase::N,أنف,burun
3,Mund::N,فم,og'iz
4,Zahn::N,سن,tish
5,Zunge::N,لسان,til
6,Lippe::N,شفة,dudoq
7,Wange::N,خد,bet
8,Wange::N,وجنة,bet
9,Gesicht::N,وجه,yuz
10,Stirn::N,جبين,manglay
11,Haar::N,شعر,soch
12,Schnurrbart::N,شارب,mo'ylov
13,Bart::N,لحية,soqol
14,Kinn::N,ذقن,ängak
15,Kiefer[Anatomie]::N,فك,iyak
16,Kehle::N,حلق,bo'g'iz
17,Hals::N,عنق,bo'yin
18,Hals::N,رقبة,bo'yin
19,Genick::N,قفا,gardan
20,Kopf::N,رأس,bosh
21,Rücken::N,ظهر,orqa
22,Bauch::N,بطن,qorin
23,Nabel::N,سرة,kindik
24,Busen::N,ثدي,ämchak
25,Brust::N,صدر,ko'krak
26,Schulter::N,كتف,elka
27,Arm::N,ذراع,bilak
28,Ellenbogen::N,كوع,tirsak
29,Hand::N,يد,qo'l
30,Handfläche::N,كف,kaft
31,Finger::N,إصبع,barmoq
32,Fingernagel::N,ظفر,tirnoq
33,Nagel[Anatomie]::N,ظفر,tirnoq
34,Zeh::N,إصبع القدم,oyoq barmog'i
35,Fuß::N,قدم,oyoq
36,Ferse::N,كعب,tovon
37,Knie::N,ركبة,tiz
38,Oberschenkel::N,فخذ,son
39,Bein::N,ساق,oyoq
40,Körper::N,جسم,badna
41,Haut::N,بشرة,teri
42,Blut::N,دم,qon
43,Ader::N,عرق,qon tomir
44,Sehne::N,طنب,tomir
45,Knochen::N,عظم,suyak
46,Gehirn::N,دماغ,miya
47,Herz::N,قلب,qalb
48,Magen::N,معدة,oshqozon
49,Leber::N,كبد,bag'ir
50,Atem::N,نفس,dam
51,Hunger::N,جوع,ochlik
52,Träne::N,دمعة,yosh
53,Geschmack::N,طعم,tam
54,Geschmack::N,مذاق,tam
55,Geruch::N,رائحة,jid
56,Schlaf::N,نوم,uyqu
57,Schlaf::N,منام,uyqu
58,Traum::N,حلم,tush
59,Himmel::N,سماء,osmon
60,Sonne::N,شمس,quyosh
61,Mond::N,قمر,oy
62,Stern::N,نجم,yulduz
63,Stern::N,كوكب,yulduz
64,Luft::N,هواء,havo
65,Wind::N,ريح,el
