,Concept_ID,mn,udm
0,Auge::N,нүд,син
1,Ohr::N,чих,пель
2,Nase::N,хамар,ныр
3,Mund::N,ам,ым
4,Zahn::N,шүд,пинь
5,Zunge::N,хэл,кыл
6,Lippe::N,уруул,ымдур
7,Wange::N,хацар,бам
8,Gesicht::N,царай,ымныр
9,Gesicht::N,нүүр,ымныр
10,Stirn::N,дух,кымес
11,Haar::N,үс,йырси
12,Schnurrbart::N,дээд сахал,мыйык
13,Schnurrbart::N,живэр сахал,мыйык
14,Bart::N,сахал,туш
15,Kinn::N,эрүү,ангес
16,Kiefer[Anatomie]::N,эрүү,ан
17,Kiefer[Anatomie]::N,эрүү,анлы
18,Kehle::N,хоолой,гульым
19,Hals::N,хүзүү,чырты
20,Genick::N,шил,йырбер
21,Genick::N,хүзүү,йырбер
22,Kopf::N,толгой,йыр
23,Rücken::N,ар,мыш
24,Rücken::N,нуруу,мыш
25,Bauch::N,хэвлий,кӧт
26,Bauch::N,гэдэс,кӧт
27,Nabel::N,хүйс,гогы
28,Busen::N,хөх,ноны
29,Brust::N,цээж,мӧля
30,Schulter::N,мөр,пельпум
31,Schulter::N,бугалга,пельпум
32,Arm::N,гар,суй
33,Ellenbogen::N,тохой,гырпум
34,Hand::N,гар,ки
35,Hand::N,алга,ки
36,Handfläche::N,алга,ки пыдэс
37,Handfläche::N,алга,кырым пыдэс
38,Finger::N,хуруу,чиньы
39,Fingernagel::N,хурууны хумс,гижы
40,Fingernagel::N,хурууны хумс,гиждӥнь
41,Nagel[Anatomie]::N,хумс,гижы
42,Zeh::N,хуруу,пыдчиньы
43,Fuß::N,хөл,пыд
44,Ferse::N,өсгий,пыдбер
45,Knie::N,өвдөг,пыдес
46,Oberschenkel::N,гуя,макес
47,Bein::N,хөл,пыд
48,Körper::N,бие,мугор
49,Körper::N,бие,вылтыр
50,Haut::N,арьс,ку
51,Blut::N,цус,вир
52,Ader::N,судас,вирсэр
53,Sehne::N,бүлх,вуж
54,Sehne::N,шандас,вуж
55,Knochen::N,яс,лы
56,Gehirn::N,тархи,вим
57,Herz::N,зүрх,сюлэм
58,Magen::N,ходоод,ӝуш
59,Leber::N,элэг,мус
60,Atem::N,амьсгаа,лул
61,Atem::N,амьсгаа,шокан
62,Hunger::N,өлсгөлөн,кӧтсюман
63,Träne::N,нулимс,синкыли
64,Geschmack::N,амт,шӧм
65,Geruch::N,үнэр,зын
66,Schlaf::N,нойр,вӧт
67,Traum::N,зүүд,уйвӧт
68,Himmel::N,тэнгэр,ин
69,Himmel::N,огторгуй,ин
70,Sonne::N,нар,шунды
71,Mond::N,сар,толэзь
72,Stern::N,од,кизили
73,Luft::N,агаар,омыр
74,Wind::N,салхи,тӧл
75,Welle::N,долгио,тулкым
76,Welle::N,давалгаа,тулкым
77,Wasser::N,ус,ву
78,Stein::N,чулуу,из
79,Boden::N,хөрс,музъем
80,Erde::N,газар,му
81,Erde::N,шороо,му
82,Staub::N,тоос,пыль
83,Rauch::N,утаа,ӵын
84,Funke::N,оч,гизьы
85,Feuer::N,гал,тыл
86,Licht::N,гэрэл,тыл
87,Licht::N,гэгээ,тыл
88,Schatten::N,сүүдэр,вужер
89,Wetter::N,тэнгэр,куазь
90,Wetter::N,цаг уур,куазь
91,Nebel::N,будан,бус
92,Wolke::N,үүл,пилем
93,Regen::N,бороо,зор
94,Schnee::N,цас,лымы
95,Eis::N,мөс,йӧ
96,Frost::N,хүйт,кезьыт
97,Kälte::N,хүйт,кезьыт
98,Hitze::N,халуун,пӧсь
99,Raureif::N,цан,гӧр
100,Raureif::N,хяруу,гӧр
101,Regenbogen::N,солонго,вуюись
102,Donner::N,тэнгэрийн дуу,гудыри
103,Strömung::N,урсгал,бызён
104,Tropfen::N,дусал,шапык
105,Schaum::N,хөөс,шукы
106,Schmutz::N,хир,нӧд
107,Schmutz::N,хир,дэри
108,Schmutz::N,шавхай,нӧд
109,Schmutz::N,шавхай,дэри
110,See::N,нуур,ты
111,Sumpf::N,намаг,нюр
112,Sumpf::N,балчиг,нюр
113,Moor::N,хүлрийн намаг,нюр
114,Wiese::N,нуга,возь
115,Wiese::N,нуга,возьвыл
116,Wald::N,ой,сик
117,Wald::N,ой,нюлэс
118,Hügel::N,болдог,выр
119,Hügel::N,болдог,вырйыл
120,Anhöhe::N,гүвээ,выр
121,Anhöhe::N,гүвээ,вырйыл
122,Berg::N,уул,гурезь
123,Gipfel::N,орой,йыл
124,Gipfel::N,оргил,йыл
125,Höhle::N,агуй,гу
126,Abhang::N,хүр,бам
127,Quelle::N,булаг,ошмес
128,Bach::N,горхи,пичи шур
129,Fluss::N,гол,шур
130,Fluss::N,мөрөн,шур
131,Ufer::N,эрэг,ярдур
132,Küste::N,эрэг,вудур
133,Festland::N,хуурай газар,мувыр
134,Meer::N,далай,зарезь
135,Meer::N,тэнгис,зарезь
136,Bucht::N,булан,вукож
137,Bucht::N,далайн тохой,вукож
138,Insel::N,арал,вумуӵ
139,Insel::N,арал,шормуӵ
140,Blume::N,цэцэг,сяська
141,Gras::N,өвс,турын
142,Gras::N,ногоо,турын
143,Wurzel::N,үндэс,выжы
144,Baum::N,мод,пу
145,Stamm::N,иш,модос
146,Stamm::N,гуалин,модос
147,Rinde::N,холтос,сул
148,Ast::N,гишүү,ул
149,Zweig::N,салаа,вай
150,Blatt::N,навч,куар
151,Birke::N,хус,кызьпу
152,Kiefer[Baum]::N,нарс,пужым
153,Weide[Baum]::N,уд,бадьпу
154,Weide[Baum]::N,бургас,бадьпу
155,Tanne::N,гачуур,кыз
156,Horn::N,эвэр,сюр
157,Feder::N,өд,тылы
158,Fell::N,арьс,ку
159,Flügel::N,жигүүр,бурд
160,Flügel::N,далавч,бурд
161,Klaue::N,савар,гижы
162,Klaue::N,хумс,гижы
163,Kralle::N,савар,пыд
164,Schwanz::N,сүүл,быж
165,Ei::N,өндөг,пуз
166,Ei::N,өндөг,кукей
167,Nest::N,үүр,кар
168,Nest::N,үүр,пузкар
169,Bau::N,нүх,кар
170,Bau::N,нүх,гу
171,Bau::N,элүү,кар
172,Bau::N,элүү,гу
173,Tier::N,амьтан,пӧйшур
174,Tier::N,адгуус,пӧйшур
175,Herde::N,сүрэг,уллё
176,Kuh::N,үнээ,скал
177,Bulle::N,бух,ош
178,Bulle::N,бух,пороз
179,Pferd::N,морь,вал
180,Pferd::N,адуу,вал
181,Schaf::N,хонь,ыж
182,Schwein::N,гахай,парсь
183,Hund::N,нохой,пуны
184,Katze::N,муур,коӵыш
185,Katze::N,мигуй,коӵыш
186,Bär::N,баавгай,гондыр
187,Eichhörnchen::N,хэрэм,коньы
188,Elch::N,хандгай,койык
189,Fuchs::N,үнэг,ӟичы
190,Hase::N,туулай,кеч
191,Maus::N,хулгана,шыр
192,Wolf::N,чоно,кион
193,Vogel::N,шувуу,тылобурдо
194,Schwarm::N,сүрэг,уллё
195,Huhn::N,тахиа,курег
196,Hahn::N,эр тахиа,атас
197,Gans::N,галуу,ӟазег
198,Adler::N,бүргэд,ӧрзи
199,Ente::N,нугас,ӵӧж
200,Eule::N,ууль,кучыран
201,Kranich::N,тогоруу,тури
202,Krähe::N,хэрээ,куака
203,Kuckuck::N,хөхөө,кикы
204,Schwan::N,хун,юсь
205,Fisch::N,загас,чорыг
206,Barsch::N,алгана,юш
207,Hecht::N,цурхай,чипей
208,Schlange[Tier]::N,могой,кый
209,Wurm::N,өт,нумыр
210,Wurm::N,хорхой,нумыр
211,Spinne::N,аалз,чонари
212,Ameise::N,шоргоолж,кузьыли
213,Laus::N,бөөс,тэй
214,Mücke::N,шумуул,нымы
215,Mücke::N,шумуул,чибинь
216,Fliege::N,ялаа,кут
217,Schmetterling::N,эрвээхэй,бубыли
218,Beere::N,жимсгэнэ,узы-боры
219,Apfel::N,алим,яблок
220,Pilz::N,мөөг,губи
221,Zwiebel::N,сонгино,сугон
222,Saat::N,тариа,кидыс
223,Korn::N,үр,тысь
224,Korn::N,мөхлөг,тысь
225,Heu::N,өвс,турын
226,Schale::N,хальс,кыд
227,Grube::N,алам,гу
228,Grube::N,алам,гоп
229,Grube::N,нүх,гу
230,Grube::N,нүх,гоп
231,Falle::N,хавх,налик
232,Falle::N,занга,налик
233,Schlinge::N,урхи,гиӟ
234,Schlinge::N,урхи,герд
235,Spur::N,мөр,пытьы
236,Spur::N,мөр,бервыл
237,Asche::N,үнс,пень
238,Dreck::N,хир,дэри
239,Eisen::N,төмөр,корт
240,Gold::N,алт,зарни
241,Silber::N,мөнгө,азвесь
242,Kohle::N,нүүрс,эгыр
243,Glas::N,шил,стекло
244,Glas::N,шил,пияла
245,Lehm::N,шавар,сюй
246,Sand::N,элс,луо
247,Mensch::N,хүн,мурт
248,Mensch::N,хүн,адями
249,Mann::N,эр,воргорон
250,Mann::N,эрэгтэй,воргорон
251,Frau::N,эмэгтэй,кышномурт
252,Frau::N,хатагтай,кышномурт
253,Kind::N,хүүхэд,нуны
254,Kind::N,хүүхэд,пинал
255,Junge::N,хүү,пи
256,Mädchen::N,охин,ныл
257,Mädchen::N,бүсгүй,ныл
258,Familie::N,айл,семья
259,Großvater::N,өвгөн аав,песятай
260,Großvater::N,өвгөн аав,пересь атай
261,Großmutter::N,эмэг эх,песянай
262,Großmutter::N,эмэг эх,пересь анай
263,Großmutter::N,эмгээ,песянай
264,Großmutter::N,эмгээ,пересь анай
265,Eltern::N,эцэг эх,атай-анай
266,Eltern::N,эцэг эх,бубы-мумы
267,Vater::N,аав,айы
268,Vater::N,аав,атай
269,Vater::N,эцэг,айы
270,Vater::N,эцэг,атай
271,Mutter::N,эх,мумы
272,Mutter::N,ээж,мумы
273,Sohn::N,хүү,пи
274,Tochter::N,охин,ныл
275,Bruder::N,ах,агай
276,Bruder::N,дүү,агай
277,Schwester::N,эгч,апа
278,Schwester::N,эгч,сузэр
279,Schwester::N,охин дүү,апа
280,Schwester::N,охин дүү,сузэр
281,Onkel::N,авга ах,агай
282,Onkel::N,нагац ах,агай
283,Tante::N,авга эгч,апа
284,Tante::N,авга эгч,кенак
285,Tante::N,нагац эгч,апа
286,Tante::N,нагац эгч,кенак
287,Ehemann::N,нөхөр,карт
288,Ehefrau::N,эхнэр,кышно
289,Ehefrau::N,гэргий,кышно
290,Freude::N,баяр,шумпотон
291,Freude::N,баясгалан,шумпотон
292,Gelächter::N,инээдэм,горем
293,Glück::N,жаргалан,шуд
294,Kummer::N,гаслан,кайгу
295,Kummer::N,гаслан,куректон
296,Wunsch::N,ерөөл,мылпотон
297,Lust::N,дур,потон
298,Lust::N,хүсэл,потон
299,Geist::N,оюун,лул
300,Gedanke::N,сэтгэл,малпан
301,Gedächtnis::N,ой,йырсазь
302,Gedächtnis::N,ой,тодэваён
303,Gedächtnis::N,цээж,йырсазь
304,Gedächtnis::N,цээж,тодэваён
305,Verstand::N,ухаан,йырвизь
306,Sinn::N,утга,смысл
307,Grund::N,учир,муг
308,Grund::N,учир,ньӧм
309,Wahrheit::N,үнэн,зэм
310,Wahrheit::N,үнэн,шонер
311,Gespräch::N,яриа,вераськон
312,Märchen::N,явган үлгэр,выжыкыл
313,Erzählung::N,тууж,верос
314,Nachricht::N,мэдээ,ивор
315,Neuigkeit::N,сонин,выльивор
316,Name::N,нэр,ним
317,Rätsel::N,оньсого,мадькыл
318,Rede::N,хэлсэн үг,верам
319,Sprache::N,хэл,кыл
320,Stimme::N,дуу,куара
321,Wort::N,үг,кыл
322,Zeichen::N,тамга,пус
323,Zeichen::N,тамга,тодмет
324,Zeichen::N,тэмдэг,пус
325,Zeichen::N,тэмдэг,тодмет
326,Ruf::N,дуудлага,ӧтён
327,Ruf::N,дуудлага,чортон
328,Lärm::N,шуугиан,ӵашетон
329,Lärm::N,чимээ,ӵашетон
330,Laut::N,анир,куара
331,Laut::N,дуу,куара
332,Ton::N,авиа,куара
333,Ton::N,аялгуу,куара
334,Lied::N,дуу,кырӟан
335,Ruhe::N,энх,чалмыт улон
336,Ruhe::N,тайван,чалмыт улон
337,Leute::N,хүмүүс,адямиос
338,Volk::N,улс,калык
339,Arbeit::N,ажил,уж
340,Arbeit::N,хөдөлмөр,уж
341,Gast::N,зочин,куно
342,Gast::N,айлчин,куно
343,Geschenk::N,бэлэг,салам
344,Geschenk::N,бэлэг,кузьым
345,Spiel::N,наадам,шудон
346,Spiel::N,тоглоом,шудон
347,Gesellschaft::N,хамт байх,калык
348,Hilfe::N,тусламж,юрттон
349,Freund::N,найз,эш
350,Freund::N,найз,юлтош
351,Freund::N,нөхөр,эш
352,Freund::N,нөхөр,юлтош
353,Kamerad::N,хань,тодмо
354,Kamerad::N,нөхөр,тодмо
355,Angelegenheit::N,хэрэг,уж
356,Anzahl::N,тоо,лыд
357,Art::N,төрөл,тус
358,Art::N,янз,тус
359,Stück::N,хэсэг,юдэс
360,Teil::N,хувь,люкет
361,Teil::N,хэсэг,люкет
362,Hälfte::N,хагас,ӝыны
363,Kreis::N,тойрог,котырес
364,Kreis::N,хүрээ,котырес
365,Kreuz::N,загалмай,крест
366,Linie::N,шугам,гож
367,Strich::N,зураас,гож
368,Abstand::N,зай,вис
369,Abstand::N,зай,кусып
370,Entfernung::N,зай,кусып
371,Entfernung::N,хол ойр,кусып
372,Gegend::N,хавь,инты
373,Gegend::N,газар,инты
374,Platz::N,зай,инты
375,Platz::N,завсар,инты
376,Ort::N,газар,инты
377,Ort::N,газар,места
378,Ort::N,байр,инты
379,Ort::N,байр,места
380,Seite::N,тал,пал
381,Seite::N,этгээд,пал
382,Mitte::N,төв,шор
383,Mitte::N,дунд,шор
384,Gegenstand::N,юм,арбери
385,Sache::N,үйл,котыр
386,Sache::N,хэрэг,котыр
387,Rand::N,зах,дур
388,Rand::N,зах,шаер
389,Rand::N,хөвөө,дур
390,Rand::N,хөвөө,шаер
391,Kante::N,ирмэг,дур
392,Ecke::N,өнцөг,сэрег
393,Spitze::N,үзүүр,йыл
394,Ende::N,зах,пум
395,Ende::N,үзүүр,пум
396,Loch::N,цоорхой,пась
397,Loch::N,онгорхой,пась
398,Winkel::N,өнцөг,сэрег
399,Muster::N,хээ,пужы
400,Muster::N,угалз,пужы
401,Größe::N,хэмжээ,быдӟала
402,Länge::N,урт,кузьдала
403,Höhe::N,өндөр,ӝуждала
404,Gewicht::N,жин,сектала
405,Gewicht::N,жин,секытлык
406,Menge::N,тоо,лыд
407,Menge::N,тоо,лыдпус
408,Haufen::N,бөөн,люк
409,Reihe::N,эгнээ,чур
410,Boot::N,завь,пыж
411,Boot::N,завь,лодка
412,Ruder::N,сэлүүр,полыс
413,Schlitten::N,чарга,додьы
414,Ski::N,цана,куас
415,Lagerfeuer::N,түүдэг,тылскем
416,Last::N,ачаа,секыт
417,Gang::N,явдал,ветлон
418,Schritt::N,алхам,вамыш
419,Norden::N,умар,уйпал
420,Süden::N,урд,лымшор
421,Süden::N,өмнө,лымшор
422,Westen::N,өрнө,шунды пуксён
423,Westen::N,баруун,шунды пуксён
424,Osten::N,зүүн,шунды ӝужан
425,Osten::N,дорно,шунды ӝужан
426,Holz::N,мод,пу
427,Brett::N,банз,пул
428,Platte::N,хавтан,плита
429,Stütze::N,тулгуур,пыкет
430,Stütze::N,тулга,пыкет
431,Stange::N,сургааг,пуӵ
432,Stock::N,саваа,боды
433,Stab::N,таяг,пуӵ
434,Stab::N,таяг,боды
435,Rohr::N,хоолой,труба
436,Haus::N,гэр,юрт
