,Concept_ID,kv,ar
0,Auge::N,син,عين
1,Ohr::N,пель,أذن
2,Nase::N,ныр,أنف
3,Mund::N,ӧм,فم
4,Zahn::N,пинь,سن
5,Zunge::N,кыв,لسان
6,Lippe::N,тырп,شفة
7,Wange::N,рожабан,خد
8,Wange::N,рожабан,وجنة
9,Gesicht::N,бан,وجه
10,Stirn::N,кымӧс,جبين
11,Haar::N,юрси,شعر
12,Schnurrbart::N,уссэз,شارب
13,Bart::N,тош,لحية
14,Kinn::N,тшӧка,ذقن
15,Kiefer[Anatomie]::N,ан,فك
16,Kehle::N,юан,حلق
17,Hals::N,юан,عنق
18,Hals::N,юан,رقبة
19,Genick::N,юр бӧр,قفا
20,Kopf::N,юр,رأس
21,Rücken::N,мышк,ظهر
22,Bauch::N,кынӧм,بطن
23,Nabel::N,гӧг,سرة
24,Busen::N,морос,ثدي
25,Brust::N,морос,صدر
26,Schulter::N,пельпон,كتف
27,Arm::N,ки,ذراع
28,Ellenbogen::N,гырдзза,كوع
29,Hand::N,кикар,يد
30,Handfläche::N,ки пыдӧс,كف
31,Finger::N,чунь,إصبع
32,Fingernagel::N,гыж,ظفر
33,Nagel[Anatomie]::N,гыж,ظفر
34,Zeh::N,чунь,إصبع القدم
35,Fuß::N,кокпыдӧс,قدم
36,Ferse::N,кокдзир,كعب
37,Knie::N,пидзӧс,ركبة
38,Oberschenkel::N,лядьбей,فخذ
39,Bein::N,кок,ساق
40,Körper::N,вывтыр,جسم
41,Haut::N,кучик,بشرة
42,Blut::N,вир,دم
43,Ader::N,сӧн,عرق
44,Sehne::N,жила,طنب
45,Knochen::N,коска,عظم
46,Gehirn::N,вем,دماغ
47,Herz::N,сьӧлӧм,قلب
48,Magen::N,жӧвдӧк,معدة
49,Leber::N,мус,كبد
50,Atem::N,лолалӧм,نفس
51,Hunger::N,тшыг,جوع
52,Träne::N,синва,دمعة
53,Geschmack::N,кӧр,طعم
54,Geschmack::N,кӧр,مذاق
55,Geruch::N,дук,رائحة
56,Schlaf::N,он,نوم
57,Schlaf::N,он,منام
58,Traum::N,вӧт,حلم
59,Himmel::N,небо,سماء
60,Sonne::N,шондi,شمس
61,Mond::N,тӧлiсь,قمر
62,Stern::N,кӧдзыв,نجم
63,Stern::N,кӧдзыв,كوكب
64,Luft::N,ру,هواء
65,Wind::N,тӧв,ريح
66,Welle::N,гы,موجة
67,Wasser::N,ва,ماء
68,Stein::N,из,حجر
69,Boden::N,му,تراب
70,Erde::N,му,أرض
71,Staub::N,бус,غبار
72,Rauch::N,тшын,دخان
73,Funke::N,бичир,شرارة
74,Feuer::N,би,نار
75,Licht::N,би,نور
76,Licht::N,би,ضوء
77,Schatten::N,вуджӧр,ظل
78,Schatten::N,вуджӧр,فيء
79,Wetter::N,погоддя,جو
80,Wetter::N,погоддя,طقس
81,Nebel::N,туман,ضباب
82,Wolke::N,кымӧр,غيمة
83,Wolke::N,кымӧр,سحابة
84,Regen::N,зэр,مطر
85,Schnee::N,лым,ثلج
86,Eis::N,йы,جليد
87,Frost::N,мороз,صقيع
88,Kälte::N,кӧдзыт,برد
89,Hitze::N,ӧд,حر
90,Hitze::N,ӧд,حرارة
91,Raureif::N,кижа,صقيع
92,Regenbogen::N,енӧшка,قوس قزح
93,Donner::N,гым,رعد
94,Strömung::N,визывтӧм,تيار
95,Tropfen::N,тёп,قطرة
96,Schaum::N,быг,زبد
97,Schaum::N,быг,رغوة
98,Schmutz::N,нять,وسخ
99,See::N,ты,بحيرة
100,Sumpf::N,арай,مستنقع
101,Moor::N,нюр,مستنقع
102,Wiese::N,видз,مرج
103,Wald::N,вӧр,غابة
104,Hügel::N,мыльк,تل
105,Anhöhe::N,вывтас,تل
106,Anhöhe::N,вылынін,تل
107,Berg::N,керӧс,جبل
108,Gipfel::N,йыв,قمة
109,Höhle::N,нора,كهف
110,Abhang::N,покат,منحدر
111,Quelle::N,больган,منبع
112,Bach::N,шор,مجرى
113,Fluss::N,ю,نهر
114,Ufer::N,берег,ضفة
115,Küste::N,берег,ساحل
116,Festland::N,му,بر
117,Meer::N,море,بحر
118,Bucht::N,курья,خليج
119,Blume::N,цветок,زهرة
120,Gras::N,турун,حشيش
121,Wurzel::N,вуж,أصل
122,Baum::N,пу,شجرة
123,Stamm::N,мыр,جذع
124,Stamm::N,кер,جذع
125,Rinde::N,кач,قشرة
126,Ast::N,ув,فرع
127,Zweig::N,ув,غصن
128,Blatt::N,лист,ورقة
129,Birke::N,кыдз,قضبان
130,Kiefer[Baum]::N,пожум,صنوبرة
131,Weide[Baum]::N,бадь,صفصاف
132,Tanne::N,кӧз,شوح
133,Tanne::N,кӧз,تبوب
134,Horn::N,сюр,قرن
135,Feder::N,гӧн,ريشة
136,Fell::N,кучик,فرو
137,Flügel::N,борд,جناح
138,Klaue::N,гыж,مخلب
139,Kralle::N,кабыр,مخلب
140,Schwanz::N,бӧж,ذيل
141,Ei::N,кольть,بيض
142,Nest::N,поз,عش
143,Bau::N,осьта,جحر
144,Bau::N,нора,جحر
145,Tier::N,зверь,حيوان
146,Herde::N,гурт,قطيع
147,Kuh::N,мӧс,بقرة
148,Bulle::N,ӧшка,ثور
149,Pferd::N,вӧв,خيل
150,Schaf::N,баля,شاة
151,Schwein::N,порсь,خنزير
152,Hund::N,пон,كلب
153,Katze::N,кань,قطة
154,Bär::N,ош,دب
155,Eichhörnchen::N,ур,سنجاب
156,Elch::N,вӧр мӧс,موظ
157,Fuchs::N,руч,ثعلب
158,Hase::N,кӧч,أرنب
159,Maus::N,шыр,فأرة
160,Wolf::N,кӧин,ذئب
161,Vogel::N,кай,طير
162,Schwarm::N,стая,سرب
163,Schwarm::N,чукӧр,سرب
164,Huhn::N,курӧг,دجاجة
165,Hahn::N,петух,ديك
166,Hahn::N,ай курӧг,ديك
167,Gans::N,дзодзог,وزة
168,Adler::N,куч,نسر
169,Adler::N,кутш,نسر
170,Ente::N,утка,بطة
171,Eule::N,тупка,بوم
172,Kranich::N,тури,كركي
173,Krähe::N,рака,غراب
174,Kuckuck::N,кӧк,وقواق
175,Schwan::N,юсь,إوز عراقي
176,Fisch::N,чери,سمك
177,Barsch::N,ёкыш,فرخ أوربي
178,Hecht::N,сирпинь,سمك الكراكي
179,Schlange[Tier]::N,змей,حية
180,Schlange[Tier]::N,змей,ثعبان
181,Wurm::N,номыр,دودة
182,Spinne::N,черань,عنكبوت
183,Ameise::N,кӧдзывкар,نملة
184,Laus::N,ляпа той,قملة
185,Mücke::N,ном,ناموسة
186,Fliege::N,гут,ذبابة
187,Schmetterling::N,бабыв,فراشة
188,Beere::N,ягӧд,حبة
189,Apfel::N,яблоко,تفاح
190,Pilz::N,тшак,فطر
191,Zwiebel::N,грез,بصل
192,Saat::N,кӧдзыс,زرع
193,Korn::N,сю,حبة
194,Heu::N,турун,دريس
195,Schale::N,кыш,قشرة
196,Schale::N,киль,قشرة
197,Grube::N,яма,نقرة
198,Falle::N,нальк,فخ
199,Falle::N,нальк,مصيدة
200,Falle::N,кляпча,فخ
201,Falle::N,кляпча,مصيدة
202,Schlinge::N,лӧч,عروة
203,Spur::N,туй,أثر
204,Asche::N,пӧим,رماد
205,Dreck::N,нять,قذر
206,Eisen::N,кӧрт,حديد
207,Gold::N,зарни,ذهب
208,Silber::N,язісь,فضة
209,Kohle::N,шом,فحم
210,Kohle::N,уголь,فحم
211,Glas::N,стекло,زجاج
212,Lehm::N,сёй,طين
213,Sand::N,лыа,رمل
214,Mensch::N,морт,إنسان
215,Mann::N,мужик,رجل
216,Frau::N,инька,امرأة
217,Kind::N,кага,طفل
218,Junge::N,зонка,ولد
219,Mädchen::N,нывкаок,بنت
220,Familie::N,семья,عائلة
221,Großvater::N,дед,جد
222,Großmutter::N,баб,جدة
223,Eltern::N,ай-мам,أبوان
224,Eltern::N,ай-мам,والدان
225,Vater::N,ай,أب
226,Mutter::N,мам,أم
227,Sohn::N,зон,إبن
228,Tochter::N,ныв,بنت
229,Tochter::N,ныв,إبنة
230,Bruder::N,вон,أخ
231,Bruder::N,вон,شقيق
232,Schwester::N,сой,أخت
233,Onkel::N,дядь,عم
234,Tante::N,айӧлӧн сой,عمة
235,Tante::N,ичинь,عمة
236,Ehemann::N,жӧник,زوج
237,Ehefrau::N,инь,زوجة
238,Freude::N,гаж,فرح
239,Freude::N,гаж,سرور
240,Freude::N,радъялӧм,فرح
241,Freude::N,радъялӧм,سرور
242,Gelächter::N,сералӧм,قهقهة
243,Glück::N,мичлун,سعادة
244,Kummer::N,шог,غم
245,Wunsch::N,мӧдӧм,منية
246,Wunsch::N,охотитӧм,منية
247,Lust::N,охота,شهوة
248,Geist::N,лов,روح
249,Gedanke::N,дума,فكرة
250,Gedächtnis::N,тӧдвыв,ذاكرة
251,Verstand::N,вежӧр,عقل
252,Sinn::N,ылӧс,معنى
253,Grund::N,мог,سبب
254,Wahrheit::N,правда,حقيقة
255,Gespräch::N,сёрни,محادثة
256,Märchen::N,сказка,خرافة
257,Erzählung::N,висьт,قصة
258,Erzählung::N,висьт,حكاية
259,Nachricht::N,юӧр,خبر
260,Nachricht::N,висьталӧм,خبر
261,Neuigkeit::N,новость,خبر جديد
262,Name::N,ним,اسم
263,Rätsel::N,загадка,لغز
264,Rede::N,сёрни,خطبة
265,Sprache::N,кыв,لغة
266,Stimme::N,голос,صوت
267,Wort::N,кыв,كلمة
268,Zeichen::N,пас,رمز
269,Zeichen::N,пас,إشارة
270,Ruf::N,чуксӧм,نداء
271,Ruf::N,чукӧстӧм,نداء
272,Lärm::N,шум,صخب
273,Lärm::N,шум,ضجة
274,Laut::N,шы,صوت
275,Ton::N,гор,نغمة
276,Lied::N,сьыланкыв,أغنية
277,Ruhe::N,спокой,هدوء
278,Leute::N,йӧз,ناس
279,Volk::N,йӧз,شعب
280,Volk::N,народ,شعب
281,Arbeit::N,удж,عمل
282,Gast::N,гӧсь,ضيف
283,Geschenk::N,гӧснеч,هدية
