,Concept_ID,es,az
0,Auge::N,ojo,göz
1,Ohr::N,oreja,qulaq
2,Nase::N,nariz,burun
3,Mund::N,boca,ağız
4,Zahn::N,diente,diş
5,Zunge::N,lengua,dil
6,Lippe::N,labio,dodaq
7,Wange::N,mejilla,yanaq
8,Gesicht::N,cara,üz
9,Stirn::N,frente,alın
10,Haar::N,cabello,saç
11,Schnurrbart::N,bigote,bığ
12,Bart::N,barba,saqqal
13,Kinn::N,barbilla,çənə
14,Kiefer[Anatomie]::N,mandíbula,çənə
15,Kehle::N,garganta,boğaz
16,Hals::N,cuello,boyun
17,Genick::N,nuca,ənsə
18,Genick::N,cerviz,ənsə
19,Kopf::N,cabeza,baş
20,Rücken::N,espalda,bel
21,Bauch::N,vientre,qarın
22,Nabel::N,ombligo,göbək
23,Busen::N,pecho,məmə
24,Brust::N,pecho,döş
25,Schulter::N,hombro,çiyin
26,Arm::N,brazo,qol
27,Ellenbogen::N,codo,dirsək
28,Hand::N,mano,əl
29,Handfläche::N,palma,ovuc
30,Finger::N,dedo,barmaq
31,Fingernagel::N,uña,barmaq dırnağı
32,Nagel[Anatomie]::N,uña,dırnak
33,Zeh::N,dedo del pie,ayaq barmağı
34,Fuß::N,pie,ayaq
35,Ferse::N,talón,daban
36,Knie::N,rodilla,diz
37,Oberschenkel::N,muslo,bud
38,Bein::N,pierna,qıç
39,Körper::N,cuerpo,əndam
40,Haut::N,piel,dəri
41,Blut::N,sangre,qan
42,Ader::N,vena,damar
43,Sehne::N,tendón,vətər
44,Knochen::N,hueso,sümük
45,Gehirn::N,cerebro,beyin
46,Gehirn::N,encéfalo,beyin
47,Herz::N,corazón,ürək
48,Magen::N,estómago,mədə
49,Leber::N,hígado,qara ciyər
50,Atem::N,aliento,nəfəs
51,Hunger::N,hambre,aclıq
52,Träne::N,lágrima,göz yaşı
53,Geschmack::N,gusto,tam
54,Geschmack::N,gusto,ləzzət
55,Geruch::N,olor,qoxu
56,Schlaf::N,sueño,yuxu
57,Traum::N,sueño,röya
58,Traum::N,ensueño,röya
59,Himmel::N,cielo,göy
60,Himmel::N,cielo,səma
61,Sonne::N,sol,günəş
62,Mond::N,luna,ay
63,Stern::N,estrella,ulduz
64,Luft::N,aire,hava
65,Wind::N,viento,yel
66,Wind::N,viento,külək
67,Welle::N,ola,dalğa
68,Welle::N,onda,dalğa
69,Wasser::N,agua,su
70,Stein::N,piedra,daş
71,Boden::N,suelo,yer
72,Boden::N,suelo,zəmin
73,Erde::N,tierra,yer torpaq
74,Staub::N,polvo,toz
75,Rauch::N,humo,tüstü
76,Funke::N,chispa,qığılcım
77,Feuer::N,fuego,od
78,Licht::N,luz,işıq
79,Schatten::N,sombra,kölgə
80,Wetter::N,tiempo,hava
81,Nebel::N,niebla,duman
82,Wolke::N,nube,bulud
83,Regen::N,lluvia,yağış
84,Regen::N,lluvia,yağmur
85,Schnee::N,nieve,qar
86,Eis::N,hielo,buz
87,Frost::N,helada,ayaz
88,Kälte::N,frío,soyuq
89,Hitze::N,calor,coşğunluq
90,Raureif::N,escarcha,qırov
91,Regenbogen::N,arco iris,göy qurşağı
