,Concept_ID,xal,hr
0,Auge::N,нүдн,oko
1,Ohr::N,чикн,uho
2,Nase::N,хамр,nos
3,Mund::N,амн,usta
4,Zahn::N,шүдн,zub
5,Zunge::N,келн,jezik
6,Lippe::N,урл,usna
7,Wange::N,халх,obraz
8,Gesicht::N,нүр,lice
9,Stirn::N,маңна,čelo
10,Haar::N,үсн,kosa
11,Schnurrbart::N,сахл,brkovi
12,Bart::N,сахл,brada
13,Bart::N,өргнә сахл,brada
14,Kinn::N,өргн,brada
15,Kinn::N,өргн,podbradak
16,Kiefer[Anatomie]::N,өргн,čeljust
17,Kehle::N,хол,grlo
18,Hals::N,күзүн,vrat
19,Genick::N,гиҗг,zatiljak
20,Kopf::N,толһа,glava
21,Rücken::N,нурһн,leđa
22,Rücken::N,нурһн,hrbat
23,Bauch::N,гесн,trbuh
24,Nabel::N,киисн,pupak
25,Busen::N,көкн,sisa
26,Busen::N,көкн,njedra
27,Brust::N,чееҗ,prsa
28,Schulter::N,ээм,rame
29,Schulter::N,ээм,pleći
30,Arm::N,һар,ruka
31,Ellenbogen::N,тоха,lakat
32,Hand::N,баһлцг,ruka
33,Handfläche::N,альхн,dlan
34,Finger::N,хурһн,prst
35,Finger::N,һарин хурһн,prst
36,Fingernagel::N,хумсн,nokat
37,Nagel[Anatomie]::N,хумсн,nokat
38,Zeh::N,хурһн,nozni prst
39,Zeh::N,көлин хурһн,nozni prst
40,Fuß::N,тавг,noga
41,Fuß::N,тавг,stopalo
42,Ferse::N,өскә,peta
43,Knie::N,өвдг,koljeno
44,Oberschenkel::N,һуй,bedro
45,Bein::N,көл,noga
46,Körper::N,махмуд,tijelo
47,Haut::N,арсн,put
48,Haut::N,арсн,koža
49,Blut::N,цусн,krv
50,Ader::N,судцн,žila
51,Sehne::N,шүрүсн,tetiva
52,Knochen::N,ясн,kost
53,Gehirn::N,экн,
54,Herz::N,зүркн,srce
55,Magen::N,гесн,stomak
56,Magen::N,гесн,želudac
57,Leber::N,элкн,jetra
58,Atem::N,әмсхл,dah
59,Hunger::N,харһнлһн,glad
60,Träne::N,нульмсн,suza
61,Geschmack::N,амтн,ukus
62,Geruch::N,үнр,njuh
63,Geruch::N,үнр,miris
64,Schlaf::N,нөр,san
65,Traum::N,зүүдн,san
66,Himmel::N,теңгр,nebo
67,Sonne::N,нарн,sunce
68,Mond::N,сар,mjesec
69,Stern::N,одн,zvijezda
70,Luft::N,аһар,zrak
71,Wind::N,салькн,vjetar
72,Welle::N,дольган,val
73,Welle::N,дольган,talas
74,Wasser::N,усн,voda
75,Stein::N,чолун,kamen
76,Boden::N,Һазр,tlo
77,Boden::N,Һазр,zemlja
78,Erde::N,Һазр,zemlja
79,Staub::N,тоосн,prah
80,Staub::N,тоосн,prašina
81,Rauch::N,утан,dim
82,Funke::N,очн,iskra
83,Funke::N,очн,varnica
84,Feuer::N,һал,vatra
85,Licht::N,герл,svjetlo
86,Schatten::N,сүүдр,hlad
87,Schatten::N,сүүдр,sjena
88,Wetter::N,теңгр,vrijeme
89,Nebel::N,будн,magla
90,Wolke::N,үүлн,oblak
91,Regen::N,хур,kiša
92,Schnee::N,цасн,snijeg
93,Eis::N,мөсн,led
94,Frost::N,киитн,mraz
95,Kälte::N,киитн,studen
96,Kälte::N,киитн,hladnoća
97,Hitze::N,халун,vrućina
98,Raureif::N,цаң,inje
99,Raureif::N,кирү,inje
100,Regenbogen::N,солңһ,duga
101,Donner::N,оһтрһун дун,grom
102,Donner::N,оһтрһун дун,grmljavina
103,Strömung::N,урсхл,struja
104,Strömung::N,урсхл,strujanje
105,Tropfen::N,дусал,kap
106,Tropfen::N,дусал,kaplja
107,Schaum::N,көөсн,pjena
108,Schmutz::N,кир,nečistoća
109,Schmutz::N,кир,prljavština
110,See::N,нур,jezero
111,Sumpf::N,унул,bara
112,Moor::N,улм,močvara
113,Wiese::N,хадлһн,livada
114,Wald::N,ө-модн,šuma
115,Hügel::N,толһа,brijeg
116,Hügel::N,толһа,brežuljak
117,Anhöhe::N,хамр,uzvišica
118,Berg::N,уул,brdo
119,Gipfel::N,ора,vrh
120,Höhle::N,хадин көндә,pećina
121,Höhle::N,хадин көндә,spilja
122,Abhang::N,ташу,obronak
123,Abhang::N,ташу,nizbrdica
124,Quelle::N,булг,izvor
125,Quelle::N,булг,vrelo
126,Bach::N,һооҗур,potok
