,Concept_ID,bg,mrj
0,Auge::N,око,сӹнзӓ
1,Ohr::N,ухо,пӹлӹш
2,Nase::N,нос,нер
3,Mund::N,уста,ышма
4,Zahn::N,зъб,пӱ
5,Zunge::N,език,йӹлмӹ
6,Lippe::N,устна,тӹрвӹ
7,Wange::N,буза,шӹргӹ
8,Gesicht::N,лице,лицӓ
9,Gesicht::N,образ,лицӓ
10,Stirn::N,чело,лепкӓ
11,Haar::N,коса,ӱп
12,Haar::N,косъм,ӱп
13,Schnurrbart::N,мустаци,öрш
14,Bart::N,брада,пандаш
15,Kinn::N,брада,онгылаш
16,Kinn::N,брадичка,онгылаш
17,Kiefer[Anatomie]::N,челюст,пӱ арата
18,Kehle::N,гърло,логер
19,Hals::N,врат,шӱ
20,Genick::N,тил,ланга
21,Kopf::N,глава,вуй
22,Rücken::N,гръб,туп
23,Bauch::N,корем,мӹшкӹр
24,Nabel::N,пъп,кӹлӹмдӹ
25,Busen::N,бозка,цӹзӹ
26,Brust::N,гръд,мел
27,Schulter::N,рамо,ӹнгӹжӓ
28,Schulter::N,плещи,ӹнгӹжӓ
29,Arm::N,ръка,кид
30,Ellenbogen::N,лакът,кӹнервуй
31,Hand::N,ръка,лапа
32,Hand::N,китка,лапа
33,Handfläche::N,длан,кид лапа
34,Finger::N,пръст,парня
35,Fingernagel::N,нокът,кӹч
36,Nagel[Anatomie]::N,нокът,кӹч
37,Zeh::N,пръст на крак,парня
38,Fuß::N,крак,ял лапа
39,Fuß::N,нога,ял лапа
40,Ferse::N,пета,ялгавал
41,Ferse::N,пета,ял кавал
42,Knie::N,коляно,пылвуй
43,Oberschenkel::N,бедро,ӓрдӹ
44,Bein::N,крак,ял
45,Bein::N,нога,ял
46,Körper::N,тяло,монгыр
47,Haut::N,кожа,кавашты
48,Blut::N,кръв,вӹр
49,Ader::N,вена,вӹршӓр
50,Ader::N,артерия,вӹршӓр
51,Sehne::N,жила,кукшышӱн
52,Sehne::N,сухожилие,кукшышӱн
53,Knochen::N,кост,лу
54,Gehirn::N,мозък,вим
55,Herz::N,сърце,шӱм
56,Magen::N,стомах,шӱм
57,Leber::N,черен дроб,мокш
58,Atem::N,дишане,шӱлӹш
59,Hunger::N,глад,шужымаш
60,Träne::N,сълза,сӹнзӓвӹд
61,Geschmack::N,вкус,тот
62,Geruch::N,миризма,пыш
63,Schlaf::N,сън,ом
64,Traum::N,сън,ом
65,Himmel::N,небе,пӹлгом
66,Sonne::N,слънце,кечӹ
67,Mond::N,луна,тӹлзӹ
68,Mond::N,месец,тӹлзӹ
69,Stern::N,звезда,шӹдӹр
70,Luft::N,въздух,юж
71,Luft::N,въздух,воздух
72,Wind::N,вятър,мардеж
73,Welle::N,вълна,ко
74,Welle::N,вълна,коэ
75,Wasser::N,вода,вӹд
76,Stein::N,камък,кӱ
77,Boden::N,земя,рок
78,Boden::N,почва,рок
79,Erde::N,земя,свет
80,Erde::N,почва,свет
81,Staub::N,прах,пырак
82,Rauch::N,дим,шӹкш
83,Rauch::N,пушек,шӹкш
84,Funke::N,искра,ип
85,Funke::N,искра,тылип
86,Feuer::N,огън,тыл
87,Licht::N,светлина,соты
88,Licht::N,светлина,валгыды
89,Schatten::N,сянка,ӹмӹл
90,Wetter::N,време,игечӹ
91,Nebel::N,мъгла,тӹтӹрӓ
92,Wolke::N,облак,пӹл
93,Regen::N,дъжд,юр
94,Schnee::N,сняг,лым
95,Eis::N,лед,и
96,Frost::N,мраз,ӱштӹ
97,Kälte::N,студ,ӱштӹ
98,Hitze::N,жега,шокшы
99,Hitze::N,горещина,шокшы
100,Raureif::N,скреж,пöрш
101,Raureif::N,слана,пöрш
102,Regenbogen::N,дъга,шанавӹл
103,Donner::N,гръм,хӹдӹртӹш
104,Strömung::N,течение,йогы
105,Tropfen::N,капка,капльы
106,Tropfen::N,капка,капльык
107,Schaum::N,пяна,шонг
108,Schmutz::N,кал,лявӹрӓ
109,Schmutz::N,мръсотия,лявӹрӓ
110,See::N,езеро,йӓр
111,Sumpf::N,блато,лӱкӹ
112,Moor::N,мочурище,куп
113,Wiese::N,ливада,алык
114,Wald::N,гора,шӹргӹ
115,Hügel::N,рид,пӱгӹрикӓ
116,Hügel::N,хълм,пӱгӹрикӓ
117,Anhöhe::N,могила,кӱкшикӓ
118,Anhöhe::N,възвишение,кӱкшикӓ
119,Berg::N,планина,кырык
120,Gipfel::N,връх,неркӓ
121,Höhle::N,пещера,ы́раж
122,Abhang::N,склон,полом
123,Abhang::N,стръмнина,полом
124,Quelle::N,извор,вӹдсӹнзӓ
125,Bach::N,поток,ӓнгӹр
126,Fluss::N,река,вӹд
127,Ufer::N,бряг,сир
128,Küste::N,бряг,сир
129,Küste::N,крайбрежие,сир
130,Festland::N,суша,мӱлӓндӹ
131,Meer::N,море,тангыж
132,Bucht::N,залив,вӹдъял
133,Insel::N,остров,острок
134,Blume::N,цвете,пеледӹш
135,Gras::N,трева,шуды
136,Wurzel::N,корен,важ
137,Baum::N,дърво,пушӓнгӹ
138,Stamm::N,стъбло,пушӓнгӹ тӹнг
139,Rinde::N,кора,каргыж
140,Ast::N,клон,укш
141,Zweig::N,клон,укш
142,Blatt::N,лист,листӹ
143,Birke::N,бреза,куги
144,Kiefer[Baum]::N,бор,йӓктӹ
145,Weide[Baum]::N,върба,уа
146,Tanne::N,ела,кож
147,Horn::N,рог,шур
148,Feder::N,перо,пын
149,Fell::N,кожа,кавашты
150,Flügel::N,крило,шылдыр
151,Klaue::N,нокът,кӹч
152,Kralle::N,нокът,лапа
153,Schwanz::N,опашка,пач
154,Ei::N,яйце,мыны
155,Nest::N,гнездо,пӹжӓш
156,Bau::N,дупка,ыраж
157,Tier::N,животно,во́льык
158,Herde::N,стадо,кӹтö
159,Kuh::N,крава,ышкал
160,Bulle::N,бик,ӱшкӱж
161,Pferd::N,кон,имни
162,Schaf::N,овца,шарык
163,Schwein::N,свиня,сасна
164,Hund::N,куче,пи
165,Katze::N,котка,коти
166,Bär::N,мечка,мöскӓ
167,Eichhörnchen::N,катерица,ур
168,Elch::N,лос,шарды
169,Fuchs::N,лисица,рӹвӹж
170,Hase::N,заек,морен
171,Maus::N,мишка,каля
172,Wolf::N,вълк,пирӹ
173,Vogel::N,птица,кек
174,Schwarm::N,рой,цуца
175,Schwarm::N,рояк,цуца
176,Huhn::N,кокошка,цӹвӹ
177,Hahn::N,петел,ӓптӓн
178,Gans::N,гъска,комбы
179,Adler::N,орел,кучкыж
180,Ente::N,патица,лыды
181,Eule::N,сова,тымана
182,Kranich::N,жерав,тырня
183,Kranich::N,жерав,тыртня
184,Krähe::N,врана,лудыгарак
185,Kuckuck::N,кукувица,куку
186,Schwan::N,лебед,йӱксӹ
187,Fisch::N,риба,кол
188,Barsch::N,костур,алангы
189,Hecht::N,щука,нуж
190,Hecht::N,щука,нужгол
191,Schlange[Tier]::N,змия,кӹшкы
192,Wurm::N,червей,шукш
193,Spinne::N,паяк,ӓнгӹремшӹ
194,Ameise::N,мравка,кыткы
195,Laus::N,въшка,ти
196,Mücke::N,комар,кужнер
197,Mücke::N,комар,кужынер
198,Fliege::N,муха,шӹнгӓ
199,Schmetterling::N,пеперуда,лӹпӹ
200,Beere::N,плод,мöр
201,Apfel::N,ябълка,олма
202,Pilz::N,гъба,понгы
203,Zwiebel::N,лук,охыра
204,Zwiebel::N,кромид,охыра
205,Saat::N,семе,нӱшмӹ
206,Saat::N,семе,нӱшмӱ
207,Korn::N,зърно,пӹрцӹ
208,Heu::N,сено,шуды
209,Schale::N,кора,аваха
210,Schale::N,кора,карлангы
211,Grube::N,яма,йӓм
